energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.44895704,0.05824663,0.02790472,0.00815668,0.90585885,0.31421768,0.08069639,0.47493950,0.21954559
-5.99399700,1.48731501,0.06008673,0.02857710,0.00823438,0.93075039,0.32556331,0.08285320,0.48733118,0.22465524
-5.98799400,1.52602836,0.06198528,0.02919497,0.00834546,0.95575953,0.33690999,0.08515610,0.49926453,0.22974561
-5.98199100,1.56434459,0.06389725,0.02974587,0.00847730,0.98043962,0.34813722,0.08754951,0.51053010,0.23474670
-5.97598799,1.60157249,0.06577459,0.03021894,0.00861854,1.00438584,0.35914318,0.08997861,0.52094661,0.23958961
-5.96998499,1.63710151,0.06756783,0.03060522,0.00875927,1.02724679,0.36984779,0.09239097,0.53036663,0.24420970
-5.96398199,1.67041914,0.06922778,0.03089806,0.00889105,1.04873455,0.38019488,0.09473798,0.53868129,0.24854985
-5.95797899,1.70112544,0.07070730,0.03109325,0.00900702,1.06863292,0.39015363,0.09697636,0.54582387,0.25256343
-5.95197599,1.72894405,0.07196308,0.03118928,0.00910183,1.08680339,0.39971906,0.09906941,0.55177211,0.25621694
-5.94597299,1.75372916,0.07295727,0.03118735,0.00917168,1.10318840,0.40891153,0.10098814,0.55654908,0.25949207
-5.93996998,1.77546793,0.07365890,0.03109136,0.00921420,1.11781200,0.41777521,0.10271210,0.56022262,0.26238721
-5.93396698,1.79427840,0.07404508,0.03090783,0.00922842,1.13077749,0.42637577,0.10422988,0.56290329,0.26491812
-5.92796398,1.81040268,0.07410186,0.03064567,0.00921461,1.14226245,0.43479709,0.10553935,0.56474098,0.26711792
-5.92196098,1.82419609,0.07382472,0.03031591,0.00917414,1.15251122,0.44313749,0.10664753,0.56592035,0.26903621
-5.91595798,1.83611237,0.07321869,0.02993135,0.00910934,1.16182522,0.45150530,0.10757009,0.56665523,0.27073756
-5.90995498,1.84668599,0.07229808,0.02950618,0.00902332,1.17055159,0.46001436,0.10833067,0.56718232,0.27229923
-5.90395198,1.85651207,0.07108583,0.02905550,0.00891978,1.17907063,0.46877930,0.10895982,0.56775435,0.27380844
