energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,5.16686579,2.13330860,0.01523405,1.98258934,1.54636265,0.07312280,1.25341227
-5.99399700,5.24053915,2.21061069,0.01580935,2.06287521,1.57075224,0.07125681,1.22564331
-5.98799400,5.30245273,2.28181657,0.01633245,2.13821479,1.59084773,0.06922092,1.19652781
-5.98199100,5.35151868,2.34597865,0.01679661,2.20777718,1.60633335,0.06705978,1.16627895
-5.97598799,5.38678710,2.40223746,0.01719601,2.27078925,1.61695060,0.06481898,1.13510305
-5.96998499,5.40747076,2.44984096,0.01752586,2.32654786,1.62250451,0.06254347,1.10319674
-5.96398199,5.41296410,2.48816079,0.01778252,2.37443006,1.62286794,0.06027613,1.07074389
-5.95797899,5.40285615,2.51670478,0.01796363,2.41390121,1.61798377,0.05805632,1.03791257
-5.95197599,5.37693793,2.53512588,0.01806818,2.44452128,1.60786531,0.05591868,1.00485222
-5.94597299,5.33520448,2.54322722,0.01809648,2.46594942,1.59259496,0.05389208,0.97169149
-5.93996998,5.27785251,2.54096375,0.01805024,2.47794706,1.57232140,0.05199887,0.93853683
-5.93396698,5.20527436,2.52844040,0.01793247,2.48037991,1.54725570,0.05025437,0.90547222
-5.92796398,5.11804899,2.50590733,0.01774747,2.47321889,1.51766652,0.04866668,0.87256000
-5.92196098,5.01693094,2.47375255,0.01750068,2.45654035,1.48387467,0.04723678,0.83984305
-5.91595798,4.90283771,2.43249224,0.01719863,2.43052552,1.44624737,0.04595888,0.80734806
-5.90995498,4.77683598,2.38275918,0.01684877,2.39545934,1.40519214,0.04482113,0.77508994
-5.90395198,4.64012700,2.32528959,0.01645929,2.35172829,1.36115075,0.04380641,0.74307695
-5.89794897,4.49403106,2.26090854,0.01603900,2.29981735,1.31459290,0.04289343,0.71131646
-5.89194597,4.33997091,2.19051432,0.01559709,2.24030559,1.26600998,0.04205789,0.67982088
-5.88594297,4.17945412,2.11506173,0.01514296,2.17386033,1.21590858,0.04127374,0.64861342
-5.87993997,4.01405374,2.03554462,0.01468597,2.10122937,1.16480390,0.04051445,0.61773344
-5.87393697,3.84538752,1.95297777,0.01423527,2.02323139,1.11321293,0.03975423,0.58724104
-5.86793397,3.67509523,1.86837821,0.01379955,1.94074424,1.06164739,0.03896921,0.55722059
-5.86193097,3.50481431,1.78274648,0.01338684,1.85469113,1.01060649,0.03813846,0.52778321
-5.85592796,3.33615419,1.69704780,0.01300429,1.76602511,0.96056949,0.03724480,0.49906793
-5.84992496,3.17066969,1.61219378,0.01265798,1.67571188,0.91198842,0.03627555,0.47124174
-5.84392196,3.00983432,1.52902509,0.01235276,1.58471166,0.86528085,0.03522288,0.44449834
-5.83791896,2.85501436,1.44829546,0.01209210,1.49396059,0.82082328,0.03408415,0.41905599
-5.83191596,2.70744475,1.37065766,0.01187797,1.40435230,0.77894511,0.03286185,0.39515450
-5.82591296,2.56820798,1.29665202,0.01171080,1.31672052,0.73992380,0.03156344,0.37305153
-5.81990995,2.43821685,1.22669797,0.01158945,1.23182339,0.70398118,0.03020100,0.35301854
-5.81390695,2.31820223,1.16108892,0.01151122,1.15033000,0.67128134,0.02879070,0.33533639
-5.80790395,2.20870632,1.09999100,0.01147198,1.07281004,0.64193021,0.02735212,0.32029095
-5.80190095,2.11008193,1.04344570,0.01146623,0.99972665,0.61597685,0.02590751,0.30816854
-5.79589795,2.02249789,0.99137638,0.01148739,0.93143293,0.59341653,0.02448099,0.29925159
-5.78989495,1.94595012,0.94359859,0.01152794,0.86817207,0.57419531,0.02309768,0.29381414
-5.78389195,1.88027790,0.89983366,0.01157971,0.81008104,0.55821615,0.02178286,0.29211748
-5.77788894,1.82518430,0.85972522,0.01163420,0.75719739,0.54534593,0.02056115,0.29440554
-5.77188594,1.78025951,0.82285770,0.01168287,0.70946884,0.53542325,0.01945574,0.30090016
-5.76588294,1.74500570,0.78877626,0.01171743,0.66676487,0.52826641,0.01848765,0.31179609
-5.75987994,1.71886202,0.75700708,0.01173018,0.62888983,0.52368125,0.01767516,0.32725555
-5.75387694,1.70122820,0.72707724,0.01171424,0.59559665,0.52146827,0.01703320,0.34740252
-5.74787394,1.69148555,0.69853332,0.01166382,0.56660062,0.52142890,0.01657301,0.37231672
-5.74187094,1.68901435,0.67095790,0.01157438,0.54159252,0.52337032,0.01630170,0.40202745
-5.73586793,1.69320684,0.64398337,0.01144280,0.52025053,0.52710894,0.01622210,0.43650746
-5.72986493,1.70347554,0.61730267,0.01126743,0.50225063,0.53247217,0.01633262,0.47566720
-5.72386193,1.71925690,0.59067647,0.01104813,0.48727513,0.53929880,0.01662721,0.51934978
-5.71785893,1.74001075,0.56393690,0.01078617,0.47501929,0.54743791,0.01709549,0.56732699
-5.71185593,1.76521627,0.53698790,0.01048420,0.46519606,0.55674670,0.01772296,0.61929688
-5.70585293,1.79436551,0.50980238,0.01014605,0.45753909,0.56708753,0.01849126,0.67488311
-5.69984992,1.82695570,0.48241674,0.00977657,0.45180436,0.57832456,0.01937865,0.73363667
-5.69384692,1.86248165,0.45492327,0.00938139,0.44777078,0.59032048,0.02036052,0.79503989
-5.68784392,1.90042943,0.42746107,0.00896672,0.44524009,0.60293356,0.02140997,0.85851320
-5.68184092,1.94027257,0.40020619,0.00853910,0.44403658,0.61601564,0.02249856,0.92342440
-5.67583792,1.98147159,0.37336155,0.00810516,0.44400693,0.62941109,0.02359704,0.98910049
-5.66983492,2.02347762,0.34714739,0.00767147,0.44502054,0.64295723,0.02467625,1.05484160
-5.66383192,2.06574023,0.32179271,0.00724432,0.44697049,0.65648612,0.02570792,1.11993679
-5.65782891,2.10771965,0.29752807,0.00682960,0.44977542,0.66982780,0.02666562,1.18368099
-5.65182591,2.14890274,0.27458024,0.00643273,0.45338220,0.68281498,0.02752558,1.24539260
-5.64582291,2.18882212,0.25316857,0.00605854,0.45776938,0.69528889,0.02826756,1.30443096
-5.63981991,2.22707748,0.23350337,0.00571134,0.46295124,0.70710597,0.02887561,1.36021296
-5.63381691,2.26335776,0.21578605,0.00539488,0.46898212,0.71814533,0.02933869,1.41222818
-5.62781391,2.29746310,0.20021083,0.00511244,0.47596071,0.72831626,0.02965124,1.46005186
-5.62181091,2.32932496,0.18696773,0.00486691,0.48403385,0.73756569,0.02981356,1.50335508
-5.61580790,2.35902330,0.17624629,0.00466088,0.49339943,0.74588503,0.02983204,1.54191192
-5.60980490,2.38679952,0.16823985,0.00449676,0.50430805,0.75331607,0.02971920,1.57560306
-5.60380190,2.41306405,0.16314956,0.00437686,0.51706275,0.75995559,0.02949351,1.60441593
-5.59779890,2.43839793,0.16118790,0.00430353,0.53201678,0.76595837,0.02917914,1.62844131
-5.59179590,2.46354762,0.16258110,0.00427919,0.54956881,0.77153836,0.02880538,1.64786657
-5.58579290,2.48941287,0.16757007,0.00430643,0.57015551,0.77696777,0.02840602,1.66296603
-5.57978989,2.51702749,0.17640948,0.00438798,0.59424134,0.78257401,0.02801850,1.67408861
-5.57378689,2.54753348,0.18936474,0.00452672,0.62230557,0.78873437,0.02768292,1.68164371
-5.56778389,2.58214883,0.20670661,0.00472565,0.65482660,0.79586858,0.02744104,1.68608562
-5.56178089,2.62213003,0.22870359,0.00498772,0.69226396,0.80442909,0.02733508,1.68789733
-5.55577789,2.66873030,0.25561188,0.00531579,0.73503836,0.81488963,0.02740653,1.68757436
-5.54977489,2.72315475,0.28766346,0.00571238,0.78351039,0.82773191,0.02769490,1.68560932
-5.54377189,2.78651421,0.32505240,0.00617955,0.83795859,0.84343116,0.02823649,1.68247785
-5.53776888,2.85977927,0.36792000,0.00671865,0.89855772,0.86244069,0.02906318,1.67862645
-5.53176588,2.94373632,0.41633939,0.00733009,0.96535822,0.88517619,0.03020130,1.67446266
-5.52576288,3.03894757,0.47030041,0.00801320,1.03826785,0.91200015,0.03167052,1.67034808
-5.51975988,3.14571681,0.52969540,0.00876593,1.11703655,0.94320727,0.03348298,1.66659423
-5.51375688,3.26406261,0.59430694,0.00958477,1.20124551,0.97901121,0.03564242,1.66346143
-5.50775388,3.39370066,0.66379840,0.01046459,1.29030143,1.01953359,0.03814364,1.66116064
-5.50175088,3.53403630,0.73770796,0.01139855,1.38343663,1.06479567,0.04097207,1.65985785
-5.49574787,3.68416823,0.81544700,0.01237814,1.47971577,1.11471327,0.04410362,1.65968071
-5.48974487,3.84290388,0.89630336,0.01339318,1.57804927,1.16909530,0.04750479,1.66072688
-5.48374187,4.00878605,0.97944970,0.01443203,1.67721357,1.22764612,0.05113305,1.66307323
-5.47773887,4.18013044,1.06395720,0.01548173,1.77587787,1.28997175,0.05493750,1.66678546
-5.47173587,4.35507252,1.14881441,0.01652832,1.87263660,1.35558980,0.05885988,1.67192705
-5.46573287,4.53162198,1.23295060,0.01755717,1.96604668,1.42394270,0.06283577,1.67856700
-5.45972986,4.70772250,1.31526303,0.01855336,2.05466811,1.49441355,0.06679611,1.68678553
-5.45372686,4.88131393,1.39464700,0.01950213,2.13710639,1.56634403,0.07066893,1.69667718
-5.44772386,5.05039406,1.47002736,0.02038930,2.21205494,1.63905321,0.07438122,1.70835095
-5.44172086,5.21307681,1.54039022,0.02120170,2.27833560,1.71185640,0.07786092,1.72192710
-5.43571786,5.36764397,1.60481312,0.02192761,2.33493534,1.78408303,0.08103899,1.73753074
-5.42971486,5.51258770,1.66249235,0.02255708,2.38103757,1.85509240,0.08385139,1.75528239
-5.42371186,5.64664177,1.71276592,0.02308226,2.41604627,1.92428671,0.08624094,1.77528592
-5.41770885,5.76879990,1.75513103,0.02349760,2.43960199,1.99112040,0.08815904,1.79761461
-5.41170585,5.87832036,1.78925509,0.02379998,2.45158881,2.05510565,0.08956703,1.82229617
-5.40570285,5.97471705,1.81497968,0.02398874,2.45213187,2.11581360,0.09043734,1.84929769
-5.39969985,6.05773777,1.83231743,0.02406560,2.44158586,2.17287161,0.09075414,1.87851152
-5.39369685,6.12733157,1.84144183,0.02403451,2.42051480,2.22595699,0.09051366,1.90974323
-5.38769385,6.18360735,1.84267088,0.02390136,2.38966452,2.27478779,0.08972406,1.94270246
-5.38169085,6.22678699,1.83644528,0.02367372,2.34992912,2.31911168,0.08840490,1.97699762
-5.37568784,6.25715601,1.82330280,0.02336041,2.30231318,2.35869396,0.08658621,2.01213500
-5.36968484,6.27501545,1.80385013,0.02297115,2.24789192,2.39330583,0.08430731,2.04752265
-5.36368184,6.28063819,1.77873392,0.02251607,2.18777093,2.42271422,0.08161519,2.08247922
-5.35767884,6.27423266,1.74861272,0.02200542,2.12304789,2.44667390,0.07856292,2.11624741
-5.35167584,6.25591659,1.71413129,0.02144911,2.05477761,2.46492312,0.07520776,2.14801179
-5.34567284,6.22570232,1.67589863,0.02085644,1.98394232,2.47718310,0.07160934,2.17692009
-5.33966983,6.18349473,1.63447082,0.02023587,1.91142802,2.48316178,0.06782787,2.20210722
-5.33366683,6.12910182,1.59033932,0.01959480,1.83800784,2.48256182,0.06392248,2.22272077
-5.32766383,6.06225706,1.54392506,0.01893951,1.76433263,2.47509251,0.05994975,2.23794710
-5.32166083,5.98265194,1.49557827,0.01827513,1.69092868,2.46048489,0.05596247,2.24703669
-5.31565783,5.88997650,1.44558348,0.01760568,1.61820204,2.43850919,0.05200870,2.24932769
-5.30965483,5.78396500,1.39416910,0.01693420,1.54644862,2.40899354,0.04813104,2.24426681
-5.30365183,5.66444365,1.34152043,0.01626293,1.47586891,2.37184272,0.04436633,2.23142664
-5.29764882,5.53137737,1.28779485,0.01559347,1.40658604,2.32705569,0.04074544,2.21051879
-5.29164582,5.38491254,1.23313817,0.01492703,1.33866587,2.27474072,0.03729349,2.18140256
-5.28564282,5.22541298,1.17770060,0.01426463,1.27213769,2.21512725,0.03403014,2.14408886
-5.27963982,5.05348698,1.12165137,0.01360734,1.20701427,2.14857336,0.03097009,2.09873953
-5.27363682,4.87000393,1.06519101,0.01295644,1.14331017,2.07556859,0.02812375,2.04566225
-5.26763382,4.67609926,1.00856039,0.01231360,1.08105745,1.99673164,0.02549793,1.98530146
-5.26163082,4.47316776,0.95204628,0.01168095,1.02031795,1.91280293,0.02309657,1.91822585
-5.25562781,4.26284548,0.89598297,0.01106119,0.96119205,1.82463249,0.02092145,1.84511301
-5.24962481,4.04698117,0.84075011,0.01045757,0.90382339,1.73316350,0.01897291,1.76673187
-5.24362181,3.82759885,0.78676702,0.00987389,0.84839990,1.63941233,0.01725045,1.68392373
-5.23761881,3.60685319,0.73448400,0.00931437,0.79515137,1.54444594,0.01575325,1.59758238
-5.23161581,3.38697992,0.68437108,0.00878363,0.74434381,1.44935763,0.01448059,1.50863403
-5.22561281,3.17024334,0.63690524,0.00828645,0.69627147,1.35524206,0.01343218,1.41801756
-5.21960980,2.95888311,0.59255646,0.00782765,0.65124682,1.26317066,0.01260837,1.32666566
-5.21360680,2.75506246,0.55177366,0.00741191,0.60958936,1.17416821,0.01201024,1.23548712
-5.20760380,2.56081949,0.51497110,0.00704357,0.57161381,1.08919139,0.01163957,1.14535080
-5.20160080,2.37802327,0.48251576,0.00672647,0.53761835,1.00911001,0.01149882,1.05707146
-5.19559780,2.20833589,0.45471634,0.00646373,0.50787330,0.93469144,0.01159085,0.97139764
-5.18959480,2.05318143,0.43181416,0.00625763,0.48261102,0.86658836,0.01191876,0.88900182
-5.18359180,1.91372255,0.41397626,0.00610946,0.46201704,0.80533036,0.01248553,0.81047287
-5.17758879,1.79084484,0.40129090,0.00601943,0.44622310,0.75131908,0.01329367,0.73631094
-5.17158579,1.68514919,0.39376539,0.00598659,0.43530207,0.70482708,0.01434484,0.66692465
