energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.51442281,0.01328554,0.12488132,0.08200225,1.04719032,0.57496872,0.60490229,0.00000000
-5.99399700,1.53177908,0.01306702,0.12670810,0.08511803,1.05743776,0.59186906,0.60602280,0.00000000
-5.98799400,1.54663063,0.01285800,0.12833849,0.08845332,1.06495241,0.60700944,0.60704692,0.00000000
-5.98199100,1.55861994,0.01265770,0.12974718,0.09198080,1.06945379,0.62020892,0.60788073,0.00000000
-5.97598799,1.56744685,0.01246484,0.13091488,0.09567005,1.07070817,0.63132698,0.60843474,0.00000000
-5.96998499,1.57288206,0.01227767,0.13182961,0.09948759,1.06853998,0.64026838,0.60862828,0.00000000
-5.96398199,1.57477708,0.01209403,0.13248759,0.10339698,1.06284165,0.64698609,0.60839297,0.00000000
-5.95797899,1.57307041,0.01191143,0.13289378,0.10735889,1.05358140,0.65148233,0.60767495,0.00000000
-5.95197599,1.56778956,0.01172715,0.13306201,0.11133125,1.04080893,0.65380767,0.60643603,0.00000000
-5.94597299,1.55904937,0.01153828,0.13301480,0.11526953,1.02465899,0.65405817,0.60465370,0.00000000
-5.93996998,1.54704678,0.01134190,0.13278273,0.11912706,1.00535285,0.65237108,0.60232022,0.00000000
-5.93396698,1.53205275,0.01113519,0.13240372,0.12285545,0.98319789,0.64891910,0.59944086,0.00000000
-5.92796398,1.51440214,0.01091551,0.13192197,0.12640523,0.95858560,0.64390391,0.59603178,0.00000000
-5.92196098,1.49448243,0.01068059,0.13138701,0.12972657,0.93198816,0.63754917,0.59211755,0.00000000
-5.91595798,1.47272209,0.01042861,0.13085261,0.13277021,0.90395411,0.63009362,0.58772893,0.00000000
-5.90995498,1.44957961,0.01015834,0.13037600,0.13548850,0.87510317,0.62178466,0.58290083,0.00000000
-5.90395198,1.42553386,0.00986920,0.13001709,0.13783661,0.84612055,0.61287278,0.57767104,0.00000000
-5.89794897,1.40107633,0.00956137,0.12983813,0.13977385,0.81775087,0.60360709,0.57207956,0.00000000
-5.89194597,1.37670564,0.00923583,0.12990348,0.14126504,0.79079156,0.59423229,0.56616892,0.00000000
-5.88594297,1.35292439,0.00889438,0.13027966,0.14228191,0.76608582,0.58498691,0.55998519,0.00000000
-5.87993997,1.33023823,0.00853964,0.13103564,0.14280446,0.74451481,0.57610297,0.55357991,0.00000000
-5.87393697,1.30915653,0.00817499,0.13224312,0.14282218,0.72698884,0.56780667,0.54701245,0.00000000
-5.86793397,1.29019432,0.00780452,0.13397685,0.14233513,0.71443702,0.56031989,0.54035284,0.00000000
-5.86193097,1.27387436,0.00743294,0.13631474,0.14135468,0.70779522,0.55386222,0.53368454,0.00000000
-5.85592796,1.26072864,0.00706540,0.13933772,0.13990404,0.70799174,0.54865276,0.52710698,0.00000000
-5.84992496,1.25129832,0.00670742,0.14312907,0.13801834,0.71593038,0.54491156,0.52073746,0.00000000
-5.84392196,1.24613116,0.00636465,0.14777321,0.13574431,0.73247091,0.54286001,0.51471205,0.00000000
-5.83791896,1.24577588,0.00604275,0.15335389,0.13313956,0.75840658,0.54271995,0.50918540,0.00000000
-5.83191596,1.25077271,0.00574719,0.15995158,0.13027145,0.79443919,0.54471108,0.50432895,0.00000000
-5.82591296,1.26164018,0.00548306,0.16764025,0.12721546,0.84115193,0.54904657,0.50032780,0.00000000
-5.81990995,1.27885793,0.00525493,0.17648342,0.12405336,0.89898075,0.55592684,0.49737593,0.00000000
-5.81390695,1.30284633,0.00506665,0.18652986,0.12087091,0.96818540,0.56553167,0.49566998,0.00000000
-5.80790395,1.33394342,0.00492128,0.19780885,0.11775555,1.04882108,0.57801088,0.49540196,0.00000000
-5.80190095,1.37238041,0.00482091,0.21032543,0.11479377,1.14071251,0.59347408,0.49675091,0.00000000
