energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,7.31712074,-7.31712139,0.05111017,-0.05111017,0.66306397,-0.66306404,1.85952530,-1.85952550,1.92058195,-1.92058200,0.10588642,-0.10588644,2.81251244,-2.81251269,0.33591373,-0.33591375,0.70885536,-0.70885544
-5.99399700,7.33323281,-7.33323349,0.05127180,-0.05127180,0.67342287,-0.67342294,1.87238635,-1.87238656,1.91548484,-1.91548489,0.10781177,-0.10781179,2.80839839,-2.80839866,0.33825602,-0.33825604,0.71460932,-0.71460940
-5.98799400,7.33285712,-7.33285780,0.05132398,-0.05132398,0.68185113,-0.68185119,1.88157017,-1.88157039,1.90530924,-1.90530929,0.10939177,-0.10939178,2.79838993,-2.79839020,0.34022718,-0.34022720,0.71879062,-0.71879070
-5.98199100,7.31677726,-7.31677795,0.05125845,-0.05125845,0.68825104,-0.68825110,1.88728300,-1.88728322,1.89046953,-1.89046958,0.11060222,-0.11060223,2.78300752,-2.78300781,0.34184395,-0.34184397,0.72139746,-0.72139754
-5.97598799,7.28589809,-7.28589876,0.05106813,-0.05106813,0.69255185,-0.69255191,1.88975849,-1.88975871,1.87141551,-1.87141555,0.11142563,-0.11142564,2.76280263,-2.76280292,0.34311654,-0.34311656,0.72243996,-0.72244003
-5.96998499,7.24122449,-7.24122514,0.05074744,-0.05074743,0.69471298,-0.69471303,1.88925112,-1.88925133,1.84862029,-1.84862033,0.11185197,-0.11185198,2.73834272,-2.73834300,0.34404751,-0.34404753,0.72194030,-0.72194037
-5.96398199,7.18384270,-7.18384332,0.05029255,-0.05029255,0.69472664,-0.69472669,1.88603016,-1.88603036,1.82256957,-1.82256961,0.11187930,-0.11187930,2.71019822,-2.71019850,0.34463127,-0.34463129,0.71993269,-0.71993275
-5.95797899,7.11490447,-7.11490505,0.04970170,-0.04970170,0.69261987,-0.69261991,1.88037454,-1.88037474,1.79375295,-1.79375298,0.11151415,-0.11151416,2.67893169,-2.67893196,0.34485414,-0.34485416,0.71646343,-0.71646349
-5.95197599,7.03561427,-7.03561480,0.04897533,-0.04897533,0.68845567,-0.68845571,1.87256847,-1.87256864,1.76265740,-1.76265742,0.11077165,-0.11077166,2.64508956,-2.64508981,0.34469496,-0.34469498,0.71159075,-0.71159080
-5.94597299,6.94721954,-6.94722002,0.04811623,-0.04811623,0.68233336,-0.68233339,1.86289801,-1.86289817,1.72976314,-1.72976316,0.10967529,-0.10967529,2.60919643,-2.60919666,0.34412637,-0.34412638,0.70538458,-0.70538462
-5.93996998,6.85100344,-6.85100386,0.04712960,-0.04712960,0.67438778,-0.67438781,1.85164859,-1.85164873,1.69554190,-1.69554191,0.10825650,-0.10825650,2.57175194,-2.57175215,0.34311638,-0.34311640,0.69792612,-0.69792616
-5.93396698,6.74827976,-6.74828012,0.04602302,-0.04602302,0.66478769,-0.66478772,1.83910311,-1.83910323,1.66045724,-1.66045725,0.10655394,-0.10655395,2.53322987,-2.53323006,0.34163057,-0.34163058,0.68930721,-0.68930724
-5.92796398,6.64038912,-6.64038942,0.04480635,-0.04480635,0.65373304,-0.65373307,1.82554075,-1.82554085,1.62496677,-1.62496677,0.10461248,-0.10461249,2.49407911,-2.49407927,0.33963441,-0.33963442,0.67962942,-0.67962944
-5.92196098,6.52869576,-6.52869600,0.04349155,-0.04349155,0.64145135,-0.64145138,1.81123607,-1.81123615,1.58952557,-1.58952556,0.10248201,-0.10248201,2.45472600,-2.45472613,0.33709581,-0.33709582,0.66900293,-0.66900295
-5.91595798,6.41458393,-6.41458411,0.04209240,-0.04209240,0.62819325,-0.62819327,1.79645828,-1.79645834,1.55459051,-1.55459050,0.10021604,-0.10021604,2.41557750,-2.41557759,0.33398772,-0.33398773,0.65754519,-0.65754520
-5.90995498,6.29945326,-6.29945338,0.04062421,-0.04062420,0.61422725,-0.61422727,1.78147043,-1.78147046,1.52062460,-1.52062458,0.09787025,-0.09787025,2.37702454,-2.37702461,0.33029057,-0.33029058,0.64537929,-0.64537929
-5.90395198,6.18471205,-6.18471211,0.03910340,-0.03910340,0.59983401,-0.59983403,1.76652827,-1.76652828,1.48810086,-1.48810084,0.09550087,-0.09550087,2.33944506,-2.33944511,0.32599446,-0.32599446,0.63263217,-0.63263217
-5.89794897,6.07176814,-6.07176815,0.03754713,-0.03754713,0.58530014,-0.58530016,1.75187877,-1.75187876,1.45750518,-1.45750515,0.09316308,-0.09316308,2.30320611,-2.30320613,0.32110101,-0.32110101,0.61943265,-0.61943265
-5.89194597,5.96201671,-5.96201668,0.03597284,-0.03597284,0.57091186,-0.57091188,1.73775798,-1.73775796,1.42933733,-1.42933731,0.09090951,-0.09090951,2.26866464,-2.26866463,0.31562474,-0.31562475,0.60590932,-0.60590931
-5.88594297,5.85682486,-5.85682479,0.03439783,-0.03439782,0.55694859,-0.55694862,1.72438839,-1.72438835,1.40411007,-1.40411004,0.08878872,-0.08878872,2.23616666,-2.23616663,0.30959388,-0.30959389,0.59218834,-0.59218832
-5.87993997,5.75751301,-5.75751291,0.03283880,-0.03283879,0.54367677,-0.54367680,1.71197565,-1.71197559,1.38234557,-1.38234555,0.08684393,-0.08684393,2.20604460,-2.20604454,0.30305057,-0.30305057,0.57839127,-0.57839125
-5.87393697,5.66533325,-5.66533312,0.03131150,-0.03131150,0.53134398,-0.53134401,1.70070486,-1.70070479,1.36456942,-1.36456940,0.08511184,-0.08511184,2.17861273,-2.17861266,0.29605047,-0.29605047,0.56463291,-0.56463289
-5.86793397,5.58144530,-5.58144514,0.02983037,-0.02983037,0.52017362,-0.52017365,1.69073648,-1.69073639,1.35130179,-1.35130177,0.08362173,-0.08362174,2.15416096,-2.15416086,0.28866180,-0.28866179,0.55101928,-0.55101925
-5.86193097,5.50689075,-5.50689058,0.02840821,-0.02840821,0.51036025,-0.51036029,1.68220211,-1.68220201,1.34304621,-1.34304620,0.08239476,-0.08239476,2.13294706,-2.13294696,0.28096371,-0.28096371,0.53764570,-0.53764567
-5.85592796,5.44256654,-5.44256636,0.02705598,-0.02705598,0.50206564,-0.50206568,1.67520040,-1.67520029,1.34027605,-1.34027604,0.08144350,-0.08144351,2.11518797,-2.11518786,0.27304433,-0.27304432,0.52459522,-0.52459520
