energy_ev,total_up,Cu_p_up,Cu_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.49144331,0.96471643,0.88814667,0.51500869,0.03018936,0.60874241,0.08489269,2.62085618
-5.99399700,6.48922862,0.97030662,0.88939867,0.53451566,0.03025545,0.60655454,0.08504988,2.62393081
-5.98799400,6.46811394,0.97189130,0.88858871,0.55151996,0.03022042,0.60336824,0.08516418,2.61784604
-5.98199100,6.42878942,0.96946331,0.88580590,0.56573669,0.03008783,0.59929607,0.08524692,2.60278843
-5.97598799,6.37199817,0.96306325,0.88113201,0.57692378,0.02986252,0.59443103,0.08530374,2.57901456
-5.96998499,6.29852671,0.95277933,0.87464065,0.58488905,0.02955055,0.58884535,0.08533448,2.54684775
-5.96398199,6.20920108,0.93874652,0.86639788,0.58949588,0.02915915,0.58259081,0.08533346,2.50667491
-5.95797899,6.10488785,0.92114470,0.85646402,0.59066721,0.02869666,0.57570053,0.08529001,2.45894355
-5.95197599,5.98649902,0.90019595,0.84489634,0.58838778,0.02817235,0.56819199,0.08518934,2.40415859
-5.94597299,5.85499935,0.87616092,0.83175259,0.58270453,0.02759635,0.56007092,0.08501363,2.34287882
-5.93996998,5.71141457,0.84933442,0.81709472,0.57372501,0.02697936,0.55133588,0.08474317,2.27571273
-5.93396698,5.55683887,0.82004020,0.80099264,0.56161406,0.02633256,0.54198297,0.08435773,2.20331344
-5.92796398,5.39244017,0.78862509,0.78352762,0.54658881,0.02566724,0.53201049,0.08383785,2.12637259
-5.92196098,5.21946184,0.75545265,0.76479503,0.52891216,0.02499465,0.52142309,0.08316604,2.04561313
-5.91595798,5.03921994,0.72089649,0.74490615,0.50888520,0.02432562,0.51023526,0.08232792,1.96178085
-5.90995498,4.85309537,0.68533338,0.72398888,0.48683863,0.02367036,0.49847377,0.08131307,1.87563484
-5.90395198,4.66252080,0.64913651,0.70218734,0.46312378,0.02303813,0.48617907,0.08011576,1.78793711
-5.89794897,4.46896261,0.61266887,0.67966025,0.43810337,0.02243700,0.47340558,0.07873528,1.69944144
-5.89194597,4.27389870,0.57627718,0.65657825,0.41214241,0.02187362,0.46022085,0.07717614,1.61088203
-5.88594297,4.07879328,0.54028638,0.63312034,0.38559966,0.02135304,0.44670373,0.07544787,1.52296223
-5.87993997,3.88506984,0.50499497,0.60946968,0.35881970,0.02087858,0.43294181,0.07356474,1.43634387
-5.87393697,3.69408426,0.47067127,0.58580903,0.33212607,0.02045177,0.41902827,0.07154513,1.35163769
-5.86793397,3.50709941,0.43755076,0.56231618,0.30581551,0.02007234,0.40505843,0.06941085,1.26939524
-5.86193097,3.32526312,0.40583450,0.53915964,0.28015343,0.01973834,0.39112639,0.06718634,1.19010273
-5.85592796,3.14959086,0.37568880,0.51649493,0.25537075,0.01944629,0.37732187,0.06489784,1.11417718
-5.84992496,2.98095441,0.34724598,0.49446182,0.23166199,0.01919139,0.36372759,0.06257258,1.04196503
-5.84392196,2.82007734,0.32060626,0.47318247,0.20918470,0.01896788,0.35041733,0.06023802,0.97374339
-5.83791896,2.66753769,0.29584067,0.45276087,0.18806000,0.01876938,0.33745493,0.05792129,0.90972393
-5.83191596,2.52377791,0.27299483,0.43328346,0.16837415,0.01858931,0.32489403,0.05564864,0.85005921
-5.82591296,2.38912143,0.25209344,0.41482088,0.15018109,0.01842133,0.31277883,0.05344518,0.79485119
-5.81990995,2.26379501,0.23314529,0.39743083,0.13350558,0.01825980,0.30114562,0.05133470,0.74416155
-5.81390695,2.14795549,0.21614857,0.38116173,0.11834691,0.01810020,0.29002497,0.04933968,0.69802325
-5.80790395,2.04171941,0.20109618,0.36605694,0.10468298,0.01793955,0.27944439,0.04748143,0.65645278
-5.80190095,1.94519359,0.18798096,0.35215927,0.09247447,0.01777677,0.26943132,0.04578031,0.61946247
-5.79589795,1.85850475,0.17680038,0.33951547,0.08166907,0.01761293,0.26001604,0.04425603,0.58707219
-5.78989495,1.78182643,0.16756067,0.32818032,0.07220552,0.01745143,0.25123445,0.04292794,0.55931978
-5.78389195,1.71540129,0.16028009,0.31822002,0.06401744,0.01729812,0.24313034,0.04181533,0.53626965
-5.77788894,1.65955740,0.15499120,0.30971475,0.05703679,0.01716122,0.23575704,0.04093763,0.51801901
-5.77188594,1.61471728,0.15174199,0.30275998,0.05119685,0.01705118,0.22917828,0.04031449,0.50470146
-5.76588294,1.58139895,0.15059586,0.29746660,0.04643487,0.01698043,0.22346814,0.03996577,0.49648741
-5.75987994,1.56020859,0.15163033,0.29395962,0.04269407,0.01696298,0.21871003,0.03991133,0.49358151
-5.75387694,1.55182504,0.15493462,0.29237565,0.03992537,0.01701394,0.21499484,0.04017069,0.49621696
-5.74787394,1.55697652,0.16060613,0.29285902,0.03808849,0.01714898,0.21241811,0.04076248,0.50464694
-5.74187094,1.57641080,0.16874602,0.29555695,0.03715275,0.01738368,0.21107655,0.04170383,0.51913352
-5.73586793,1.61086000,0.17945396,0.30061381,0.03709749,0.01773291,0.21106399,0.04300954,0.53993455
-5.72986493,1.66100192,0.19282256,0.30816479,0.03791215,0.01821017,0.21246690,0.04469127,0.56728922
-5.72386193,1.72741972,0.20893150,0.31832936,0.03959613,0.01882691,0.21535987,0.04675657,0.60140290
-5.71785893,1.81056209,0.22784175,0.33120482,0.04215844,0.01959199,0.21980112,0.04920806,0.64243204
-5.71185593,1.91070613,0.24959030,0.34686026,0.04561718,0.02051113,0.22582839,0.05204256,0.69047014
-5.70585293,2.02792489,0.27418554,0.36533127,0.04999892,0.02158653,0.23345539,0.05525043,0.74553530
-5.69984992,2.16206158,0.30160367,0.38661580,0.05533791,0.02281659,0.24266906,0.05881496,0.80756024
-5.69384692,2.31271211,0.33178635,0.41067125,0.06167529,0.02419577,0.25342776,0.06271212,0.87638546
-5.68784392,2.47921707,0.36463979,0.43741319,0.06905810,0.02571462,0.26566055,0.06691044,0.95175585
-5.68184092,2.66066410,0.40003524,0.46671568,0.07753822,0.02735997,0.27926773,0.07137123,1.03332130
-5.67583792,2.85590084,0.43781117,0.49841329,0.08717113,0.02911523,0.29412246,0.07604908,1.12064109
-5.66983492,3.06355816,0.47777675,0.53230485,0.09801449,0.03096097,0.31007373,0.08089264,1.21319230
-5.66383192,3.28208281,0.51971672,0.56815866,0.11012649,0.03287546,0.32695026,0.08584567,1.31038153
-5.65782891,3.50977799,0.56339715,0.60571895,0.12356391,0.03483545,0.34456550,0.09084832,1.41155964
-5.65182591,3.74484994,0.60857199,0.64471343,0.13837996,0.03681696,0.36272329,0.09583865,1.51603850
-5.64582291,3.98545819,0.65498986,0.68486135,0.15462170,0.03879615,0.38122406,0.10075423,1.62310905
-5.63981991,4.22976673,0.70240065,0.72588175,0.17232735,0.04075015,0.39987125,0.10553381,1.73205939
-5.63381691,4.47599349,0.75056164,0.76750150,0.19152319,0.04265787,0.41847760,0.11011903,1.84219208
-5.62781391,4.72245516,0.79924253,0.80946252,0.21222040,0.04450076,0.43687116,0.11445598,1.95283943
-5.62181091,4.96760500,0.84822920,0.85152795,0.23441179,0.04626342,0.45490048,0.11849662,2.06337589
-5.61580790,5.21006140,0.89732578,0.89348678,0.25806857,0.04793407,0.47243884,0.12220004,2.17322689
-5.60980490,5.44862558,0.94635505,0.93515672,0.28313737,0.04950486,0.48938742,0.12553333,2.28187348
-5.60380190,5.68228754,0.99515688,0.97638516,0.30953765,0.05097202,0.50567690,0.12847219,2.38885253
-5.59779890,5.91022002,1.04358502,1.01704815,0.33715956,0.05233574,0.52126779,0.13100121,2.49375271
-5.59179590,6.13176113,1.09150238,1.05704743,0.36586273,0.05359999,0.53614914,0.13311374,2.59620644
-5.58579290,6.34638697,1.13877511,1.09630589,0.39547578,0.05477203,0.55033598,0.13481148,2.69587860
-5.57978989,6.55367631,1.18526595,1.13476153,0.42579699,0.05586191,0.56386542,0.13610371,2.79245287
-5.57378689,6.75326991,1.23082739,1.17236064,0.45659601,0.05688173,0.57679177,0.13700633,2.88561695
-5.56778389,6.94482755,1.27529518,1.20905038,0.48761684,0.05784494,0.58918088,0.13754063,2.97504761
-5.56178089,7.12798579,1.31848266,1.24477155,0.51858184,0.05876552,0.60110412,0.13773202,3.06039720
-5.55577789,7.30231968,1.36017654,1.27945187,0.54919693,0.05965721,0.61263222,0.13760862,3.14128248
-5.54977489,7.46731122,1.40013443,1.31300040,0.57915765,0.06053277,0.62382941,0.13719991,3.21727705
-5.54377189,7.62232692,1.43808451,1.34530340,0.60815595,0.06140335,0.63474810,0.13653553,3.28790799
-5.53776888,7.76660616,1.47372751,1.37622197,0.63588748,0.06227796,0.64542452,0.13564411,3.35265737
-5.53176588,7.89926137,1.50674094,1.40559170,0.66205897,0.06316307,0.65587525,0.13455240,3.41096869
-5.52576288,8.01929013,1.53678557,1.43322428,0.68639560,0.06406235,0.66609511,0.13328457,3.46225815
-5.51975988,8.12559845,1.56351378,1.45891107,0.70864774,0.06497662,0.67605621,0.13186178,3.50593016
-5.51375688,8.21703387,1.58657950,1.48242833,0.72859709,0.06590388,0.68570833,0.13030196,3.54139631
-5.50775388,8.29242620,1.60564916,1.50354383,0.74606161,0.06683948,0.69498035,0.12861986,3.56809674
-5.50175088,8.35063344,1.62041310,1.52202440,0.76089933,0.06777646,0.70378280,0.12682723,3.58552267
-5.49574787,8.39058993,1.63059702,1.53764396,0.77301068,0.06870591,0.71201110,0.12493322,3.59323878
-5.48974487,8.41135386,1.63597270,1.55019154,0.78233937,0.06961738,0.71954950,0.12294488,3.59090413
-5.48374187,8.41215142,1.63636771,1.55947887,0.78887176,0.07049938,0.72627527,0.12086764,3.57829050
-5.47773887,8.39241505,1.63167351,1.56534702,0.79263489,0.07133980,0.73206308,0.11870595,3.55529700
-5.47173587,8.35181399,1.62185182,1.56767198,0.79369316,0.07212635,0.73678929,0.11646374,3.52196032
-5.46573287,8.29027562,1.60693893,1.56636868,0.79214415,0.07284690,0.74033598,0.11414493,3.47846006
-5.45972986,8.20799710,1.58704800,1.56139356,0.78811354,0.07348986,0.74259468,0.11175381,3.42511895
