energy_ev,total_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.32803528,0.52832925,1.07140498,0.02424527,1.22141740,0.13094916,0.00029080
-5.99399700,2.31446950,0.52656829,1.06700960,0.02432876,1.21474605,0.12973483,0.00029122
-5.98799400,2.29360293,0.52264103,1.05941622,0.02434005,1.20371434,0.12797482,0.00029121
-5.98199100,2.26523161,0.51654587,1.04853380,0.02427252,1.18826262,0.12566204,0.00029071
-5.97598799,2.22936413,0.50833329,1.03436166,0.02412173,1.16845299,0.12280605,0.00028966
-5.96998499,2.18621823,0.49810393,1.01698861,0.02388544,1.14446614,0.11943226,0.00028801
-5.96398199,2.13620940,0.48600475,0.99658872,0.02356350,1.11659364,0.11558050,0.00028572
-5.95797899,2.07993225,0.47222376,0.97341386,0.02315772,1.08522642,0.11130316,0.00028278
-5.95197599,2.01813584,0.45698339,0.94778367,0.02267166,1.05083983,0.10666288,0.00027918
-5.94597299,1.95169455,0.44053282,0.92007342,0.02211038,1.01397630,0.10173011,0.00027491
-5.93996998,1.88157576,0.42313984,0.89070055,0.02148017,0.97522638,0.09658047,0.00026999
-5.93396698,1.80880627,0.40508237,0.86011046,0.02078825,0.93520891,0.09129212,0.00026444
-5.92796398,1.73443869,0.38664015,0.82876222,0.02004251,0.89455145,0.08594330,0.00025828
-5.92196098,1.65951933,0.36808690,0.79711481,0.01925120,0.85387144,0.08060998,0.00025154
-5.91595798,1.58505874,0.34968315,0.76561433,0.01842277,0.81375896,0.07536394,0.00024426
-5.90995498,1.51200572,0.33167016,0.73468263,0.01756560,0.77476154,0.07027109,0.00023650
-5.90395198,1.44122560,0.31426480,0.70470749,0.01668789,0.73737130,0.06539023,0.00022829
-5.89794897,1.37348293,0.29765581,0.67603475,0.01579754,0.70201488,0.06077224,0.00021969
-5.89194597,1.30942899,0.28200118,0.64896219,0.01490206,0.66904603,0.05645963,0.00021076
-5.88594297,1.24959384,0.26742684,0.62373536,0.01400852,0.63874093,0.05248654,0.00020157
-5.87993997,1.19438278,0.25402652,0.60054522,0.01312359,0.61129623,0.04887904,0.00019218
-5.87393697,1.14407694,0.24186265,0.57952744,0.01225351,0.58682949,0.04565580,0.00018266
-5.86793397,1.09883746,0.23096833,0.56076331,0.01140415,0.56538186,0.04282901,0.00017309
-5.86193097,1.05871304,0.22134997,0.54428211,0.01058104,0.54692280,0.04040555,0.00016354
-5.85592796,1.02365023,0.21299087,0.53006483,0.00978943,0.53135657,0.03838828,0.00015412
-5.84992496,0.99350625,0.20585513,0.51804909,0.00903435,0.51853024,0.03677746,0.00014489
-5.84392196,0.96806374,0.19989218,0.50813513,0.00832063,0.50824291,0.03557231,0.00013595
-5.83791896,0.94704727,0.19504152,0.50019284,0.00765299,0.50025605,0.03477245,0.00012740
-5.83191596,0.93014092,0.19123760,0.49406958,0.00703603,0.49430449,0.03437941,0.00011932
-5.82591296,0.91700682,0.18841477,0.48959860,0.00647431,0.49010802,0.03439798,0.00011182
-5.81990995,0.90730381,0.18651200,0.48660804,0.00597231,0.48738310,0.03483747,0.00010498
-5.81390695,0.90070600,0.18547737,0.48492998,0.00553450,0.48585451,0.03571266,0.00009890
-5.80790395,0.89692038,0.18527203,0.48440942,0.00516529,0.48526648,0.03704465,0.00009368
-5.80190095,0.89570296,0.18587353,0.48491283,0.00486905,0.48539305,0.03886125,0.00008940
-5.79589795,0.89687267,0.18727831,0.48633583,0.00465006,0.48604716,0.04119710,0.00008617
-5.78989495,0.90032239,0.18950324,0.48860964,0.00451247,0.48708826,0.04409329,0.00008406
-5.78389195,0.90602638,0.19258600,0.49170594,0.00446024,0.48842784,0.04759664,0.00008317
-5.77788894,0.91404362,0.19658427,0.49563984,0.00449704,0.49003290,0.05175837,0.00008358
-5.77188594,0.92451653,0.20157361,0.50047055,0.00462617,0.49192685,0.05663237,0.00008537
-5.76588294,0.93766495,0.20764403,0.50629975,0.00485039,0.49418789,0.06227297,0.00008860
-5.75987994,0.95377518,0.21489535,0.51326739,0.00517183,0.49694466,0.06873225,0.00009335
-5.75387694,0.97318439,0.22343139,0.52154513,0.00559175,0.50036946,0.07605702,0.00009964
-5.74787394,0.99626091,0.23335328,0.53132750,0.00611043,0.50466913,0.08428551,0.00010753
-5.74187094,1.02338105,0.24475211,0.54282113,0.00672695,0.51007388,0.09344388,0.00011703
-5.73586793,1.05490358,0.25770127,0.55623255,0.00743900,0.51682471,0.10354285,0.00012813
-5.72986493,1.09114288,0.27224885,0.57175501,0.00824275,0.52515982,0.11457440,0.00014080
-5.72386193,1.13234237,0.28841051,0.58955510,0.00913266,0.53530072,0.12650893,0.00015499
-5.71785893,1.17864952,0.30616340,0.60975981,0.01010144,0.54743876,0.13929300,0.00017062
-5.71185593,1.23009392,0.32544124,0.63244474,0.01113989,0.56172268,0.15284783,0.00018757
-5.70585293,1.28656993,0.34613140,0.65762421,0.01223702,0.57824790,0.16706875,0.00020571
-5.69984992,1.34782506,0.36807384,0.68524389,0.01338000,0.59704826,0.18182581,0.00022485
-5.69384692,1.41345526,0.39106259,0.71517652,0.01455441,0.61809054,0.19696546,0.00024480
-5.68784392,1.48290761,0.41484957,0.74722114,0.01574434,0.64127230,0.21231369,0.00026534
-5.68184092,1.55549108,0.43915104,0.78110598,0.01693278,0.66642323,0.22768016,0.00028623
-5.67583792,1.63039503,0.46365635,0.81649524,0.01810189,0.69331008,0.24286371,0.00030720
-5.66983492,1.70671527,0.48803888,0.85299944,0.01923348,0.72164508,0.25765873,0.00032801
-5.66383192,1.78348655,0.51196877,0.89018916,0.02030938,0.75109746,0.27186233,0.00034838
-5.65782891,1.85972036,0.53512687,0.92761149,0.02131203,0.78130780,0.28528208,0.00036808
-5.65182591,1.93444640,0.55721936,0.96480866,0.02222486,0.81190430,0.29774385,0.00038689
-5.64582291,2.00675573,0.57799233,1.00133778,0.02303285,0.84252048,0.30909949,0.00040461
-5.63981991,2.07584359,0.59724570,1.03679096,0.02372292,0.87281323,0.31923394,0.00042109
-5.63381691,2.14104970,0.61484559,1.07081462,0.02428438,0.90248042,0.32807143,0.00043623
-5.62781391,2.20189390,0.63073459,1.10312708,0.02470917,0.93127706,0.33558035,0.00044999
-5.62181091,2.25810502,0.64493929,1.13353338,0.02499217,0.95902907,0.34177658,0.00046236
-5.61580790,2.30964134,0.65757449,1.16193649,0.02513134,0.98564396,0.34672506,0.00047344
-5.60980490,2.35670120,0.66884381,1.18834418,0.02512769,1.01111760,0.35053926,0.00048334
-5.60380190,2.39972267,0.67903645,1.21287095,0.02498531,1.03553651,0.35337883,0.00049228
-5.59779890,2.43937200,0.68852003,1.23573481,0.02471115,1.05907557,0.35544508,0.00050051
-5.59179590,2.47652068,0.69772968,1.25724876,0.02431481,1.08199076,0.35697472,0.00050831
-5.58579290,2.51221195,0.70715374,1.27780718,0.02380815,1.10460730,0.35823195,0.00051604
-5.57978989,2.54761772,0.71731643,1.29786772,0.02320498,1.12730349,0.35949915,0.00052406
-5.57378689,2.58398762,0.72875822,1.31792920,0.02252055,1.15049086,0.36106666,0.00053274
-5.56778389,2.62259230,0.74201454,1.33850663,0.02177111,1.17459150,0.36322195,0.00054247
-5.56178089,2.66466320,0.75759378,1.36010433,0.02097339,1.20001362,0.36623863,0.00055361
-5.55577789,2.71133152,0.77595522,1.38318848,0.02014420,1.22712639,0.37036580,0.00056648
-5.54977489,2.76356898,0.79748800,1.40816024,0.01929989,1.25623529,0.37581803,0.00058136
-5.54377189,2.82213314,0.82249177,1.43533085,0.01845597,1.28755926,0.38276647,0.00059849
-5.53776888,2.88751967,0.85115987,1.46489986,0.01762675,1.32121069,0.39133138,0.00061800
-5.53176588,2.95992375,0.88356577,1.49693756,0.01682499,1.35717942,0.40157631,0.00063998
-5.52576288,3.03921262,0.91965322,1.53137252,0.01606168,1.39532156,0.41350418,0.00066439
-5.51975988,3.12491042,0.95923063,1.56798493,0.01534584,1.43535387,0.42705538,0.00069112
-5.51375688,3.21619640,1.00196990,1.60640607,0.01468439,1.47685404,0.44210787,0.00071996
-5.50775388,3.31191658,1.04740986,1.64612421,0.01408215,1.51926714,0.45847934,0.00075060
-5.50175088,3.41060875,1.09496420,1.68649654,0.01354175,1.56191795,0.47593131,0.00078267
-5.49574787,3.51053989,1.14393379,1.72676689,0.01306382,1.60402896,0.49417495,0.00081567
-5.48974487,3.60975472,1.19352294,1.76608853,0.01264702,1.64474321,0.51287855,0.00084908
-5.48374187,3.70613360,1.24285919,1.80355108,0.01228826,1.68315113,0.53167620,0.00088230
-5.47773887,3.79745756,1.29101598,1.83821049,0.01198290,1.71832044,0.55017766,0.00091471
-5.47173587,3.88147818,1.33703748,1.86912101,0.01172497,1.74932765,0.56797879,0.00094565
-5.46573287,3.95598955,1.37996487,1.89536768,0.01150748,1.77529008,0.58467256,0.00097448
-5.45972986,4.01889974,1.41886311,1.91609828,0.01132266,1.79539711,0.59986007,0.00100056
-5.45372686,4.06829922,1.45284750,1.93055334,0.01116228,1.80893923,0.61316134,0.00102331
-5.44772386,4.10252353,1.48110894,1.93809328,0.01101793,1.81533391,0.62422568,0.00104218
-5.44172086,4.12020826,1.50293737,1.93822137,0.01088131,1.81414725,0.63274108,0.00105672
-5.43571786,4.12033412,1.51774223,1.93060205,0.01074447,1.80511047,0.63844263,0.00106654
