energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,9.95538432,2.68515742,6.13696960,0.03160396,0.79261107,0.06322301,1.96304649,1.36613808,0.46978293
-5.99399700,9.86412107,2.68209076,6.05471749,0.03175913,0.77861471,0.06274714,1.96512884,1.37140649,0.46997640
-5.98799400,9.76207346,2.67281412,5.96786005,0.03188865,0.76295680,0.06224868,1.96485635,1.37493407,0.46987534
-5.98199100,9.65015897,2.65728562,5.87724746,0.03199121,0.74577994,0.06173258,1.96223104,1.37669675,0.46950056
-5.97598799,9.52948513,2.63557677,5.78380619,0.03206562,0.72724974,0.06120378,1.95730556,1.37669518,0.46887901
-5.96998499,9.40131540,2.60787078,5.68851229,0.03211076,0.70755180,0.06066706,1.95017770,1.37495087,0.46804170
-5.96398199,9.26702965,2.57445694,5.59236320,0.03212556,0.68688789,0.06012699,1.94098314,1.37150185,0.46702138
-5.95797899,9.12808069,2.53572141,5.49634904,0.03210895,0.66547152,0.05958771,1.92988683,1.36639783,0.46585000
-5.95197599,8.98594897,2.49213485,5.40142459,0.03205989,0.64352306,0.05905289,1.91707358,1.35969537,0.46455625
-5.94597299,8.84209748,2.44423745,5.30848326,0.03197732,0.62126454,0.05852559,1.90273826,1.35145325,0.46316324
-5.93996998,8.69792887,2.39262215,5.21833402,0.03186022,0.59891440,0.05800820,1.88707631,1.34172843,0.46168653
-5.93396698,8.55474680,2.33791691,5.13168224,0.03170759,0.57668235,0.05750238,1.87027496,1.33057271,0.46013254
-5.92796398,8.41372330,2.28076676,5.04911526,0.03151854,0.55476458,0.05700902,1.85250580,1.31803052,0.45849766
-5.92196098,8.27587344,2.22181657,4.97109319,0.03129233,0.53333959,0.05652829,1.83391895,1.30413776,0.45676786
-5.91595798,8.14203841,2.16169525,4.89794509,0.03102840,0.51256471,0.05605960,1.81463921,1.28892196,0.45491914
-5.90995498,8.01287739,2.10100203,4.82987057,0.03072649,0.49257352,0.05560178,1.79476428,1.27240354,0.45291852
-5.90395198,7.88886825,2.04029518,4.76694644,0.03038670,0.47347431,0.05515311,1.77436512,1.25459832,0.45072572
-5.89794897,7.77031638,1.98008368,4.70913778,0.03000952,0.45534947,0.05471149,1.75348832,1.23552088,0.44829545
-5.89194597,7.65737077,1.92082172,4.65631256,0.02959597,0.43825593,0.05427457,1.73216008,1.21518862,0.44557999
-5.88594297,7.55004569,1.86290596,4.60825887,0.02914760,0.42222650,0.05383996,1.71039167,1.19362627,0.44253213
-5.87993997,7.44824627,1.80667544,4.56470349,0.02866656,0.40727195,0.05340539,1.68818565,1.17087042,0.43910820
-5.87393697,7.35179598,1.75241351,4.52533070,0.02815563,0.39338381,0.05296881,1.66554250,1.14697378,0.43527096
-5.86793397,7.26046394,1.70035138,4.48980018,0.02761823,0.38053745,0.05252862,1.64246701,1.12200880,0.43099232
-5.86193097,7.17399020,1.65067270,4.45776284,0.02705841,0.36869548,0.05208370,1.61897407,1.09607038,0.42625549
-5.85592796,7.09210726,1.60351856,4.42887398,0.02648082,0.35781102,0.05163353,1.59509314,1.06927742,0.42105674
