energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.82555238,0.01595341,0.90929746,1.80606064,3.99453768,0.05000894,2.12593274,1.00837552,0.69316270
-5.99399700,8.02448581,0.01634840,0.93466976,1.85370627,4.10556206,0.05134776,2.15916845,1.02064430,0.72236420
-5.98799400,8.23145617,0.01676065,0.96003067,1.90407623,4.21862644,0.05277458,2.19693402,1.03546662,0.75269081
-5.98199100,8.44260942,0.01717816,0.98491885,1.95616206,4.33180462,0.05426208,2.23827765,1.05240508,0.78372445
-5.97598799,8.65383749,0.01758847,1.00886289,2.00891904,4.44305339,0.05578150,2.28214380,1.07096188,0.81501121
-5.96998499,8.86090605,0.01797904,1.03139676,2.06129852,4.55027705,0.05730346,2.32740529,1.09059344,0.84607386
-5.96398199,9.05958801,0.01833771,1.05207525,2.11227963,4.65139515,0.05879867,2.37289789,1.11072683,0.87642577
-5.95797899,9.24579735,0.01865305,1.07048866,2.16089912,4.74441044,0.06023873,2.41745587,1.13077748,0.90558572
-5.95197599,9.41571802,0.01891476,1.08627622,2.20627812,4.82747448,0.06159686,2.45994729,1.15016744,0.93309302
-5.94597299,9.56592249,0.01911398,1.09913758,2.24764497,4.89894799,0.06284850,2.49930750,1.16834339,0.95852224
-5.93996998,9.69347546,0.01924359,1.10884203,2.28435331,4.95745355,0.06397192,2.53456973,1.18479378,0.98149691
-5.93396698,9.79601855,0.01929842,1.11523504,2.31589494,5.00191855,0.06494868,2.56489165,1.19906438,1.00170153
-5.92796398,9.87183305,0.01927538,1.11824187,2.34190711,5.03160663,0.06576396,2.58957687,1.21077155,1.01889145
-5.92196098,9.91987850,0.01917353,1.11786831,2.36217432,5.04613675,0.06640685,2.60809090,1.21961292,1.03289995
-5.91595798,9.93980646,0.01899408,1.11419848,2.37662473,5.04548909,0.06687040,2.62007105,1.22537493,1.04364242
-5.90995498,9.93194950,0.01874031,1.10739004,2.38532178,5.02999824,0.06715163,2.62533018,1.22793721,1.05111722
-5.90395198,9.89728708,0.01841741,1.09766703,2.38845153,5.00033408,0.06725143,2.62385455,1.22727356,1.05540341
-5.89794897,9.83739061,0.01803229,1.08531091,2.38630670,4.95747195,0.06717430,2.61579600,1.22344984,1.05665530
-5.89194597,9.75435104,0.01759333,1.07065013,2.37926820,4.90265358,0.06692803,2.60145932,1.21661882,1.05509425
-5.88594297,9.65069306,0.01711005,1.05404895,2.36778525,4.83734111,0.06652338,2.58128537,1.20701250,1.05099805
-5.87993997,9.52928011,0.01659285,1.03589595,2.35235504,4.76316625,0.06597354,2.55583111,1.19493228,1.04468854
-5.87393697,9.39321487,0.01605266,1.01659280,2.33350286,4.68187725,0.06529374,2.52574733,1.18073755,1.03651796
-5.86793397,9.24573955,0.01550065,0.99654365,2.31176364,4.59528578,0.06450074,2.49175526,1.16483313,1.02685480
-5.86193097,9.09014007,0.01494789,0.97614572,2.28766555,4.50521599,0.06361233,2.45462287,1.14765629,1.01606981
-5.85592796,8.92965744,0.01440512,0.95578108,2.26171611,4.41345746,0.06264688,2.41514174,1.12966357,1.00452272
-5.84992496,8.76740917,0.01388249,0.93581000,2.23439135,4.32172357,0.06162290,2.37410537,1.11131810,0.99255040
-5.84392196,8.60632246,0.01338934,0.91656578,2.20612792,4.23161612,0.06055862,2.33228921,1.09307751,0.98045670
-5.83791896,8.44908010,0.01293408,0.89835100,2.17731825,4.14459680,0.05947166,2.29043318,1.07538283,0.96850452
-5.83191596,8.29807920,0.01252404,0.88143504,2.14830837,4.06196544,0.05837872,2.24922648,1.05864850,0.95691013
-5.82591296,8.15540203,0.01216538,0.86605261,2.11939803,3.98484473,0.05729529,2.20929520,1.04325347,0.94583992
-5.81990995,8.02279770,0.01186309,0.85240299,2.09084249,3.91417063,0.05623542,2.17119227,1.02953349,0.93540946
-5.81390695,7.90167286,0.01162090,0.84064964,2.06285558,3.85068762,0.05521160,2.13538992,1.01777457,0.92568462
-5.80790395,7.79308964,0.01144136,0.83091999,2.03561309,3.79494773,0.05423454,2.10227424,1.00820732,0.91668456
-5.80190095,7.69776871,0.01132581,0.82330511,2.00925620,3.74731220,0.05331310,2.07214167,1.00100243,0.90838617
-5.79589795,7.61609585,0.01127444,0.81785904,1.98389427,3.70795512,0.05245421,2.04519719,0.99626694,0.90072958
-5.78989495,7.54813062,0.01128632,0.81459785,1.95960665,3.67686809,0.05166277,2.02155402,0.99404145,0.89362435
-5.78389195,7.49361629,0.01135945,0.81349829,1.93644339,3.65386562,0.05094170,2.00123473,0.99429833,0.88695591
-5.77788894,7.45199062,0.01149081,0.81449629,1.91442466,3.63859112,0.05029185,1.98417358,0.99694090,0.88059204
-5.77188594,7.42239788,0.01167640,0.81748542,1.89353913,3.63052357,0.04971213,1.97022030,1.00180382,0.87438891
-5.76588294,7.40370267,0.01191128,0.82231570,1.87374163,3.62898541,0.04919949,1.95914513,1.00865483,0.86819674
-5.75987994,7.39450671,0.01218963,0.82879300,1.85495041,3.63315216,0.04874910,1.95064537,1.01719796,0.86186469
-5.75387694,7.39316990,0.01250482,0.83667936,1.83704472,3.64206460,0.04835449,1.94435344,1.02707844,0.85524508
-5.74787394,7.39783686,0.01284947,0.84569467,1.81986307,3.65464403,0.04800771,1.93984653,1.03788938,0.84819700
-5.74187094,7.40647017,0.01321553,0.85551987,1.80320297,3.66971143,0.04769964,1.93665781,1.04918032,0.84058909
-5.73586793,7.41689096,0.01359442,0.86580187,1.78682244,3.68601074,0.04742025,1.93428918,1.06046751,0.83230198
-5.72986493,7.42682710,0.01397713,0.87616028,1.77044381,3.70223633,0.04715892,1.93222524,1.07124591,0.82323008
-5.72386193,7.43396864,0.01435439,0.88619589,1.75375995,3.71706449,0.04690484,1.92994833,1.08100257,0.81328318
-5.71785893,7.43602913,0.01471685,0.89550069,1.73644300,3.72918812,0.04664734,1.92695406,1.08923101,0.80238767
-5.71185593,7.43081142,0.01505530,0.90366916,1.71815534,3.73735366,0.04637627,1.92276703,1.09544622,0.79048766
-5.70585293,7.41627510,0.01536084,0.91031035,1.69856253,3.74039890,0.04608241,1.91695583,1.09919971,0.77754588
-5.69984992,7.39060311,0.01562520,0.91506019,1.67734752,3.73728994,0.04575774,1.90914710,1.10009394,0.76354443
-5.69384692,7.35226410,0.01584088,0.91759359,1.65422549,3.72715568,0.04539574,1.89903760,1.09779561,0.74848539
-5.68784392,7.30006751,0.01600147,0.91763561,1.62895858,3.70931799,0.04499161,1.88640408,1.09204726,0.73239110
-5.68184092,7.23320833,0.01610178,0.91497115,1.60136944,3.68331586,0.04454242,1.87111013,1.08267644,0.71530423
-5.67583792,7.15129886,0.01613814,0.90945265,1.57135309,3.64892220,0.04404709,1.85310990,1.06960232,0.69728739
