energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.97165182,0.06647320,0.02347765,1.42373032,0.55030353,0.60088310,0.10352895,0.01310044,1.24567025
-5.99399700,2.04262902,0.06560173,0.02397082,1.47485225,0.56966485,0.62768423,0.10770244,0.01389032,1.29386832
-5.98799400,2.12039346,0.06464691,0.02458454,1.53115814,0.59048510,0.65582572,0.11239785,0.01474801,1.34665206
-5.98199100,2.20478201,0.06364196,0.02531713,1.59259516,0.61269822,0.68523087,0.11761377,0.01567402,1.40390077
-5.97598799,2.29544679,0.06261794,0.02616409,1.65898158,0.63618766,0.71578378,0.12333532,0.01666767,1.46537479
-5.96998499,2.39184781,0.06160254,0.02711803,1.73000012,0.66078456,0.74732681,0.12953371,0.01772696,1.53071127
-5.96398199,2.49325176,0.06061903,0.02816874,1.80519546,0.68626778,0.77965954,0.13616626,0.01884852,1.59942387
-5.95797899,2.59873791,0.05968551,0.02930327,1.88397647,0.71236617,0.81253952,0.14317690,0.02002759,1.67090690
-5.95197599,2.70721184,0.05881430,0.03050617,1.96562400,0.73876314,0.84568491,0.15049717,0.02125802,1.74444440
-5.94597299,2.81742711,0.05801177,0.03175971,2.04930431,0.76510354,0.87877933,0.15804786,0.02253235,1.81922432
-5.93996998,2.92801501,0.05727836,0.03304431,2.13408831,0.79100275,0.91147879,0.16574105,0.02384205,1.89435776
-5.93396698,3.03752153,0.05660895,0.03433892,2.21897631,0.81605771,0.94342062,0.17348271,0.02517768,1.96890286
-5.92796398,3.14445064,0.05599347,0.03562156,2.30292752,0.83985952,0.97423417,0.18117558,0.02652919,2.04189271
-5.92196098,3.24731222,0.05541777,0.03686988,2.38489338,0.86200711,1.00355281,0.18872246,0.02788633,2.11236618
-5.91595798,3.34467269,0.05486467,0.03806177,2.46385328,0.88212139,1.03102676,0.19602951,0.02923894,2.17940048
-5.90995498,3.43520599,0.05431506,0.03917596,2.53885099,0.89985921,1.05633602,0.20300963,0.03057744,2.24214398
-5.90395198,3.51774255,0.05374919,0.04019264,2.60903011,0.91492639,1.07920289,0.20958562,0.03189318,2.29984754
-5.89794897,3.59131337,0.05314783,0.04109404,2.67366646,0.92708927,1.09940318,0.21569299,0.03317885,2.35189280
-5.89194597,3.65518714,0.05249341,0.04186493,2.73219571,0.93618406,1.11677555,0.22128235,0.03442879,2.39781575
-5.88594297,3.70889779,0.05177105,0.04249305,2.78423432,0.94212343,1.13122830,0.22632105,0.03563925,2.43732418
-5.87993997,3.75226105,0.05096933,0.04296942,2.82959259,0.94490005,1.14274315,0.23079416,0.03680859,2.47030780
-5.87393697,3.78537847,0.05008090,0.04328857,2.86827862,0.94458679,1.15137566,0.23470461,0.03793734,2.49684024
-5.86793397,3.80862859,0.04910285,0.04344858,2.90049267,0.94133340,1.15725215,0.23807246,0.03902811,2.51717258
-5.86193097,3.82264515,0.04803675,0.04345106,2.92661190,0.93536003,1.16056306,0.24093337,0.04008549,2.53171844
-5.85592796,3.82828346,0.04688853,0.04330090,2.94716608,0.92694760,1.16155323,0.24333626,0.04111571,2.54103127
-5.84992496,3.82657630,0.04566804,0.04300599,2.96280531,0.91642575,1.16050926,0.24534033,0.04212631,2.54577486
-5.84392196,3.81868163,0.04438846,0.04257682,2.97426139,0.90415875,1.15774481,0.24701163,0.04312561,2.54668855
-5.83791896,3.80582480,0.04306551,0.04202595,2.98230486,0.89053016,1.15358448,0.24841917,0.04412223,2.54454885
-5.83191596,3.78923824,0.04171660,0.04136749,2.98769999,0.87592710,1.14834716,0.24963107,0.04512448,2.54012969
-5.82591296,3.77010188,0.04035984,0.04061650,2.99116029,0.86072466,1.14232979,0.25071070,0.04613981,2.53416314
-5.81990995,3.74948732,0.03901314,0.03978841,2.99330690,0.84527153,1.13579231,0.25171316,0.04717425,2.52730291
-5.81390695,3.72830880,0.03769324,0.03889848,2.99463233,0.82987720,1.12894478,0.25268220,0.04823193,2.52009257
-5.80790395,3.70728339,0.03641496,0.03796131,2.99547151,0.81480156,1.12193720,0.25364791,0.04931468,2.51293997
-5.80190095,3.68690225,0.03519047,0.03699039,2.99598178,0.80024717,1.11485279,0.25462510,0.05042175,2.50609937
-5.79589795,3.66741447,0.03402883,0.03599777,2.99613295,0.78635459,1.10770483,0.25561253,0.05154959,2.49966194
-5.78989495,3.64882374,0.03293561,0.03499383,2.99570785,0.77320072,1.10043741,0.25659305,0.05269189,2.49355513
-5.78389195,3.63089782,0.03191280,0.03398713,2.99431338,0.76080029,1.09292988,0.25753462,0.05383960,2.48755056
-5.77788894,3.61318983,0.03095888,0.03298436,2.99140115,0.74911001,1.08500478,0.25839202,0.05498122,2.48127983
-5.77188594,3.59506965,0.03006903,0.03199039,2.98629665,0.73803524,1.07643876,0.25910928,0.05610307,2.47425724
-5.76588294,3.57576354,0.02923555,0.03100840,2.97823498,0.72743862,1.06697573,0.25962257,0.05718975,2.46590778
-5.75987994,3.55439933,0.02844841,0.03004007,2.96640119,0.71714999,1.05634171,0.25986342,0.05822461,2.45559884
-5.75387694,3.53005455,0.02769587,0.02908580,2.94997293,0.70697728,1.04426029,0.25976206,0.05919027,2.44267365
