energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.10379144,0.93140435,0.00620180,1.03025747,0.93781536,1.27173695,0.00000000
-5.99399700,3.14409631,0.93215738,0.00613363,1.05571727,0.95638824,1.30205527,0.00000000
-5.98799400,3.18641524,0.93190883,0.00606804,1.08075026,0.97740572,1.33461100,0.00000000
-5.98199100,3.23133860,0.93093017,0.00600766,1.10550056,1.00101108,1.36946740,0.00000000
-5.97598799,3.27951502,0.92951857,0.00595503,1.13013280,1.02737814,1.40668248,0.00000000
-5.96998499,3.33161414,0.92798439,0.00591258,1.15481983,1.05669883,1.44629652,0.00000000
-5.96398199,3.38828719,0.92663788,0.00588253,1.17973015,1.08916936,1.48831984,0.00000000
-5.95797899,3.45012747,0.92577562,0.00586685,1.20501566,1.12497551,1.53272179,0.00000000
-5.95197599,3.51763267,0.92566741,0.00586723,1.23080053,1.16427805,1.57942148,0.00000000
-5.94597299,3.59117100,0.92654420,0.00588496,1.25717176,1.20719872,1.62828097,0.00000000
-5.93996998,3.67095282,0.92858777,0.00592094,1.28417206,1.25380755,1.67910126,0.00000000
-5.93396698,3.75700921,0.93192272,0.00597561,1.31179538,1.30411204,1.73162134,0.00000000
-5.92796398,3.84917843,0.93661107,0.00604896,1.33998531,1.35804866,1.78552041,0.00000000
-5.92196098,3.94710092,0.94264993,0.00614052,1.36863647,1.41547705,1.84042298,0.00000000
-5.91595798,4.05022301,0.94997224,0.00624933,1.39759856,1.47617708,1.89590664,0.00000000
-5.90995498,4.15780913,0.95845066,0.00637401,1.42668296,1.53984899,1.95151202,0.00000000
-5.90395198,4.26896168,0.96790426,0.00651275,1.45567131,1.60611648,2.00675433,0.00000000
-5.89794897,4.38264797,0.97810779,0.00666342,1.48432557,1.67453283,2.06113603,0.00000000
-5.89194597,4.49773274,0.98880306,0.00682358,1.51239905,1.74458976,2.11415981,0.00000000
-5.88594297,4.61301518,0.99971171,0.00699061,1.53964772,1.81572895,2.16534166,0.00000000
-5.87993997,4.72726895,1.01054889,0.00716173,1.56584140,1.88735570,2.21422330,0.00000000
-5.87393697,4.83928386,1.02103719,0.00733418,1.59077431,1.95885478,2.26038386,0.00000000
-5.86793397,4.94790790,1.03092006,0.00750527,1.61427462,2.02960767,2.30345053,0.00000000
-5.86193097,5.05208830,1.03997428,0.00767246,1.63621276,2.09901111,2.34310800,0.00000000
-5.85592796,5.15091045,1.04802086,0.00783351,1.65650841,2.16649624,2.37910684,0.00000000
-5.84992496,5.24363358,1.05493393,0.00798655,1.67513598,2.23154783,2.41127070,0.00000000
-5.84392196,5.32972209,1.06064736,0.00813014,1.69212867,2.29372305,2.43950247,0.00000000
-5.83791896,5.40887147,1.06515875,0.00826335,1.70758102,2.35266888,2.46378936,0.00000000
-5.83191596,5.48102789,1.06853080,0.00838582,1.72165015,2.40813762,2.48420683,0.00000000
-5.82591296,5.54640036,1.07088988,0.00849778,1.73455544,2.45999951,2.50092126,0.00000000
-5.81990995,5.60546456,1.07242194,0.00860002,1.74657677,2.50825176,2.51419109,0.00000000
-5.81390695,5.65895749,1.07336593,0.00869392,1.75805111,2.55302320,2.52436603,0.00000000
-5.80790395,5.70786218,1.07400480,0.00878138,1.76936730,2.59457388,2.53188405,0.00000000
-5.80190095,5.75338209,1.07465448,0.00886473,1.78095895,2.63328913,2.53726552,0.00000000
-5.79589795,5.79690490,1.07565115,0.00894664,1.79329502,2.66966768,2.54110428,0.00000000
-5.78989495,5.83995616,1.07733710,0.00903002,1.80686825,2.70430399,2.54405523,0.00000000
-5.78389195,5.88414337,1.08004584,0.00911785,1.82218107,2.73786485,2.54681818,0.00000000
-5.77788894,5.93109196,1.08408665,0.00921308,1.83972931,2.77106093,2.55011821,0.00000000
