energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,6.82792159,0.01951412,1.34855062,3.71267817,3.50303747,1.71592333,0.00000000,0.84491818,0.31124937
-5.99399700,6.73415040,0.01914251,1.32173632,3.63672020,3.45017632,1.70139091,0.00000000,0.84524019,0.31137956
-5.98799400,6.64074795,0.01880287,1.29379479,3.56363616,3.39573745,1.68878413,0.00000000,0.84604179,0.31185404
-5.98199100,6.54854881,0.01849675,1.26492941,3.49420476,3.34018193,1.67831159,0.00000000,0.84736881,0.31268732
-5.97598799,6.45831138,0.01822552,1.23534531,3.42907209,3.28396789,1.67013325,0.00000000,0.84924346,0.31388918
-5.96998499,6.37070994,0.01799035,1.20524740,3.36874411,3.22754504,1.66435789,0.00000000,0.85166505,0.31546429
-5.96398199,6.28632857,0.01779217,1.17483834,3.31358327,3.17134891,1.66104187,0.00000000,0.85461128,0.31741194
-5.95797899,6.20565632,0.01763163,1.14431653,3.26380892,3.11579485,1.66018873,0.00000000,0.85804004,0.31972577
-5.95197599,6.12908324,0.01750906,1.11387394,3.21950089,3.06127159,1.66174970,0.00000000,0.86189152,0.32239355
-5.94597299,6.05689691,0.01742434,1.08369380,3.18060589,3.00813452,1.66562482,0.00000000,0.86609044,0.32539701
-5.93996998,5.98927979,0.01737691,1.05394827,3.14694637,2.95669915,1.67166471,0.00000000,0.87054834,0.32871174
-5.93396698,5.92630737,0.01736564,1.02479598,3.11823147,2.90723474,1.67967305,0.00000000,0.87516577,0.33230715
-5.92796398,5.86794783,0.01738880,0.99637980,3.09406995,2.85995897,1.68940968,0.00000000,0.87983450,0.33614660
-5.92196098,5.81406383,0.01744401,0.96882484,3.07398498,2.81503389,1.70059465,0.00000000,0.88443955,0.34018769
-5.91595798,5.76441718,0.01752821,0.94223690,3.05743067,2.77256382,1.71291326,0.00000000,0.88886135,0.34438278
-5.90995498,5.71867730,0.01763772,0.91670153,3.04381031,2.73259559,1.72602232,0.00000000,0.89297790,0.34867989
-5.90395198,5.67643379,0.01776821,0.89228384,3.03249627,2.69512156,1.73955780,0.00000000,0.89666719,0.35302386
-5.89794897,5.63721385,0.01791487,0.86902913,3.02285122,2.66008558,1.75314395,0.00000000,0.89980990,0.35735789
-5.89194597,5.60050438,0.01807246,0.84696449,3.01425055,2.62739183,1.76640377,0.00000000,0.90229247,0.36162551
-5.88594297,5.56577841,0.01823552,0.82610113,3.00610532,2.59691641,1.77897088,0.00000000,0.90401062,0.36577279
-5.87993997,5.53252527,0.01839851,0.80643766,2.99788531,2.56852113,1.79050237,0.00000000,0.90487326,0.36975093
-5.87393697,5.50028303,0.01855606,0.78796380,2.98914112,2.54206891,1.80069230,0.00000000,0.90480675,0.37351896
-5.86793397,5.46867188,0.01870317,0.77066469,2.97952470,2.51743973,1.80928520,0.00000000,0.90375937,0.37704652
-5.86193097,5.43742631,0.01883546,0.75452518,2.96880706,2.49454645,1.81608902,0.00000000,0.90170575,0.38031653
-5.85592796,5.40642431,0.01894937,0.73953411,2.95689232,2.47334909,1.82098679,0.00000000,0.89865105,0.38332763
-5.84992496,5.37571124,0.01904237,0.72568808,2.94382704,2.45386678,1.82394609,0.00000000,0.89463462,0.38609615
-5.84392196,5.34551665,0.01911312,0.71299462,2.92980411,2.43618635,1.82502585,0.00000000,0.88973271,0.38865754
-5.83791896,5.31626227,0.01916163,0.70147432,2.91516052,2.42046669,1.82437971,0.00000000,0.88406007,0.39106701
-5.83191596,5.28856006,0.01918925,0.69116199,2.90036874,2.40693847,1.82225540,0.00000000,0.87777003,0.39339934
-5.82591296,5.26319948,0.01919880,0.68210647,2.88602170,2.39589887,1.81899004,0.00000000,0.87105296,0.39574780
-5.81990995,5.24112421,0.01919440,0.67436933,2.87281173,2.38770140,1.81500110,0.00000000,0.86413295,0.39822208
-5.81390695,5.22339871,0.01918147,0.66802230,2.86150413,2.38274110,1.81077335,0.00000000,0.85726257,0.40094534
-5.80790395,5.21116604,0.01916649,0.66314366,2.85290645,2.38143590,1.80684204,0.00000000,0.85071599,0.40405040
-5.80190095,5.20559867,0.01915680,0.65981376,2.84783476,2.38420498,1.80377314,0.00000000,0.84478048,0.40767519
-5.79589795,5.20784480,0.01916036,0.65810996,2.84707841,2.39144524,1.80214145,0.00000000,0.83974670,0.41195779
-5.78989495,5.21897261,0.01918543,0.65810117,2.85136493,2.40350726,1.80250737,0.00000000,0.83589812,0.41703098
