energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.98024025,0.00523364,0.66083944,0.16566965,0.63521099,0.00000000,0.80603305,0.59440034
-5.99399700,1.84536264,0.00492691,0.61116096,0.16482039,0.59841888,0.00000000,0.75543910,0.54948825
-5.98799400,1.71351838,0.00460735,0.56305823,0.16414926,0.56191739,0.00000000,0.70544626,0.50608936
-5.98199100,1.58630638,0.00427973,0.51713033,0.16366956,0.52613361,0.00000000,0.65676253,0.46472285
-5.97598799,1.46511930,0.00394870,0.47389042,0.16338029,0.49144929,0.00000000,0.61002042,0.42583382
-5.96998499,1.35112267,0.00361867,0.43376006,0.16326504,0.45819273,0.00000000,0.56576535,0.38978845
-5.96398199,1.24524261,0.00329372,0.39706676,0.16329167,0.42663289,0.00000000,0.52444778,0.35687177
-5.95797899,1.14816182,0.00297752,0.36404421,0.16341302,0.39697621,0.00000000,0.48641888,0.32728781
-5.95197599,1.06032332,0.00267326,0.33483522,0.16356836,0.36936586,0.00000000,0.45192964,0.30116184
-5.94597299,0.98194085,0.00238362,0.30949661,0.16368581,0.34388333,0.00000000,0.42113317,0.27854436
-5.93996998,0.91301502,0.00211073,0.28800581,0.16368536,0.32055222,0.00000000,0.39408956,0.25941646
-5.93396698,0.85335386,0.00185618,0.27026865,0.16348245,0.29934373,0.00000000,0.37077310,0.24369620
-5.92796398,0.80259661,0.00162105,0.25612791,0.16299203,0.28018359,0.00000000,0.35108111,0.23124562
-5.92196098,0.76023958,0.00140593,0.24537226,0.16213260,0.26296002,0.00000000,0.33484407,0.22187819
-5.91595798,0.72566283,0.00121094,0.23774524,0.16083041,0.24753221,0.00000000,0.32183638,0.21536623
-5.90995498,0.69815683,0.00103584,0.23295414,0.15902322,0.23373903,0.00000000,0.31178756,0.21144840
-5.90395198,0.67694833,0.00088004,0.23067845,0.15666383,0.22140746,0.00000000,0.30439329,0.20983685
-5.89794897,0.66122472,0.00074269,0.23057791,0.15372289,0.21036068,0.00000000,0.29932625,0.21022416
-5.89194597,0.65015656,0.00062272,0.23230004,0.15019111,0.20042518,0.00000000,0.29624635,0.21228989
-5.88594297,0.64291807,0.00051893,0.23548725,0.14608065,0.19143714,0.00000000,0.29481043,0.21570689
-5.87993997,0.63870541,0.00043004,0.23978346,0.14142580,0.18324769,0.00000000,0.29468116,0.22014733
-5.87393697,0.63675283,0.00035472,0.24484031,0.13628281,0.17572700,0.00000000,0.29553525,0.22528838
