energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,15.69671310,0.53892992,4.00409423,0.08864458,0.11747516,0.07411699,1.00098503,0.49407001,9.23919781
-5.99399700,15.60942331,0.56469149,4.14846047,0.08955220,0.12080005,0.07400276,1.02540002,0.50874127,8.98037572
-5.98799400,15.54452911,0.59280568,4.29934211,0.09040106,0.12397525,0.07386277,1.05185924,0.52337957,8.73464107
-5.98199100,15.50133265,0.62335933,4.45635505,0.09118671,0.12696281,0.07369804,1.08035092,0.53783367,8.50170993
-5.97598799,15.47890840,0.65641304,4.61911418,0.09190644,0.12972440,0.07350778,1.11083243,0.55194326,8.28113036
-5.96998499,15.47620331,0.69199853,4.78726988,0.09255941,0.13222240,0.07328981,1.14323524,0.56554310,8.07233418
-5.96398199,15.49213807,0.73011682,4.96054327,0.09314670,0.13442098,0.07304112,1.17747083,0.57846770,7.87468942
-5.95797899,15.52570252,0.77073742,5.13875735,0.09367122,0.13628733,0.07275850,1.21343705,0.59055645,7.68755013
-5.95197599,15.57603878,0.81379841,5.32186151,0.09413756,0.13779277,0.07243914,1.25102455,0.60165899,7.51030077
-5.94597299,15.64250654,0.85920741,5.50994691,0.09455178,0.13891392,0.07208127,1.29012263,0.61164065,7.34239275
-5.93996998,15.72472606,0.90684338,5.70325060,0.09492115,0.13963361,0.07168475,1.33062417,0.62038762,7.18337169
-5.93396698,15.82259580,0.95655923,5.90214716,0.09525391,0.13994171,0.07125148,1.37242916,0.62781173,7.03289439
-5.92796398,15.93628325,1.00818489,6.10712673,0.09555909,0.13983579,0.07078581,1.41544650,0.63385457,6.89073538
-5.92196098,16.06618921,1.06153089,6.31875983,0.09584629,0.13932143,0.07029467,1.45959402,0.63849078,6.75678349
-5.91595798,16.21288715,1.11639208,6.53764956,0.09612564,0.13841239,0.06978767,1.50479647,0.64173028,6.63102960
-5.90995498,16.37704099,1.17255145,6.76437311,0.09640776,0.13713051,0.06927694,1.55098164,0.64361939,6.51354686
-5.90395198,16.55930601,1.22978364,6.99941497,0.09670383,0.13550540,0.06877688,1.59807492,0.64424069,6.40446531
-5.89794897,16.76021833,1.28785814,7.24309535,0.09702563,0.13357381,0.06830371,1.64599256,0.64371165,6.30394284
-5.89194597,16.98007954,1.34654190,7.49549727,0.09738576,0.13137901,0.06787492,1.69463405,0.64218203,6.21213443
-5.88594297,17.21884301,1.40560125,7.75639683,0.09779769,0.12896984,0.06750866,1.74387437,0.63983009,6.12916153
-5.87993997,17.47600878,1.46480295,8.02520070,0.09827586,0.12639978,0.06722302,1.79355639,0.63685780,6.05508340
-5.87393697,17.75053326,1.52391443,8.30089512,0.09883574,0.12372592,0.06703532,1.84348438,0.63348523,5.98987173
-5.86793397,18.04075945,1.58270312,8.58201008,0.09949364,0.12100790,0.06696142,1.89341876,0.62994426,5.93338963
-5.86193097,18.34437206,1.64093503,8.86660192,0.10026656,0.11830688,0.06701501,1.94307297,0.62647188,5.88537585
-5.85592796,18.65838111,1.69837257,9.15225655,0.10117174,0.11568455,0.06720710,1.99211250,0.62330341,5.84543451
-5.84992496,18.97913550,1.75477188,9.43611476,0.10222609,0.11320218,0.06754551,2.04015647,0.62066571,5.81303041
-5.84392196,19.30236711,1.80987979,9.71491954,0.10344548,0.11091980,0.06803452,2.08678175,0.61877079,5.78748981
-5.83791896,19.62326405,1.86343076,9.98508483,0.10484384,0.10889537,0.06867468,2.13152955,0.61781000,5.76800611
-5.83191596,19.93657034,1.91514398,10.24278317,0.10643219,0.10718410,0.06946270,2.17391425,0.61794885,5.75364994
-5.82591296,20.23670814,1.96472102,10.48404948,0.10821755,0.10583779,0.07039159,2.21343407,0.61932286,5.74338275
-5.81990995,20.51791741,2.01184414,10.70489667,0.11020187,0.10490423,0.07145078,2.24958302,0.62203435,5.73607344
-5.81390695,20.77440737,2.05617581,10.90143845,0.11238098,0.10442665,0.07262650,2.28186373,0.62615029,5.73051699
-5.80790395,21.00051325,2.09735931,11.07001418,0.11474371,0.10444317,0.07390220,2.30980047,0.63170131,5.72545462
-5.80190095,21.19085237,2.13502098,11.20731024,0.11727109,0.10498628,0.07525900,2.33295172,0.63868181,5.71959494
-5.79589795,21.34047298,2.16877390,11.31047279,0.11993592,0.10608230,0.07667630,2.35092188,0.64705102,5.71163533
-5.78989495,21.44499050,2.19822323,11.37720689,0.12270251,0.10775087,0.07813233,2.36337156,0.65673511,5.70028364
-5.78389195,21.50070588,2.22297317,11.40585769,0.12552689,0.11000447,0.07960475,2.37002609,0.66763011,5.68427951
-5.77788894,21.50470223,2.24263519,11.39547009,0.12835728,0.11284789,0.08107125,2.37068200,0.67960543,5.66241544
-5.77188594,21.45491641,2.25683766,11.34582441,0.13113501,0.11627783,0.08251006,2.36521131,0.69250808,5.63355724
-5.76588294,21.35018387,2.26523616,11.25744644,0.13379580,0.12028250,0.08390043,2.35356358,0.70616705,5.59666381
-5.75987994,21.19025548,2.26752436,11.13159161,0.13627135,0.12484133,0.08522308,2.33576585,0.72039799,5.55080603
-5.75387694,20.97578698,2.26344499,10.97020402,0.13849121,0.12992476,0.08646048,2.31192053,0.73500782,5.49518452
-5.74787394,20.70830181,2.25280022,10.77585212,0.14038497,0.13549422,0.08759715,2.28220156,0.74979915,5.42914586
-5.74187094,20.39012969,2.23546121,10.55164378,0.14188442,0.14150219,0.08861973,2.24684895,0.76457432,5.35219698
-5.73586793,20.02432362,2.21137619,10.30112456,0.14292588,0.14789241,0.08951709,2.20616223,0.77913897,5.26401718
-5.72986493,19.61455886,2.18057663,10.02816316,0.14345244,0.15460036,0.09028020,2.16049278,0.79330497,5.16446722
-5.72386193,19.16501776,2.14318125,9.73682899,0.14341596,0.16155377,0.09090208,2.11023562,0.80689262,5.05359504
-5.71785893,18.68026479,2.09939743,9.43126667,0.14277893,0.16867340,0.09137750,2.05582070,0.81973214,4.93163753
-5.71185593,18.16511626,2.04952006,9.11557249,0.14151591,0.17587393,0.09170273,1.99770408,0.83166438,4.79901799
-5.70585293,17.62450927,1.99392754,8.79367756,0.13961453,0.18306501,0.09187522,1.93635905,0.84254085,4.65633906
-5.69984992,17.06337446,1.93307534,8.46924212,0.13707612,0.19015240,0.09189321,1.87226761,0.85222319,4.50437090
-5.69384692,16.48651666,1.86748698,8.14556472,0.13391572,0.19703931,0.09175544,1.80591220,0.86058210,4.34403488
-5.68784392,15.89850758,1.79774314,7.82550958,0.13016174,0.20362776,0.09146076,1.73776811,0.86749606,4.17638313
-5.68184092,15.30359376,1.72446904,7.51145418,0.12585500,0.20982000,0.09100787,1.66829646,0.87284998,4.00257441
-5.67583792,14.70562280,1.64832076,7.20525864,0.12104744,0.21552014,0.09039513,1.59793815,0.87653391,3.82384722
-5.66983492,14.10798972,1.56997100,6.90825726,0.11580042,0.22063560,0.08962043,1.52710859,0.87844221,3.64149105
-5.66383192,13.51360498,1.49009488,6.62127157,0.11018279,0.22507882,0.08868116,1.45619367,0.87847316,3.45681690
-5.65782891,12.92488433,1.40935627,6.34464362,0.10426867,0.22876878,0.08757433,1.38554670,0.87652940,3.27112811
-5.65182591,12.34376008,1.32839524,6.07828710,0.09813527,0.23163265,0.08629677,1.31548661,0.87251905,3.08569276
-5.64582291,11.77171222,1.24781692,5.82175334,0.09186062,0.23360733,0.08484550,1.24629737,0.86635780,2.90171850
-5.63981991,11.20981724,1.16818231,5.57430868,0.08552142,0.23464092,0.08321809,1.17822853,0.85797186,2.72033085
-5.63381691,10.65881145,1.09000097,5.33501931,0.07919114,0.23469412,0.08141320,1.11149690,0.84730155,2.54255567
-5.62781391,10.11916523,1.01372606,5.10283945,0.07293828,0.23374145,0.07943115,1.04628923,0.83430569,2.36930605
-5.62181091,9.59116414,0.93975137,4.87669889,0.06682497,0.23177233,0.07727449,0.98276565,0.81896616,2.20137413
-5.61580790,9.07499258,0.86841050,4.65558592,0.06090594,0.22879186,0.07494855,0.92106386,0.80129280,2.03942756
-5.60980490,8.57081576,0.79997790,4.43862243,0.05522781,0.22482145,0.07246200,0.86130357,0.78132798,1.88401038
