energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,1.30675360,0.00119253,0.08681209,0.05334255,1.10511250,0.52291729,0.01427964,0.54610059
-5.99399700,1.26687740,0.00115206,0.08384390,0.05339365,1.05215208,0.50924304,0.01450508,0.53060465
-5.98799400,1.22643493,0.00112047,0.08118731,0.05375358,0.99748913,0.49562803,0.01475534,0.51444551
-5.98199100,1.18587570,0.00109808,0.07882842,0.05440739,0.94149411,0.48225302,0.01503370,0.49785774
-5.97598799,1.14569013,0.00108518,0.07675604,0.05533849,0.88460118,0.46930906,0.01534301,0.48109492
-5.96998499,1.10638600,0.00108198,0.07496069,0.05652795,0.82729188,0.45698779,0.01568536,0.46441879
-5.96398199,1.06846497,0.00108861,0.07343355,0.05795386,0.77007725,0.44547208,0.01606176,0.44808873
-5.95797899,1.03240081,0.00110510,0.07216547,0.05959097,0.71347945,0.43492753,0.01647192,0.43235181
-5.95197599,0.99861993,0.00113138,0.07114601,0.06141049,0.65801387,0.42549516,0.01691407,0.41743407
-5.94597299,0.96748540,0.00116725,0.07036271,0.06338012,0.60417251,0.41728564,0.01738491,0.40353328
-5.93996998,0.93928485,0.00121241,0.06980052,0.06546444,0.55240947,0.41037521,0.01787959,0.39081343
-5.93396698,0.91422282,0.00126645,0.06944153,0.06762554,0.50312902,0.40480350,0.01839185,0.37940116
-5.92796398,0.89241755,0.00132885,0.06926489,0.06982391,0.45667680,0.40057315,0.01891416,0.36938418
-5.92196098,0.87390210,0.00139901,0.06924708,0.07201960,0.41333413,0.39765115,0.01943797,0.36081150
-5.91595798,0.85862945,0.00147623,0.06936234,0.07417358,0.37331563,0.39597182,0.01995405,0.35369547
-5.90995498,0.84648102,0.00155971,0.06958336,0.07624920,0.33676988,0.39544092,0.02045277,0.34801519
-5.90395198,0.83727781,0.00164862,0.06988210,0.07821376,0.30378281,0.39594087,0.02092448,0.34372121
