energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.21022791,-0.59007548,0.00097995,-0.00764472,0.04981370,-0.16896490,0.04797399,-0.19661251,0.06172774,-0.13722708,0.00987599,-0.02778895,0.04420578,-0.10992784
-5.99399700,0.20816702,-0.54702566,0.00082280,-0.00700208,0.04928319,-0.15614634,0.04787158,-0.18077822,0.06085200,-0.12754974,0.00953680,-0.02580089,0.04411503,-0.10244370
-5.98799400,0.20935955,-0.50511109,0.00069276,-0.00636843,0.04972162,-0.14363846,0.04916040,-0.16529607,0.06072250,-0.11813431,0.00930887,-0.02385971,0.04455731,-0.09519409
-5.98199100,0.21379768,-0.46493003,0.00058792,-0.00575147,0.05112835,-0.13161871,0.05185287,-0.15038708,0.06133396,-0.10911283,0.00918728,-0.02199168,0.04553483,-0.08828612
-5.97598799,0.22148198,-0.42700725,0.00050658,-0.00515782,0.05350437,-0.12024405,0.05596234,-0.13625002,0.06268529,-0.10059927,0.00916767,-0.02021937,0.04705165,-0.08181292
-5.96998499,0.23241912,-0.39178919,0.00044726,-0.00459301,0.05685169,-0.10964960,0.06150227,-0.12305979,0.06477926,-0.09268846,0.00924623,-0.01856134,0.04911302,-0.07585284
-5.96398199,0.24661773,-0.35964262,0.00040883,-0.00406138,0.06117231,-0.09994816,0.06848482,-0.11096688,0.06762177,-0.08545578,0.00941971,-0.01703209,0.05172443,-0.07046927
-5.95797899,0.26408282,-0.33085642,0.00039052,-0.00356618,0.06646673,-0.09123070,0.07691893,-0.10009773,0.07122075,-0.07895766,0.00968524,-0.01564216,0.05489035,-0.06571102
-5.95197599,0.28480907,-0.30564600,0.00039193,-0.00310953,0.07273225,-0.08356746,0.08680800,-0.09055598,0.07558467,-0.07323270,0.01004025,-0.01439830,0.05861284,-0.06161324
-5.94597299,0.30877360,-0.28415984,0.00041307,-0.00269256,0.07996095,-0.07700974,0.09814730,-0.08242411,0.08072105,-0.06830336,0.01048224,-0.01330384,0.06289002,-0.05819876
-5.93996998,0.33592863,-0.26648740,0.00045438,-0.00231550,0.08813778,-0.07159201,0.11092134,-0.07576565,0.08663475,-0.06417803,0.01100862,-0.01235911,0.06771463,-0.05547970
-5.93396698,0.36619463,-0.25266789,0.00051666,-0.00197778,0.09723868,-0.06733422,0.12510129,-0.07062739,0.09332643,-0.06085332,0.01161650,-0.01156189,0.07307263,-0.05345915
