energy_ev,total_up,B_p_up,B_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,0.15759176,0.00108366,0.00000000,0.04248210,0.01879041,0.10731801,0.00000000
-5.99399700,0.14182636,0.00130416,0.00000000,0.03821747,0.01731064,0.09598286,0.00000000
-5.98799400,0.12822428,0.00161465,0.00000000,0.03449640,0.01622680,0.08594275,0.00000000
-5.98199100,0.11696146,0.00203010,0.00000000,0.03136288,0.01557917,0.07729243,0.00000000
-5.97598799,0.10820954,0.00256923,0.00000000,0.02885955,0.01541320,0.07011618,0.00000000
-5.96998499,0.10214115,0.00325468,0.00000000,0.02702893,0.01578056,0.06449115,0.00000000
-5.96398199,0.09893521,0.00411314,0.00000000,0.02591449,0.01674011,0.06049070,0.00000000
-5.95797899,0.09878162,0.00517541,0.00000000,0.02556183,0.01835867,0.05818752,0.00000000
-5.95197599,0.10188503,0.00647640,0.00000000,0.02601951,0.02071151,0.05765641,0.00000000
-5.94597299,0.10846727,0.00805496,0.00000000,0.02733970,0.02388249,0.05897630,0.00000000
-5.93996998,0.11876820,0.00995355,0.00000000,0.02957844,0.02796366,0.06223159,0.00000000
-5.93396698,0.13304466,0.01221782,0.00000000,0.03279540,0.03305446,0.06751250,0.00000000
-5.92796398,0.15156729,0.01489588,0.00000000,0.03705324,0.03926020,0.07491447,0.00000000
-5.92196098,0.17461536,0.01803737,0.00000000,0.04241641,0.04669004,0.08453649,0.00000000
-5.91595798,0.20246938,0.02169237,0.00000000,0.04894942,0.05545423,0.09647848,0.00000000
-5.90995498,0.23540182,0.02591001,0.00000000,0.05671468,0.06566080,0.11083776,0.00000000
-5.90395198,0.27366613,0.03073689,0.00000000,0.06576987,0.07741167,0.12770470,0.00000000
-5.89794897,0.31748444,0.03621532,0.00000000,0.07616499,0.09079825,0.14715789,0.00000000
-5.89194597,0.36703444,0.04238143,0.00000000,0.08793922,0.10589674,0.16925886,0.00000000
-5.88594297,0.42243597,0.04926322,0.00000000,0.10111767,0.12276322,0.19404680,0.00000000
-5.87993997,0.48373816,0.05687859,0.00000000,0.11570821,0.14142881,0.22153349,0.00000000
-5.87393697,0.55090744,0.06523349,0.00000000,0.13169860,0.16189502,0.25169871,0.00000000
-5.86793397,0.62381756,0.07432023,0.00000000,0.14905402,0.18412965,0.28448644,0.00000000
-5.86193097,0.70224192,0.08411612,0.00000000,0.16771514,0.20806343,0.31980213,0.00000000
-5.85592796,0.78584897,0.09458247,0.00000000,0.18759703,0.23358764,0.35751120,0.00000000
-5.84992496,0.87420113,0.10566411,0.00000000,0.20858885,0.26055302,0.39743890,0.00000000
-5.84392196,0.96675746,0.11728940,0.00000000,0.23055449,0.28877000,0.43937168,0.00000000
-5.83791896,1.06288026,0.12937096,0.00000000,0.25333421,0.31801053,0.48305994,0.00000000
-5.83191596,1.16184554,0.14180690,0.00000000,0.27674721,0.34801141,0.52822212,0.00000000
-5.82591296,1.26285691,0.15448282,0.00000000,0.30059508,0.37847931,0.57454992,0.00000000
-5.81990995,1.36506259,0.16727437,0.00000000,0.32466604,0.40909719,0.62171441,0.00000000
-5.81390695,1.46757468,0.18005028,0.00000000,0.34873976,0.43953192,0.66937266,0.00000000
-5.80790395,1.56948993,0.19267590,0.00000000,0.37259263,0.46944307,0.71717459,0.00000000
-5.80190095,1.66991111,0.20501705,0.00000000,0.39600306,0.49849222,0.76476967,0.00000000
-5.79589795,1.76796790,0.21694390,0.00000000,0.41875685,0.52635265,0.81181310,0.00000000
-5.78989495,1.86283654,0.22833497,0.00000000,0.44065215,0.55271886,0.85797120,0.00000000
-5.78389195,1.95375723,0.23908088,0.00000000,0.46150391,0.57731549,0.90292584,0.00000000
-5.77788894,2.04004869,0.24908767,0.00000000,0.48114758,0.59990533,0.94637761,0.00000000
-5.77188594,2.12111932,0.25827972,0.00000000,0.49944196,0.62029592,0.98804797,0.00000000
-5.76588294,2.19647467,0.26660196,0.00000000,0.51627111,0.63834461,1.02768020,0.00000000
-5.75987994,2.26572119,0.27402131,0.00000000,0.53154519,0.65396155,1.06503936,0.00000000
-5.75387694,2.32856634,0.28052732,0.00000000,0.54520048,0.66711093,1.09991169,0.00000000
-5.74787394,2.38481560,0.28613199,0.00000000,0.55719840,0.67780996,1.13210347,0.00000000
-5.74187094,2.43436665,0.29086874,0.00000000,0.56752387,0.68612606,1.16143984,0.00000000
-5.73586793,2.47720152,0.29479057,0.00000000,0.57618302,0.69217220,1.18776381,0.00000000
-5.72986493,2.51337738,0.29796756,0.00000000,0.58320056,0.69610069,1.21093576,0.00000000
-5.72386193,2.54301647,0.30048374,0.00000000,0.58861690,0.69809584,1.23083360,0.00000000
-5.71785893,2.56629596,0.30243358,0.00000000,0.59248518,0.69836567,1.24735373,0.00000000
-5.71185593,2.58343810,0.30391805,0.00000000,0.59486851,0.69713323,1.26041281,0.00000000
-5.70585293,2.59470106,0.30504061,0.00000000,0.59583733,0.69462779,1.26995019,0.00000000
-5.69984992,2.60037064,0.30590318,0.00000000,0.59546716,0.69107640,1.27593090,0.00000000
-5.69384692,2.60075307,0.30660217,0.00000000,0.59383665,0.68669594,1.27834894,0.00000000
