energy_ev,total_up,Ag_p_up,Ag_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.02817856,0.60202148,1.52221414,0.00936213,0.00000000,0.03822413,0.00927272,0.38530981,0.00000000
-5.99399700,2.00736548,0.58596749,1.51945931,0.00898973,0.00000000,0.03650091,0.00890030,0.36943073,0.00000000
-5.98799400,1.99594673,0.57208794,1.52384951,0.00864185,0.00000000,0.03482771,0.00862805,0.35507545,0.00000000
-5.98199100,1.99349372,0.56028353,1.53491383,0.00832175,0.00000000,0.03321925,0.00844866,0.34229376,0.00000000
-5.97598799,1.99938302,0.55040496,1.55202938,0.00803203,0.00000000,0.03168770,0.00835361,0.33110556,0.00000000
-5.96998499,2.01281876,0.54226097,1.57444309,0.00777450,0.00000000,0.03024259,0.00833340,0.32150117,0.00000000
-5.96398199,2.03285940,0.53562728,1.60129695,0.00755018,0.00000000,0.02889084,0.00837788,0.31344243,0.00000000
-5.95797899,2.05844805,0.53025604,1.63165583,0.00735923,0.00000000,0.02763683,0.00847651,0.30686439,0.00000000
-5.95197599,2.08844532,0.52588545,1.66453679,0.00720096,0.00000000,0.02648245,0.00861863,0.30167772,0.00000000
-5.94597299,2.12166357,0.52224922,1.69893891,0.00707389,0.00000000,0.02542736,0.00879375,0.29777167,0.00000000
-5.93996998,2.15690146,0.51908559,1.73387264,0.00697580,0.00000000,0.02446915,0.00899175,0.29501755,0.00000000
-5.93396698,2.19297764,0.51614558,1.76838745,0.00690379,0.00000000,0.02360358,0.00920318,0.29327269,0.00000000
-5.92796398,2.22876252,0.51320029,1.80159715,0.00685446,0.00000000,0.02282489,0.00941937,0.29238471,0.00000000
-5.92196098,2.26320717,0.51004704,1.83270185,0.00682401,0.00000000,0.02212606,0.00963267,0.29219603,0.00000000
-5.91595798,2.29536858,0.50651431,1.86100597,0.00680836,0.00000000,0.02149912,0.00983658,0.29254854,0.00000000
-5.90995498,2.32443057,0.50246526,1.88593200,0.00680339,0.00000000,0.02093542,0.01002587,0.29328823,0.00000000
-5.90395198,2.34971992,0.49780002,1.90702960,0.00680500,0.00000000,0.02042602,0.01019663,0.29426970,0.00000000
-5.89794897,2.37071763,0.49245660,1.92398014,0.00680936,0.00000000,0.01996188,0.01034636,0.29536047,0.00000000
-5.89194597,2.38706506,0.48641070,1.93659679,0.00681297,0.00000000,0.01953422,0.01047396,0.29644483,0.00000000
-5.88594297,2.39856531,0.47967432,1.94482053,0.00681284,0.00000000,0.01913479,0.01057974,0.29742728,0.00000000
-5.87993997,2.40517994,0.47229356,1.94871265,0.00680661,0.00000000,0.01875607,0.01066533,0.29823533,0.00000000
-5.87393697,2.40702170,0.46434547,1.94844422,0.00679257,0.00000000,0.01839154,0.01073367,0.29882158,0.00000000
-5.86793397,2.40434348,0.45593437,1.94428320,0.00676977,0.00000000,0.01803582,0.01078880,0.29916502,0.00000000
-5.86193097,2.39752425,0.44718763,1.93657997,0.00673803,0.00000000,0.01768484,0.01083583,0.29927143,0.00000000
-5.85592796,2.38705243,0.43825103,1.92575176,0.00669791,0.00000000,0.01733592,0.01088070,0.29917287,0.00000000
-5.84992496,2.37350725,0.42928388,1.91226665,0.00665071,0.00000000,0.01698784,0.01093002,0.29892619,0.00000000
-5.84392196,2.35753858,0.42045401,1.89662759,0.00659838,0.00000000,0.01664077,0.01099086,0.29861058,0.00000000
-5.83791896,2.33984565,0.41193259,1.87935682,0.00654343,0.00000000,0.01629624,0.01107049,0.29832421,0.00000000
-5.83191596,2.32115511,0.40388899,1.86098094,0.00648881,0.00000000,0.01595700,0.01117618,0.29817998,0.00000000
-5.82591296,2.30219877,0.39648568,1.84201688,0.00643779,0.00000000,0.01562684,0.01131491,0.29830054,0.00000000
-5.81990995,2.28369135,0.38987319,1.82295880,0.00639377,0.00000000,0.01531034,0.01149310,0.29881271,0.00000000
-5.81390695,2.26630868,0.38418533,1.80426599,0.00636017,0.00000000,0.01501261,0.01171635,0.29984151,0.00000000
-5.80790395,2.25066662,0.37953464,1.78635195,0.00634023,0.00000000,0.01473899,0.01198920,0.30150392,0.00000000
-5.80190095,2.23730136,0.37600828,1.76957439,0.00633687,0.00000000,0.01449471,0.01231487,0.30390280,0.00000000
-5.79589795,2.22665134,0.37366439,1.75422662,0.00635255,0.00000000,0.01428459,0.01269504,0.30712107,0.00000000
-5.78989495,2.21904161,0.37252913,1.74053015,0.00638911,0.00000000,0.01411272,0.01312971,0.31121653,0.00000000
-5.78389195,2.21467115,0.37259453,1.72862887,0.00644770,0.00000000,0.01398216,0.01361704,0.31621756,0.00000000
-5.77788894,2.21360375,0.37381736,1.71858502,0.00652867,0.00000000,0.01389475,0.01415330,0.32211992,0.00000000
-5.77188594,2.21576316,0.37611896,1.71037721,0.00663154,0.00000000,0.01385086,0.01473287,0.32888493,0.00000000
-5.76588294,2.22093301,0.37938651,1.70390082,0.00675499,0.00000000,0.01384936,0.01534829,0.33643921,0.00000000
-5.75987994,2.22876196,0.38347540,1.69897104,0.00689687,0.00000000,0.01388750,0.01599047,0.34467593,0.00000000
-5.75387694,2.23877424,0.38821305,1.69532876,0.00705427,0.00000000,0.01396098,0.01664889,0.35345781,0.00000000
-5.74787394,2.25038575,0.39340402,1.69264939,0.00722364,0.00000000,0.01406410,0.01731189,0.36262166,0.00000000
-5.74187094,2.26292524,0.39883627,1.69055457,0.00740086,0.00000000,0.01418989,0.01796712,0.37198437,0.00000000
-5.73586793,2.27566013,0.40428849,1.68862663,0.00758148,0.00000000,0.01433040,0.01860190,0.38135015,0.00000000
-5.72986493,2.28782610,0.40953816,1.68642517,0.00776080,0.00000000,0.01447701,0.01920375,0.39051865,0.00000000
-5.72386193,2.29865922,0.41437009,1.68350550,0.00793417,0.00000000,0.01462079,0.01976090,0.39929365,0.00000000
-5.71785893,2.30742918,0.41858508,1.67943793,0.00809709,0.00000000,0.01475284,0.02026273,0.40749187,0.00000000
-5.71185593,2.31347230,0.42200824,1.67382703,0.00824544,0.00000000,0.01486468,0.02070032,0.41495153,0.00000000
-5.70585293,2.31622228,0.42449667,1.66633013,0.00837570,0.00000000,0.01494864,0.02106680,0.42154011,0.00000000
-5.69984992,2.31523748,0.42594601,1.65667376,0.00848502,0.00000000,0.01499813,0.02135779,0.42716104,0.00000000
-5.69384692,2.31022287,0.42629559,1.64466725,0.00857141,0.00000000,0.01500797,0.02157157,0.43175885,0.00000000
-5.68784392,2.30104565,0.42553180,1.63021274,0.00863384,0.00000000,0.01497459,0.02170929,0.43532259,0.00000000
-5.68184092,2.28774344,0.42368961,1.61331070,0.00867225,0.00000000,0.01489615,0.02177501,0.43788723,0.00000000
-5.67583792,2.27052450,0.42085197,1.59406081,0.00868759,0.00000000,0.01477266,0.02177554,0.43953312,0.00000000
-5.66983492,2.24976000,0.41714719,1.57265789,0.00868179,0.00000000,0.01460590,0.02172030,0.44038335,0.00000000
-5.66383192,2.22596854,0.41274438,1.54938312,0.00865769,0.00000000,0.01439942,0.02162093,0.44059929,0.00000000
-5.65782891,2.19979382,0.40784717,1.52459095,0.00861892,0.00000000,0.01415831,0.02149085,0.44037456,0.00000000
-5.65182591,2.17197671,0.40268598,1.49869242,0.00856981,0.00000000,0.01388904,0.02134478,0.43992760,0.00000000
-5.64582291,2.14332321,0.39750926,1.47213587,0.00851518,0.00000000,0.01359920,0.02119813,0.43949346,0.00000000
-5.63981991,2.11467003,0.39257411,1.44538605,0.00846020,0.00000000,0.01329723,0.02106636,0.43931512,0.00000000
-5.63381691,2.08684984,0.38813678,1.41890300,0.00841022,0.00000000,0.01299215,0.02096442,0.43963475,0.00000000
-5.62781391,2.06065795,0.38444347,1.39312165,0.00837057,0.00000000,0.01269326,0.02090612,0.44068546,0.00000000
-5.62181091,2.03682216,0.38172180,1.36843353,0.00834641,0.00000000,0.01240992,0.02090358,0.44268390,0.00000000
-5.61580790,2.01597736,0.38017348,1.34517147,0.00834262,0.00000000,0.01215135,0.02096684,0.44582392,0.00000000
-5.60980490,1.99864602,0.37996837,1.32359804,0.00836360,0.00000000,0.01192646,0.02110340,0.45027169,0.00000000
-5.60380190,1.98522534,0.38124007,1.30389839,0.00841325,0.00000000,0.01174372,0.02131806,0.45616229,0.00000000
-5.59779890,1.97598131,0.38408335,1.28617755,0.00849482,0.00000000,0.01161116,0.02161272,0.46359788,0.00000000
-5.59179590,1.97104966,0.38855317,1.27046235,0.00861095,0.00000000,0.01153630,0.02198643,0.47264732,0.00000000
-5.58579290,1.97044299,0.39466538,1.25670738,0.00876356,0.00000000,0.01152626,0.02243543,0.48334713,0.00000000
-5.57978989,1.97406329,0.40239881,1.24480462,0.00895392,0.00000000,0.01158777,0.02295341,0.49570351,0.00000000
-5.57378689,1.98171843,0.41169852,1.23459572,0.00918260,0.00000000,0.01172731,0.02353180,0.50969511,0.00000000
-5.56778389,1.99314133,0.42247993,1.22588616,0.00944956,0.00000000,0.01195112,0.02416011,0.52527628,0.00000000
-5.56178089,2.00801014,0.43463334,1.21846011,0.00975414,0.00000000,0.01226534,0.02482640,0.54238042,0.00000000
-5.55577789,2.02596805,0.44802877,1.21209502,0.01009509,0.00000000,0.01267600,0.02551768,0.56092306,0.00000000
-5.54977489,2.04664121,0.46252055,1.20657500,0.01047063,0.00000000,0.01318897,0.02622041,0.58080452,0.00000000
-5.54377189,2.06965367,0.47795152,1.20170212,0.01087844,0.00000000,0.01380989,0.02692089,0.60191185,0.00000000
-5.53776888,2.09463844,0.49415659,1.19730487,0.01131572,0.00000000,0.01454401,0.02760571,0.62411988,0.00000000
-5.53176588,2.12124420,0.51096557,1.19324362,0.01177916,0.00000000,0.01539592,0.02826206,0.64729155,0.00000000
-5.52576288,2.14913748,0.52820516,1.18941258,0.01226497,0.00000000,0.01636924,0.02887809,0.67127730,0.00000000
-5.51975988,2.17800059,0.54570015,1.18573858,0.01276885,0.00000000,0.01746627,0.02944310,0.69591386,0.00000000
-5.51375688,2.20752586,0.56327400,1.18217686,0.01328605,0.00000000,0.01868752,0.02994775,0.72102264,0.00000000
-5.50775388,2.23740716,0.58074884,1.17870433,0.01381132,0.00000000,0.02003129,0.03038416,0.74640788,0.00000000
-5.50175088,2.26732970,0.59794523,1.17531118,0.01433895,0.00000000,0.02149325,0.03074601,0.77185507,0.00000000
-5.49574787,2.29695950,0.61468187,1.17199140,0.01486279,0.00000000,0.02306599,0.03102848,0.79712983,0.00000000
-5.48974487,2.32593373,0.63077549,1.16873327,0.01537631,0.00000000,0.02473873,0.03122832,0.82197763,0.00000000
-5.48374187,2.35385315,0.64604125,1.16551045,0.01587265,0.00000000,0.02649710,0.03134373,0.84612465,0.00000000
-5.47773887,2.38027782,0.66029370,1.16227464,0.01634476,0.00000000,0.02832297,0.03137433,0.86927997,0.00000000
-5.47173587,2.40472681,0.67334862,1.15895036,0.01678546,0.00000000,0.03019460,0.03132109,0.89113929,0.00000000
