energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,6.15091857,0.05053013,1.08276685,2.56226227,0.00000000,1.56940362,0.44610716,3.03649999,1.68901082
-5.99399700,6.15829899,0.05234760,1.07794698,2.56912208,0.00000000,1.56648022,0.44789522,3.05124442,1.68391213
-5.98799400,6.15737694,0.05413253,1.07324027,2.57066350,0.00000000,1.55970789,0.44831779,3.06504343,1.67871355
-5.98199100,6.14804243,0.05586195,1.06848802,2.56703367,0.00000000,1.54915926,0.44743294,3.07734573,1.67334397
-5.97598799,6.13039951,0.05751288,1.06353572,2.55850574,0.00000000,1.53498803,0.44532950,3.08764744,1.66775968
-5.96998499,6.10477656,0.05906301,1.05823978,2.54547722,0.00000000,1.51742769,0.44212505,3.09551370,1.66194994
-5.96398199,6.07172843,0.06049156,1.05247325,2.52846429,0.00000000,1.49678728,0.43796316,3.10059692,1.65594067
-5.95797899,6.03203029,0.06177991,1.04613069,2.50809225,0.00000000,1.47344464,0.43300977,3.10265110,1.64979624
-5.95197599,5.98666386,0.06291235,1.03913200,2.48508241,0.00000000,1.44783740,0.42744901,3.10154194,1.64361925
-5.94597299,5.93679653,0.06387662,1.03142520,2.46023603,0.00000000,1.42045217,0.42147844,3.09725243,1.63754864
-5.93996998,5.88375437,0.06466432,1.02298821,2.43441550,0.00000000,1.39181234,0.41530407,3.08988389,1.63175605
-5.93396698,5.82898990,0.06527126,1.01382950,2.40852371,0.00000000,1.36246509,0.40913500,3.07965255,1.62644085
-5.92796398,5.77404570,0.06569753,1.00398797,2.38348177,0.00000000,1.33296789,0.40317822,3.06688174,1.62182393
-5.92196098,5.72051483,0.06594742,0.99353165,2.36020608,0.00000000,1.30387519,0.39763331,3.05199017,1.61814045
-5.91595798,5.66999928,0.06602923,0.98255573,2.33958496,0.00000000,1.27572547,0.39268753,3.03547652,1.61563188
-5.90995498,5.62406720,0.06595479,0.97117959,2.32245573,0.00000000,1.24902915,0.38851115,3.01790106,1.61453738
-5.90395198,5.58421011,0.06573895,0.95954313,2.30958253,0.00000000,1.22425749,0.38525331,2.99986472,1.61508495
-5.89794897,5.55180101,0.06539882,0.94780236,2.30163561,0.00000000,1.20183279,0.38303838,2.98198654,1.61748221
-5.89194597,5.52805425,0.06495307,0.93612438,2.29917241,0.00000000,1.18211990,0.38196302,2.96488007,1.62190736
-5.88594297,5.51398820,0.06442102,0.92468186,2.30262103,0.00000000,1.16541922,0.38209390,2.94912970,1.62850035
-5.87993997,5.51039165,0.06382183,0.91364707,2.31226641,0.00000000,1.15196110,0.38346620,2.93526778,1.63735449
-5.87393697,5.51779489,0.06317370,0.90318587,2.32823968,0.00000000,1.14190180,0.38608289,2.92375343,1.64850891
-5.86793397,5.53644631,0.06249311,0.89345147,2.35051097,0.00000000,1.13532076,0.38991481,2.91495379,1.66194202
-5.86193097,5.56629561,0.06179421,0.88457864,2.37888603,0.00000000,1.13221940,0.39490156,2.90912867,1.67756634
-5.85592796,5.60698421,0.06108830,0.87667816,2.41300679,0.00000000,1.13252123,0.40095312,2.90641924,1.69522499
-5.84992496,5.65784375,0.06038350,0.86983213,2.45235607,0.00000000,1.13607342,0.40795225,2.90684121,1.71469019
-5.84392196,5.71790309,0.05968460,0.86409008,2.49626640,0.00000000,1.14264967,0.41575750,2.91028304,1.73566388
-5.83791896,5.78590413,0.05899303,0.85946632,2.54393294,0.00000000,1.15195454,0.42420684,2.91650923,1.75778094
-5.83191596,5.86032659,0.05830706,0.85593851,2.59443028,0.00000000,1.16362914,0.43312171,2.92516869,1.78061474
-5.82591296,5.93942125,0.05762209,0.85344776,2.64673281,0.00000000,1.17725824,0.44231143,2.93580789,1.80368549
-5.81990995,6.02125126,0.05693117,0.85190014,2.69973816,0.00000000,1.19237861,0.45157788,2.94788823,1.82647082
-5.81390695,6.10374041,0.05622547,0.85116975,2.75229319,0.00000000,1.20848882,0.46072022,2.96080701,1.84841883
-5.80790395,6.18472698,0.05549499,0.85110308,2.80322184,0.00000000,1.22506000,0.46953957,2.97392091,1.86896282
-5.80190095,6.26202180,0.05472922,0.85152476,2.85135401,0.00000000,1.24154769,0.47784352,2.98657119,1.88753755
-5.79589795,6.33346827,0.05391778,0.85224418,2.89555467,0.00000000,1.25740437,0.48545037,2.99810922,1.90359630
-5.78989495,6.39700273,0.05305112,0.85306289,2.93475230,0.00000000,1.27209242,0.49219291,3.00792139,1.91662803
-5.78389195,6.45071265,0.05212110,0.85378239,2.96796576,0.00000000,1.28509722,0.49792175,3.01545221,1.92617413
-5.77788894,6.49289084,0.05112150,0.85421191,2.99432880,0.00000000,1.29593982,0.50250808,3.02022459,1.93184377
-5.77188594,6.52208352,0.05004843,0.85417599,3.01311136,0.00000000,1.30418908,0.50584580,3.02185649,1.93332748
-5.76588294,6.53713061,0.04890062,0.85352121,3.02373704,0.00000000,1.30947249,0.50785311,3.02007330,1.93040805
-5.75987994,6.53719669,0.04767963,0.85212212,3.02579623,0.00000000,1.31148566,0.50847338,3.01471536,1.92296857
-5.75387694,6.52179172,0.04638981,0.84988583,3.01905450,0.00000000,1.30999979,0.50767551,3.00574075,1.91099694
-5.74787394,6.49078076,0.04503833,0.84675524,3.00345612,0.00000000,1.30486711,0.50545368,2.99322304,1.89458686
-5.74187094,6.44438259,0.04363488,0.84271067,2.97912259,0.00000000,1.29602388,0.50182668,2.97734464,1.87393524
-5.73586793,6.38315761,0.04219147,0.83777001,2.94634650,0.00000000,1.28349098,0.49683672,2.95838606,1.84933607
-5.72986493,6.30798548,0.04072201,0.83198727,2.90558085,0.00000000,1.26737190,0.49054792,2.93671174,1.82117110
-5.72386193,6.22003399,0.03924189,0.82544967,2.85742457,0.00000000,1.24784845,0.48304444,2.91275343,1.78989789
-5.71785893,6.12072012,0.03776753,0.81827363,2.80260446,0.00000000,1.22517409,0.47442840,2.88699174,1.75603547
-5.71185593,6.01166530,0.03631588,0.81059956,2.74195459,0.00000000,1.19966540,0.46481753,2.85993696,1.72014865
-5.70585293,5.89464637,0.03490391,0.80258606,2.67639358,0.00000000,1.17169181,0.45434273,2.83210987,1.68283125
-5.69984992,5.77154421,0.03354822,0.79440350,2.60690066,0.00000000,1.14166412,0.44314536,2.80402339,1.64468928
-5.69384692,5.64429174,0.03226452,0.78622752,2.53449116,0.00000000,1.11002219,0.43137454,2.77616576,1.60632439
-5.68784392,5.51482302,0.03106731,0.77823256,2.46019223,0.00000000,1.07722220,0.41918427,2.74898569,1.56831850
-5.68184092,5.38502498,0.02996956,0.77058572,2.38501928,0.00000000,1.04372404,0.40673051,2.72288014,1.53121990
-5.67583792,5.25669310,0.02898242,0.76344127,2.30995384,0.00000000,1.00997913,0.39416821,2.69818473,1.49553129
-5.66983492,5.13149210,0.02811507,0.75693579,2.23592336,0.00000000,0.97641906,0.38164831,2.67516705,1.46170013
-5.66383192,5.01092258,0.02737458,0.75118430,2.16378326,0.00000000,0.94344551,0.36931481,2.65402289,1.43011135
-5.65782891,4.89629412,0.02676592,0.74627733,2.09430163,0.00000000,0.91142162,0.35730187,2.63487520,1.40108261
-5.65182591,4.78870531,0.02629188,0.74227903,2.02814693,0.00000000,0.88066501,0.34573113,2.61777563,1.37486195
-5.64582291,4.68903077,0.02595326,0.73922635,1.96587870,0.00000000,0.85144269,0.33470921,2.60270841,1.35162783
-5.63981991,4.59791512,0.02574890,0.73712924,1.90794146,0.00000000,0.82396784,0.32432557,2.58959614,1.33149120
-5.63381691,4.51577369,0.02567592,0.73597179,1.85466183,0.00000000,0.79839852,0.31465076,2.57830728,1.31449938
-5.62781391,4.44279949,0.02572989,0.73571417,1.80624876,0.00000000,0.77483822,0.30573513,2.56866490,1.30064149
-5.62181091,4.37897584,0.02590505,0.73629549,1.76279680,0.00000000,0.75333814,0.29760815,2.56045620,1.28985488
-5.61580790,4.32409406,0.02619458,0.73763700,1.72429211,0.00000000,0.73390096,0.29027832,2.55344276,1.28203241
-5.60980490,4.27777524,0.02659083,0.73964597,1.69062101,0.00000000,0.71648599,0.28373375,2.54737072,1.27703006
-5.60380190,4.23949534,0.02708556,0.74221969,1.66158068,0.00000000,0.70101536,0.27794334,2.54198091,1.27467447
