energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.03117847,0.00000000,0.00904860,0.00960367,0.00000000,0.01684584,0.00394060
-5.99399700,0.03486144,0.00000000,0.01011747,0.01073810,0.00000000,0.01883575,0.00440608
-5.98799400,0.03869954,0.00000000,0.01123136,0.01192032,0.00000000,0.02090947,0.00489117
-5.98199100,0.04265169,0.00000000,0.01237836,0.01313767,0.00000000,0.02304482,0.00539068
-5.97598799,0.04666991,0.00000000,0.01354454,0.01437536,0.00000000,0.02521584,0.00589853
-5.96998499,0.05069998,0.00000000,0.01471416,0.01561670,0.00000000,0.02739325,0.00640788
-5.96398199,0.05468258,0.00000000,0.01587002,0.01684340,0.00000000,0.02954498,0.00691123
-5.95797899,0.05855455,0.00000000,0.01699378,0.01803602,0.00000000,0.03163689,0.00740059
-5.95197599,0.06225052,0.00000000,0.01806649,0.01917440,0.00000000,0.03363365,0.00786770
-5.94597299,0.06570469,0.00000000,0.01906906,0.02023828,0.00000000,0.03549966,0.00830425
-5.93996998,0.06885275,0.00000000,0.01998284,0.02120783,0.00000000,0.03720014,0.00870209
-5.93396698,0.07163387,0.00000000,0.02079020,0.02206429,0.00000000,0.03870216,0.00905355
-5.92796398,0.07399269,0.00000000,0.02147510,0.02279058,0.00000000,0.03997571,0.00935160
-5.92196098,0.07588115,0.00000000,0.02202365,0.02337186,0.00000000,0.04099470,0.00959018
-5.91595798,0.07726020,0.00000000,0.02242456,0.02379606,0.00000000,0.04173787,0.00976432
-5.90995498,0.07810120,0.00000000,0.02266963,0.02405427,0.00000000,0.04218948,0.00987040
-5.90395198,0.07838698,0.00000001,0.02275397,0.02414112,0.00000000,0.04233993,0.00990622
-5.89794897,0.07811260,0.00000001,0.02267632,0.02405493,0.00000000,0.04218610,0.00987111
-5.89194597,0.07728559,0.00000001,0.02243907,0.02379785,0.00000000,0.04173144,0.00976599
-5.88594297,0.07592588,0.00000001,0.02204831,0.02337578,0.00000000,0.04098592,0.00959331
-5.87993997,0.07406530,0.00000002,0.02151365,0.02279819,0.00000000,0.03996566,0.00935702
-5.87393697,0.07174670,0.00000003,0.02084801,0.02207786,0.00000000,0.03869242,0.00906244
-5.86793397,0.06902283,0.00000004,0.02006737,0.02123050,0.00000000,0.03719287,0.00871609
-5.86193097,0.06595492,0.00000005,0.01919032,0.02027426,0.00000000,0.03549777,0.00832555
-5.85592796,0.06261122,0.00000007,0.01823772,0.01922926,0.00000000,0.03364100,0.00789924
-5.84992496,0.05906535,0.00000010,0.01723228,0.01811706,0.00000000,0.03165860,0.00744619
-5.84392196,0.05539487,0.00000013,0.01619817,0.01696012,0.00000000,0.02958779,0.00697588
-5.83791896,0.05167982,0.00000018,0.01516068,0.01578136,0.00000000,0.02746602,0.00649804
-5.83191596,0.04800155,0.00000023,0.01414596,0.01460368,0.00000000,0.02533017,0.00602246
-5.82591296,0.04444183,0.00000031,0.01318079,0.01344968,0.00000000,0.02321586,0.00555892
-5.81990995,0.04108224,0.00000040,0.01229250,0.01234137,0.00000000,0.02115691,0.00511706
-5.81390695,0.03800392,0.00000052,0.01150899,0.01130005,0.00000000,0.01918501,0.00470635
-5.80790395,0.03528761,0.00000067,0.01085878,0.01034627,0.00000000,0.01732959,0.00433611
-5.80190095,0.03301410,0.00000085,0.01037118,0.00949990,0.00000000,0.01561786,0.00401555
-5.79589795,0.03126481,0.00000108,0.01007656,0.00878029,0.00000000,0.01407510,0.00375386
-5.78989495,0.03012271,0.00000136,0.01000656,0.00820654,0.00000000,0.01272502,0.00356031
-5.78389195,0.02967323,0.00000171,0.01019440,0.00779775,0.00000000,0.01159038,0.00344443
-5.77788894,0.03000522,0.00000212,0.01067508,0.00757342,0.00000000,0.01069361,0.00341610
-5.77188594,0.03121183,0.00000261,0.01148555,0.00755372,0.00000000,0.01005755,0.00348575
-5.76588294,0.03339110,0.00000319,0.01266475,0.00775987,0.00000000,0.00970623,0.00366445
-5.75987994,0.03664628,0.00000387,0.01425350,0.00821431,0.00000000,0.00966555,0.00396403
-5.75387694,0.04108559,0.00000467,0.01629414,0.00894093,0.00000000,0.00996389,0.00439708
-5.74787394,0.04682150,0.00000559,0.01883008,0.00996505,0.00000000,0.01063266,0.00497700
-5.74187094,0.05396932,0.00000664,0.02190496,0.01131334,0.00000000,0.01170655,0.00571782
-5.73586793,0.06264509,0.00000784,0.02556160,0.01301351,0.00000000,0.01322361,0.00663411
-5.72986493,0.07296275,0.00000918,0.02984077,0.01509384,0.00000000,0.01522502,0.00774064
-5.72386193,0.08503049,0.00001068,0.03477957,0.01758247,0.00000000,0.01775455,0.00905202
-5.71785893,0.09894657,0.00001233,0.04040975,0.02050658,0.00000000,0.02085764,0.01058226
-5.71185593,0.11479433,0.00001414,0.04675574,0.02389128,0.00000000,0.02458019,0.01234421
-5.70585293,0.13263693,0.00001609,0.05383264,0.02775837,0.00000000,0.02896692,0.01434887
-5.69984992,0.15251167,0.00001818,0.06164419,0.03212495,0.00000000,0.03405943,0.01660474
-5.69384692,0.17442426,0.00002040,0.07018076,0.03700198,0.00000000,0.03989399,0.01911707
-5.68784392,0.19834325,0.00002272,0.07941755,0.04239274,0.00000000,0.04649902,0.02188705
-5.68184092,0.22419498,0.00002513,0.08931302,0.04829132,0.00000000,0.05389248,0.02491115
-5.67583792,0.25185917,0.00002758,0.09980773,0.05468126,0.00000000,0.06207924,0.02818035
-5.66983492,0.28116560,0.00003007,0.11082359,0.06153431,0.00000000,0.07104843,0.03167965
-5.66383192,0.31189216,0.00003254,0.12226375,0.06880945,0.00000000,0.08077115,0.03538750
-5.65782891,0.34376436,0.00003496,0.13401308,0.07645231,0.00000000,0.09119836,0.03927562
