energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.78481256,0.00344175,0.06195422,0.24679375,0.09641277,0.01453932,0.39688263,0.11808399,0.07734660
-5.99399700,0.89770827,0.00395185,0.06856115,0.28628861,0.11252116,0.01617316,0.45986395,0.13887253,0.08628138
-5.98799400,1.02368531,0.00452479,0.07573054,0.33081428,0.13064940,0.01794160,0.53064256,0.16234784,0.09609642
-5.98199100,1.16317038,0.00515983,0.08346786,0.38064332,0.15085415,0.01983875,0.60950919,0.18865290,0.10681731
-5.97598799,1.31643975,0.00585539,0.09177184,0.43599866,0.17316582,0.02185603,0.69666460,0.21790325,0.11846144
-5.96998499,1.48358563,0.00660890,0.10063277,0.49703939,0.19758386,0.02398181,0.79220009,0.25018069,0.13103557
-5.96398199,1.66448494,0.00741670,0.11003088,0.56384667,0.22407268,0.02620119,0.89607945,0.28552740,0.14453333
-5.95797899,1.85877224,0.00827401,0.11993487,0.63641043,0.25255843,0.02849584,1.00812333,0.32394054,0.15893297
-5.95197599,2.06581832,0.00917490,0.13030073,0.71461751,0.28292680,0.03084398,1.12799695,0.36536783,0.17419548
-5.94597299,2.28471607,0.01011234,0.14107097,0.79824185,0.31502208,0.03322056,1.25520201,0.40970403,0.19026314
-5.93996998,2.51427474,0.01107825,0.15217434,0.88693721,0.34864765,0.03559751,1.38907326,0.45678880,0.20705868
-5.93396698,2.75302370,0.01206368,0.16352604,0.98023314,0.38356785,0.03794426,1.52878061,0.50640598,0.22448515
-5.92796398,2.99922624,0.01305896,0.17502858,1.07753447,0.41951142,0.04022835,1.67333673,0.55828430,0.24242649
-5.92196098,3.25090338,0.01405394,0.18657321,1.17812472,0.45617627,0.04241624,1.82161039,0.61209970,0.26074904
-5.91595798,3.50586758,0.01503823,0.19804200,1.28117352,0.49323564,0.04447422,1.97234531,0.66747917,0.27930365
-5.90995498,3.76176525,0.01600150,0.20931041,1.38574802,0.53034532,0.04636944,2.12418397,0.72400606,0.29792872
-5.90395198,4.01612693,0.01693376,0.22025030,1.49082821,0.56715165,0.04807103,2.27569578,0.78122658,0.31645380
-5.89794897,4.26642341,0.01782564,0.23073338,1.59532568,0.60330023,0.04955119,2.42540865,0.83865747,0.33470366
-5.89194597,4.51012575,0.01866870,0.24063476,1.69810541,0.63844465,0.05078629,2.57184290,0.89579460,0.35250291
-5.88594297,4.74476714,0.01945569,0.24983656,1.79800989,0.67225535,0.05175791,2.71354631,0.95212202,0.36968056
-5.87993997,4.96800424,0.02018074,0.25823144,1.89388499,0.70442780,0.05245375,2.84912924,1.00712157,0.38607477
-5.87393697,5.17767593,0.02083957,0.26572583,1.98460669,0.73469014,0.05286838,2.97729852,1.06028245,0.40153725
-5.86793397,5.37185738,0.02142961,0.27224270,2.06910785,0.76280977,0.05300381,3.09688907,1.11111085,0.41593736
-5.86193097,5.54890778,0.02195010,0.27772381,2.14640441,0.78859870,0.05286985,3.20689240,1.15913909,0.42916561
-5.85592796,5.70751023,0.02240207,0.28213130,2.21562000,0.81191772,0.05248419,3.30648106,1.20393446,0.44113652
-5.84992496,5.84670295,0.02278834,0.28544855,2.27600852,0.83267909,0.05187231,3.39502859,1.24510732,0.45179068
-5.84392196,5.96590098,0.02311344,0.28768036,2.32697388,0.85084784,0.05106708,3.47212448,1.28231849,0.46109602
-5.83791896,6.06490826,0.02338345,0.28885233,2.36808658,0.86644175,0.05010815,3.53758393,1.31528587,0.46904830
-5.83191596,6.14392013,0.02360586,0.28900969,2.39909645,0.87953007,0.04904117,3.59145239,1.34379002,0.47567071
-5.82591296,6.20351650,0.02378936,0.28821546,2.41994148,0.89023101,0.04791673,3.63400474,1.36767878,0.48101284
-5.81990995,6.24464614,0.02394357,0.28654820,2.43075231,0.89870822,0.04678925,3.66573938,1.38687075,0.48514892
-5.81390695,6.26860285,0.02407887,0.28409935,2.43185225,0.90516637,0.04571565,3.68736725,1.40135750,0.48817548
-5.80790395,6.27699388,0.02420606,0.28097041,2.42375286,0.90984580,0.04475399,3.69979601,1.41120438,0.49020860
-5.80190095,6.27170133,0.02433615,0.27726997,2.40714485,0.91301654,0.04396199,3.70410940,1.41654989,0.49138070
-5.79589795,6.25483711,0.02448007,0.27311077,2.38288464,0.91497155,0.04339557,3.70154216,1.41760320,0.49183703
-5.78989495,6.22869197,0.02464838,0.26860683,2.35197643,0.91601946,0.04310733,3.69345052,1.41464009,0.49173196
-5.78389195,6.19567929,0.02485108,0.26387079,2.31555034,0.91647661,0.04314514,3.68127862,1.40799686,0.49122499
-5.77788894,6.15827422,0.02509726,0.25901147,2.27483663,0.91665875,0.04355070,3.66652123,1.39806236,0.49047668
-5.77188594,6.11894908,0.02539496,0.25413167,2.23113681,0.91687223,0.04435823,3.65068332,1.38526819,0.48964448
-5.76588294,6.08010618,0.02575086,0.24932629,2.18579194,0.91740499,0.04559326,3.63523715,1.37007717,0.48887844
-5.75987994,6.04400932,0.02617012,0.24468071,2.14014906,0.91851745,0.04727161,3.62157797,1.35297031,0.48831701
-5.75387694,6.01271582,0.02665620,0.24026942,2.09552643,0.92043363,0.04939848,3.61097940,1.33443267,0.48808282
-5.74787394,5.98801108,0.02721071,0.23615496,2.05317877,0.92333268,0.05196781,3.60455017,1.31493866,0.48827867
-5.74187094,5.97134804,0.02783331,0.23238708,2.01426327,0.92734131,0.05496193,3.60319352,1.29493713,0.48898383
-5.73586793,5.96379412,0.02852165,0.22900219,1.97980776,0.93252750,0.05835138,3.60757151,1.27483709,0.49025072
-5.72986493,5.96598825,0.02927143,0.22602303,1.95068192,0.93889575,0.06209521,3.61807558,1.25499463,0.49210219
-5.72386193,5.97811063,0.03007645,0.22345861,1.92757274,0.94638457,0.06614149,3.63480556,1.23570166,0.49452954
-5.71785893,5.99986731,0.03092878,0.22130444,1.91096511,0.95486620,0.07042832,3.65755830,1.21717717,0.49749143
-5.71185593,6.03049164,0.03181901,0.21954299,1.90112840,0.96414915,0.07488503,3.68582739,1.19956142,0.50091385
-5.70585293,6.06876355,0.03273658,0.21814458,1.89810955,0.97398349,0.07943396,3.71881465,1.18291354,0.50469123
-5.69984992,6.11304703,0.03367018,0.21706839,1.90173304,0.98406896,0.08399233,3.75545362,1.16721269,0.50868878
-5.69384692,6.16134523,0.03460820,0.21626394,1.91160781,0.99406573,0.08847455,3.79444458,1.15236283,0.51274602
-5.68784392,6.21137161,0.03553926,0.21567275,1.92714099,1.00360757,0.09279468,3.83430019,1.13820093,0.51668149
-5.68184092,6.26063451,0.03645270,0.21523027,1.94755768,1.01231670,0.09686896,3.87339997,1.12450822,0.52029847
-5.67583792,6.30653174,0.03733916,0.21486803,1.97192641,1.01981990,0.10061842,3.91005139,1.11102397,0.52339162
-5.66983492,6.34645113,0.03819103,0.21451590,1.99918893,1.02576494,0.10397142,3.94255487,1.09746102,0.52575408
-5.66383192,6.37787224,0.03900289,0.21410433,2.02819343,1.02983661,0.10686588,3.96926975,1.08352237,0.52718497
-5.65782891,6.39846464,0.03977187,0.21356668,2.05772990,1.03177136,0.10925131,3.98867800,1.06891781,0.52749680
-5.65182591,6.40617771,0.04049780,0.21284125,2.08656620,1.03136981,0.11109040,3.99944265,1.05337980,0.52652253
-5.64582291,6.39931795,0.04118329,0.21187318,2.11348379,1.02850640,0.11236007,4.00045809,1.03667783,0.52412194
-5.63981991,6.37660983,0.04183365,0.21061599,2.13731184,1.02313546,0.11305203,3.99089000,1.01863041,0.52018698
-5.63381691,6.33723769,0.04245657,0.20903275,2.15695858,1.01529352,0.11317275,3.97020299,0.99911427,0.51464595
-5.62781391,6.28086687,0.04306168,0.20709681,2.17143927,1.00509753,0.11274276,3.93817497,0.97807033,0.50746623
-5.62181091,6.20764380,0.04365997,0.20479206,2.17989985,0.99273915,0.11179552,3.89489806,0.95550633,0.49865563
-5.61580790,6.11817592,0.04426304,0.20211275,2.18163602,0.97847542,0.11037565,3.84076650,0.93149606,0.48826210
-5.60980490,6.01349327,0.04488229,0.19906295,2.17610745,0.96261644,0.10853682,3.77645282,0.90617570,0.47637219
-5.60380190,5.89499503,0.04552806,0.19565549,2.16294707,0.94551072,0.10633935,3.70287431,0.87973737,0.46310816
-5.59779890,5.76438473,0.04620875,0.19191082,2.14196559,0.92752921,0.10384752,3.62115222,0.85242087,0.44862404
-5.59179590,5.62359863,0.04693002,0.18785544,2.11315159,0.90904895,0.10112693,3.53256643,0.82450395,0.43310099
-5.58579290,5.47473174,0.04769412,0.18352040,2.07666751,0.89043742,0.09824185,3.43850861,0.79629208,0.41674211
-5.57978989,5.31996625,0.04849931,0.17893967,2.03284215,0.87203844,0.09525288,3.34043670,0.76810842,0.39976709
-5.57378689,5.16150632,0.04933954,0.17414867,1.98216008,0.85416064,0.09221479,3.23983337,0.74028453,0.38240697
-5.56778389,5.00152283,0.05020436,0.16918290,1.92524862,0.83706907,0.08917494,3.13817066,0.71315263,0.36489923
-5.56178089,4.84211060,0.05107905,0.16407685,1.86286289,0.82098040,0.08617196,3.03688242,0.68703957,0.34748347
-5.55577789,4.68525962,0.05194503,0.15886316,1.79586944,0.80606194,0.08323517,2.93734546,0.66226302,0.33039778
-5.54977489,4.53284078,0.05278051,0.15357204,1.72522896,0.79243451,0.08038434,2.84086978,0.63912975,0.31387585
-5.54377189,4.38660533,0.05356136,0.14823111,1.65197836,0.78017858,0.07763003,2.74869729,0.61793603,0.29814496
-5.53776888,4.24819631,0.05426219,0.14286534,1.57721274,0.76934343,0.07497438,2.66200801,0.59896972,0.28342462
-5.53176588,4.11916936,0.05485748,0.13749739,1.50206729,0.75995832,0.07241223,2.58193183,0.58251373,0.26992577
-5.52576288,4.00101947,0.05532289,0.13214806,1.42769946,0.75204484,0.06993253,2.50956402,0.56885021,0.25785058
-5.51975988,3.89520992,0.05563651,0.12683685,1.35527149,0.74562944,0.06752002,2.44598161,0.55826475,0.24739226
