energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,6.60023666,2.83580832,3.13784666,0.00897999,2.17624985,0.00920084,1.35370579
-5.99399700,6.38376969,2.71392849,3.03724633,0.00876738,2.09335922,0.00938033,1.31805490
-5.98799400,6.17163819,2.59450523,2.93855007,0.00856794,2.01198202,0.00962997,1.28295682
-5.98199100,5.96636697,2.47874466,2.84298455,0.00838491,1.93300641,0.00994921,1.24884978
-5.97598799,5.77016838,2.36771023,2.75162845,0.00822094,1.85722490,0.01033561,1.21611130
-5.96998499,5.58487476,2.26229442,2.66538027,0.00807800,1.78531242,0.01078485,1.18504455
-5.96398199,5.41188658,2.16319663,2.58493348,0.00795726,1.71780879,0.01129064,1.15586812
-5.95797899,5.25213826,2.07090847,2.51076020,0.00785899,1.65510630,0.01184487,1.12870986
-5.95197599,5.10608337,1.98570693,2.44310393,0.00778260,1.59744284,0.01243769,1.10360491
-5.94597299,4.97369947,1.90765584,2.38198153,0.00772657,1.54490093,0.01305772,1.08049815
-5.93996998,4.85451205,1.83661526,2.32719413,0.00768852,1.49741246,0.01369231,1.05925075
-5.93396698,4.74763599,1.77225842,2.27834623,0.00766533,1.45476882,0.01432784,1.03965037
-5.92796398,4.65183216,1.71409524,2.23487183,0.00765317,1.41663586,0.01495011,1.02142452
-5.92196098,4.56557600,1.66150115,2.19606614,0.00764772,1.38257283,0.01554469,1.00425624
-5.91595798,4.48713462,1.61374980,2.16112128,0.00764432,1.35205445,0.01609741,0.98780119
-5.90995498,4.41464842,1.57004813,2.12916407,0.00763812,1.32449491,0.01659472,0.97170530
-5.90395198,4.34621354,1.52957197,2.09929430,0.00762432,1.29927288,0.01702416,0.95562209
-5.89794897,4.27996112,1.49150078,2.07062163,0.00759833,1.27575636,0.01737473,0.93922868
-5.89194597,4.21413027,1.45504993,2.04229964,0.00755594,1.25332636,0.01763725,0.92223996
-5.88594297,4.14713156,1.41949914,2.01355566,0.00749352,1.23139857,0.01780461,0.90442011
-5.87993997,4.07759898,1.38421632,1.98371542,0.00740810,1.20944215,0.01787206,0.88559114
-5.87393697,4.00442866,1.34867578,1.95222173,0.00729753,1.18699520,0.01783727,0.86563829
-5.86793397,3.92680352,1.31247053,1.91864674,0.00716049,1.16367628,0.01770044,0.84451200
