energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.12229715,0.00506096,0.57129427,0.39722964,0.15977086,0.00490280,0.85156747,0.59842285,0.65616215
-5.99399700,2.01771226,0.00455580,0.55431134,0.37342202,0.14866649,0.00452671,0.79837607,0.55233787,0.63339337
-5.98799400,1.91355970,0.00407496,0.53542417,0.35120007,0.13813425,0.00416534,0.74767533,0.50809702,0.60903306
-5.98199100,1.81028936,0.00362199,0.51486576,0.33047911,0.12818276,0.00382134,0.69948623,0.46585963,0.58331415
-5.97598799,1.70830947,0.00319968,0.49288076,0.31115456,0.11881156,0.00349677,0.65378803,0.42575236,0.55647624
-5.96998499,1.60799048,0.00281005,0.46972065,0.29310936,0.11001248,0.00319315,0.61052750,0.38787085,0.52876208
-5.96398199,1.50967038,0.00245441,0.44563928,0.27622143,0.10177132,0.00291150,0.56962871,0.35228217,0.50041441
-5.95797899,1.41366092,0.00213344,0.42088872,0.26037073,0.09406957,0.00265246,0.53100297,0.31902779,0.47167311
-5.95197599,1.32025437,0.00184726,0.39571560,0.24544576,0.08688623,0.00241632,0.49455835,0.28812695,0.44277271
-5.94597299,1.22973002,0.00159558,0.37035776,0.23134919,0.08019951,0.00220317,0.46020848,0.25958024,0.41394016
-5.93996998,1.14236015,0.00137773,0.34504152,0.21800238,0.07398844,0.00201296,0.42788023,0.23337334,0.38539296
-5.93396698,1.05841502,0.00119283,0.31997924,0.20534882,0.06823428,0.00184564,0.39751989,0.20948059,0.35733740
-5.92796398,0.97816656,0.00103985,0.29536741,0.19335622,0.06292167,0.00170125,0.36909797,0.18786845,0.32996714
-5.92196098,0.90189064,0.00091772,0.27138505,0.18201744,0.05803953,0.00157999,0.34261216,0.16849860,0.30346191
-5.91595798,0.82986773,0.00082542,0.24819261,0.17135017,0.05358164,0.00148234,0.31808878,0.15133070,0.27798638
-5.90995498,0.76238215,0.00076203,0.22593108,0.16139550,0.04954697,0.00140909,0.29558248,0.13632462,0.25368921
-5.90395198,0.69971975,0.00072679,0.20472156,0.15221549,0.04593969,0.00136143,0.27517458,0.12344209,0.23070229
-5.89794897,0.64216434,0.00071911,0.18466507,0.14388992,0.04276890,0.00134094,0.25696993,0.11264787,0.20914010
-5.89194597,0.58999295,0.00073864,0.16584276,0.13651230,0.04004820,0.00134963,0.24109270,0.10391015,0.18909929
