energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,6.64381906,1.05435461,3.65676452,0.01745502,0.55166951,0.05921028,2.27546629
-5.99399700,6.63599386,1.05872758,3.65238894,0.01691794,0.56422144,0.06054261,2.26227652
-5.98799400,6.61601264,1.06035602,3.64169332,0.01634707,0.57586387,0.06181181,2.24509554
-5.98199100,6.58669621,1.05970768,3.62619360,0.01575421,0.58685879,0.06303686,2.22499232
-5.97598799,6.55105615,1.05731202,3.60749263,0.01515159,0.59751287,0.06423938,2.20309354
-5.96998499,6.51219951,1.05374427,3.58722820,0.01455158,0.60816583,0.06544288,2.18054973
-5.96398199,6.47322965,1.04960785,3.56701950,0.01396641,0.61917664,0.06667201,2.15850070
-5.95797899,6.43714691,1.04551582,3.54841415,0.01340792,0.63090818,0.06795169,2.13804133
-5.95197599,6.40675250,1.04207187,3.53283748,0.01288729,0.64371094,0.06930618,2.12018904
-5.94597299,6.38455902,1.03985156,3.52154600,0.01241481,0.65790658,0.07075811,2.10585382
-5.93996998,6.37271055,1.03938440,3.51558669,0.01199972,0.67377205,0.07232755,2.09581183
-5.93396698,6.37291515,1.04113738,3.51576350,0.01165004,0.69152498,0.07403104,2.09068337
-5.92796398,6.38639164,1.04550037,3.52261213,0.01137241,0.71131111,0.07588075,2.09091580
-5.92196098,6.41383252,1.05277388,3.53638393,0.01117207,0.73319436,0.07788369,2.09677181
-5.91595798,6.45538387,1.06315951,3.55703929,0.01105269,0.75714992,0.08004102,2.10832328
-5.90995498,6.51064253,1.07675329,3.58425065,0.01101643,0.78306087,0.08234759,2.12545074
-5.90395198,6.57867038,1.09354209,3.61741472,0.01106383,0.81071838,0.08479155,2.14784830
-5.89794897,6.65802464,1.11340312,3.65567323,0.01119388,0.83982548,0.08735428,2.17503363
-5.89194597,6.74680292,1.13610644,3.69794137,0.01140398,0.87000431,0.09001045,2.20636265
-5.88594297,6.84270088,1.16132036,3.74294250,0.01169002,0.90080647,0.09272834,2.24104810
-5.87993997,6.94308035,1.18861955,3.78924786,0.01204640,0.93172595,0.09547041,2.27818152
-5.87393697,7.04504519,1.21749547,3.83531956,0.01246613,0.96221418,0.09819401,2.31675767
-5.86793397,7.14552234,1.24736888,3.87955543,0.01294087,0.99169638,0.10085243,2.35570069
-5.86193097,7.24134519,1.27760403,3.92033396,0.01346109,1.01958868,0.10339599,2.39389124
-5.85592796,7.32933668,1.30752411,3.95605808,0.01401617,1.04531517,0.10577332,2.43019372
-5.84992496,7.40638973,1.33642756,3.98519619,0.01459457,1.06832428,0.10793278,2.46348300
-5.84392196,7.46954284,1.36360485,4.00631960,0.01518400,1.08810398,0.10982384,2.49266997
-5.83791896,7.51604904,1.38835535,4.01813535,0.01577162,1.10419513,0.11139856,2.51672541
