energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,0.95573512,0.01303402,0.04166278,0.25665881,0.11770456,0.19478218,0.52436740,0.33696213,0.00000000
-5.99399700,0.98199446,0.01244814,0.04257275,0.26089012,0.11753377,0.19221242,0.55787613,0.34441379,0.00000000
-5.98799400,1.01047671,0.01182759,0.04360768,0.26571929,0.11736735,0.18984406,0.59332906,0.35285566,0.00000000
-5.98199100,1.04082706,0.01118616,0.04474429,0.27105672,0.11722739,0.18769602,0.63030656,0.36212263,0.00000000
-5.97598799,1.07262966,0.01053825,0.04595692,0.27679966,0.11713244,0.18578611,0.66833029,0.37203006,0.00000000
-5.96998499,1.10541127,0.00989864,0.04721790,0.28283357,0.11709665,0.18413017,0.70686924,0.38237569,0.00000000
-5.96398199,1.13864853,0.00928220,0.04849813,0.28903455,0.11712931,0.18274185,0.74534827,0.39294259,0.00000000
-5.95797899,1.17177933,0.00870371,0.04976784,0.29527278,0.11723485,0.18163307,0.78315932,0.40350354,0.00000000
-5.95197599,1.20421788,0.00817765,0.05099745,0.30141695,0.11741336,0.18081499,0.81967487,0.41382650,0.00000000
-5.94597299,1.23537319,0.00771806,0.05215862,0.30733952,0.11766152,0.18029979,0.85426348,0.42368125,0.00000000
-5.93996998,1.26467015,0.00733841,0.05322538,0.31292266,0.11797391,0.18010277,0.88630677,0.43284685,0.00000000
-5.93396698,1.29157236,0.00705150,0.05417527,0.31806435,0.11834464,0.18024491,0.91521732,0.44111969,0.00000000
-5.92796398,1.31560541,0.00686937,0.05499049,0.32268455,0.11876903,0.18075551,0.94045673,0.44832164,0.00000000
-5.92196098,1.33637958,0.00680323,0.05565895,0.32673084,0.11924544,0.18167479,0.96155309,0.45430797,0.00000000
-5.91595798,1.35361033,0.00686332,0.05617516,0.33018326,0.11977681,0.18305607,0.97811704,0.45897459,0.00000000
-5.90995498,1.36713563,0.00705882,0.05654094,0.33305790,0.12037212,0.18496739,0.98985576,0.46226405,0.00000000
-5.90395198,1.37692876,0.00739772,0.05676585,0.33540894,0.12104722,0.18749232,0.99658408,0.46417013,0.00000000
-5.89794897,1.38310576,0.00788659,0.05686722,0.33732897,0.12182537,0.19072972,0.99823224,0.46474038,0.00000000
-5.89194597,1.38592669,0.00853041,0.05687000,0.33894720,0.12273706,0.19479233,0.99484991,0.46407670,0.00000000
-5.88594297,1.38579052,0.00933227,0.05680608,0.34042585,0.12381928,0.19980418,0.98660613,0.46233353,0.00000000
-5.87993997,1.38322337,0.01029314,0.05671337,0.34195439,0.12511415,0.20589672,0.97378516,0.45971378,0.00000000
-5.87393697,1.37886067,0.01141155,0.05663451,0.34374208,0.12666701,0.21320381,0.95677837,0.45646254,0.00000000
-5.86793397,1.37342360,0.01268330,0.05661527,0.34600902,0.12852405,0.22185568,0.93607257,0.45285877,0.00000000
-5.86193097,1.36769108,0.01410117,0.05670278,0.34897595,0.13072954,0.23197216,0.91223513,0.44920530,0.00000000
-5.85592796,1.36246828,0.01565475,0.05694351,0.35285349,0.13332287,0.24365538,0.88589660,0.44581756,0.00000000
-5.84992496,1.35855335,0.01733024,0.05738124,0.35783108,0.13633560,0.25698238,0.85773161,0.44301141,0.00000000
-5.84392196,1.35670372,0.01911038,0.05805500,0.36406637,0.13978858,0.27199794,0.82843880,0.44109084,0.00000000
-5.83791896,1.35760379,0.02097454,0.05899717,0.37167544,0.14368946,0.28870804,0.79872063,0.44033581,0.00000000
-5.83191596,1.36183540,0.02289885,0.06023165,0.38072448,0.14803066,0.30707444,0.76926393,0.44099103,0.00000000
-5.82591296,1.36985282,0.02485652,0.06177244,0.39122330,0.15278801,0.32701064,0.74072191,0.44325606,0.00000000
-5.81990995,1.38196329,0.02681836,0.06362245,0.40312117,0.15792010,0.34837960,0.71369836,0.44727723,0.00000000
-5.81390695,1.39831426,0.02875331,0.06577285,0.41630510,0.16336853,0.37099352,0.68873450,0.45314184,0.00000000
-5.80790395,1.41888795,0.03062921,0.06820271,0.43060094,0.16905896,0.39461580,0.66629894,0.46087483,0.00000000
-5.80190095,1.44350364,0.03241367,0.07087931,0.44577717,0.17490308,0.41896529,0.64678102,0.47043815,0.00000000
-5.79589795,1.47182753,0.03407497,0.07375874,0.46155132,0.18080135,0.44372280,0.63048750,0.48173290,0.00000000
-5.78989495,1.50338983,0.03558303,0.07678717,0.47759891,0.18664642,0.46853978,0.61764254,0.49460410,0.00000000
-5.78389195,1.53760825,0.03691044,0.07990234,0.49356445,0.19232708,0.49304880,0.60839080,0.50884788,0.00000000
-5.77788894,1.57381676,0.03803337,0.08303566,0.50907410,0.19773267,0.51687561,0.60280312,0.52422094,0.00000000
-5.77188594,1.61129829,0.03893245,0.08611439,0.52374939,0.20275754,0.53965217,0.60088450,0.54045154,0.00000000
-5.76588294,1.64931975,0.03959355,0.08906415,0.53722157,0.20730558,0.56103033,0.60258357,0.55725176,0.00000000
-5.75987994,1.68716764,0.04000834,0.09181155,0.54914578,0.21129437,0.58069531,0.60780324,0.57433040,0.00000000
-5.75387694,1.72418267,0.04017468,0.09428674,0.55921449,0.21465904,0.59837867,0.61641159,0.59140582,0.00000000
-5.74787394,1.75979147,0.04009686,0.09642591,0.56716959,0.21735528,0.61386989,0.62825266,0.60821815,0.00000000
-5.74187094,1.79353402,0.03978551,0.09817353,0.57281263,0.21936176,0.62702617,0.64315643,0.62454043,0.00000000
