energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.62717570,0.00487032,0.06817693,0.47304326,0.21648772,0.00880172,0.95993125,0.34053659,0.16704801
-5.99399700,1.69618855,0.00484162,0.06945468,0.49579949,0.22644867,0.00925866,1.00387884,0.35388217,0.17338073
-5.98799400,1.76719030,0.00485298,0.07069872,0.51845634,0.23716499,0.00969918,1.04904804,0.36813782,0.17966370
-5.98199100,1.83937384,0.00489939,0.07186164,0.54080063,0.24854419,0.01011861,1.09498856,0.38312747,0.18580588
-5.97598799,1.91200142,0.00497583,0.07289997,0.56264983,0.26049931,0.01051294,1.14128942,0.39868463,0.19172502
-5.96998499,1.98441703,0.00507739,0.07377550,0.58385530,0.27294936,0.01087898,1.18758510,0.41465456,0.19734963
-5.96398199,2.05605253,0.00519928,0.07445642,0.60430359,0.28581887,0.01121445,1.23355806,0.43089524,0.20262042
-5.95797899,2.12642773,0.00533686,0.07491809,0.62391573,0.29903691,0.01151803,1.27893780,0.44727711,0.20749100
-5.95197599,2.19514455,0.00548572,0.07514347,0.64264470,0.31253536,0.01178943,1.32349651,0.46368173,0.21192783
-5.94597299,2.26187618,0.00564165,0.07512320,0.66047112,0.32624693,0.01202931,1.36704208,0.47999951,0.21590950
-5.93996998,2.32635233,0.00580070,0.07485538,0.67739773,0.34010286,0.01223933,1.40940884,0.49612682,0.21942547
-5.93396698,2.38834204,0.00595917,0.07434502,0.69344290,0.35403077,0.01242198,1.45044724,0.51196279,0.22247426
-5.92796398,2.44763566,0.00611359,0.07360329,0.70863376,0.36795277,0.01258056,1.49001326,0.52740609,0.22506142
-5.92196098,2.50402777,0.00626080,0.07264656,0.72299942,0.38178410,0.01271904,1.52795865,0.54235207,0.22719728
-5.91595798,2.55730262,0.00639784,0.07149530,0.73656488,0.39543260,0.01284193,1.56412290,0.55669061,0.22889476
-5.90995498,2.60722347,0.00652208,0.07017302,0.74934589,0.40879901,0.01295421,1.59832789,0.57030483,0.23016739
-5.90395198,2.65352708,0.00663113,0.06870511,0.76134544,0.42177835,0.01306111,1.63037567,0.58307099,0.23102768
-5.89794897,2.69592381,0.00672289,0.06711784,0.77255178,0.43426230,0.01316810,1.66004987,0.59485956,0.23148596
-5.89194597,2.73410366,0.00679556,0.06543745,0.78293839,0.44614247,0.01328072,1.68712077,0.60553750,0.23154970
-5.88594297,2.76774798,0.00684767,0.06368939,0.79246568,0.45731455,0.01340453,1.71135374,0.61497170,0.23122347
-5.87993997,2.79654578,0.00687808,0.06189773,0.80108435,0.46768296,0.01354496,1.73252057,0.62303325,0.23050940
-5.87393697,2.82021373,0.00688598,0.06008478,0.80874007,0.47716570,0.01370730,1.75041278,0.62960242,0.22940812
-5.86793397,2.83851796,0.00687096,0.05827080,0.81537907,0.48569915,0.01389658,1.76485605,0.63457391,0.22792010
-5.86193097,2.85129608,0.00683297,0.05647397,0.82095419,0.49324243,0.01411748,1.77572451,0.63786194,0.22604716
-5.85592796,2.85847737,0.00677237,0.05471036,0.82543084,0.49978084,0.01437427,1.78295379,0.63940502,0.22379415
-5.84992496,2.86009946,0.00668990,0.05299408,0.82879244,0.50532828,0.01467069,1.78655166,0.63916981,0.22117053
-5.84392196,2.85631996,0.00658668,0.05133739,0.83104474,0.50992820,0.01500982,1.78660542,0.63715394,0.21819168
-5.83791896,2.84742163,0.00646423,0.04975088,0.83221881,0.51365306,0.01539397,1.78328513,0.63338749,0.21487993
-5.83191596,2.83381067,0.00632440,0.04824359,0.83237235,0.51660216,0.01582458,1.77684237,0.62793304,0.21126508
-5.82591296,2.81600753,0.00616935,0.04682313,0.83158912,0.51889788,0.01630199,1.76760438,0.62088426,0.20738442
-5.81990995,2.79463089,0.00600157,0.04549571,0.82997675,0.52068060,0.01682538,1.75596374,0.61236306,0.20328222
-5.81390695,2.77037541,0.00582375,0.04426607,0.82766273,0.52210236,0.01739262,1.74236419,0.60251567,0.19900868
-5.80790395,2.74398468,0.00563881,0.04313746,0.82478919,0.52331987,0.01800016,1.72728339,0.59150759,0.19461845
-5.80190095,2.71622106,0.00544983,0.04211144,0.82150666,0.52448707,0.01864297,1.71121369,0.57951802,0.19016879
-5.79589795,2.68783413,0.00525997,0.04118776,0.81796726,0.52574774,0.01931454,1.69464211,0.56673397,0.18571743
-5.78989495,2.65953006,0.00507248,0.04036423,0.81431798,0.52722866,0.02000686,1.67803075,0.55334441,0.18132048
