energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.91855555,0.00235361,0.01897176,0.00036895,0.00000000,0.00007291,0.51539368,0.12096148,0.05183803
-5.99399700,0.93425444,0.00240589,0.01927803,0.00037490,0.00000000,0.00007434,0.52423849,0.12314172,0.05271695
-5.98799400,0.94364668,0.00244567,0.01944856,0.00037822,0.00000000,0.00007533,0.52955574,0.12452583,0.05323781
-5.98199100,0.94660843,0.00247338,0.01947970,0.00037882,0.00000000,0.00007588,0.53127817,0.12510444,0.05339319
-5.97598799,0.94316819,0.00248995,0.01937077,0.00037671,0.00000000,0.00007601,0.52942432,0.12488920,0.05318421
-5.96998499,0.93350833,0.00249678,0.01912413,0.00037191,0.00000000,0.00007574,0.52409938,0.12391307,0.05262061
-5.96398199,0.91796105,0.00249579,0.01874503,0.00036454,0.00000000,0.00007511,0.51549296,0.12222976,0.05172050
-5.95797899,0.89699912,0.00248937,0.01824151,0.00035474,0.00000000,0.00007419,0.50387385,0.11991251,0.05050989
-5.95197599,0.87122163,0.00248033,0.01762404,0.00034274,0.00000000,0.00007303,0.48958202,0.11705211,0.04902184
-5.94597299,0.84133536,0.00247182,0.01690519,0.00032876,0.00000000,0.00007173,0.47301811,0.11375434,0.04729545
-5.93996998,0.80813260,0.00246730,0.01609921,0.00031308,0.00000000,0.00007036,0.45463096,0.11013681,0.04537460
-5.93396698,0.77246634,0.00247040,0.01522156,0.00029602,0.00000000,0.00006900,0.43490353,0.10632544,0.04330658
-5.92796398,0.73522380,0.00248484,0.01428840,0.00027787,0.00000000,0.00006777,0.41433797,0.10245058,0.04114062
-5.92196098,0.69729931,0.00251430,0.01331614,0.00025896,0.00000000,0.00006674,0.39344028,0.09864305,0.03892637
-5.91595798,0.65956767,0.00256231,0.01232092,0.00023961,0.00000000,0.00006602,0.37270517,0.09503009,0.03671245
