energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,V_p_up,V_d_up
-6.00000000,0.30016731,0.00027404,0.09446450,0.08087651,0.00000000,0.05501407,0.05723755
-5.99399700,0.29475062,0.00029199,0.09416200,0.07861114,0.00000000,0.04793615,0.05557318
-5.98799400,0.29016945,0.00030896,0.09400857,0.07663641,0.00000000,0.04150359,0.05412016
-5.98199100,0.28622983,0.00032469,0.09393529,0.07490455,0.00000000,0.03571429,0.05284527
-5.97598799,0.28271940,0.00033895,0.09386950,0.07336176,0.00000000,0.03055393,0.05171094
-5.96998499,0.27941895,0.00035152,0.09373830,0.07195123,0.00000000,0.02599829,0.05067751
-5.96398199,0.27611370,0.00036227,0.09347206,0.07061628,0.00000000,0.02201557,0.04970541
-5.95797899,0.27260396,0.00037109,0.09300767,0.06930332,0.00000000,0.01856870,0.04875728
-5.95197599,0.26871482,0.00037799,0.09229151,0.06796444,0.00000000,0.01561741,0.04779987
-5.94597299,0.26430445,0.00038303,0.09128193,0.06655978,0.00000000,0.01312028,0.04680570
-5.93996998,0.25927073,0.00038639,0.08995119,0.06505936,0.00000000,0.01103636,0.04575448
-5.93396698,0.25355612,0.00038834,0.08828688,0.06344451,0.00000000,0.00932672,0.04463404
-5.92796398,0.24715068,0.00038926,0.08629262,0.06170877,0.00000000,0.00795562,0.04344112
-5.92196098,0.24009319,0.00038965,0.08398829,0.05985831,0.00000000,0.00689149,0.04218165
-5.91595798,0.23247042,0.00039012,0.08140956,0.05791187,0.00000000,0.00610761,0.04087076
-5.90995498,0.22441486,0.00039139,0.07860693,0.05590027,0.00000000,0.00558260,0.03953248
-5.90395198,0.21610091,0.00039431,0.07564431,0.05386550,0.00000000,0.00530064,0.03819914
-5.89794897,0.20773983,0.00039981,0.07259723,0.05185954,0.00000000,0.00525159,0.03691055
-5.89194597,0.19957372,0.00040893,0.06955066,0.04994284,0.00000000,0.00543080,0.03571291
-5.88594297,0.19186870,0.00042281,0.06659668,0.04818261,0.00000000,0.00583885,0.03465763
-5.87993997,0.18490754,0.00044262,0.06383197,0.04665093,0.00000000,0.00648112,0.03379998
-5.87393697,0.17898194,0.00046962,0.06135524,0.04542278,0.00000000,0.00736719,0.03319760
-5.86793397,0.17438461,0.00050507,0.05926460,0.04457394,0.00000000,0.00851008,0.03290897
-5.86193097,0.17140133,0.00055023,0.05765500,0.04417889,0.00000000,0.00992543,0.03299181
-5.85592796,0.17030305,0.00060634,0.05661574,0.04430870,0.00000000,0.01163052,0.03350146
-5.84992496,0.17133819,0.00067455,0.05622806,0.04502890,0.00000000,0.01364313,0.03448921
-5.84392196,0.17472514,0.00075591,0.05656288,0.04639741,0.00000000,0.01598036,0.03600063
-5.83791896,0.18064514,0.00085132,0.05767867,0.04846254,0.00000000,0.01865739,0.03807400
-5.83191596,0.18923560,0.00096147,0.05961951,0.05126108,0.00000000,0.02168613,0.04073866
-5.82591296,0.20058399,0.00108680,0.06241337,0.05481653,0.00000000,0.02507390,0.04401360
-5.81990995,0.21472244,0.00122748,0.06607059,0.05913754,0.00000000,0.02882219,0.04790609
-5.81390695,0.23162331,0.00138334,0.07058271,0.06421652,0.00000000,0.03292546,0.05241056
-5.80790395,0.25119585,0.00155385,0.07592161,0.07002871,0.00000000,0.03737012,0.05750775
-5.80190095,0.27328433,0.00173809,0.08203907,0.07653150,0.00000000,0.04213377,0.06316415
-5.79589795,0.29766772,0.00193474,0.08886680,0.08366432,0.00000000,0.04718470,0.06933191
-5.78989495,0.32406136,0.00214208,0.09631702,0.09134906,0.00000000,0.05248175,0.07594918
-5.78389195,0.35212074,0.00235799,0.10428364,0.09949109,0.00000000,0.05797459,0.08294103
-5.77788894,0.38144749,0.00257999,0.11264409,0.10798096,0.00000000,0.06360447,0.09022091
-5.77188594,0.41159786,0.00280530,0.12126174,0.11669679,0.00000000,0.06930544,0.09769279
-5.76588294,0.44209344,0.00303091,0.12998913,0.12550739,0.00000000,0.07500604,0.10525384
-5.75987994,0.47243426,0.00325365,0.13867164,0.13427595,0.00000000,0.08063147,0.11279772
-5.75387694,0.50211372,0.00347031,0.14715184,0.14286446,0.00000000,0.08610623,0.12021844
-5.74787394,0.53063523,0.00367776,0.15527422,0.15113843,0.00000000,0.09135707,0.12741452
-5.74187094,0.55752992,0.00387305,0.16289026,0.15897207,0.00000000,0.09631620,0.13429357
-5.73586793,0.58237481,0.00405359,0.16986354,0.16625355,0.00000000,0.10092473,0.14077688
-5.72986493,0.60481072,0.00421727,0.17607486,0.17289023,0.00000000,0.10513607,0.14680403
-5.72386193,0.62455928,0.00436256,0.18142705,0.17881354,0.00000000,0.10891923,0.15233721
-5.71785893,0.64143807,0.00448869,0.18584929,0.18398338,0.00000000,0.11226189,0.15736499
-5.71185593,0.65537332,0.00459569,0.18930069,0.18839180,0.00000000,0.11517299,0.16190554
-5.70585293,0.66640926,0.00468452,0.19177302,0.19206566,0.00000000,0.11768482,0.16600882
-5.69984992,0.67471378,0.00475710,0.19329237,0.19506814,0.00000000,0.11985441,0.16975779
-5.69384692,0.68057966,0.00481635,0.19391968,0.19749903,0.00000000,0.12176409,0.17326838
-5.68784392,0.68442131,0.00486616,0.19374997,0.19949360,0.00000000,0.12352120,0.17668817
-5.68184092,0.68676672,0.00491134,0.19291037,0.20121997,0.00000000,0.12525689,0.18019366
-5.67583792,0.68824480,0.00495755,0.19155693,0.20287523,0.00000000,0.12712391,0.18398626
-5.66983492,0.68956833,0.00501113,0.18987021,0.20468003,0.00000000,0.12929349,0.18828691
-5.66383192,0.69151309,0.00507901,0.18805003,0.20687216,0.00000000,0.13195132,0.19332951
-5.65782891,0.69489362,0.00516841,0.18630923,0.20969899,0.00000000,0.13529270,0.19935346
-5.65182591,0.70053662,0.00528672,0.18486696,0.21340918,0.00000000,0.13951702,0.20659525
-5.64582291,0.70925276,0.00544118,0.18394154,0.21824398,0.00000000,0.14482169,0.21527970
-5.63981991,0.72180796,0.00563865,0.18374322,0.22442820,0.00000000,0.15139566,0.22561092
-5.63381691,0.73889519,0.00588532,0.18446716,0.23216156,0.00000000,0.15941279,0.23776345
-5.62781391,0.76110784,0.00618648,0.18628673,0.24161035,0.00000000,0.16902531,0.25187394
-5.62181091,0.78891577,0.00654623,0.18934755,0.25290005,0.00000000,0.18035745,0.26803369
-5.61580790,0.82264487,0.00696728,0.19376238,0.26610910,0.00000000,0.19349967,0.28628238
-5.60980490,0.86246114,0.00745075,0.19960706,0.28126414,0.00000000,0.20850361,0.30660345
-5.60380190,0.90835994,0.00799601,0.20691771,0.29833686,0.00000000,0.22537800,0.32892116
-5.59779890,0.96016099,0.00860061,0.21568922,0.31724287,0.00000000,0.24408575,0.35309982
-5.59179590,1.01750943,0.00926024,0.22587513,0.33784248,0.00000000,0.26454244,0.37894518
-5.58579290,1.07988314,0.00996875,0.23738896,0.35994353,0.00000000,0.28661624,0.40620805
-5.57978989,1.14660613,0.01071828,0.25010686,0.38330635,0.00000000,0.31012944,0.43459011
-5.57378689,1.21686776,0.01149944,0.26387155,0.40765043,0.00000000,0.33486161,0.46375190
-5.56778389,1.28974704,0.01230153,0.27849744,0.43266288,0.00000000,0.36055432,0.49332258
-5.56178089,1.36424143,0.01311289,0.29377671,0.45800829,0.00000000,0.38691739,0.52291123
-5.55577789,1.43929882,0.01392127,0.30948621,0.48333953,0.00000000,0.41363638,0.55211925
-5.54977489,1.51385187,0.01471417,0.32539480,0.50830925,0.00000000,0.44038127,0.58055342
-5.54377189,1.58685306,0.01547939,0.34127110,0.53258147,0.00000000,0.46681589,0.60783901
-5.53776888,1.65730936,0.01620536,0.35689114,0.55584289,0.00000000,0.49260781,0.63363241
-5.53176588,1.72431500,0.01688165,0.37204578,0.57781335,0.00000000,0.51743837,0.65763282
-5.52576288,1.78708111,0.01749934,0.38654765,0.59825504,0.00000000,0.54101238,0.67959231
