energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.14569548,0.00174707,0.35535985,1.66932166,0.74854646,0.04623908,0.36060947,0.27973023,0.16747670
-5.99399700,2.15419559,0.00164935,0.35088567,1.69071451,0.74950922,0.04506907,0.36651837,0.28716938,0.16885849
-5.98799400,2.16953241,0.00156018,0.34779767,1.71711782,0.75345812,0.04414228,0.37355001,0.29554340,0.17040419
-5.98199100,2.19059668,0.00147897,0.34594228,1.74786965,0.76002238,0.04343332,0.38146545,0.30467842,0.17201928
-5.97598799,2.21620373,0.00140508,0.34515070,1.78228207,0.76879409,0.04291254,0.39001514,0.31439549,0.17360834
-5.96998499,2.24512452,0.00133779,0.34524323,1.81965510,0.77933851,0.04254693,0.39894630,0.32451493,0.17507771
-5.96398199,2.27611723,0.00127633,0.34603384,1.85929008,0.79120473,0.04230103,0.40801024,0.33486076,0.17633805
-5.95797899,2.30795855,0.00121992,0.34733463,1.90050221,0.80393642,0.04213801,0.41696958,0.34526504,0.17730684
-5.95197599,2.33947399,0.00116780,0.34896039,1.94263220,0.81708256,0.04202066,0.42560489,0.35557209,0.17791061
-5.94597299,2.36956645,0.00111922,0.35073292,1.98505697,0.83020776,0.04191242,0.43372081,0.36564241,0.17808695
-5.93996998,2.39724238,0.00107351,0.35248529,2.02719912,0.84290208,0.04177836,0.44115125,0.37535615,0.17778611
-5.93396698,2.42163479,0.00103004,0.35406566,2.06853536,0.85479010,0.04158614,0.44776365,0.38461617,0.17697236
-5.92796398,2.44202261,0.00098829,0.35534084,2.10860371,0.86553897,0.04130682,0.45346202,0.39335040,0.17562469
-5.92196098,2.45784577,0.00094782,0.35619934,2.14700955,0.87486530,0.04091563,0.45818884,0.40151349,0.17373733
-5.91595798,2.46871576,0.00090831,0.35655386,2.18343045,0.88254081,0.04039252,0.46192561,0.40908767,0.17131953
-5.90995498,2.47442130,0.00086952,0.35634323,2.21761980,0.88839646,0.03972264,0.46469213,0.41608265,0.16839513
-5.90395198,2.47492902,0.00083135,0.35553359,2.24940919,0.89232500,0.03889657,0.46654453,0.42253476,0.16500153
-5.89794897,2.47037922,0.00079377,0.35411893,2.27870946,0.89428202,0.03791037,0.46757214,0.42850498,0.16118837
-5.89194597,2.46107672,0.00075686,0.35212083,2.30551028,0.89428520,0.03676554,0.46789330,0.43407618,0.15701583
-5.88594297,2.44747720,0.00072077,0.34958745,2.32987814,0.89241208,0.03546868,0.46765024,0.43934945,0.15255267
-5.87993997,2.43016930,0.00068572,0.34659177,2.35195248,0.88879608,0.03403106,0.46700322,0.44443968,0.14787412
-5.87393697,2.40985304,0.00065196,0.34322910,2.37193991,0.88362112,0.03246804,0.46612418,0.44947039,0.14305954
-5.86793397,2.38731501,0.00061976,0.33961382,2.39010605,0.87711475,0.03079835,0.46518990,0.45456818,0.13819016
-5.86193097,2.36340111,0.00058943,0.33587563,2.40676520,0.86954008,0.02904332,0.46437517,0.45985666,0.13334676
-5.85592796,2.33898739,0.00056124,0.33215512,2.42226744,0.86118660,0.02722606,0.46384595,0.46545035,0.12860747
-5.84992496,2.31494988,0.00053545,0.32859894,2.43698344,0.85236009,0.02537061,0.46375279,0.47144861,0.12404571
-5.84392196,2.29213413,0.00051225,0.32535464,2.45128709,0.84337205,0.02350113,0.46422480,0.47792986,0.11972835
-5.83791896,2.27132547,0.00049180,0.32256525,2.46553639,0.83452869,0.02164117,0.46536426,0.48494638,0.11571412
-5.83191596,2.25322060,0.00047419,0.32036388,2.48005312,0.82611997,0.01981295,0.46724217,0.49251993,0.11205229
-5.82591296,2.23840181,0.00045944,0.31886837,2.49510222,0.81840900,0.01803687,0.46989475,0.50063836,0.10878160
-5.81990995,2.22731438,0.00044751,0.31817628,2.51087159,0.81162218,0.01633101,0.47332128,0.50925355,0.10592965
-5.81390695,2.22024829,0.00043828,0.31836030,2.52745362,0.80594034,0.01471086,0.47748312,0.51828069,0.10351245
-5.80790395,2.21732486,0.00043159,0.31946438,2.54482935,0.80149145,0.01318911,0.48230428,0.52759925,0.10153445
-5.80190095,2.21848918,0.00042722,0.32150064,2.56285655,0.79834505,0.01177563,0.48767330,0.53705543,0.09998879
-5.79589795,2.22350874,0.00042493,0.32444731,2.58126271,0.79650884,0.01047752,0.49344674,0.54646636,0.09885794
