energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-6.00000000,0.59789781,-0.59789781,0.15076519,-0.15076519,0.12608332,-0.12608332,0.01072229,-0.01072229,0.06542948,-0.06542948,0.29726352,-0.29726352,0.00218024,-0.00218024
-5.99399700,0.55852361,-0.55852361,0.14042805,-0.14042805,0.11601214,-0.11601214,0.01093116,-0.01093116,0.06315088,-0.06315088,0.27503931,-0.27503931,0.00202877,-0.00202877
-5.98799400,0.52377650,-0.52377650,0.13114061,-0.13114061,0.10686843,-0.10686843,0.01118313,-0.01118313,0.06162486,-0.06162486,0.25485987,-0.25485987,0.00189637,-0.00189637
-5.98199100,0.49394065,-0.49394065,0.12300563,-0.12300564,0.09871087,-0.09871087,0.01147168,-0.01147168,0.06089129,-0.06089129,0.23687033,-0.23687033,0.00178471,-0.00178471
-5.97598799,0.46921021,-0.46921021,0.11610141,-0.11610141,0.09157899,-0.09157899,0.01178897,-0.01178897,0.06098126,-0.06098126,0.22116964,-0.22116963,0.00169510,-0.00169510
-5.96998499,0.44969209,-0.44969209,0.11048178,-0.11048178,0.08549395,-0.08549395,0.01212616,-0.01212616,0.06191704,-0.06191704,0.20781196,-0.20781196,0.00162852,-0.00162852
-5.96398199,0.43541063,-0.43541063,0.10617674,-0.10617674,0.08045967,-0.08045967,0.01247368,-0.01247368,0.06371224,-0.06371224,0.19680927,-0.19680927,0.00158560,-0.00158560
-5.95797899,0.42631398,-0.42631398,0.10319359,-0.10319359,0.07646434,-0.07646434,0.01282157,-0.01282157,0.06637206,-0.06637206,0.18813474,-0.18813474,0.00156663,-0.00156663
-5.95197599,0.42228157,-0.42228157,0.10151844,-0.10151844,0.07348219,-0.07348219,0.01315982,-0.01315982,0.06989360,-0.06989360,0.18172677,-0.18172677,0.00157159,-0.00157159
-5.94597299,0.42313239,-0.42313239,0.10111804,-0.10111804,0.07147539,-0.07147539,0.01347873,-0.01347873,0.07426631,-0.07426631,0.17749347,-0.17749347,0.00160016,-0.00160016
