energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,5.06441042,0.57895164,2.89143016,0.19229481,0.18117916,1.21584112,0.46498830,0.07685158,0.67975004
-5.99399700,5.00345269,0.61225438,2.78419585,0.18917537,0.18342800,1.23594834,0.46895400,0.07992957,0.70908270
-5.98799400,4.94197309,0.64534129,2.67876836,0.18483046,0.18549665,1.25431834,0.47165784,0.08327882,0.73920140
-5.98199100,4.88241607,0.67775244,2.57784775,0.17934107,0.18736871,1.27080724,0.47314135,0.08690188,0.76985449
-5.97598799,4.82710449,0.70901319,2.48401815,0.17281179,0.18902556,1.28526081,0.47346944,0.09079703,0.80075375
-5.96998499,4.77819040,0.73864607,2.39969920,0.16536724,0.19044650,1.29751514,0.47272617,0.09495765,0.83157950
-5.96398199,4.73761734,0.76618377,2.32710683,0.15714783,0.19160896,1.30739857,0.47101022,0.09937180,0.86198758
-5.95797899,4.70709473,0.79118259,2.26822368,0.14830522,0.19248902,1.31473516,0.46843033,0.10402198,0.89161800
-5.95197599,4.68808394,0.81323583,2.22477912,0.13899756,0.19306203,1.31934929,0.46510084,0.10888522,0.92010488
-5.94597299,4.68179526,0.83198658,2.19823795,0.12938480,0.19330337,1.32107154,0.46113775,0.11393332,0.94708719
-5.93996998,4.68919390,0.84713931,2.18979655,0.11962423,0.19318936,1.31974550,0.45665533,0.11913340,0.97221996
-5.93396698,4.71101304,0.85846964,2.20038496,0.10986642,0.19269826,1.31523514,0.45176335,0.12444867,0.99518533
-5.92796398,4.74777130,0.86583195,2.23067283,0.10025177,0.19181130,1.30743269,0.44656525,0.12983933,1.01570291
-5.92196098,4.79979213,0.86916434,2.28107745,0.09090762,0.19051375,1.29626634,0.44115700,0.13526372,1.03353913
-5.91595798,4.86722244,0.86849082,2.35177195,0.08194614,0.18879597,1.28170768,0.43562665,0.14067945,1.04851488
-5.90995498,4.95004820,0.86392048,2.44269202,0.07346293,0.18665444,1.26377831,0.43005465,0.14604465,1.06051128
-5.90395198,5.04810502,0.85564375,2.55353993,0.06553634,0.18409258,1.24255535,0.42451451,0.15131911,1.06947325
-5.89794897,5.16108240,0.84392591,2.68378489,0.05822746,0.18112156,1.21817549,0.41907392,0.15646540,1.07541066
-5.89194597,5.28852093,0.82909810,2.83265973,0.05158064,0.17776080,1.19083722,0.41379594,0.16144978,1.07839706
-5.88594297,5.42980244,0.81154623,2.99915392,0.04562455,0.17403832,1.16080106,0.40874015,0.16624292,1.07856607
-5.87993997,5.58413382,0.79169832,3.18200399,0.04037358,0.16999074,1.12838765,0.40396362,0.17082044,1.07610546
-5.87393697,5.75052604,0.77001074,3.37968264,0.03582946,0.16566299,1.09397345,0.39952154,0.17516313,1.07124946
-5.86793397,5.92777030,0.74695398,3.59038843,0.03198306,0.16110775,1.05798424,0.39546736,0.17925690,1.06426927
-5.86193097,6.11441392,0.72299839,3.81203800,0.02881613,0.15638445,1.02088633,0.39185243,0.18309252,1.05546255
-5.85592796,6.30873863,0.69860063,4.04226327,0.02630309,0.15155796,0.98317586,0.38872504,0.18666506,1.04514207
-5.84992496,6.50874430,0.67419106,4.27841568,0.02441251,0.14669701,0.94536627,0.38612903,0.18997314,1.03362405
-5.84392196,6.71214083,0.65016270,4.51757959,0.02310856,0.14187230,0.90797456,0.38410177,0.19301797,1.02121683
-5.83791896,6.91635064,0.62686185,4.75659645,0.02235209,0.13715435,0.87150654,0.38267194,0.19580233,1.00820997
-5.83191596,7.11852373,0.60458086,4.99210079,0.02210152,0.13261131,0.83644188,0.38185700,0.19832941,0.99486451
-5.82591296,7.31556666,0.58355293,5.22056849,0.02231352,0.12830658,0.80321928,0.38166058,0.20060167,0.98140452
