energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.35742554,0.00907411,1.48798410,0.04792843,0.00021728,0.89777829,0.85713618
-5.99399700,2.35867895,0.00913976,1.49082941,0.04860348,0.00022040,0.91053128,0.85761364
-5.98799400,2.35661601,0.00917767,1.49145847,0.04923132,0.00022313,0.92190908,0.85707429
-5.98199100,2.35143685,0.00918968,1.49001342,0.04978900,0.00022546,0.93189398,0.85564695
-5.97598799,2.34337346,0.00917857,1.48666320,0.05025598,0.00022739,0.94048332,0.85346874
-5.96998499,2.33267808,0.00914796,1.48159561,0.05061470,0.00022891,0.94768920,0.85067782
-5.96398199,2.31961114,0.00910217,1.47500859,0.05085098,0.00023001,0.95353801,0.84740591
-5.95797899,2.30442933,0.00904604,1.46710153,0.05095435,0.00023070,0.95807014,0.84377105
-5.95197599,2.28737480,0.00898479,1.45806686,0.05091829,0.00023096,0.96133976,0.83987090
-5.94597299,2.26866599,0.00892384,1.44808260,0.05074038,0.00023079,0.96341478,0.83577729
-5.93996998,2.24849086,0.00886865,1.43730628,0.05042221,0.00023018,0.96437695,0.83153208
-5.93396698,2.22700282,0.00882454,1.42587054,0.04996936,0.00022912,0.96432205,0.82714485
-5.92796398,2.20431947,0.00879660,1.41388058,0.04939105,0.00022761,0.96335989,0.82259241
-5.92196098,2.18052417,0.00878946,1.40141358,0.04869982,0.00022565,0.96161414,0.81782029
-5.91595798,2.15567019,0.00880728,1.38851991,0.04791106,0.00022323,0.95922155,0.81274608
-5.90995498,2.12978672,0.00885354,1.37522588,0.04704245,0.00022035,0.95633056,0.80726443
-5.90395198,2.10288644,0.00893103,1.36153787,0.04611328,0.00021702,0.95309890,0.80125340
-5.89794897,2.07497357,0.00904174,1.34744706,0.04514382,0.00021325,0.94969020,0.79458178
-5.89194597,2.04605195,0.00918678,1.33293474,0.04415455,0.00020907,0.94626941,0.78711699
-5.88594297,2.01613219,0.00936636,1.31797737,0.04316545,0.00020448,0.94299720,0.77873297
-5.87993997,1.98523743,0.00957974,1.30255120,0.04219530,0.00019953,0.94002332,0.76931773
-5.87393697,1.95340719,0.00982519,1.28663600,0.04126099,0.00019426,0.93747925,0.75878015
-5.86793397,1.92069913,0.01010000,1.27021781,0.04037694,0.00018870,0.93547054,0.74705562
-5.86193097,1.88718854,0.01040048,1.25329042,0.03955459,0.00018290,0.93406921,0.73411022
-5.85592796,1.85296586,0.01072199,1.23585579,0.03880202,0.00017692,0.93330674,0.71994348
-5.84992496,1.81813259,0.01105899,1.21792340,0.03812369,0.00017081,0.93316819,0.70458945
-5.84392196,1.78279593,0.01140511,1.19950888,0.03752032,0.00016463,0.93358803,0.68811615
-5.83791896,1.74706312,0.01175329,1.18063211,0.03698893,0.00015843,0.93444805,0.67062373
-5.83191596,1.71103571,0.01209587,1.16131532,0.03652302,0.00015227,0.93557788,0.65224121
-5.82591296,1.67480487,0.01242483,1.14158137,0.03611292,0.00014618,0.93675821,0.63312239
-5.81990995,1.63844799,0.01273190,1.12145259,0.03574626,0.00014022,0.93772698,0.61344096
-5.81390695,1.60202712,0.01300886,1.10095054,0.03540853,0.00013443,0.93818831,0.59338525
-5.80790395,1.56558972,0.01324776,1.08009673,0.03508380,0.00012882,0.93782400,0.57315286
-5.80190095,1.52917145,0.01344114,1.05891442,0.03475541,0.00012344,0.93630723,0.55294544
-5.79589795,1.49280128,0.01358236,1.03743151,0.03440685,0.00011828,0.93331771,0.53296374
-5.78989495,1.45650841,0.01366577,1.01568426,0.03402243,0.00011337,0.92855778,0.51340329
-5.78389195,1.42033048,0.01368701,0.99372170,0.03358811,0.00010872,0.92176853,0.49445061
-5.77788894,1.38432278,0.01364316,0.97161038,0.03309218,0.00010431,0.91274520,0.47628007
-5.77188594,1.34856736,0.01353293,0.94943897,0.03252582,0.00010017,0.90135110,0.45905151
-5.76588294,1.31318174,0.01335678,0.92732252,0.03188361,0.00009628,0.88752926,0.44290840
-5.75987994,1.27832624,0.01311695,0.90540585,0.03116386,0.00009265,0.87131112,0.42797661
-5.75387694,1.24420943,0.01281751,0.88386571,0.03036881,0.00008928,0.85282202,0.41436369
-5.74787394,1.21109124,0.01246425,0.86291157,0.02950463,0.00008618,0.83228287,0.40215848
-5.74187094,1.17928321,0.01206460,0.84278470,0.02858136,0.00008336,0.81000807,0.39143104
-5.73586793,1.14914579,0.01162745,0.82375549,0.02761255,0.00008083,0.78639964,0.38223287
-5.72986493,1.12108267,0.01116292,0.80611905,0.02661495,0.00007861,0.76193780,0.37459720
-5.72386193,1.09553215,0.01068209,0.79018906,0.02560790,0.00007672,0.73716835,0.36853939
-5.71785893,1.07295592,0.01019675,0.77629021,0.02461278,0.00007520,0.71268741,0.36405752
-5.71185593,1.05382567,0.00971903,0.76474934,0.02365226,0.00007406,0.68912400,0.36113290
-5.70585293,1.03860797,0.00926111,0.75588576,0.02274962,0.00007334,0.66712123,0.35973076
-5.69984992,1.02774811,0.00883487,0.75000093,0.02192795,0.00007307,0.64731683,0.35980100
-5.69384692,1.02165355,0.00845160,0.74736808,0.02120942,0.00007327,0.63032348,0.36127904
-5.68784392,1.02067750,0.00812168,0.74822207,0.02061457,0.00007396,0.61670998,0.36408686
-5.68184092,1.02510354,0.00785431,0.75274991,0.02016162,0.00007516,0.60698357,0.36813413
-5.67583792,1.03513176,0.00765727,0.76108240,0.01986589,0.00007687,0.60157413,0.37331967
-5.66983492,1.05086709,0.00753675,0.77328717,0.01973928,0.00007910,0.60082078,0.37953303
-5.66383192,1.07231036,0.00749715,0.78936357,0.01978986,0.00008182,0.60496121,0.38665640
-5.65782891,1.09935263,0.00754097,0.80923961,0.02002158,0.00008502,0.61412417,0.39456676
-5.65182591,1.13177309,0.00766881,0.83277119,0.02043406,0.00008865,0.62832535,0.40313834
-5.64582291,1.16924085,0.00787928,0.85974392,0.02102261,0.00009267,0.64746682,0.41224528
-5.63981991,1.21132086,0.00816910,0.88987746,0.02177825,0.00009701,0.67134007,0.42176462
-5.63381691,1.25748384,0.00853317,0.92283250,0.02268799,0.00010160,0.69963266,0.43157947
-5.62781391,1.30712020,0.00896474,0.95822025,0.02373513,0.00010635,0.73193840,0.44158224
-5.62181091,1.35955756,0.00945555,0.99561416,0.02489980,0.00011119,0.76777057,0.45167807
-5.61580790,1.41408142,0.00999613,1.03456367,0.02615952,0.00011602,0.80657813,0.46178806
-5.60980490,1.46995825,0.01057607,1.07460939,0.02748993,0.00012073,0.84776416,0.47185239
-5.60380190,1.52646023,0.01118427,1.11529921,0.02886558,0.00012525,0.89070594,0.48183303
-5.59779890,1.58289053,0.01180938,1.15620460,0.03026077,0.00012947,0.93477613,0.49171587
-5.59179590,1.63860803,0.01244005,1.19693639,0.03165042,0.00013331,0.97936395,0.50151221
