energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.03009580,0.34623042,0.00000000,0.00085725,0.30431480,0.35002064,0.00000000,0.46527260,0.27608831
-5.99399700,1.07649478,0.38771282,0.00000000,0.00096451,0.30103559,0.38732183,0.00000000,0.48225635,0.27811300
-5.98799400,1.12849308,0.43381725,0.00000000,0.00108905,0.29747052,0.42929206,0.00000000,0.50067830,0.28108840
-5.98199100,1.18594817,0.48439326,0.00000000,0.00122993,0.29363687,0.47580217,0.00000000,0.52049792,0.28500598
-5.97598799,1.24861797,0.53920163,0.00000000,0.00138602,0.28956086,0.52663528,0.00000000,0.54165166,0.28984050
-5.96998499,1.31614244,0.59790271,0.00000000,0.00155597,0.28527633,0.58147549,0.00000000,0.56404519,0.29554788
-5.96398199,1.38802825,0.66004785,0.00000000,0.00173816,0.28082283,0.63989932,0.00000000,0.58754640,0.30206329
-5.95797899,1.46363785,0.72507496,0.00000000,0.00193066,0.27624346,0.70137107,0.00000000,0.61197981,0.30929972
-5.95197599,1.54218437,0.79230878,0.00000000,0.00213123,0.27158246,0.76524250,0.00000000,0.63712282,0.31714732
-5.94597299,1.62273337,0.86096649,0.00000000,0.00233730,0.26688291,0.83075768,0.00000000,0.66270446,0.32547350
-5.93996998,1.70421239,0.93016883,0.00000000,0.00254605,0.26218465,0.89706305,0.00000000,0.68840687,0.33412430
-5.93396698,1.78542878,0.99895696,0.00000000,0.00275436,0.25752263,0.96322310,0.00000000,0.71386997,0.34292675
-5.92796398,1.86509590,1.06631471,0.00000000,0.00295893,0.25292598,1.02824118,0.00000000,0.73869932,0.35169271
-5.92196098,1.94186719,1.13119551,0.00000000,0.00315633,0.24841774,1.09108522,0.00000000,0.76247710,0.36022382
-5.91595798,2.01437734,1.19255346,0.00000000,0.00334307,0.24401547,1.15071733,0.00000000,0.78477604,0.36831769
-5.90995498,2.08128881,1.24937701,0.00000000,0.00351573,0.23973266,1.20612647,0.00000000,0.80517561,0.37577506
-5.90395198,2.14134214,1.30072413,0.00000000,0.00367100,0.23558093,1.25636261,0.00000000,0.82328005,0.38240758
-5.89794897,2.19340746,1.34575717,0.00000000,0.00380584,0.23157280,1.30057108,0.00000000,0.83873719,0.38804604
-5.89194597,2.23653492,1.38377596,0.00000000,0.00391754,0.22772490,1.33802547,0.00000000,0.85125723,0.39254844
-5.88594297,2.27000119,1.41424732,0.00000000,0.00400382,0.22406142,1.36815740,0.00000000,0.86063045,0.39580757
-5.87993997,2.29334956,1.43682937,0.00000000,0.00406292,0.22061736,1.39058163,0.00000000,0.86674283,0.39775767
-5.87393697,2.30642117,1.45138944,0.00000000,0.00409364,0.21744150,1.40511513,0.00000000,0.86958853,0.39837969
-5.86793397,2.30937525,1.45801419,0.00000000,0.00409538,0.21459868,1.41178896,0.00000000,0.86927854,0.39770475
-5.86193097,2.30269693,1.45701131,0.00000000,0.00406821,0.21217117,1.41085209,0.00000000,0.86604462,0.39581567
-5.85592796,2.28719141,1.44890239,0.00000000,0.00401279,0.21025894,1.40276667,0.00000000,0.86023815,0.39284607
-5.84992496,2.26396430,1.43440696,0.00000000,0.00393041,0.20897865,1.38819480,0.00000000,0.85232365,0.38897725
-5.84392196,2.23438838,1.41441815,0.00000000,0.00382294,0.20846131,1.36797702,0.00000000,0.84286686,0.38443271
-5.83791896,2.20005784,1.38997097,0.00000000,0.00369271,0.20884858,1.34310337,0.00000000,0.83251783,0.37947048
-5.83191596,2.16273171,1.36220435,0.00000000,0.00354250,0.21028775,1.31467811,0.00000000,0.82198941,0.37437356
-5.82591296,2.12426865,1.33231863,0.00000000,0.00337539,0.21292569,1.28387960,0.00000000,0.81203192,0.36943882
-5.81990995,2.08655580,1.30153023,0.00000000,0.00319469,0.21690178,1.25191691,0.00000000,0.80340505,0.36496483
-5.81390695,2.05143478,1.27102554,0.00000000,0.00300383,0.22234032,1.21998511,0.00000000,0.79684800,0.36123919
