energy_ev,total_up,Pt_p_up,Pt_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.16261229,0.27081012,1.66519260,0.24376517,0.01562415,0.39821538,0.00000000
-5.99399700,2.14692277,0.26325184,1.65913734,0.24576481,0.01535740,0.39261675,0.00000000
-5.98799400,2.13409027,0.25615335,1.65508049,0.24803724,0.01512244,0.38785458,0.00000000
-5.98199100,2.12431870,0.24955118,1.65316855,0.25054986,0.01492223,0.38395854,0.00000000
-5.97598799,2.11770272,0.24347130,1.65346750,0.25326043,0.01475889,0.38092593,0.00000000
-5.96998499,2.11421405,0.23792712,1.65595195,0.25611604,0.01463360,0.37872029,0.00000000
-5.96398199,2.11369273,0.23291801,1.66049797,0.25905259,0.01454657,0.37727126,0.00000000
-5.95797899,2.11584409,0.22842852,1.66688012,0.26199489,0.01449695,0.37647592,0.00000000
-5.95197599,2.12024176,0.22442828,1.67477318,0.26485748,0.01448291,0.37620144,0.00000000
-5.94597299,2.12633707,0.22087252,1.68375865,0.26754610,0.01450163,0.37628912,0.00000000
-5.93996998,2.13347449,0.21770340,1.69333607,0.26995984,0.01454939,0.37655966,0.00000000
-5.93396698,2.14091268,0.21485183,1.70293857,0.27199386,0.01462172,0.37681945,0.00000000
-5.92796398,2.14785030,0.21223994,1.71195239,0.27354269,0.01471350,0.37686766,0.00000000
-5.92196098,2.15345561,0.20978383,1.71973927,0.27450381,0.01481912,0.37650389,0.00000000
-5.91595798,2.15689838,0.20739670,1.72566098,0.27478148,0.01493269,0.37553593,0.00000000
-5.90995498,2.15738297,0.20499206,1.72910474,0.27429057,0.01504820,0.37378737,0.00000000
-5.90395198,2.15418078,0.20248692,1.72950853,0.27296026,0.01515972,0.37110480,0.00000000
-5.89794897,2.14666088,0.19980489,1.72638502,0.27073738,0.01526158,0.36736406,0.00000000
-5.89194597,2.13431731,0.19687889,1.71934309,0.26758926,0.01534855,0.36247545,0.00000000
-5.88594297,2.11679183,0.19365361,1.70810608,0.26350598,0.01541598,0.35638767,0.00000000
-5.87993997,2.09389115,0.19008739,1.69252569,0.25850177,0.01545998,0.34909013,0.00000000
-5.87393697,2.06559806,0.18615363,1.67259128,0.25261571,0.01547749,0.34061378,0.00000000
-5.86793397,2.03207574,0.18184164,1.64843393,0.24591151,0.01546638,0.33103028,0.00000000
-5.86193097,1.99366545,0.17715688,1.62032519,0.23847641,0.01542552,0.32044961,0.00000000
-5.85592796,1.95087759,0.17212065,1.58867069,0.23041933,0.01535478,0.30901630,0.00000000
-5.84992496,1.90437666,0.16676932,1.55399888,0.22186827,0.01525503,0.29690440,0.00000000
-5.84392196,1.85496082,0.16115304,1.51694538,0.21296703,0.01512810,0.28431147,0.00000000
-5.83791896,1.80353700,0.15533403,1.47823368,0.20387154,0.01497674,0.27145183,0.00000000
-5.83191596,1.75109252,0.14938464,1.43865290,0.19474572,0.01480447,0.25854949,0.00000000
-5.82591296,1.69866449,0.14338505,1.39903368,0.18575718,0.01461548,0.24583079,0.00000000
-5.81990995,1.64730801,0.13742094,1.36022287,0.17707287,0.01441450,0.23351738,0.00000000
-5.81390695,1.59806447,0.13158099,1.32305813,0.16885479,0.01420665,0.22181951,0.00000000
-5.80790395,1.55193099,0.12595444,1.28834325,0.16125587,0.01399725,0.21093004,0.00000000
-5.80190095,1.50983195,0.12062870,1.25682499,0.15441626,0.01379163,0.20101921,0.00000000
-5.79589795,1.47259348,0.11568716,1.22917217,0.14845995,0.01359502,0.19223047,0.00000000
-5.78989495,1.44092175,0.11120706,1.20595760,0.14349192,0.01341234,0.18467728,0.00000000
-5.78389195,1.41538535,0.10725780,1.18764337,0.13959584,0.01324805,0.17844107,0.00000000
-5.77788894,1.39640238,0.10389935,1.17456981,0.13683235,0.01310603,0.17357022,0.00000000
-5.77188594,1.38423232,0.10118106,1.16694827,0.13523794,0.01298947,0.17008016,0.00000000
-5.76588294,1.37897277,0.09914074,1.16485799,0.13482450,0.01290076,0.16795437,0.00000000
-5.75987994,1.38056098,0.09780408,1.16824683,0.13557940,0.01284149,0.16714626,0.00000000
-5.75387694,1.38877989,0.09718439,1.17693585,0.13746624,0.01281235,0.16758183,0.00000000
-5.74787394,1.40326848,0.09728265,1.19062735,0.14042616,0.01281320,0.16916293,0.00000000
-5.74187094,1.42353568,0.09808776,1.20891625,0.14437964,0.01284308,0.17177099,0.00000000
-5.73586793,1.44897769,0.09957719,1.23130406,0.14922880,0.01290025,0.17527116,0.00000000
-5.72986493,1.47889774,0.10171775,1.25721526,0.15486017,0.01298230,0.17951662,0.00000000
