energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.94165293,0.00842530,0.75348451,8.35874069,4.06035840,0.11371511,1.58957750,0.30593658,0.37842933
-5.99399700,7.90736200,0.00845027,0.75253129,8.33161004,4.04283083,0.11192778,1.58057558,0.30271248,0.37560311
-5.98799400,7.84262747,0.00848891,0.74870328,8.26421041,4.01000217,0.10961961,1.56566087,0.29833036,0.37138921
-5.98199100,7.75106566,0.00855008,0.74228364,8.15960503,3.96367860,0.10683986,1.54567533,0.29299015,0.36595467
-5.97598799,7.63715684,0.00864369,0.73364234,8.02180731,3.90610382,0.10365042,1.52163159,0.28692579,0.35950763
-5.96998499,7.50608421,0.00878045,0.72322214,7.85564349,3.83987622,0.10012357,1.49467829,0.28039767,0.35228945
-5.96398199,7.36354835,0.00897154,0.71152203,7.66658885,3.76785350,0.09633938,1.46606047,0.27368427,0.34456576
-5.95797899,7.21556356,0.00922828,0.69907878,7.46058329,3.69304820,0.09238312,1.43707634,0.26707316,0.33661672
-5.95197599,7.06824321,0.00956180,0.68644724,7.24383282,3.61851795,0.08834249,1.40903216,0.26085174,0.32872686
-5.94597299,6.92758190,0.00998266,0.67417993,7.02260444,3.54725426,0.08430497,1.38319656,0.25529810,0.32117487
-5.93996998,6.79924215,0.01050057,0.66280685,6.80302157,3.48207410,0.08035531,1.36075616,0.25067209,0.31422351
-5.93396698,6.68835350,0.01112401,0.65281610,6.59086766,3.42551811,0.07657320,1.34277382,0.24720714,0.30811033
-5.92796398,6.59933117,0.01186001,0.64463609,6.39140492,3.37975938,0.07303128,1.33015124,0.24510280,0.30303911
-5.92196098,6.53572090,0.01271384,0.63861999,6.20921469,3.34652592,0.06979347,1.32359699,0.24451849,0.29917262
-5.91595798,6.50007555,0.01368884,0.63503301,6.04806469,3.32703990,0.06691368,1.32360126,0.24556833,0.29662685
-5.90995498,6.49386792,0.01478623,0.63404303,5.91080788,3.32197567,0.06443495,1.33041809,0.24831749,0.29546689
-5.90395198,6.51744264,0.01600502,0.63571479,5.79931571,3.33143814,0.06238892,1.34405566,0.25277983,0.29570461
-5.89794897,6.57000881,0.01734189,0.64000806,5.71444768,3.35496210,0.06079574,1.36427512,0.25891719,0.29729822
-5.89194597,6.64967331,0.01879122,0.64677970,5.65605746,3.39153238,0.05966431,1.39059771,0.26664003,0.30015383
-5.88594297,6.75351312,0.02034510,0.65578951,5.62303439,3.43962389,0.05899282,1.42232007,0.27580965,0.30412868
-5.87993997,6.87768360,0.02199341,0.66670972,5.61337805,3.49725966,0.05876956,1.45853708,0.28624171,0.30903630
-5.87393697,7.01755821,0.02372390,0.67913757,5.62430205,3.56208456,0.05897391,1.49817131,0.29771105,0.31465299
-5.86793397,7.16789407,0.02552239,0.69261062,5.65236249,3.63145151,0.05957744,1.54000814,0.30995774,0.32072570
-5.86193097,7.32301665,0.02737288,0.70662396,5.69360547,3.70251680,0.06054519,1.58273508,0.32269401,0.32698085
-5.85592796,7.47701632,0.02925783,0.72064884,5.74372751,3.77234046,0.06183687,1.62498393,0.33561203,0.33313376
-5.84992496,7.62394919,0.03115833,0.73415169,5.79824253,3.83798786,0.06340803,1.66537434,0.34839229,0.33889837
-5.84392196,7.75803437,0.03305438,0.74661309,5.85264884,3.89662858,0.06521127,1.70255699,0.36071235,0.34399681
-5.83791896,7.87384066,0.03492511,0.75754563,5.90258990,3.94562870,0.06719725,1.73525506,0.37225569,0.34816860
-5.83191596,7.96645546,0.03674911,0.76651027,5.94400325,3.98263329,0.06931562,1.76230254,0.38272044,0.35117889
-5.82591296,8.03163067,0.03850468,0.77313039,5.97325239,4.00563624,0.07151585,1.78267792,0.39182775,0.35282573
-5.81990995,8.06590043,0.04017012,0.77710323,5.98723773,4.01303521,0.07374788,1.79553244,0.39932955,0.35294586
-5.81390695,8.06666787,0.04172411,0.77820833,5.98348348,4.00367024,0.07596271,1.80021191,0.40501543,0.35141905
-5.80790395,8.03225872,0.04314595,0.77631269,5.96019853,3.97684547,0.07811291,1.79627157,0.40871846,0.34817064
-5.80190095,7.96194160,0.04441595,0.77137279,5.91631082,3.93233385,0.08015298,1.78348378,0.41031982,0.34317256
-5.79589795,7.85591610,0.04551576,0.76343344,5.85147536,3.87036584,0.08203973,1.76183857,0.40975195,0.33644247
-5.78989495,7.71527092,0.04642870,0.75262372,5.76605753,3.79160343,0.08373263,1.73153730,0.40700036,0.32804154
-5.78389195,7.54191568,0.04714010,0.73915036,5.66109402,3.69710165,0.08519413,1.69298015,0.40210375,0.31807065
-5.77788894,7.33849081,0.04763765,0.72328901,5.53823438,3.58825982,0.08639004,1.64674805,0.39515273,0.30666561
-5.77188594,7.10826052,0.04791169,0.70537386,5.39966682,3.46676545,0.08728984,1.59358018,0.38628699,0.29399130
-5.76588294,6.85499417,0.04795545,0.68578600,5.24803224,3.33453340,0.08786717,1.53434807,0.37569115,0.28023533
-5.75987994,6.58284148,0.04776536,0.66494128,5.08633022,3.19364317,0.08810017,1.47002737,0.36358934,0.26560133
-5.75387694,6.29620662,0.04734115,0.64327789,4.91782101,3.04627705,0.08797195,1.40166852,0.35023886,0.25030217
-5.74787394,5.99962598,0.04668596,0.62124417,4.74592682,2.89466110,0.08747099,1.33036749,0.33592289,0.23455351
-5.74187094,5.69765363,0.04580644,0.59928712,4.57413563,2.74101135,0.08659149,1.25723734,0.32094277,0.21856775
-5.73586793,5.39475758,0.04471259,0.57784169,4.40591000,2.58748632,0.08533367,1.18338178,0.30560995,0.20254868
-5.72986493,5.09522944,0.04341770,0.55732122,4.24460274,2.43614720,0.08370398,1.10987120,0.29023783,0.18668696
-5.72386193,4.80310895,0.04193809,0.53810913,4.09338101,2.28892614,0.08171515,1.03772184,0.27513386,0.17115651
-5.71785893,4.52212404,0.04029279,0.52055180,3.95515949,2.14760280,0.07938613,0.96787840,0.26059204,0.15611183
-5.71185593,4.25564645,0.03850317,0.50495290,3.83254313,2.01378901,0.07674186,0.90120030,0.24688604,0.14168633
-5.70585293,4.00666228,0.03659245,0.49156887,3.72777957,1.88892092,0.07381284,0.83845157,0.23426314,0.12799154
-5.69984992,3.77775628,0.03458524,0.48060569,3.64272089,1.77425787,0.07063459,0.78029431,0.22293902,0.11511718
-5.69384692,3.57110848,0.03250696,0.47221678,3.57879446,1.67088704,0.06724692,0.72728546,0.21309366,0.10313193
-5.68784392,3.38850133,0.03038334,0.46650195,3.53698254,1.57973277,0.06369310,0.67987655,0.20486831,0.09208483
-5.68184092,3.23133562,0.02823980,0.46350745,3.51781029,1.50156943,0.06001887,0.63841607,0.19836355,0.08200712
-5.67583792,3.10065355,0.02610102,0.46322698,3.52134201,1.43703681,0.05627151,0.60315417,0.19363856,0.07291442
-5.66983492,2.99716696,0.02399041,0.46560361,3.54718556,1.38665697,0.05249873,0.57424898,0.19071142,0.06480914
-5.66383192,2.92128942,0.02192968,0.47053275,3.59450497,1.35085160,0.04874771,0.55177454,0.18956054,0.05768283
-5.65782891,2.87317077,0.01993856,0.47786599,3.66204140,1.32995902,0.04506409,0.53572963,0.19012712,0.05151865
-5.65182591,2.85273267,0.01803445,0.48741593,3.74814254,1.32425010,0.04149115,0.52604729,0.19231847,0.04629358
-5.64582291,2.85970433,0.01623231,0.49896186,3.85080054,1.33394252,0.03806901,0.52260470,0.19601221,0.04198045
-5.63981991,2.89365721,0.01454450,0.51225645,3.96769830,1.35921269,0.03483402,0.52523303,0.20106115,0.03854970
