energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.82315529,0.01986299,0.10827692,0.25721493,0.78765408,0.58794537,1.02134012,0.00000000
-5.99399700,1.87460589,0.02138902,0.11527265,0.27310191,0.80166325,0.61211921,1.03557748,0.00000000
-5.98799400,1.92815596,0.02301942,0.12239701,0.29030041,0.81599307,0.63840606,1.04925936,0.00000000
-5.98199100,1.98388347,0.02474728,0.12959715,0.30881094,0.83046070,0.66706961,1.06229520,0.00000000
-5.97598799,2.04178772,0.02656155,0.13681811,0.32859395,0.84484423,0.69835525,1.07454893,0.00000000
-5.96998499,2.10178894,0.02844692,0.14400457,0.34956763,0.85888894,0.73248381,1.08584260,0.00000000
-5.96398199,2.16373158,0.03038385,0.15110263,0.37160742,0.87231522,0.76964569,1.09596298,0.00000000
-5.95797899,2.22739100,0.03234875,0.15806158,0.39454750,0.88482798,0.80999522,1.10467084,0.00000000
-5.95197599,2.29248286,0.03431444,0.16483562,0.41818427,0.89612704,0.85364538,1.11171227,0.00000000
-5.94597299,2.35867453,0.03625070,0.17138526,0.44228166,0.90591804,0.90066263,1.11683165,0.00000000
-5.93996998,2.42559737,0.03812503,0.17767860,0.46657819,0.91392333,0.95106199,1.11978536,0.00000000
-5.93396698,2.49285913,0.03990354,0.18369207,0.49079548,0.91989233,1.00480225,1.12035539,0.00000000
-5.92796398,2.56005536,0.04155202,0.18941083,0.51464773,0.92361073,1.06178126,1.11836228,0.00000000
-5.92196098,2.62677907,0.04303694,0.19482866,0.53785176,0.92490823,1.12183164,1.11367625,0.00000000
-5.91595798,2.69262807,0.04432665,0.19994738,0.56013718,0.92366428,1.18471675,1.10622623,0.00000000
-5.90995498,2.75720944,0.04539237,0.20477575,0.58125595,0.91981170,1.25012741,1.09600601,0.00000000
-5.90395198,2.82014118,0.04620928,0.20932798,0.60099101,0.91333790,1.31767962,1.08307728,0.00000000
-5.89794897,2.88105118,0.04675735,0.21362190,0.61916338,0.90428394,1.38691350,1.06756941,0.00000000
-5.89194597,2.93957391,0.04702208,0.21767678,0.63563738,0.89274129,1.45729409,1.04967606,0.00000000
-5.88594297,2.99534568,0.04699504,0.22151110,0.65032373,0.87884687,1.52821420,1.02964876,0.00000000
-5.87993997,3.04799921,0.04667415,0.22514027,0.66318027,0.86277646,1.59899984,1.00778813,0.00000000
-5.87393697,3.09715867,0.04606374,0.22857448,0.67421042,0.84473719,1.66891846,0.98443311,0.00000000
-5.86793397,3.14243603,0.04517441,0.23181682,0.68345940,0.82495935,1.73719020,0.95994890,0.00000000
-5.86193097,3.18342993,0.04402259,0.23486179,0.69100854,0.80368820,1.80300233,0.93471447,0.00000000
-5.85592796,3.21972761,0.04262997,0.23769433,0.69696810,0.78117612,1.86552656,0.90911024,0.00000000
-5.84992496,3.25091058,0.04102272,0.24028941,0.70146898,0.75767559,1.92393923,0.88350656,0.00000000
-5.84392196,3.27656437,0.03923053,0.24261226,0.70465399,0.73343320,1.97744358,0.85825366,0.00000000
-5.83791896,3.29629205,0.03728571,0.24461927,0.70666909,0.70868496,2.02529364,0.83367354,0.00000000
-5.83191596,3.30973129,0.03522203,0.24625947,0.70765528,0.68365306,2.06681881,0.81005389,0.00000000
-5.82591296,3.31657401,0.03307377,0.24747657,0.70774158,0.65854385,2.10144810,0.78764441,0.00000000
-5.81990995,3.31658758,0.03087469,0.24821154,0.70703940,0.63354726,2.12873285,0.76665533,0.00000000
-5.81390695,3.30963614,0.02865713,0.24840538,0.70563868,0.60883704,2.14836702,0.74725795,0.00000000
-5.80790395,3.29570068,0.02645122,0.24800222,0.70360593,0.58457196,2.16020354,0.72958698,0.00000000
-5.80190095,3.27489601,0.02428425,0.24695229,0.70098412,0.56089727,2.16426600,0.71374405,0.00000000
-5.79589795,3.24748343,0.02218018,0.24521488,0.69779425,0.53794647,2.16075453,0.69980215,0.00000000
-5.78989495,3.21387749,0.02015929,0.24276086,0.69403845,0.51584283,2.15004532,0.68781021,0.00000000
-5.78389195,3.17464593,0.01823807,0.23957482,0.68970421,0.49470046,2.13268332,0.67779754,0.00000000
-5.77788894,3.13050207,0.01642914,0.23565660,0.68476923,0.47462495,2.10936801,0.66977758,0.00000000
-5.77188594,3.08228927,0.01474146,0.23102214,0.67920664,0.45571310,2.08093258,0.66375068,0.00000000
-5.76588294,3.03095802,0.01318049,0.22570367,0.67298991,0.43805213,2.04831702,0.65970559,0.00000000
-5.75987994,2.97753609,0.01174856,0.21974911,0.66609733,0.42171815,2.01253621,0.65761965,0.00000000
-5.75387694,2.92309318,0.01044526,0.21322084,0.65851548,0.40677415,1.97464418,0.65745778,0.00000000
-5.74787394,2.86870169,0.00926789,0.20619384,0.65024169,0.39326774,1.93569611,0.65917032,0.00000000
-5.74187094,2.81539558,0.00821189,0.19875331,0.64128522,0.38122890,1.89670988,0.66269022,0.00000000
-5.73586793,2.76412971,0.00727134,0.19099199,0.63166723,0.37066798,1.85862871,0.66792986,0.00000000
-5.72986493,2.71574171,0.00643934,0.18300722,0.62141973,0.36157425,1.82228703,0.67477805,0.00000000
-5.72386193,2.67091889,0.00570850,0.17489794,0.61058348,0.35391536,1.78838098,0.68309782,0.00000000
-5.71785893,2.63017222,0.00507122,0.16676188,0.59920542,0.34763774,1.75744522,0.69272522,0.00000000
-5.71185593,2.59381892,0.00452008,0.15869295,0.58733571,0.34266826,1.72983718,0.70346992,0.00000000
-5.70585293,2.56197509,0.00404808,0.15077906,0.57502479,0.33891713,1.70572949,0.71511762,0.00000000
