energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.89042640,0.26699870,0.00912268,1.69249705,1.99565495,0.00808722,2.17769129
-5.99399700,4.82675621,0.26143963,0.00902190,1.67572532,1.97640240,0.00780696,2.14998167
-5.98799400,4.75284009,0.25471960,0.00886833,1.65426519,1.95419997,0.00750208,2.12207100
-5.98199100,4.67079512,0.24691057,0.00866549,1.62894935,1.92996336,0.00717518,2.09505679
-5.97598799,4.58289830,0.23811168,0.00841795,1.60068082,1.90464064,0.00682948,2.06999975
-5.96998499,4.49150385,0.22844724,0.00813120,1.57039933,1.87917462,0.00646876,2.04788011
-5.96398199,4.39895551,0.21806394,0.00781145,1.53904629,1.85446420,0.00609731,2.02955482
-5.95797899,4.30749863,0.20712720,0.00746544,1.50752997,1.83132698,0.00571989,2.01571800
-5.95197599,4.21919692,0.19581712,0.00710027,1.47669290,1.81046502,0.00534160,2.00686679
-5.94597299,4.13585841,0.18432399,0.00672314,1.44728293,1.79243585,0.00496785,2.00327485
-5.93996998,4.05897462,0.17284383,0.00634119,1.41992959,1.77763042,0.00460423,2.00497503
-5.93396698,3.98967648,0.16157392,0.00596133,1.39512663,1.76625915,0.00425652,2.01175267
-5.92796398,3.92870897,0.15070871,0.00559003,1.37322179,1.75834722,0.00393056,2.02315012
-5.92196098,3.87642589,0.14043607,0.00523322,1.35441386,1.75373913,0.00363225,2.03848259
-5.91595798,3.83280450,0.13093408,0.00489617,1.33875714,1.75211259,0.00336751,2.05686486
-5.90995498,3.79747880,0.12236837,0.00458345,1.32617256,1.75300076,0.00314229,2.07724766
-5.90395198,3.76978905,0.11488995,0.00429883,1.31646480,1.75582174,0.00296257,2.09846212
-5.89794897,3.74884416,0.10863361,0.00404530,1.30934395,1.75991361,0.00283434,2.11927006
-5.89194597,3.73359289,0.10371667,0.00382509,1.30445034,1.76457301,0.00276368,2.13841776
-5.88594297,3.72289932,0.10023809,0.00363967,1.30138101,1.76909514,0.00275671,2.15469054
-5.87993997,3.71561802,0.09827776,0.00348980,1.29971610,1.77281288,0.00281960,2.16696542
-5.87393697,3.71066438,0.09789588,0.00337561,1.29904363,1.77513305,0.00295857,2.17425941
-5.86793397,3.70707618,0.09913243,0.00329662,1.29898135,1.77556769,0.00317984,2.17577103
-5.86193097,3.70406291,0.10200644,0.00325184,1.29919457,1.77375892,0.00348952,2.17091332
-5.85592796,3.70104070,0.10651531,0.00323980,1.29940911,1.76949614,0.00389352,2.15933680
-5.84992496,3.69765136,0.11263395,0.00325860,1.29941911,1.76272495,0.00439734,2.14094175
-5.84392196,3.69376532,0.12031391,0.00330599,1.29908954,1.75354756,0.00500595,2.11587949
-5.83791896,3.68946934,0.12948259,0.00337936,1.29835381,1.74221507,0.00572345,2.08454311
-5.83191596,3.68504084,0.14004249,0.00347582,1.29720715,1.72911250,0.00655287,2.04754862
-5.82591296,3.68091144,0.15187092,0.00359221,1.29569674,1.71473774,0.00749583,2.00570785
-5.81990995,3.67762309,0.16481994,0.00372512,1.29390954,1.69967595,0.00855226,1.95999510
-5.81390695,3.67578027,0.17871705,0.00387096,1.29195914,1.68457123,0.00972005,1.91150921
-5.80790395,3.67600207,0.19336650,0.00402596,1.28997280,1.67009730,0.01099481,1.86143358
-5.80190095,3.67887755,0.20855141,0.00418624,1.28807964,1.65692899,0.01236960,1.81099589
-5.79589795,3.68492748,0.22403676,0.00434784,1.28640101,1.64571605,0.01383475,1.76142952
-5.78989495,3.69457476,0.23957328,0.00450681,1.28504353,1.63706070,0.01537772,1.71393834
-5.78389195,3.70812514,0.25490213,0.00465928,1.28409523,1.63149979,0.01698314,1.66966601
-5.77788894,3.72575882,0.26976036,0.00480151,1.28362480,1.62949213,0.01863283,1.62967064
-5.77188594,3.74753271,0.28388690,0.00492999,1.28368356,1.63141117,0.02030605,1.59490508
-5.76588294,3.77339216,0.29702894,0.00504157,1.28430977,1.63754266,0.02197980,1.56620297
-5.75987994,3.80319023,0.30894849,0.00513345,1.28553443,1.64808678,0.02362928,1.54426979
-5.75387694,3.83671211,0.31942875,0.00520337,1.28738769,1.66316363,0.02522842,1.52967837
-5.74787394,3.87370187,0.32828008,0.00524958,1.28990494,1.68282105,0.02675052,1.52286782
-5.74187094,3.91388861,0.33534533,0.00527096,1.29313171,1.70704357,0.02816897,1.52414471
-5.73586793,3.95700932,0.34050428,0.00526703,1.29712667,1.73576108,0.02945805,1.53368553
-5.72986493,4.00282610,0.34367686,0.00523796,1.30196213,1.76885641,0.03059364,1.55153943
-5.72386193,4.05113594,0.34482524,0.00518458,1.30772171,1.80617064,0.03155402,1.57763045
-5.71785893,4.10177212,0.34395445,0.00510832,1.31449537,1.84750577,0.03232061,1.61175889
-5.71185593,4.15459701,0.34111171,0.00501119,1.32237191,1.89262440,0.03287853,1.65360151
-5.70585293,4.20948686,0.33638437,0.00489569,1.33142967,1.94124663,0.03321719,1.70271088
-5.69984992,4.26631011,0.32989673,0.00476472,1.34172620,1.99304444,0.03333063,1.75851422
-5.69384692,4.32490125,0.32180567,0.00462151,1.35328792,2.04763467,0.03321777,1.82031271
