energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.22342031,0.15357013,0.04611870,0.01206925,0.52971752,0.03432152,0.84446407,1.41075125,0.44457840
-5.99399700,2.11402346,0.14250662,0.04357731,0.01171156,0.51223682,0.03320039,0.79535244,1.37348678,0.41982560
-5.98799400,2.01034551,0.13198284,0.04123518,0.01138240,0.49574300,0.03213778,0.74872716,1.33687728,0.39655554
-5.98199100,1.91218517,0.12204893,0.03908332,0.01108305,0.48001265,0.03111573,0.70469913,1.30066513,0.37469953
-5.97598799,1.81928863,0.11274397,0.03711161,0.01081400,0.46483294,0.03011784,0.66333538,1.26460666,0.35417349
-5.96998499,1.73137085,0.10409625,0.03530938,0.01057498,0.45000967,0.02912970,0.62466389,1.22848811,0.33488366
-5.96398199,1.64813855,0.09612403,0.03366601,0.01036512,0.43537477,0.02813931,0.58867997,1.19214102,0.31673264
-5.95797899,1.56931350,0.08883671,0.03217154,0.01018303,0.42079294,0.02713741,0.55535371,1.15545621,0.29962553
-5.95197599,1.49465509,0.08223630,0.03081721,0.01002699,0.40616716,0.02611763,0.52463810,1.11839579,0.28347573
-5.94597299,1.42398111,0.07631917,0.02959597,0.00989503,0.39144302,0.02507669,0.49647733,1.08100266,0.26821040
-5.93996998,1.35718584,0.07107781,0.02850297,0.00978511,0.37661151,0.02401434,0.47081503,1.04340701,0.25377520
-5.93396698,1.29425495,0.06650270,0.02753591,0.00969525,0.36171043,0.02293330,0.44760189,1.00582980,0.24013811
-5.92796398,1.23527647,0.06258406,0.02669540,0.00962363,0.34682430,0.02183909,0.42680257,0.96858304,0.22729246
-5.92196098,1.18044787,0.05931341,0.02598517,0.00956870,0.33208286,0.02073973,0.40840152,0.93206708,0.21525883
-5.91595798,1.13007908,0.05668500,0.02541227,0.00952928,0.31765836,0.01964543,0.39240780,0.89676517,0.20408602
-5.90995498,1.08459148,0.05469690,0.02498715,0.00950463,0.30376162,0.01856820,0.37885844,0.86323549,0.19385093
-5.90395198,1.04451330,0.05335182,0.02472366,0.00949446,0.29063734,0.01752141,0.36782067,0.83210129,0.18465769
-5.89794897,1.01047154,0.05265764,0.02463899,0.00949901,0.27855852,0.01651940,0.35939273,0.80403934,0.17663580
-5.89194597,0.98318081,0.05262754,0.02475351,0.00951900,0.26782049,0.01557699,0.35370336,0.77976716,0.16993760
-5.88594297,0.96342952,0.05327988,0.02509051,0.00955566,0.25873447,0.01470908,0.35091008,0.76002943,0.16473510
-5.87993997,0.95206356,0.05463772,0.02567589,0.00961065,0.25162106,0.01393029,0.35119611,0.74558381,0.16121626
-5.87393697,0.94996799,0.05672800,0.02653772,0.00968606,0.24680351,0.01325457,0.35476622,0.73718637,0.15958076
-5.86793397,0.95804667,0.05958055,0.02770570,0.00978429,0.24460113,0.01269491,0.36184126,0.73557683,0.16003539
-5.86193097,0.97720037,0.06322671,0.02921053,0.00990801,0.24532264,0.01226308,0.37265182,0.74146372,0.16278908
