energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.96658100,0.18866663,0.00294282,0.08563721,0.30593331,0.60157534,0.07710457
-5.99399700,0.88400121,0.18040472,0.00264818,0.07831456,0.27551522,0.55519175,0.06856787
-5.98799400,0.80621476,0.17211349,0.00238724,0.07134180,0.24698076,0.51064831,0.06072086
-5.98199100,0.73341633,0.16387118,0.00216101,0.06474841,0.22037343,0.46808090,0.05356243
-5.97598799,0.66575438,0.15576913,0.00197019,0.05855736,0.19570931,0.42761209,0.04708324
-5.96998499,0.60333401,0.14790876,0.00181521,0.05278540,0.17297988,0.38935033,0.04126681
-5.96398199,0.54621935,0.14039818,0.00169627,0.04744342,0.15215484,0.35338877,0.03609073
-5.95797899,0.49443542,0.13334850,0.00161333,0.04253685,0.13318507,0.31980389,0.03152774
-5.95197599,0.44796953,0.12686991,0.00156613,0.03806606,0.11600551,0.28865405,0.02754683
-5.94597299,0.40677224,0.12106774,0.00155421,0.03402681,0.10053803,0.25997814,0.02411417
-5.93996998,0.37075797,0.11603856,0.00157688,0.03041069,0.08669418,0.23379436,0.02119398
-5.93396698,0.33980546,0.11186653,0.00163321,0.02720554,0.07437788,0.21009946,0.01874925
-5.92796398,0.31375817,0.10862006,0.00172202,0.02439588,0.06348794,0.18886842,0.01674239
-5.92196098,0.29242485,0.10634897,0.00184183,0.02196335,0.05392041,0.17005464,0.01513575
-5.91595798,0.27558041,0.10508215,0.00199084,0.01988706,0.04557087,0.15359081,0.01389200
-5.90995498,0.26296738,0.10482599,0.00216689,0.01814405,0.03833647,0.13939041,0.01297448
-5.90395198,0.25429799,0.10556350,0.00236745,0.01670959,0.03211783,0.12734992,0.01234747
-5.89794897,0.24925721,0.10725422,0.00258960,0.01555758,0.02682083,0.11735169,0.01197638
-5.89194597,0.24750674,0.10983502,0.00283001,0.01466093,0.02235822,0.10926745,0.01182793
-5.88594297,0.24869024,0.11322178,0.00308500,0.01399190,0.01865112,0.10296253,0.01187034
-5.87993997,0.25243978,0.11731189,0.00335051,0.01352244,0.01563039,0.09830061,0.01207349
-5.87393697,0.25838353,0.12198768,0.00362220,0.01322464,0.01323799,0.09514907,0.01240914
-5.86793397,0.26615480,0.12712051,0.00389552,0.01307104,0.01142817,0.09338485,0.01285117
-5.86193097,0.27540229,0.13257570,0.00416579,0.01303507,0.01016872,0.09290077,0.01337588
-5.85592796,0.28580136,0.13821793,0.00442831,0.01309143,0.00944217,0.09361216,0.01396230
-5.84992496,0.29706621,0.14391721,0.00467855,0.01321653,0.00924697,0.09546379,0.01459260
-5.84392196,0.30896254,0.14955501,0.00491220,0.01338888,0.00959865,0.09843697,0.01525254
-5.83791896,0.32132047,0.15503054,0.00512539,0.01358952,0.01053104,0.10255657,0.01593184
-5.83191596,0.33404720,0.16026693,0.00531484,0.01380237,0.01209727,0.10789783,0.01662470
-5.82591296,0.34713883,0.16521700,0.00547795,0.01401462,0.01437086,0.11459269,0.01733021
-5.81990995,0.36069097,0.16986849,0.00561298,0.01421703,0.01744644,0.12283542,0.01805274
-5.81390695,0.37490738,0.17424839,0.00571914,0.01440421,0.02144036,0.13288706,0.01880223
-5.80790395,0.39010616,0.17842638,0.00579667,0.01457479,0.02649075,0.14507850,0.01959443
-5.80190095,0.40672283,0.18251680,0.00584691,0.01473153,0.03275717,0.15981164,0.02045098
-5.79589795,0.42530975,0.18667933,0.00587229,0.01488140,0.04041956,0.17755826,0.02139925
-5.78989495,0.44653135,0.19111802,0.00587632,0.01503548,0.04967632,0.19885622,0.02247212
