energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,0.01508038,0.00000476,0.00000919,0.00406268,0.00854487,0.00154803,0.00317579
-5.99399700,0.01806002,0.00000565,0.00001130,0.00438943,0.01028303,0.00177258,0.00376238
-5.98799400,0.02175132,0.00000689,0.00001381,0.00490905,0.01242461,0.00206899,0.00449927
-5.98199100,0.02623485,0.00000851,0.00001674,0.00563043,0.01501674,0.00244303,0.00540242
-5.97598799,0.03159657,0.00001055,0.00002016,0.00656504,0.01810951,0.00290111,0.00648909
-5.96998499,0.03792583,0.00001306,0.00002410,0.00772652,0.02175482,0.00345010,0.00777733
-5.96398199,0.04531279,0.00001609,0.00002861,0.00913007,0.02600491,0.00409709,0.00928556
-5.95797899,0.05384553,0.00001972,0.00003371,0.01079185,0.03091070,0.00484910,0.01103188
-5.95197599,0.06360656,0.00002402,0.00003945,0.01272820,0.03651982,0.00571277,0.01303342
-5.94597299,0.07466911,0.00002906,0.00004582,0.01495477,0.04287447,0.00669398,0.01530552
-5.93996998,0.08709314,0.00003491,0.00005285,0.01748565,0.05000916,0.00779752,0.01786096
-5.93396698,0.10092121,0.00004164,0.00006051,0.02033242,0.05794832,0.00902667,0.02070905
-5.92796398,0.11617451,0.00004933,0.00006880,0.02350320,0.06670408,0.01038284,0.02385486
-5.92196098,0.13284913,0.00005803,0.00007766,0.02700174,0.07627407,0.01186525,0.02729839
-5.91595798,0.15091283,0.00006779,0.00008704,0.03082667,0.08663964,0.01347058,0.03103392
-5.90995498,0.17030255,0.00007864,0.00009685,0.03497078,0.09776441,0.01519279,0.03504949
-5.90395198,0.19092289,0.00009059,0.00010701,0.03942059,0.10959342,0.01702294,0.03932656
-5.89794897,0.21264574,0.00010364,0.00011740,0.04415608,0.12205291,0.01894919,0.04383993
-5.89194597,0.23531134,0.00011776,0.00012789,0.04915076,0.13505096,0.02095684,0.04855795
-5.88594297,0.25873074,0.00013290,0.00013834,0.05437206,0.14847888,0.02302857,0.05344302
-5.87993997,0.28268989,0.00014898,0.00014859,0.05978202,0.16221360,0.02514481,0.05845240
-5.87393697,0.30695528,0.00016591,0.00015851,0.06533841,0.17612089,0.02728419,0.06353941
-5.86793397,0.33128109,0.00018356,0.00016792,0.07099610,0.19005947,0.02942423,0.06865490
-5.86193097,0.35541755,0.00020179,0.00017668,0.07670883,0.20388584,0.03154204,0.07374895
-5.85592796,0.37912044,0.00022044,0.00018466,0.08243118,0.21745967,0.03361516,0.07877290
-5.84992496,0.40216118,0.00023936,0.00019171,0.08812077,0.23064966,0.03562247,0.08368138
-5.84392196,0.42433714,0.00025836,0.00019775,0.09374050,0.24333942,0.03754507,0.08843454
-5.83791896,0.44548175,0.00027729,0.00020269,0.09926081,0.25543323,0.03936721,0.09300007
-5.83191596,0.46547364,0.00029599,0.00020648,0.10466172,0.26686136,0.04107710,0.09735516
-5.82591296,0.48424457,0.00031431,0.00020911,0.10993466,0.27758458,0.04266757,0.10148816
-5.81990995,0.50178531,0.00033214,0.00021058,0.11508381,0.28759747,0.04413667,0.10539972
-5.81390695,0.51814915,0.00034940,0.00021094,0.12012692,0.29693055,0.04548794,0.10910357
-5.80790395,0.53345265,0.00036602,0.00021028,0.12509547,0.30565062,0.04673053,0.11262661
-5.80190095,0.54787325,0.00038201,0.00020869,0.13003403,0.31385939,0.04787901,0.11600837
-5.79589795,0.56164360,0.00039737,0.00020632,0.13499892,0.32169031,0.04895290,0.11929972
-5.78989495,0.57504275,0.00041218,0.00020332,0.14005602,0.32930348,0.04997594,0.12256101
-5.78389195,0.58838428,0.00042653,0.00019985,0.14527775,0.33687883,0.05097507,0.12585941
-5.77788894,0.60200174,0.00044054,0.00019611,0.15073948,0.34460789,0.05197926,0.12926581
-5.77188594,0.61623203,0.00045437,0.00019226,0.15651532,0.35268422,0.05301801,0.13285116
-5.76588294,0.63139744,0.00046816,0.00018849,0.16267354,0.36129316,0.05411993,0.13668261
-5.75987994,0.64778702,0.00048210,0.00018497,0.16927183,0.37060123,0.05531106,0.14081949
-5.75387694,0.66563851,0.00049632,0.00018183,0.17635269,0.38074582,0.05661340,0.14530938
-5.74787394,0.68512148,0.00051096,0.00017921,0.18393910,0.39182556,0.05804345,0.15018453
-5.74187094,0.70632296,0.00052613,0.00017719,0.19203087,0.40389218,0.05961095,0.15545872
-5.73586793,0.72923621,0.00054191,0.00017585,0.20060176,0.41694414,0.06131798,0.16112499
-5.72986493,0.75375364,0.00055831,0.00017522,0.20959784,0.43092267,0.06315826,0.16715411
-5.72386193,0.77966438,0.00057533,0.00017528,0.21893696,0.44571045,0.06511698,0.17349422
-5.71785893,0.80665695,0.00059291,0.00017602,0.22850968,0.46113323,0.06717097,0.18007156
-5.71185593,0.83432716,0.00061094,0.00017736,0.23818171,0.47696448,0.06928935,0.18679233
-5.70585293,0.86219119,0.00062929,0.00017922,0.24779763,0.49293294,0.07143458,0.19354579
-5.69984992,0.88970339,0.00064782,0.00018148,0.25718603,0.50873293,0.07356394,0.20020831
-5.69384692,0.91627810,0.00066636,0.00018402,0.26616576,0.52403695,0.07563133,0.20664839
-5.68784392,0.94131464,0.00068478,0.00018671,0.27455304,0.53851006,0.07758934,0.21273233
-5.68184092,0.96422426,0.00070296,0.00018940,0.28216912,0.55182536,0.07939144,0.21833035
-5.67583792,0.98445783,0.00072084,0.00019196,0.28884818,0.56367991,0.08099434,0.22332285
-5.66983492,1.00153279,0.00073845,0.00019429,0.29444500,0.57381017,0.08236017,0.22760647
-5.66383192,1.01505805,0.00075589,0.00019626,0.29884205,0.58200619,0.08345854,0.23109966
-5.65782891,1.02475548,0.00077337,0.00019782,0.30195560,0.58812385,0.08426832,0.23374744
-5.65182591,1.03047680,0.00079126,0.00019891,0.30374053,0.59209433,0.08477904,0.23552512
-5.64582291,1.03221483,0.00081003,0.00019950,0.30419357,0.59393037,0.08499176,0.23644064
-5.63981991,1.03010850,0.00083032,0.00019962,0.30335470,0.59372875,0.08491948,0.23653549
-5.63381691,1.02444108,0.00085291,0.00019931,0.30130665,0.59166892,0.08458694,0.23588402
-5.62781391,1.01563164,0.00087877,0.00019863,0.29817250,0.58800755,0.08402986,0.23459120
-5.62181091,1.00422003,0.00090899,0.00019770,0.29411140,0.58306930,0.08329362,0.23278881
-5.61580790,0.99084592,0.00094487,0.00019665,0.28931261,0.57723416,0.08243144,0.23063027
-5.60980490,0.97622294,0.00098784,0.00019560,0.28398816,0.57092184,0.08150214,0.22828426
-5.60380190,0.96110903,0.00103954,0.00019474,0.27836444,0.56457389,0.08056758,0.22592751
-5.59779890,0.94627439,0.00110184,0.00019422,0.27267315,0.55863453,0.07968987,0.22373694
-5.59179590,0.93246869,0.00117682,0.00019421,0.26714194,0.55353094,0.07892849,0.22188171
-5.58579290,0.92038900,0.00126687,0.00019489,0.26198540,0.54965398,0.07833754,0.22051529
-5.57978989,0.91065001,0.00137476,0.00019642,0.25739661,0.54734044,0.07796309,0.21976825
-5.57378689,0.90375809,0.00150371,0.00019895,0.25353985,0.54685745,0.07784089,0.21974180
-5.56778389,0.90009048,0.00165753,0.00020261,0.25054467,0.54839000,0.07799450,0.22050262
-5.56178089,0.89988054,0.00184076,0.00020755,0.24850174,0.55203223,0.07843391,0.22207918
-5.55577789,0.90320992,0.00205884,0.00021387,0.24746066,0.55778283,0.07915480,0.22445968
-5.54977489,0.91000804,0.00231833,0.00022171,0.24742972,0.56554489,0.08013841,0.22759179
-5.54377189,0.92005899,0.00262709,0.00023118,0.24837786,0.57513034,0.08135197,0.23138417
-5.53776888,0.93301542,0.00299459,0.00024240,0.25023847,0.58626861,0.08274988,0.23570983
-5.53176588,0.94841894,0.00343208,0.00025551,0.25291509,0.59861934,0.08427538,0.24041096
-5.52576288,0.96572590,0.00395292,0.00027069,0.25628857,0.61178843,0.08586270,0.24530529
-5.51975988,0.98433750,0.00457274,0.00028813,0.26022541,0.62534669,0.08743964,0.25019350
-5.51375688,1.00363248,0.00530970,0.00030809,0.26458691,0.63885030,0.08893047,0.25486735
-5.50775388,1.02300105,0.00618463,0.00033087,0.26923863,0.65186194,0.09025886,0.25911831
-5.50175088,1.04187820,0.00722114,0.00035683,0.27405964,0.66397168,0.09135094,0.26274614
-5.49574787,1.05977477,0.00844560,0.00038639,0.27895130,0.67481654,0.09213818,0.26556704
-5.48974487,1.07630467,0.00988709,0.00042005,0.28384489,0.68409779,0.09256003,0.26742109
-5.48374187,1.09120692,0.01157719,0.00045837,0.28870786,0.69159502,0.09256615,0.26817862
-5.47773887,1.10436122,0.01354961,0.00050195,0.29354831,0.69717650,0.09211830,0.26774511
-5.47173587,1.11579639,0.01583973,0.00055146,0.29841748,0.70080500,0.09119155,0.26606463
-5.46573287,1.12569100,0.01848395,0.00060757,0.30341003,0.70253902,0.08977505,0.26312153
-5.45972986,1.13436627,0.02151891,0.00067099,0.30866216,0.70252929,0.08787208,0.25894036
-5.45372686,1.14227143,0.02498051,0.00074239,0.31434753,0.70101068,0.08549967,0.25358417
-5.44772386,1.14996214,0.02890289,0.00082240,0.32067109,0.69828996,0.08268759,0.24715118
-5.44172086,1.15807320,0.03331718,0.00091160,0.32786124,0.69473008,0.07947689,0.23977016
-5.43571786,1.16728665,0.03825029,0.00101042,0.33616031,0.69073169,0.07591811,0.23159463
-5.42971486,1.17829683,0.04372349,0.00111918,0.34581413,0.68671287,0.07206914,0.22279627
-5.42371186,1.19177413,0.04975113,0.00123803,0.35706071,0.68308813,0.06799301,0.21355794
-5.41770885,1.20832914,0.05633930,0.00136690,0.37011883,0.68024762,0.06375550,0.20406649
-5.41170585,1.22847880,0.06348457,0.00150550,0.38517674,0.67853766,0.05942287,0.19450577
-5.40570285,1.25261626,0.07117292,0.00165331,0.40238156,0.67824347,0.05505976,0.18505018
-5.39969985,1.28098576,0.07937878,0.00180953,0.42182974,0.67957498,0.05072721,0.17585898
-5.39369685,1.31366363,0.08806430,0.00197310,0.44355895,0.68265620,0.04648112,0.16707150
-5.38769385,1.35054634,0.09717899,0.00214270,0.46754175,0.68751880,0.04237085,0.15880355
-5.38169085,1.39134589,0.10665950,0.00231676,0.49368123,0.69409998,0.03843839,0.15114498
-5.37568784,1.43559290,0.11642987,0.00249346,0.52180889,0.70224464,0.03471775,0.14415850
-5.36968484,1.48264703,0.12640208,0.00267080,0.55168472,0.71171173,0.03123474,0.13787958
-5.36368184,1.53171416,0.13647699,0.00284659,0.58299970,0.72218435,0.02800711,0.13231762
-5.35767884,1.58186970,0.14654558,0.00301854,0.61538054,0.73328288,0.02504493,0.12745789
-5.35167584,1.63208676,0.15649070,0.00318428,0.64839652,0.74458076,0.02235122,0.12326436
-5.34567284,1.68126812,0.16618893,0.00334139,0.68156844,0.75562173,0.01992276,0.11968312
-5.33966983,1.72828059,0.17551299,0.00348753,0.71437921,0.76593808,0.01775100,0.11664617
-5.33366683,1.77199038,0.18433415,0.00362042,0.74628600,0.77506877,0.01582309,0.11407541
-5.32766383,1.81129814,0.19252508,0.00373792,0.77673339,0.78257680,0.01412286,0.11188665
-5.32166083,1.84517245,0.19996260,0.00383812,0.80516742,0.78806505,0.01263180,0.10999344
-5.31565783,1.87268044,0.20653067,0.00391933,0.83104981,0.79118999,0.01132999,0.10831061
-5.30965483,1.89301469,0.21212320,0.00398016,0.85387215,0.79167273,0.01019693,0.10675736
-5.30365183,1.90551554,0.21664683,0.00401954,0.87316961,0.78930718,0.00921223,0.10525982
