energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.29959330,0.07521870,0.06658146,0.42579892,0.48172176,0.42369512,0.00000000
-5.99399700,1.36847502,0.07660693,0.07131007,0.44304187,0.50913193,0.44018724,0.00000000
-5.98799400,1.44673609,0.07820908,0.07665103,0.46348442,0.53963721,0.45953577,0.00000000
-5.98199100,1.53399800,0.07996952,0.08262316,0.48702979,0.57305800,0.48156853,0.00000000
-5.97598799,1.62986693,0.08183384,0.08924687,0.51358212,0.60920703,0.50611374,0.00000000
-5.96998499,1.73392913,0.08375043,0.09654311,0.54304711,0.64788788,0.53300118,0.00000000
-5.96398199,1.84574107,0.08567166,0.10453176,0.57533048,0.68889190,0.56206131,0.00000000
-5.95797899,1.96481482,0.08755481,0.11322966,0.61033435,0.73199357,0.59312279,0.00000000
-5.95197599,2.09059926,0.08936261,0.12264814,0.64795158,0.77694460,0.62600827,0.00000000
-5.94597299,2.22245858,0.09106331,0.13279041,0.68805866,0.82346728,0.66052891,0.00000000
-5.93996998,2.35964971,0.09263058,0.14364864,0.73050737,0.87124753,0.69647801,0.00000000
-5.93396698,2.50130048,0.09404300,0.15520126,0.77511616,0.91992848,0.73362443,0.00000000
-5.92796398,2.64639087,0.09528333,0.16741028,0.82166175,0.96910510,0.77170626,0.00000000
-5.92196098,2.79373934,0.09633772,0.18021922,0.86987180,1.01832077,0.81042562,0.00000000
-5.91595798,2.94199626,0.09719476,0.19355150,0.91941943,1.06706629,0.84944499,0.00000000
-5.90995498,3.08964629,0.09784458,0.20730971,0.96992014,1.11478201,0.88838589,0.00000000
-5.90395198,3.23502080,0.09827806,0.22137576,1.02093184,1.16086335,0.92683020,0.00000000
-5.89794897,3.37632100,0.09848618,0.23561208,1.07195818,1.20466992,0.96432438,0.00000000
-5.89194597,3.51165192,0.09845961,0.24986386,1.12245539,1.24553824,1.00038691,0.00000000
-5.88594297,3.63906624,0.09818851,0.26396237,1.17184258,1.28279764,1.03451854,0.00000000
-5.87993997,3.75661671,0.09766263,0.27772920,1.21951513,1.31578896,1.06621519,0.00000000
-5.87393697,3.86241483,0.09687161,0.29098126,1.26486050,1.34388505,1.09498297,0.00000000
-5.86793397,3.95469316,0.09580553,0.30353648,1.30727589,1.36651237,1.12035448,0.00000000
-5.86193097,4.03186802,0.09445564,0.31521961,1.34618664,1.38317243,1.14190560,0.00000000
-5.85592796,4.09259932,0.09281516,0.32586826,1.38106450,1.39346198,1.15927189,0.00000000
-5.84992496,4.13584407,0.09088015,0.33533844,1.41144459,1.39709087,1.17216346,0.00000000
-5.84392196,4.16090046,0.08865036,0.34350959,1.43694026,1.39389643,1.18037763,0.00000000
-5.83791896,4.16743980,0.08612993,0.35028869,1.45725480,1.38385355,1.18380838,0.00000000
-5.83191596,4.15552421,0.08332802,0.35561322,1.47218942,1.36707974,1.18245209,0.00000000
-5.82591296,4.12560885,0.08025915,0.35945278,1.48164710,1.34383478,1.17640903,0.00000000
