energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.45352696,0.68098431,0.00000000,0.01362583,0.50884746,0.05887218,1.08195812,0.71333358,0.54238667
-5.99399700,2.40063152,0.65572021,0.00000000,0.01374361,0.49520659,0.06221944,1.06226464,0.67972832,0.52574944
-5.98799400,2.34267341,0.63087257,0.00000000,0.01382923,0.47953161,0.06534128,1.04150085,0.64643392,0.50725848
-5.98199100,2.28059733,0.60678809,0.00000000,0.01387992,0.46218369,0.06818568,1.01986502,0.61398586,0.48727532
-5.97598799,2.21534694,0.58376979,0.00000000,0.01389294,0.44354804,0.07070412,0.99752468,0.58289174,0.46617434
-5.96998499,2.14784745,0.56207399,0.00000000,0.01386579,0.42402251,0.07285308,0.97461901,0.55362097,0.44433278
-5.96398199,2.07899002,0.54190884,0.00000000,0.01379630,0.40400612,0.07459542,0.95126249,0.52659525,0.42212110
-5.95797899,2.00961806,0.52343405,0.00000000,0.01368287,0.38388802,0.07590158,0.92754934,0.50218022,0.39989401
-5.95197599,1.94051525,0.50676164,0.00000000,0.01352456,0.36403732,0.07675052,0.90355830,0.48067818,0.37798248
-5.94597299,1.87239536,0.49195743,0.00000000,0.01332122,0.34479389,0.07713043,0.87935720,0.46232229,0.35668686
-5.93996998,1.80589377,0.47904307,0.00000000,0.01307356,0.32646061,0.07703908,0.85500704,0.44727210,0.33627132
-5.93396698,1.74156043,0.46799844,0.00000000,0.01278319,0.30929716,0.07648384,0.83056530,0.43561067,0.31695962
-5.92796398,1.67985440,0.45876415,0.00000000,0.01245261,0.29351540,0.07548134,0.80608807,0.42734338,0.29893228
-5.92196098,1.62113996,0.45124438,0.00000000,0.01208515,0.27927652,0.07405687,0.78163126,0.42239837,0.28232518
-5.91595798,1.56568419,0.44530963,0.00000000,0.01168487,0.26668988,0.07224345,0.75725071,0.42062884,0.26722948
-5.90995498,1.51365651,0.44079988,0.00000000,0.01125647,0.25581348,0.07008063,0.73300142,0.42181717,0.25369277
-5.90395198,1.46513007,0.43752785,0.00000000,0.01080508,0.24665601,0.06761314,0.70893624,0.42568087,0.24172144
-5.89794897,1.42008541,0.43528272,0.00000000,0.01033614,0.23918031,0.06488944,0.68510416,0.43188045,0.23128398
-5.89194597,1.37841664,0.43383435,0.00000000,0.00985516,0.23330812,0.06196010,0.66154875,0.44002900,0.22231529
-5.88594297,1.33994014,0.43293798,0.00000000,0.00936759,0.22892598,0.05887634,0.63830684,0.44970349,0.21472168
-5.87993997,1.30440612,0.43233966,0.00000000,0.00887863,0.22589199,0.05568857,0.61540794,0.46045751,0.20838648
-5.87393697,1.27151276,0.43178221,0.00000000,0.00839308,0.22404331,0.05244503,0.59287446,0.47183520,0.20317616
-5.86793397,1.24092299,0.43101174,0.00000000,0.00791520,0.22320425,0.04919074,0.57072296,0.48338612,0.19894667
-5.86193097,1.21228331,0.42978460,0.00000000,0.00744866,0.22319452,0.04596655,0.54896646,0.49468045,0.19555001
-5.85592796,1.18524430,0.42787450,0.00000000,0.00699644,0.22383764,0.04280848,0.52761771,0.50532431,0.19284065
-5.84992496,1.15948203,0.42507963,0.00000000,0.00656084,0.22496910,0.03974734,0.50669328,0.51497438,0.19068183
-5.84392196,1.13471962,0.42122944,0.00000000,0.00614346,0.22644406,0.03680858,0.48621819,0.52335156,0.18895143
-5.83791896,1.11074790,0.41619081,0.00000000,0.00574526,0.22814436,0.03401232,0.46623096,0.53025290,0.18754721
-5.83191596,1.08744430,0.40987327,0.00000000,0.00536662,0.22998457,0.03137367,0.44678840,0.53556146,0.18639140
-5.82591296,1.06478894,0.40223306,0.00000000,0.00500744,0.23191683,0.02890313,0.42797010,0.53925338,0.18543431
-5.81990995,1.04287696,0.39327574,0.00000000,0.00466719,0.23393426,0.02660718,0.40988215,0.54140209,0.18465687
-5.81390695,1.02192639,0.38305726,0.00000000,0.00434508,0.23607284,0.02448886,0.39265966,0.54217900,0.18407203
-5.80790395,1.00228080,0.37168327,0.00000000,0.00404008,0.23841144,0.02254851,0.37646807,0.54185083,0.18372486
-5.80190095,0.98440639,0.35930683,0.00000000,0.00375110,0.24107019,0.02078435,0.36150281,0.54077322,0.18369140
