energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.93251878,0.01489211,0.53256426,0.02039345,1.19931632,3.87845875,1.32838448
-5.99399700,3.78641008,0.01432083,0.50919998,0.01938561,1.16265544,3.73926854,1.27497988
-5.98799400,3.62897571,0.01369943,0.48525287,0.01834241,1.12146225,3.58838862,1.21823310
-5.98199100,3.46200122,0.01303836,0.46081748,0.01728157,1.07635585,3.42727505,1.15875311
-5.97598799,3.28748807,0.01234865,0.43602215,0.01622135,1.02804206,3.25759749,1.09721073
-5.96998499,3.10761059,0.01164164,0.41102597,0.01518006,0.97729726,3.08120207,1.03432501
-5.96398199,2.92466892,0.01092874,0.38601502,0.01417564,0.92495058,2.90006932,0.97084863
-5.95797899,2.74103928,0.01022112,0.36119794,0.01322522,0.87186494,2.71626880,0.90755254
-5.95197599,2.55912326,0.00952949,0.33680094,0.01234472,0.81891779,2.53191168,0.84521058
-5.94597299,2.38129773,0.00886391,0.31306245,0.01154848,0.76698193,2.34910325,0.78458435
-5.93996998,2.20986674,0.00823353,0.29022763,0.01084902,0.71690710,2.16989677,0.72640876
-5.93396698,2.04701679,0.00764644,0.26854273,0.01025671,0.66950288,1.99625023,0.67137874
-5.92796398,1.89477641,0.00710955,0.24824969,0.00977963,0.62552303,1.82998726,0.62013722
-5.92196098,1.75498088,0.00662848,0.22958091,0.00942341,0.58565185,1.67276336,0.57326468
-5.91595798,1.62924240,0.00620745,0.21275435,0.00919114,0.55049250,1.52603801,0.53127037
-5.90995498,1.51892613,0.00584928,0.19796908,0.00908329,0.52055748,1.39105322,0.49458516
-5.90395198,1.42513165,0.00555537,0.18540117,0.00909777,0.49626111,1.26881853,0.46355593
-5.89794897,1.34867996,0.00532569,0.17520004,0.00922993,0.47791410,1.16010228,0.43844160
-5.89194597,1.29010524,0.00515888,0.16748528,0.00947266,0.46571989,1.06542867,0.41941032
-5.88594297,1.24965111,0.00505230,0.16234373,0.00981654,0.45977273,0.98508002,0.40653796
-5.87993997,1.22727078,0.00500210,0.15982705,0.01025002,0.46005730,0.91910354,0.39980763
-5.87393697,1.22263070,0.00500339,0.15994957,0.01075964,0.46644974,0.86732160,0.39911005
-5.86793397,1.23511742,0.00505037,0.16268656,0.01133027,0.47871999,0.82934509,0.40424490
-5.86193097,1.26384749,0.00513644,0.16797286,0.01194547,0.49653551,0.80458881,0.41492300
-5.85592796,1.30768036,0.00525442,0.17570208,0.01258783,0.51946613,0.79228871,0.43076942
-5.84992496,1.36523456,0.00539672,0.18572636,0.01323933,0.54699045,0.79152029,0.45132768
-5.84392196,1.43490727,0.00555550,0.19785682,0.01388177,0.57850349,0.80121810,0.47606514
-5.83791896,1.51489786,0.00572291,0.21186498,0.01449722,0.61332606,0.82019625,0.50437989
-5.83191596,1.60323549,0.00589123,0.22748511,0.01506844,0.65071560,0.84716978,0.53560910
-5.82591296,1.69781131,0.00605309,0.24441784,0.01557932,0.68987882,0.88077732,0.56903922
-5.81990995,1.79641526,0.00620165,0.26233490,0.01601527,0.72998598,0.91960479,0.60391797
-5.81390695,1.89677747,0.00633071,0.28088530,0.01636364,0.77018685,0.96221054,0.63946818
-5.80790395,1.99661392,0.00643494,0.29970279,0.01661400,0.80962802,1.00715182,0.67490334
-5.80190095,2.09367572,0.00650993,0.31841446,0.01675842,0.84747157,1.05301248,0.70944469
-5.79589795,2.18580109,0.00655229,0.33665059,0.01679167,0.88291432,1.09843165,0.74233948
-5.78989495,2.27096866,0.00655977,0.35405514,0.01671126,0.91520758,1.14213294,0.77287982
-5.78389195,2.34735067,0.00653124,0.37029694,0.01651752,0.94367656,1.18295363,0.80042176
-5.77788894,2.41336412,0.00646671,0.38508086,0.01621345,0.96773889,1.21987287,0.82440372
-5.77188594,2.46771812,0.00636729,0.39815883,0.01580462,0.98692156,1.25203825,0.84436356
-5.76588294,2.50945535,0.00623517,0.40933999,0.01529888,1.00087562,1.27878948,0.85995377
-5.75987994,2.53798565,0.00607349,0.41849969,0.01470606,1.00938791,1.29967829,0.87095371
-5.75387694,2.55311023,0.00588625,0.42558680,0.01403758,1.01238936,1.31448353,0.87727856
-5.74787394,2.55503483,0.00567818,0.43062893,0.01330610,1.00995920,1.32322053,0.87898424
-5.74187094,2.54437071,0.00545459,0.43373527,0.01252505,1.00232489,1.32614399,0.87626802
-5.73586793,2.52212306,0.00522122,0.43509676,0.01170819,0.98985750,1.32374380,0.86946447
-5.72986493,2.48966639,0.00498407,0.43498342,0.01086926,0.97306244,1.31673357,0.85903682
-5.72386193,2.44870741,0.00474924,0.43373888,0.01002154,0.95256589,1.30603175,0.84556379
-5.71785893,2.40123623,0.00452278,0.43177210,0.00917754,0.92909700,1.29273565,0.82972232
-5.71185593,2.34946737,0.00431053,0.42954652,0.00834873,0.90346664,1.27808898,0.81226664
-5.70585293,2.29577215,0.00411796,0.42756700,0.00754525,0.87654305,1.26344365,0.79400454
-5.69984992,2.24260494,0.00395005,0.42636478,0.00677584,0.84922549,1.25021692,0.77577140
-5.69384692,2.19242553,0.00381119,0.42648120,0.00604767,0.82241639,1.23984536,0.75840321
-5.68784392,2.14762035,0.00370506,0.42845041,0.00536634,0.79699330,1.23373685,0.74270933
-5.68184092,2.11042526,0.00363453,0.43278200,0.00473588,0.77378133,1.23322249,0.72944607
-5.67583792,2.08285271,0.00360164,0.43994384,0.00415885,0.75352706,1.23950976,0.71929209
-5.66983492,2.06662570,0.00360749,0.45034597,0.00363640,0.73687503,1.25363884,0.71282648
-5.66383192,2.06312103,0.00365229,0.46432598,0.00316843,0.72434730,1.27644353,0.71051030
-5.65782891,2.07332387,0.00373530,0.48213650,0.00275379,0.71632717,1.30851823,0.71267227
-5.65182591,2.09779531,0.00385488,0.50393520,0.00239039,0.71304735,1.35019232,0.71949920
-5.64582291,2.13665415,0.00400852,0.52977771,0.00207539,0.71458321,1.40151299,0.73103136
-5.63981991,2.18957360,0.00419293,0.55961377,0.00180542,0.72085136,1.46223723,0.74716297
-5.63381691,2.25579311,0.00440410,0.59328676,0.00157669,0.73161357,1.53183357,0.76764780
-5.62781391,2.33414502,0.00463746,0.63053653,0.00138517,0.74648608,1.60949352,0.79210960
-5.62181091,2.42309502,0.00488801,0.67100572,0.00122673,0.76495388,1.69415265,0.82005692
-5.61580790,2.52079495,0.00515045,0.71424899,0.00109722,0.78638960,1.78452055,0.85090162
-5.60980490,2.62514609,0.00541941,0.75974512,0.00099264,0.81007623,1.87911872,0.88398042
-5.60380190,2.73387047,0.00568965,0.80691134,0.00090914,0.83523301,1.97632507,0.91857864
-5.59779890,2.84458741,0.00595621,0.85511937,0.00084313,0.86104339,2.07442335,0.95395488
-5.59179590,2.95489245,0.00621467,0.90371260,0.00079131,0.88668414,2.17165575,0.98936604
-5.58579290,3.06243532,0.00646133,0.95202362,0.00075072,0.91135432,2.26627648,1.02409128
-5.57978989,3.16499418,0.00669337,0.99939151,0.00071872,0.93430314,2.35660429,1.05745419
-5.57378689,3.26054282,0.00690907,1.04517821,0.00069304,0.95485549,2.44107191,1.08884226
-5.56778389,3.34730851,0.00710787,1.08878335,0.00067174,0.97243411,2.51827030,1.11772282
-5.56178089,3.42381805,0.00729053,1.12965703,0.00065321,0.98657755,2.58698615,1.14365507
-5.55577789,3.48893053,0.00745911,1.16731020,0.00063617,0.99695318,2.64623102,1.16629757
-5.54977489,3.54185568,0.00761701,1.20132230,0.00061964,1.00336464,2.69526129,1.18541142
-5.54377189,3.58215749,0.00776888,1.23134619,0.00060289,1.00575365,2.73358825,1.20085886
-5.53776888,3.60974354,0.00792050,1.25711032,0.00058544,1.00419599,2.76097828,1.21259785
-5.53176588,3.62484104,0.00807862,1.27841835,0.00056703,0.99889209,2.77744348,1.22067302
-5.52576288,3.62796138,0.00825071,1.29514652,0.00054756,0.99015260,2.78322369,1.22520367
-5.51975988,3.61985530,0.00844468,1.30723936,0.00052708,0.97837983,2.77876109,1.22636975
-5.51375688,3.60146136,0.00866859,1.31470385,0.00050576,0.96404589,2.76466900,1.22439653
-5.50775388,3.57385075,0.00893028,1.31760303,0.00048388,0.94766870,2.74169673,1.21953899
-5.50175088,3.53817113,0.00923701,1.31604908,0.00046173,0.92978710,2.71069238,1.21206679
-5.49574787,3.49559265,0.00959508,1.31019677,0.00043968,0.91093608,2.67256554,1.20225067
