energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.64710342,0.07547954,0.00180051,0.00054588,1.27840759,1.43147863,0.67200668
-5.99399700,1.65514944,0.07607140,0.00180161,0.00051955,1.28527440,1.47212085,0.67251936
-5.98799400,1.67912877,0.07670347,0.00181101,0.00049741,1.30516398,1.52624712,0.68108251
-5.98199100,1.71875289,0.07734222,0.00182818,0.00047957,1.33789527,1.59364702,0.69759976
-5.97598799,1.77362225,0.07796443,0.00185282,0.00046622,1.38317890,1.67399153,0.72187914
-5.96998499,1.84324169,0.07855821,0.00188489,0.00045754,1.44062879,1.76684072,0.75363859
-5.96398199,1.92703447,0.07912338,0.00192458,0.00045384,1.50977307,1.87165140,0.79251200
-5.95797899,2.02435455,0.07967160,0.00197239,0.00045542,1.59006394,1.98778504,0.83805577
-5.95197599,2.13449697,0.08022586,0.00202912,0.00046269,1.68088660,2.11451577,0.88975603
-5.94597299,2.25670623,0.08081963,0.00209584,0.00047610,1.78156689,2.25103845,0.94703615
-5.93996998,2.39018272,0.08149548,0.00217392,0.00049616,1.89137793,2.39647697,1.00926486
-5.93396698,2.53408714,0.08230336,0.00226494,0.00052341,2.00954555,2.54989240,1.07576458
-5.92796398,2.68754312,0.08329851,0.00237073,0.00055845,2.13525267,2.71029113,1.14582002
-5.92196098,2.84963802,0.08453915,0.00249326,0.00060191,2.26764259,2.87663267,1.21868690
-5.91595798,3.01942211,0.08608396,0.00263462,0.00065441,2.40582135,3.04783697,1.29360056
-5.90995498,3.19590628,0.08798951,0.00279694,0.00071658,2.54885919,3.22279101,1.36978432
-5.90395198,3.37805855,0.09030767,0.00298232,0.00078900,2.69579121,3.40035461,1.44645747
-5.89794897,3.56479966,0.09308323,0.00319276,0.00087222,2.84561745,3.57936509,1.52284270
-5.89194597,3.75499798,0.09635159,0.00343007,0.00096670,2.99730262,3.75864096,1.59817284
-5.88594297,3.94746443,0.10013691,0.00369583,0.00107278,3.14977572,3.93698462,1.67169692
-5.87993997,4.14094764,0.10445045,0.00399123,0.00119070,3.30192987,4.11318420,1.74268553
-5.87393697,4.33413023,0.10928947,0.00431704,0.00132049,3.45262288,4.28601498,1.81043551
-5.86793397,4.52562661,0.11463654,0.00467356,0.00146201,3.60067882,4.45424069,1.87427415
-5.86193097,4.71398308,0.12045929,0.00506046,0.00161491,3.74489117,4.61661540,1.93356308
-5.85592796,4.89768096,0.12671071,0.00547680,0.00177856,3.88402793,4.77188628,1.98770188
-5.84992496,5.07514306,0.13332986,0.00592095,0.00195210,4.01683901,4.91879814,2.03613194
-5.84392196,5.24474421,0.14024308,0.00639055,0.00213436,4.14206626,5.05610003,2.07834041
-5.83791896,5.40482600,0.14736551,0.00688248,0.00232390,4.25845617,5.18255439,2.11386462
-5.83191596,5.55371576,0.15460302,0.00739287,0.00251897,4.36477532,5.29694894,2.14229691
-5.82591296,5.68974980,0.16185434,0.00791714,0.00271756,4.45982827,5.39811151,2.16328996
