energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.57943414,0.43745737,0.34645943,0.00290602,0.00001820,0.00681502,0.31569998
-5.99399700,0.66609636,0.50660337,0.40179302,0.00341846,0.00001921,0.00694863,0.36381573
-5.98799400,0.76624474,0.58640803,0.46463431,0.00401588,0.00002074,0.00730805,0.41918321
-5.98199100,0.88004974,0.67715034,0.53507222,0.00470262,0.00002278,0.00788757,0.48189887
-5.97598799,1.00749793,0.77897313,0.61306874,0.00548211,0.00002532,0.00868228,0.55195538
-5.96998499,1.14835440,0.89185193,0.69843716,0.00635663,0.00002834,0.00968772,0.62922119
-5.96398199,1.30212817,1.01556520,0.79082282,0.00732696,0.00003183,0.01089950,0.71342169
-5.95797899,1.46804298,1.14966802,0.88968794,0.00839207,0.00003577,0.01231281,0.80412353
-5.95197599,1.64501566,1.29347071,0.99430163,0.00954889,0.00004014,0.01392202,0.90072306
-5.94597299,1.83164415,1.44602431,1.10373653,0.01079204,0.00004491,0.01572030,1.00244020
-5.93996998,2.02620734,1.60611439,1.21687281,0.01211372,0.00005005,0.01769924,1.10831876
-5.93396698,2.22667792,1.77226456,1.33241063,0.01350360,0.00005552,0.01984869,1.21723384
-5.92796398,2.43074937,1.94275067,1.44889108,0.01494886,0.00006129,0.02215656,1.32790702
-5.92196098,2.63587738,2.11562611,1.56472586,0.01643432,0.00006731,0.02460895,1.43892934
-5.91595798,2.83933521,2.28875831,1.67823504,0.01794267,0.00007354,0.02719028,1.54879181
-5.90995498,3.03828200,2.45987589,1.78769206,0.01945483,0.00007991,0.02988373,1.65592284
-5.90395198,3.22984185,2.62662506,1.89137447,0.02095044,0.00008637,0.03267174,1.75873147
-5.89794897,3.41119126,2.78663395,1.98761872,0.02240841,0.00009288,0.03553675,1.85565494
-5.89194597,3.57965141,2.93758223,2.07487668,0.02380758,0.00009939,0.03846209,1.94520885
-5.88594297,3.73278183,3.07727364,2.15177167,0.02512744,0.00010584,0.04143290,2.02603771
-5.87993997,3.86847112,3.20370841,2.21715142,0.02634885,0.00011220,0.04443725,2.09696393
-5.87393697,3.98502080,3.31515235,2.27013542,0.02745480,0.00011844,0.04746719,2.15703284
-5.86793397,4.08121808,3.41019978,2.31015440,0.02843111,0.00012452,0.05051981,2.20555165
-5.86193097,4.15639406,3.48782704,2.33697991,0.02926705,0.00013045,0.05359819,2.24212041
-5.85592796,4.21046402,3.54743424,2.35074214,0.02995585,0.00013623,0.05671223,2.26665334
-5.84992496,4.24394750,3.58887296,2.35193516,0.03049507,0.00014186,0.05987918,2.27938923
-5.84392196,4.25796655,3.61245843,2.34140866,0.03088685,0.00014739,0.06312398,2.28089030
-5.83791896,4.25422157,3.61896525,2.32034645,0.03113789,0.00015286,0.06647919,2.27202906
-5.83191596,4.23494504,3.60960649,2.29023217,0.03125932,0.00015832,0.06998457,2.25396363
-5.82591296,4.20283460,3.58599682,2.25280358,0.03126630,0.00016386,0.07368625,2.22810228
-5.81990995,4.16096760,3.55010079,2.20999700,0.03117752,0.00016954,0.07763546,2.19605841
