energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,11.71022960,1.30138501,6.66093701,0.01645071,0.78938769,0.89041758,0.60437596,0.11061100,2.77559708
-5.99399700,11.91329657,1.33349429,6.80812815,0.01661996,0.79426925,0.91290917,0.61257722,0.10987904,2.82824168
-5.98799400,12.13376652,1.36844609,6.96379114,0.01680363,0.80041774,0.93594024,0.62242210,0.10919433,2.88521476
-5.98199100,12.37055419,1.40593958,7.12722107,0.01699958,0.80780002,0.95922950,0.63398008,0.10856594,2.94621637
-5.97598799,12.62242481,1.44563167,7.29764678,0.01720559,0.81636036,0.98249826,0.64731743,0.10800264,3.01093376
-5.96998499,12.88804002,1.48714610,7.47426101,0.01741953,0.82602358,1.00547733,0.66249428,0.10751261,3.07904986
-5.96398199,13.16600023,1.53008324,7.65624791,0.01763955,0.83669848,1.02791350,0.67956084,0.10710321,3.15025004
-5.95797899,13.45488127,1.57403026,7.84280643,0.01786433,0.84828131,1.04957525,0.69855312,0.10678062,3.22422656
-5.95197599,13.75326326,1.61857120,8.03316837,0.01809321,0.86065918,1.07025763,0.71948800,0.10654964,3.30068054
-5.94597299,14.05975028,1.66329643,8.22661014,0.01832640,0.87371313,1.08978598,0.74235806,0.10641329,3.37932141
-5.93996998,14.37297991,1.70781104,8.42245776,0.01856503,0.88732073,1.10801843,0.76712642,0.10637266,3.45986390
-5.93396698,14.69162219,1.75174193,8.62008467,0.01881124,0.90135816,1.12484713,0.79372176,0.10642659,3.54202260
-5.92796398,15.01436836,1.79474312,8.81890262,0.01906816,0.91570160,1.14019803,0.82203401,0.10657153,3.62550468
-5.92196098,15.33991003,1.83649921,9.01834615,0.01933987,0.93022801,1.15402934,0.85191080,0.10680137,3.71000091
-5.91595798,15.66691018,1.87672679,9.21785127,0.01963121,0.94481518,1.16632870,0.88315514,0.10710738,3.79517569
-5.90995498,15.99396782,1.91517395,9.41682980,0.01994764,0.95934130,1.17710914,0.91552437,0.10747817,3.88065665
-5.90395198,16.31957855,1.95161788,9.61464046,0.02029497,0.97368398,1.18640406,0.94873075,0.10789973,3.96602432
-5.89794897,16.64209354,1.98586092,9.81055862,0.02067903,0.98771890,1.19426146,0.98244370,0.10835560,4.05080274
-5.89194597,16.95967985,2.01772533,10.00374630,0.02110536,1.00131835,1.20073763,1.01629368,0.10882701,4.13445143
-5.88594297,17.27028486,2.04704732,10.19322437,0.02157887,1.01434965,1.20589069,1.04987777,0.10929318,4.21635964
-5.87993997,17.57160787,2.07367067,10.37784887,0.02210346,1.02667385,1.20977427,1.08276683,0.10973165,4.29584306
-5.87393697,17.86108147,2.09744064,10.55629327,0.02268168,1.03814468,1.21243167,1.11451385,0.11011868,4.37214394
-5.86793397,18.13586526,2.11819848,10.72703828,0.02331445,1.04860802,1.21389089,1.14466358,0.11042970,4.44443458
-5.86193097,18.39285389,2.13577723,10.88837064,0.02400081,1.05790206,1.21416065,1.17276275,0.11063985,4.51182483
-5.85592796,18.62870095,2.14999913,11.03839203,0.02473771,1.06585812,1.21322794,1.19837088,0.11072452,4.57337346
