energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.77209434,0.00832035,1.25723061,0.05267302,0.00007458,0.43334047,0.81258542
-5.99399700,1.67011509,0.00759558,1.17054352,0.04762292,0.00007507,0.41233511,0.76197250
-5.98799400,1.57852563,0.00699596,1.08891398,0.04306448,0.00007650,0.39425111,0.71470181
-5.98199100,1.49894227,0.00652365,1.01350697,0.03902492,0.00007896,0.37948733,0.67155093
-5.97598799,1.43275147,0.00618006,0.94535547,0.03552233,0.00008253,0.36837316,0.63322131
-5.96998499,1.38108454,0.00596582,0.88534554,0.03256598,0.00008728,0.36116164,0.60032571
-5.96398199,1.34479699,0.00588077,0.83420473,0.03015688,0.00009324,0.35802410,0.57337750
-5.95797899,1.32445266,0.00592401,0.79249375,0.02828832,0.00010043,0.35904627,0.55278191
-5.95197599,1.32031270,0.00609376,0.76060113,0.02694654,0.00010886,0.36422594,0.53882920
-5.94597299,1.33232968,0.00638732,0.73874078,0.02611132,0.00011849,0.37347229,0.53168986
-5.93996998,1.36014686,0.00680097,0.72695222,0.02575664,0.00012927,0.38660705,0.53141187
-5.93396698,1.40310301,0.00732986,0.72510348,0.02585122,0.00014110,0.40336737,0.53791999
-5.92796398,1.46024287,0.00796786,0.73289639,0.02635912,0.00015389,0.42341068,0.55101726
-5.92196098,1.53033371,0.00870748,0.74987451,0.02724028,0.00016747,0.44632158,0.57038865
-5.91595798,1.61188800,0.00953976,0.77543356,0.02845099,0.00018170,0.47162060,0.59560717
-5.90995498,1.70319251,0.01045419,0.80883460,0.02994446,0.00019638,0.49877502,0.62614231
-5.90395198,1.80234364,0.01143865,0.84921998,0.03167135,0.00021129,0.52721150,0.66137111
-5.89794897,1.90728891,0.01247950,0.89563216,0.03358030,0.00022622,0.55633041,0.70059170
-5.89194597,2.01587406,0.01356158,0.94703548,0.03561863,0.00024092,0.58552155,0.74303946
-5.88594297,2.12589505,0.01466836,1.00234068,0.03773296,0.00025515,0.61418087,0.78790548
-5.87993997,2.23515378,0.01578220,1.06043208,0.03987003,0.00026866,0.64172795,0.83435725
-5.87393697,2.34151641,0.01688455,1.12019689,0.04197750,0.00028122,0.66762341,0.88156107
-5.86793397,2.44297245,0.01795635,1.18055614,0.04400480,0.00029259,0.69138594,0.92870572
-5.86193097,2.53769280,0.01897837,1.24049648,0.04590412,0.00030258,0.71260830,0.97502668
-5.85592796,2.62408484,0.01993169,1.29910181,0.04763124,0.00031100,0.73097159,1.01983020
-5.84992496,2.70084243,0.02079814,1.35558369,0.04914654,0.00031769,0.74625735,1.06251629
-5.84392196,2.76698867,0.02156077,1.40930938,0.05041574,0.00032255,0.75835678,1.10259960
-5.83791896,2.82190977,0.02220434,1.45982613,0.05141075,0.00032549,0.76727689,1.13972749
-5.83191596,2.86537805,0.02271575,1.50688059,0.05211025,0.00032648,0.77314293,1.17369408
-5.82591296,2.89756301,0.02308443,1.55043215,0.05250020,0.00032553,0.77619715,1.20444964
-5.81990995,2.91902940,0.02330263,1.59065918,0.05257412,0.00032267,0.77679356,1.23210456
-5.81390695,2.93072198,0.02336573,1.62795756,0.05233319,0.00031801,0.77538895,1.25692741
-5.80790395,2.93393699,0.02327234,1.66293080,0.05178622,0.00031166,0.77253018,1.27933680
-5.80190095,2.93028114,0.02302436,1.69637186,0.05094925,0.00030378,0.76883824,1.29988710
-5.79589795,2.92161926,0.02262695,1.72923681,0.04984520,0.00029458,0.76498940,1.31924821
-5.78989495,2.91001235,0.02208834,1.76261098,0.04850313,0.00028426,0.76169413,1.33818000
-5.78389195,2.89764825,0.02141961,1.79766867,0.04695756,0.00027306,0.75967435,1.35750227
-5.77788894,2.88676739,0.02063437,1.83562777,0.04524753,0.00026123,0.75963987,1.37806123
-5.77188594,2.87958654,0.01974835,1.87770102,0.04341578,0.00024902,0.76226465,1.40069392
-5.76588294,2.87822331,0.01877896,1.92504580,0.04150776,0.00023668,0.76816385,1.42619190
-5.75987994,2.88462451,0.01774483,1.97871461,0.03957076,0.00022446,0.77787226,1.45526577
