energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,8.82874002,0.14825406,0.00672221,3.11673356,0.27305849,2.12151968,6.76209619,1.89526076
-5.99399700,8.77060239,0.14605231,0.00704408,3.11703934,0.26205108,2.08726219,6.69289011,1.94040616
-5.98799400,8.71414150,0.14403996,0.00740749,3.11862496,0.25055455,2.05302824,6.62457369,1.98801859
-5.98199100,8.66313200,0.14228662,0.00781540,3.12257758,0.23876104,2.02002852,6.56038823,2.03827448
-5.97598799,8.62082487,0.14084666,0.00826983,3.12978403,0.22685304,1.98936490,6.50320630,2.09119751
-5.96998499,8.58987025,0.13975814,0.00877179,3.14090687,0.21499967,1.96200761,6.45547235,2.14665000
-5.96398199,8.57226850,0.13904244,0.00932118,3.15637063,0.20335358,1.93877896,6.41916407,2.20433111
-5.95797899,8.56935026,0.13870457,0.00991682,3.17635850,0.19204881,1.92034372,6.39577436,2.26378192
-5.95197599,8.58178429,0.13873417,0.01055646,3.20081901,0.18119934,1.90720594,6.38631279,2.32439722
-5.94597299,8.60961073,0.13910710,0.01123684,3.22948195,0.17089841,1.89971169,6.39132446,2.38544363
-5.93996998,8.65229637,0.13978747,0.01195381,3.26188220,0.16121856,1.89805673,6.41092341,2.44608314
-5.93396698,8.70880730,0.14073000,0.01270246,3.29738991,0.15221221,1.90229817,6.44483699,2.50540117
-5.92796398,8.77769377,0.14188265,0.01347728,3.33524519,0.14391280,1.91236885,6.49245738,2.56243785
-5.92196098,8.85718182,0.14318922,0.01427233,3.37459526,0.13633622,1.92809308,6.55289636,2.61622111
-5.91595798,8.94526608,0.14459197,0.01508143,3.41453216,0.12948258,1.94920259,6.62503958,2.66580005
-5.90995498,9.03979849,0.14603400,0.01589826,3.45412888,0.12333809,1.97535145,6.70759678,2.71027713
-5.90395198,9.13856844,0.14746129,0.01671658,3.49247240,0.11787697,2.00612911,6.79914543,2.74883768
