energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.72343004,0.01149011,0.00000000,0.06258899,0.13485651,0.58465267,0.82589792,0.01082344,1.69881688
-5.99399700,2.72037435,0.01141822,0.00000000,0.06366623,0.13855829,0.59625973,0.81691074,0.01048732,1.69775494
-5.98799400,2.72055586,0.01139720,0.00000000,0.06461389,0.14314315,0.61033011,0.80865469,0.01016282,1.69819872
-5.98199100,2.72377714,0.01142328,0.00000000,0.06541045,0.14859059,0.62678094,0.80121961,0.00985081,1.69995228
-5.97598799,2.72973434,0.01149200,0.00000000,0.06603344,0.15486675,0.64550415,0.79465592,0.00955174,1.70276104
-5.96998499,2.73803187,0.01159830,0.00000000,0.06646030,0.16192582,0.66636637,0.78897651,0.00926565,1.70632183
-5.96398199,2.74820186,0.01173669,0.00000000,0.06666929,0.16971196,0.68920894,0.78416068,0.00899235,1.71029550
-5.95797899,2.75972742,0.01190134,0.00000000,0.06664050,0.17816176,0.71384808,0.78015978,0.00873144,1.71432146
-5.95197599,2.77206846,0.01208630,0.00000000,0.06635691,0.18720706,0.74007540,0.77690428,0.00848253,1.71803344
-5.94597299,2.78468865,0.01228558,0.00000000,0.06580526,0.19677804,0.76765854,0.77431163,0.00824528,1.72107555
-5.93996998,2.79708206,0.01249335,0.00000000,0.06497695,0.20680630,0.79634235,0.77229456,0.00801957,1.72311787
-5.93396698,2.80879813,0.01270409,0.00000000,0.06386870,0.21722808,0.82585043,0.77076934,0.00780558,1.72387083
-5.92796398,2.81946364,0.01291267,0.00000000,0.06248302,0.22798707,0.85588725,0.76966332,0.00760390,1.72309760
-5.92196098,2.82880069,0.01311449,0.00000000,0.06082848,0.23903697,0.88614093,0.76892163,0.00741559,1.72062394
-5.91595798,2.83663978,0.01330561,0.00000000,0.05891971,0.25034355,0.91628670,0.76851243,0.00724219,1.71634518
-5.90995498,2.84292760,0.01348276,0.00000000,0.05677716,0.26188597,0.94599121,0.76843061,0.00708580,1.71023008
-5.90395198,2.84772917,0.01364340,0.00000000,0.05442664,0.27365755,0.97491755,0.76869977,0.00694901,1.70232147
-5.89794897,2.85122464,0.01378580,0.00000000,0.05189860,0.28566565,1.00273103,0.76937241,0.00683484,1.69273386
-5.89194597,2.85370084,0.01390896,0.00000000,0.04922727,0.29793078,1.02910566,0.77052840,0.00674672,1.68164839
-5.88594297,2.85553840,0.01401263,0.00000000,0.04644964,0.31048501,1.05373104,0.77227186,0.00668834,1.66930525
-5.87993997,2.85719516,0.01409728,0.00000000,0.04360440,0.32336953,1.07631962,0.77472672,0.00666352,1.65599441
-5.87393697,2.85918664,0.01416398,0.00000000,0.04073072,0.33663168,1.09661390,0.77803115,0.00667609,1.64204484
-5.86793397,2.86206465,0.01421439,0.00000000,0.03786720,0.35032143,1.11439324,0.78233130,0.00672973,1.62781297
-5.86193097,2.86639499,0.01425059,0.00000000,0.03505075,0.36448749,1.12948014,0.78777448,0.00682776,1.61367086
-5.85592796,2.87273495,0.01427506,0.00000000,0.03231566,0.37917327,1.14174532,0.79450232,0.00697302,1.59999439
-5.84992496,2.88161169,0.01429051,0.00000000,0.02969273,0.39441275,1.15111149,0.80264403,0.00716771,1.58715205
-5.84392196,2.89350189,0.01429978,0.00000000,0.02720863,0.41022658,1.15755548,0.81231013,0.00741317,1.57549440
-5.83791896,2.90881356,0.01430572,0.00000000,0.02488541,0.42661849,1.16110840,0.82358681,0.00770982,1.56534465
-5.83191596,2.92787004,0.01431111,0.00000000,0.02274016,0.44357216,1.16185378,0.83653119,0.00805701,1.55699027
-5.82591296,2.95089688,0.01431849,0.00000000,0.02078493,0.46104877,1.15992365,0.85116745,0.00845291,1.55067586
-5.81990995,2.97801150,0.01433011,0.00000000,0.01902676,0.47898522,1.15549269,0.86748406,0.00889451,1.54659716
-5.81390695,3.00921583,0.01434782,0.00000000,0.01746788,0.49729322,1.14877053,0.88543207,0.00937755,1.54489639
-5.80790395,3.04439198,0.01437299,0.00000000,0.01610605,0.51585911,1.13999273,0.90492446,0.00989653,1.54565866
-5.80190095,3.08330091,0.01440642,0.00000000,0.01493504,0.53454466,1.12941062,0.92583652,0.01044480,1.54890964
