energy_ev,total_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.56275716,0.60378950,0.43391131,0.01012745,0.83413684,0.05975675,0.00000000
-5.99399700,1.56372202,0.60672453,0.43349156,0.00961335,0.83836747,0.05733764,0.00000000
-5.98799400,1.56298511,0.60937619,0.43275595,0.00915152,0.84111896,0.05538675,0.00000000
-5.98199100,1.56111899,0.61197568,0.43186580,0.00873869,0.84273160,0.05389332,0.00000000
-5.97598799,1.55876564,0.61477015,0.43100338,0.00837194,0.84358243,0.05284966,0.00000000
-5.96998499,1.55660913,0.61801358,0.43036405,0.00804866,0.84406949,0.05225082,0.00000000
-5.96398199,1.55534539,0.62195692,0.43014754,0.00776652,0.84459469,0.05209404,0.00000000
-5.95797899,1.55565087,0.62683800,0.43054878,0.00752341,0.84554629,0.05237795,0.00000000
-5.95197599,1.55815132,0.63287163,0.43174871,0.00731727,0.84728170,0.05310162,0.00000000
-5.94597299,1.56339242,0.64024034,0.43390559,0.00714607,0.85011149,0.05426347,0.00000000
-5.93996998,1.57181346,0.64908616,0.43714705,0.00700767,0.85428530,0.05586018,0.00000000
-5.93396698,1.58372554,0.65950389,0.44156341,0.00689972,0.85998048,0.05788554,0.00000000
-5.92796398,1.59929507,0.67153606,0.44720261,0.00681963,0.86729376,0.06032949,0.00000000
-5.92196098,1.61853358,0.68516985,0.45406671,0.00676450,0.87623657,0.06317720,0.00000000
-5.91595798,1.64129392,0.70033613,0.46211046,0.00673110,0.88673398,0.06640836,0.00000000
-5.90995498,1.66727323,0.71691055,0.47124170,0.00671587,0.89862743,0.06999666,0.00000000
-5.90395198,1.69602226,0.73471659,0.48132366,0.00671498,0.91168089,0.07390951,0.00000000
-5.89794897,1.72696052,0.75353054,0.49217906,0.00672440,0.92559027,0.07810799,0.00000000
-5.89194597,1.75939651,0.77308797,0.50359566,0.00673991,0.93999543,0.08254705,0.00000000
-5.88594297,1.79255192,0.79309145,0.51533321,0.00675728,0.95449424,0.08717595,0.00000000
-5.87993997,1.82558877,0.81321920,0.52713126,0.00677236,0.96865802,0.09193895,0.00000000
-5.87393697,1.85763814,0.83313426,0.53871767,0.00678114,0.98204754,0.09677626,0.00000000
-5.86793397,1.88782943,0.85249377,0.54981737,0.00677991,0.99422902,0.10162510,0.00000000
-5.86193097,1.91531879,0.87095806,0.56016116,0.00676536,1.00478927,0.10642107,0.00000000
-5.85592796,1.93931581,0.88819928,0.56949404,0.00673464,1.01334959,0.11109962,0.00000000
-5.84992496,1.95910747,0.90390922,0.57758300,0.00668547,1.01957773,0.11559762,0.00000000
-5.84392196,1.97407869,0.91780618,0.58422392,0.00661613,1.02319772,0.11985510,0.00000000
-5.83791896,1.98372897,0.92964082,0.58924738,0.00652558,1.02399716,0.12381694,0.00000000
-5.83191596,1.98768463,0.93920080,0.59252333,0.00641336,1.02183204,0.12743462,0.00000000
