energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,2.72781187,0.13498012,0.18873023,0.02666246,0.00000000,1.62751998,0.33039127,0.03335556,1.25023642
-5.99399700,2.83914225,0.14033456,0.20101108,0.02762703,0.00000000,1.70379856,0.34554234,0.03466369,1.29422664
-5.98799400,2.94256574,0.14519645,0.21280407,0.02851347,0.00000000,1.77592273,0.35967345,0.03582991,1.33468077
-5.98199100,3.03713703,0.14951541,0.22393387,0.02931518,0.00000000,1.84316615,0.37261506,0.03683780,1.37136115
-5.97598799,3.12201564,0.15324986,0.23422799,0.03002665,0.00000000,1.90484097,0.38420997,0.03767420,1.40408100
-5.96998499,3.19647366,0.15636769,0.24352119,0.03064342,0.00000000,1.96030706,0.39431628,0.03832951,1.43270093
-5.96398199,3.25990133,0.15884654,0.25165981,0.03116210,0.00000000,2.00898072,0.40281010,0.03879799,1.45712443
-5.95797899,3.31181069,0.16067383,0.25850594,0.03158027,0.00000000,2.05034283,0.40958798,0.03907781,1.47729264
-5.95197599,3.35183728,0.16184651,0.26394130,0.03189644,0.00000000,2.08394639,0.41456892,0.03917106,1.49317884
-5.94597299,3.37974040,0.16237053,0.26787058,0.03210997,0.00000000,2.10942330,0.41769598,0.03908365,1.50478316
-5.93996998,3.39540189,0.16226011,0.27022421,0.03222105,0.00000000,2.12649042,0.41893732,0.03882502,1.51212763
-5.93396698,3.39882370,0.16153680,0.27096039,0.03223057,0.00000000,2.13495467,0.41828682,0.03840777,1.51525211
-5.92796398,3.39012451,0.16022844,0.27006629,0.03214014,0.00000000,2.13471712,0.41576402,0.03784718,1.51421105
-5.92196098,3.36953531,0.15836809,0.26755840,0.03195200,0.00000000,2.12577591,0.41141364,0.03716068,1.50907146
-5.91595798,3.33739415,0.15599284,0.26348203,0.03166900,0.00000000,2.10822778,0.40530444,0.03636716,1.49991180
-5.90995498,3.29414003,0.15314275,0.25790990,0.03129457,0.00000000,2.08226807,0.39752762,0.03548635,1.48682198
-5.90395198,3.24030587,0.14985981,0.25094001,0.03083267,0.00000000,2.04818909,0.38819474,0.03453814,1.46990413
-5.89794897,3.17651056,0.14618704,0.24269275,0.03028780,0.00000000,2.00637665,0.37743520,0.03354192,1.44927401
-5.89194597,3.10345005,0.14216765,0.23330745,0.02966494,0.00000000,1.95730468,0.36539339,0.03251595,1.42506273
-5.88594297,3.02188749,0.13784439,0.22293847,0.02896953,0.00000000,1.90152801,0.35222557,0.03147688,1.39741855
-5.87993997,2.93264245,0.13325906,0.21175103,0.02820741,0.00000000,1.83967334,0.33809654,0.03043922,1.36650850
-5.87393697,2.83657928,0.12845207,0.19991685,0.02738478,0.00000000,1.77242840,0.32317630,0.02941507,1.33251953
-5.86793397,2.73459487,0.12346223,0.18760986,0.02650815,0.00000000,1.70052978,0.30763663,0.02841384,1.29565910
-5.86193097,2.62760583,0.11832655,0.17500200,0.02558424,0.00000000,1.62474953,0.29164789,0.02744222,1.25615491
-5.85592796,2.51653570,0.11308017,0.16225944,0.02461992,0.00000000,1.54588099,0.27537590,0.02650413,1.21425398
-5.84992496,2.40230209,0.10775635,0.14953911,0.02362212,0.00000000,1.46472425,0.25897923,0.02560091,1.17022086
-5.84392196,2.28580452,0.10238649,0.13698575,0.02259776,0.00000000,1.38207171,0.24260669,0.02473155,1.12433510
-5.83791896,2.16791294,0.09700017,0.12472961,0.02155365,0.00000000,1.29869418,0.22639537,0.02389303,1.07688820
-5.83191596,2.04945751,0.09162521,0.11288462,0.02049642,0.00000000,1.21532798,0.21046898,0.02308068,1.02818008
-5.82591296,1.93121978,0.08628772,0.10154728,0.01943246,0.00000000,1.13266339,0.19493678,0.02228873,0.97851529
-5.81990995,1.81392549,0.08101210,0.09079610,0.01836781,0.00000000,1.05133485,0.17989281,0.02151064,0.92819914
