energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,6.52032540,1.08751341,0.01989482,1.92456473,5.38965258,0.60476597,0.00000000
-5.99399700,6.40672651,1.05524266,0.01977979,1.89812250,5.29781767,0.58956884,0.00000000
-5.98799400,6.30826915,1.02398262,0.01975629,1.87056511,5.22124630,0.57558421,0.00000000
-5.98199100,6.22671165,0.99416941,0.01982871,1.84229044,5.16142270,0.56291385,0.00000000
-5.97598799,6.16337341,0.96620190,0.01999931,1.81368089,5.11940551,0.55162180,0.00000000
-5.96998499,6.11910357,0.94043419,0.02026808,1.78509487,5.09580150,0.54173346,0.00000000
-5.96398199,6.09426431,0.91716949,0.02063289,1.75685962,5.09075326,0.53323609,0.00000000
-5.95797899,6.08872894,0.89665560,0.02108950,1.72926573,5.10394086,0.52608047,0.00000000
-5.95197599,6.10189451,0.87908187,0.02163173,1.70256329,5.13459717,0.52018372,0.00000000
-5.94597299,6.13270805,0.86457770,0.02225166,1.67695973,5.18153597,0.51543297,0.00000000
-5.93996998,6.17970539,0.85321254,0.02293983,1.65261938,5.24319176,0.51168986,0.00000000
-5.93396698,6.24106092,0.84499719,0.02368551,1.62966436,5.31766968,0.50879551,0.00000000
-5.92796398,6.31464650,0.83988627,0.02447698,1.60817687,5.40280391,0.50657593,0.00000000
-5.92196098,6.39809739,0.83778167,0.02530187,1.58820240,5.49622233,0.50484755,0.00000000
-5.91595798,6.48888297,0.83853678,0.02614740,1.56975364,5.59541551,0.50342274,0.00000000
-5.90995498,6.58437970,0.84196125,0.02700078,1.55281477,5.69780753,0.50211523,0.00000000
-5.90395198,6.68194410,0.84782617,0.02784949,1.53734581,5.80082646,0.50074514,0.00000000
-5.89794897,6.77898316,0.85586934,0.02868155,1.52328671,5.90197218,0.49914357,0.00000000
-5.89194597,6.87302021,0.86580062,0.02948583,1.51056100,5.99887956,0.49715670,0.00000000
-5.88594297,6.96175402,0.87730719,0.03025229,1.49907878,6.08937495,0.49464910,0.00000000
-5.87993997,7.04310973,0.89005864,0.03097216,1.48873899,6.17152451,0.49150647,0.00000000
-5.87393697,7.11528023,0.90371187,0.03163812,1.47943103,6.24367318,0.48763752,0.00000000
-5.86793397,7.17675721,0.91791591,0.03224443,1.47103564,6.30447329,0.48297512,0.00000000
-5.86193097,7.22635146,0.93231659,0.03278695,1.46342543,6.35290271,0.47747667,0.00000000
-5.85592796,7.26320259,0.94656126,0.03326319,1.45646512,6.38827218,0.47112378,0.00000000
-5.84992496,7.28677859,0.96030349,0.03367228,1.45001179,6.41022259,0.46392119,0.00000000
-5.84392196,7.29686611,0.97320805,0.03401482,1.44391542,6.41871276,0.45589523,0.00000000
-5.83791896,7.29355254,0.98495601,0.03429284,1.43801999,6.41399887,0.44709169,0.00000000
-5.83191596,7.27720127,0.99525001,0.03450956,1.43216523,6.39660691,0.43757329,0.00000000
-5.82591296,7.24842159,1.00381978,0.03466923,1.42618924,6.36729939,0.42741693,0.00000000
-5.81990995,7.20803454,1.01042764,0.03477691,1.41993193,6.32703807,0.41671071,0.00000000
-5.81390695,7.15703634,1.01487385,0.03483822,1.41323928,6.27694401,0.40555092,0.00000000
-5.80790395,7.09656047,1.01700173,0.03485910,1.40596813,6.21825645,0.39403907,0.00000000
-5.80190095,7.02783973,1.01670204,0.03484559,1.39799142,6.15229172,0.38227899,0.00000000
-5.79589795,6.95216899,1.01391664,0.03480360,1.38920337,6.08040351,0.37037419,0.00000000
-5.78989495,6.87086971,1.00864089,0.03473870,1.37952432,6.00394520,0.35842545,0.00000000
-5.78389195,6.78525650,1.00092474,0.03465590,1.36890488,5.92423526,0.34652867,0.00000000
-5.77788894,6.69660648,0.99087217,0.03455957,1.35732892,5.84252615,0.33477310,0.00000000
