energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.75843937,0.59577556,0.00300911,0.21907231,1.68921604,0.00000000,0.97550926,0.62866510
-5.99399700,2.79575646,0.58318735,0.00308294,0.22178463,1.72313103,0.00000000,0.96237287,0.63612997
-5.98799400,2.83742383,0.57199012,0.00315970,0.22538170,1.75824267,0.00000000,0.95065454,0.64504745
-5.98199100,2.88220302,0.56214669,0.00323886,0.22981095,1.79376313,0.00000000,0.94009027,0.65505994
-5.97598799,2.92876945,0.55358831,0.00331989,0.23500294,1.82887723,0.00000000,0.93041034,0.66578245
-5.96998499,2.97575521,0.54622212,0.00340227,0.24087319,1.86276770,0.00000000,0.92135256,0.67681505
-5.96398199,3.02179031,0.53993855,0.00348559,0.24732404,1.89463926,0.00000000,0.91267345,0.68775503
-5.95797899,3.06554126,0.53461818,0.00356952,0.25424666,1.92374056,0.00000000,0.90415699,0.69820846
-5.95197599,3.10574566,0.53013779,0.00365383,0.26152293,1.94938352,0.00000000,0.89562071,0.70780070
-5.94597299,3.14124209,0.52637524,0.00373848,0.26902736,1.97095942,0.00000000,0.88691917,0.71618582
-5.93996998,3.17099456,0.52321314,0.00382354,0.27662904,1.98795142,0.00000000,0.87794492,0.72305433
-5.93396698,3.19411141,0.52054110,0.00390926,0.28419347,1.99994345,0.00000000,0.86862727,0.72813955
-5.92796398,3.20985864,0.51825692,0.00399601,0.29158450,2.00662543,0.00000000,0.85892920,0.73122221
-5.92196098,3.21766776,0.51626652,0.00408433,0.29866625,2.00779501,0.00000000,0.84884281,0.73213339
-5.91595798,3.21713884,0.51448314,0.00417486,0.30530512,2.00335626,0.00000000,0.83838390,0.73075604
-5.90995498,3.20803909,0.51282600,0.00426835,0.31137186,1.99331556,0.00000000,0.82758602,0.72702488
-5.90395198,3.19029787,0.51121865,0.00436563,0.31674371,1.97777530,0.00000000,0.81649459,0.72092516
-5.89794897,3.16399863,0.50958745,0.00446757,0.32130662,1.95692587,0.00000000,0.80516140,0.71249015
-5.89194597,3.12936868,0.50786034,0.00457509,0.32495741,1.93103644,0.00000000,0.79363980,0.70179787
-5.88594297,3.08676729,0.50596623,0.00468912,0.32760605,1.90044503,0.00000000,0.78198089,0.68896700
-5.87993997,3.03667280,0.50383502,0.00481055,0.32917763,1.86554831,0.00000000,0.77023088,0.67415232
-5.87393697,2.97966920,0.50139848,0.00494028,0.32961435,1.82679149,0.00000000,0.75842957,0.65753981
-5.86793397,2.91643254,0.49859186,0.00507912,0.32887711,1.78465864,0.00000000,0.74660994,0.63934165
-5.86193097,2.84771749,0.49535619,0.00522783,0.32694681,1.73966357,0.00000000,0.73479883,0.61979109
-5.85592796,2.77434416,0.49164113,0.00538708,0.32382516,1.69234147,0.00000000,0.72301837,0.59913757
-5.84992496,2.69718532,0.48740810,0.00555740,0.31953505,1.64324141,0.00000000,0.71128803,0.57764200
-5.84392196,2.61715406,0.48263355,0.00573919,0.31412033,1.59291953,0.00000000,0.69962702,0.55557233
-5.83791896,2.53519183,0.47731195,0.00593267,0.30764503,1.54193312,0.00000000,0.68805675,0.53319949
-5.83191596,2.45225680,0.47145838,0.00613786,0.30019198,1.49083532,0.00000000,0.67660315,0.51079365
-5.82591296,2.36931265,0.46511050,0.00635453,0.29186093,1.44017041,0.00000000,0.66529858,0.48862095
-5.81990995,2.28731744,0.45832949,0.00658217,0.28276613,1.39046958,0.00000000,0.65418327,0.46694055
-5.81390695,2.20721292,0.45120012,0.00681996,0.27303347,1.34224705,0.00000000,0.64330607,0.44600201
-5.80790395,2.12991397,0.44382962,0.00706677,0.26279740,1.29599647,0.00000000,0.63272457,0.42604300
-5.80190095,2.05629829,0.43634544,0.00732110,0.25219749,1.25218744,0.00000000,0.62250446,0.40728731
-5.79589795,1.98719642,0.42889197,0.00758111,0.24137506,1.21126217,0.00000000,0.61271835,0.38994305
-5.78989495,1.92338205,0.42162623,0.00784462,0.23046968,1.17363203,0.00000000,0.60344398,0.37420097
-5.78389195,1.86556270,0.41471274,0.00810914,0.21961594,1.13967420,0.00000000,0.59476212,0.36023294
-5.77788894,1.81437087,0.40831775,0.00837192,0.20894039,1.10972809,0.00000000,0.58675407,0.34819044
-5.77188594,1.77035549,0.40260310,0.00863001,0.19855890,1.08409173,0.00000000,0.57949910,0.33820311
-5.76588294,1.73397402,0.39771984,0.00888031,0.18857437,1.06301789,0.00000000,0.57307180,0.33037724
-5.75987994,1.70558496,0.39380203,0.00911973,0.17907496,1.04671018,0.00000000,0.56753954,0.32479421
-5.75387694,1.68544094,0.39096076,0.00934523,0.17013282,1.03531886,0.00000000,0.56296005,0.32150890
-5.74787394,1.67368243,0.38927885,0.00955393,0.16180333,1.02893667,0.00000000,0.55937914,0.32054815
-5.74187094,1.67033214,0.38880627,0.00974325,0.15412486,1.02759457,0.00000000,0.55682873,0.32190912
-5.73586793,1.67529025,0.38955656,0.00991096,0.14711901,1.03125757,0.00000000,0.55532499,0.32555785
-5.72986493,1.68833067,0.39150435,0.01005529,0.14079132,1.03982084,0.00000000,0.55486677,0.33142794
-5.72386193,1.70909847,0.39458420,0.01017498,0.13513232,1.05310629,0.00000000,0.55543421,0.33941950
-5.71785893,1.73710895,0.39869070,0.01026932,0.13011896,1.07085982,0.00000000,0.55698757,0.34939853
-5.71185593,1.77174848,0.40367997,0.01033817,0.12571628,1.09274963,0.00000000,0.55946635,0.36119679
-5.70585293,1.81227758,0.40937253,0.01038198,0.12187932,1.11836582,0.00000000,0.56278867,0.37461232
-5.69984992,1.85783668,0.41555744,0.01040173,0.11855512,1.14722162,0.00000000,0.56685106,0.38941069
-5.69384692,1.90745470,0.42199768,0.01039889,0.11568485,1.17875658,0.00000000,0.57152874,0.40532714
-5.68784392,1.96006099,0.42843652,0.01037540,0.11320592,1.21234203,0.00000000,0.57667639,0.42206965
-5.68184092,2.01450066,0.43460484,0.01033354,0.11105405,1.24728883,0.00000000,0.58212971,0.43932290
-5.67583792,2.06955339,0.44022896,0.01027596,0.10916537,1.28285781,0.00000000,0.58770767,0.45675330
-5.66983492,2.12395570,0.44503898,0.01020553,0.10747825,1.31827267,0.00000000,0.59321573,0.47401487
-5.66383192,2.17642639,0.44877704,0.01012533,0.10593510,1.35273526,0.00000000,0.59844983,0.49075591
-5.65782891,2.22569454,0.45120551,0.01003866,0.10448395,1.38544305,0.00000000,0.60320131,0.50662643
-5.65182591,2.27052964,0.45211452,0.00994895,0.10307981,1.41560828,0.00000000,0.60726267,0.52128600
-5.64582291,2.30977273,0.45132876,0.00985984,0.10168585,1.44247827,0.00000000,0.61043388,0.53441181
-5.63981991,2.34236769,0.44871317,0.00977520,0.10027430,1.46535620,0.00000000,0.61252927,0.54570676
-5.63381691,2.36739149,0.44417734,0.00969915,0.09882710,1.48362160,0.00000000,0.61338449,0.55490723
-5.62781391,2.38408213,0.43767836,0.00963613,0.09733624,1.49674961,0.00000000,0.61286343,0.56179020
-5.62181091,2.39186309,0.42922215,0.00959101,0.09580388,1.50432838,0.00000000,0.61086458,0.56617948
-5.61580790,2.39036307,0.41886307,0.00956905,0.09424212,1.50607348,0.00000000,0.60732665,0.56795079
-5.60980490,2.37943000,0.40670197,0.00957602,0.09267246,1.50183877,0.00000000,0.60223292,0.56703539
