energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.28370863,-2.56364964,0.03234441,-0.03893995,0.12229402,-0.22754382,1.18010514,-1.11964275,0.52641179,-0.54231619,1.38620424,-1.50440951,0.00000000,-0.00000000,0.78801110,-0.73591765,0.22446474,-0.20782147
-5.99399700,2.17299049,-2.64170748,0.03058727,-0.04016048,0.11014284,-0.22719887,1.14195961,-1.17030310,0.48974058,-0.54807578,1.33091095,-1.56261522,0.00000000,-0.00000000,0.76055621,-0.77047909,0.21596997,-0.21519452
-5.98799400,2.06459913,-2.71065862,0.02877559,-0.04113309,0.09914894,-0.22607979,1.10365301,-1.21820779,0.45571968,-0.55228047,1.27510659,-1.61547516,0.00000000,-0.00000000,0.73232880,-0.80247874,0.20716157,-0.22169673
-5.98199100,1.95898663,-2.77025571,0.02693873,-0.04183877,0.08929229,-0.22430750,1.06532157,-1.26312189,0.42431010,-0.55511641,1.21914951,-1.66261288,0.00000000,-0.00000000,0.70355846,-0.83161792,0.19812195,-0.22727833
-5.97598799,1.85652774,-2.82046459,0.02510501,-0.04226392,0.08054498,-0.22202226,1.02707449,-1.30489098,0.39544477,-0.55680656,1.16335902,-1.70377787,0.00000000,-0.00000000,0.67445247,-0.85766323,0.18892867,-0.23191058
-5.96998499,1.75752591,-2.86146141,0.02330112,-0.04240083,0.07287489,-0.21938086,0.98899853,-1.34344196,0.36903741,-0.55760509,1.10801320,-1.73884830,0.00000000,-0.00000000,0.64519310,-0.88045179,0.17965332,-0.23558627
-5.96398199,1.66222196,-2.89362176,0.02155158,-0.04224799,0.06624909,-0.21655337,0.95116411,-1.37877996,0.34499109,-0.55779099,1.05334915,-1.76782860,0.00000000,-0.00000000,0.61593668,-0.89989343,0.17036084,-0.23831929
-5.95797899,1.57080488,-2.91750223,0.01987832,-0.04181020,0.06063696,-0.21371971,0.91363260,-1.41098133,0.32320631,-0.55766108,0.99956529,-1.79084164,0.00000000,-0.00000000,0.58681417,-0.91596974,0.16110921,-0.24014339
-5.95197599,1.48342422,-2.93381494,0.01830040,-0.04109842,0.05601284,-0.21106589,0.87646426,-1.44018303,0.30358834,-0.55752264,0.94682555,-1.80811610,0.00000000,-0.00000000,0.55793312,-0.92873003,0.15194952,-0.24111001
-5.94597299,1.40020308,-2.94339622,0.01683379,-0.04012949,0.05235822,-0.20878012,0.83972631,-1.46656888,0.28605361,-0.55768582,0.89526483,-1.81996964,0.00000000,-0.00000000,0.52938072,-0.93828437,0.14292634,-0.24128555
