energy_ev,total_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.09597381,0.06282524,0.00448060,0.00000030,0.08130131,0.00358113,0.00000848
-5.99399700,0.08387628,0.05491936,0.00393690,0.00000025,0.07101396,0.00315868,0.00000741
-5.98799400,0.07282239,0.04769151,0.00344954,0.00000022,0.06159198,0.00278734,0.00000642
-5.98199100,0.06282583,0.04115212,0.00302067,0.00000021,0.05304433,0.00246969,0.00000553
-5.97598799,0.05388116,0.03529877,0.00265219,0.00000022,0.04536222,0.00220858,0.00000472
-5.96998499,0.04596696,0.03011833,0.00234602,0.00000025,0.03852165,0.00200739,0.00000401
-5.96398199,0.03904927,0.02558926,0.00210430,0.00000030,0.03248615,0.00187028,0.00000338
-5.95797899,0.03308515,0.02168397,0.00192965,0.00000038,0.02720956,0.00180246,0.00000283
-5.95197599,0.02802612,0.01837113,0.00182553,0.00000048,0.02263872,0.00181053,0.00000235
-5.94597299,0.02382145,0.01561783,0.00179642,0.00000062,0.01871601,0.00190275,0.00000194
-5.93996998,0.02042114,0.01339159,0.00184813,0.00000080,0.01538165,0.00208932,0.00000159
-5.93396698,0.01777857,0.01166208,0.00198803,0.00000102,0.01257566,0.00238266,0.00000129
-5.92796398,0.01585260,0.01040254,0.00222522,0.00000130,0.01023952,0.00279762,0.00000104
-5.92196098,0.01460934,0.00959092,0.00257067,0.00000165,0.00831751,0.00335159,0.00000083
-5.91595798,0.01402328,0.00921069,0.00303731,0.00000208,0.00675767,0.00406462,0.00000066
-5.90995498,0.01407804,0.00925126,0.00364001,0.00000260,0.00551248,0.00495934,0.00000052
-5.90395198,0.01476653,0.00970814,0.00439548,0.00000323,0.00453927,0.00606082,0.00000041
-5.89794897,0.01609059,0.01058269,0.00532204,0.00000398,0.00380038,0.00739625,0.00000032
-5.89194597,0.01806027,0.01188165,0.00643933,0.00000487,0.00326307,0.00899450,0.00000025
-5.88594297,0.02069247,0.01361626,0.00776781,0.00000592,0.00289935,0.01088546,0.00000019
-5.87993997,0.02400933,0.01580117,0.00932822,0.00000715,0.00268559,0.01309923,0.00000015
-5.87393697,0.02803607,0.01845306,0.01114080,0.00000856,0.00260212,0.01566512,0.00000011
-5.86793397,0.03279862,0.02158902,0.01322455,0.00001018,0.00263269,0.01861049,0.00000008
-5.86193097,0.03832086,0.02522481,0.01559621,0.00001203,0.00276395,0.02195943,0.00000006
-5.85592796,0.04462177,0.02937292,0.01826926,0.00001410,0.00298491,0.02573133,0.00000005
-5.84992496,0.05171238,0.03404057,0.02125288,0.00001641,0.00328637,0.02993939,0.00000004
-5.84392196,0.05959284,0.03922779,0.02455085,0.00001897,0.00366044,0.03458909,0.00000003
-5.83791896,0.06824949,0.04492546,0.02816053,0.00002176,0.00410002,0.03967676,0.00000002
-5.83191596,0.07765235,0.05111368,0.03207192,0.00002480,0.00459841,0.04518824,0.00000002
-5.82591296,0.08775293,0.05776025,0.03626694,0.00002805,0.00514891,0.05109781,0.00000002
-5.81990995,0.09848265,0.06481964,0.04071882,0.00003151,0.00574453,0.05736737,0.00000002
-5.81390695,0.10975196,0.07223238,0.04539189,0.00003516,0.00637775,0.06394605,0.00000003
-5.80790395,0.12145027,0.07992493,0.05024164,0.00003894,0.00704039,0.07077021,0.00000004
-5.80190095,0.13344684,0.08781025,0.05521515,0.00004285,0.00772349,0.07776408,0.00000005
-5.79589795,0.14559267,0.09578890,0.06025200,0.00004682,0.00841736,0.08484080,0.00000007
-5.78989495,0.15772331,0.10375088,0.06528551,0.00005083,0.00911162,0.09190417,0.00000010
-5.78389195,0.16966286,0.11157805,0.07024448,0.00005482,0.00979539,0.09885086,0.00000015
-5.77788894,0.18122871,0.11914714,0.07505528,0.00005876,0.01045747,0.10557322,0.00000020
-5.77188594,0.19223723,0.12633332,0.07964433,0.00006260,0.01108664,0.11196245,0.00000028
-5.76588294,0.20251003,0.13301412,0.08394080,0.00006632,0.01167198,0.11791227,0.00000038
-5.75987994,0.21188079,0.13907362,0.08787959,0.00006990,0.01220318,0.12332269,0.00000052
-5.75387694,0.22020210,0.14440671,0.09140436,0.00007334,0.01267095,0.12810395,0.00000070
-5.74787394,0.22735246,0.14892338,0.09447058,0.00007665,0.01306734,0.13218039,0.00000094
-5.74187094,0.23324280,0.15255261,0.09704846,0.00007986,0.01338610,0.13549413,0.00000126
-5.73586793,0.23782248,0.15524599,0.09912564,0.00008304,0.01362299,0.13800837,0.00000166
-5.72986493,0.24108439,0.15698065,0.10070952,0.00008630,0.01377602,0.13971016,0.00000218
-5.72386193,0.24306898,0.15776152,0.10182917,0.00008974,0.01384565,0.14061258,0.00000285
-5.71785893,0.24386699,0.15762273,0.10253667,0.00009356,0.01383493,0.14075616,0.00000368
-5.71185593,0.24362073,0.15662818,0.10290784,0.00009794,0.01374953,0.14020941,0.00000473
-5.70585293,0.24252381,0.15487100,0.10304226,0.00010313,0.01359768,0.13906859,0.00000604
-5.69984992,0.24081926,0.15247222,0.10306260,0.00010942,0.01339009,0.13745652,0.00000765
-5.69384692,0.23879598,0.14957841,0.10311316,0.00011714,0.01313971,0.13552050,0.00000962
-5.68784392,0.23678363,0.14635846,0.10335766,0.00012664,0.01286147,0.13342939,0.00001201
-5.68184092,0.23514594,0.14299961,0.10397623,0.00013833,0.01257190,0.13136995,0.00001489
-5.67583792,0.23427263,0.13970272,0.10516171,0.00015263,0.01228877,0.12954242,0.00001832
-5.66983492,0.23457000,0.13667714,0.10711522,0.00016998,0.01203056,0.12815550,0.00002238
-5.66383192,0.23645042,0.13413497,0.11004108,0.00019082,0.01181601,0.12742084,0.00002715
-5.65782891,0.24032090,0.13228520,0.11414114,0.00021561,0.01166359,0.12754717,0.00003270
-5.65182591,0.24657091,0.13132766,0.11960865,0.00024477,0.01159097,0.12873413,0.00003909
-5.64582291,0.25555977,0.13144695,0.12662178,0.00027869,0.01161444,0.13116606,0.00004641
-5.63981991,0.26760392,0.13280659,0.13533686,0.00031772,0.01174846,0.13500572,0.00005469
-5.63381691,0.28296426,0.13554346,0.14588166,0.00036212,0.01200512,0.14038833,0.00006400
-5.62781391,0.30183407,0.13976266,0.15834868,0.00041208,0.01239369,0.14741585,0.00007434
-5.62181091,0.32432781,0.14553302,0.17278901,0.00046767,0.01292023,0.15615184,0.00008574
-5.61580790,0.35047131,0.15288329,0.18920661,0.00052883,0.01358724,0.16661705,0.00009818
-5.60980490,0.38019361,0.16179931,0.20755367,0.00059536,0.01439342,0.17878587,0.00011161
-5.60380190,0.41332117,0.17222210,0.22772697,0.00066692,0.01533347,0.19258392,0.00012597
-5.59779890,0.44957462,0.18404720,0.24956581,0.00074299,0.01639809,0.20788680,0.00014116
-5.59179590,0.48856862,0.19712518,0.27285151,0.00082288,0.01757394,0.22452037,0.00015704
-5.58579290,0.52981500,0.21126361,0.29730889,0.00090576,0.01884391,0.24226247,0.00017346
-5.57978989,0.57272951,0.22623028,0.32260963,0.00099061,0.02018734,0.26084633,0.00019021
-5.57378689,0.61664227,0.24175792,0.34837788,0.00107630,0.02158048,0.27996556,0.00020709
-5.56778389,0.66081172,0.25755026,0.37419781,0.00116156,0.02299700,0.29928079,0.00022385
-5.56178089,0.70444199,0.27328923,0.39962318,0.00124503,0.02440872,0.31842775,0.00024023
-5.55577789,0.74670325,0.28864332,0.42418860,0.00132530,0.02578627,0.33702671,0.00025595
-5.54977489,0.78675439,0.30327674,0.44742224,0.00140093,0.02710000,0.35469285,0.00027075
-5.54377189,0.82376737,0.31685910,0.46885944,0.00147051,0.02832085,0.37104742,0.00028436
-5.53776888,0.85695238,0.32907534,0.48805692,0.00153268,0.02942122,0.38572918,0.00029651
-5.53176588,0.88558271,0.33963547,0.50460684,0.00158621,0.03037595,0.39840572,0.00030697
-5.52576288,0.90901863,0.34828391,0.51815023,0.00163001,0.03116315,0.40878420,0.00031553
-5.51975988,0.92672889,0.35480773,0.52838933,0.00166317,0.03176501,0.41662112,0.00032202
-5.51375688,0.93830936,0.35904390,0.53509803,0.00168503,0.03216848,0.42173064,0.00032631
-5.50775388,0.94349761,0.36088485,0.53813028,0.00169513,0.03236590,0.42399119,0.00032832
-5.50175088,0.94218310,0.36028235,0.53742584,0.00169334,0.03235538,0.42335000,0.00032802
-5.49574787,0.93441241,0.35724945,0.53301328,0.00167975,0.03214110,0.41982539,0.00032544
-5.48974487,0.92038945,0.35186053,0.52501013,0.00165476,0.03173341,0.41350685,0.00032065
-5.48374187,0.90047050,0.34424932,0.51362009,0.00161904,0.03114879,0.40455273,0.00031379
-5.47773887,0.87515474,0.33460520,0.49912759,0.00157350,0.03040958,0.39318589,0.00030504
-5.47173587,0.84507034,0.32316780,0.48188999,0.00151930,0.02954372,0.37968744,0.00029462
-5.46573287,0.81095728,0.31022030,0.46232777,0.00145778,0.02858417,0.36438885,0.00028280
-5.45972986,0.77364737,0.29608174,0.44091323,0.00139048,0.02756838,0.34766290,0.00026988
-5.45372686,0.73404251,0.28109851,0.41815818,0.00131904,0.02653759,0.32991384,0.00025619
-5.44772386,0.69309217,0.26563565,0.39460118,0.00124521,0.02553611,0.31156705,0.00024206
-5.44172086,0.65177081,0.25006799,0.37079488,0.00117079,0.02461056,0.29305885,0.00022784
-5.43571786,0.61105625,0.23477169,0.34729377,0.00109761,0.02380900,0.27482654,0.00021391
-5.42971486,0.57190930,0.22011623,0.32464288,0.00102747,0.02318015,0.25729914,0.00020060
-5.42371186,0.53525548,0.20645708,0.30336758,0.00096215,0.02277252,0.24088896,0.00018827
-5.41770885,0.50196889,0.19412927,0.28396466,0.00090333,0.02263355,0.22598416,0.00017724
-5.41170585,0.47285836,0.18344172,0.26689486,0.00085264,0.02280869,0.21294239,0.00016783
-5.40570285,0.44865599,0.17467251,0.25257664,0.00081158,0.02334049,0.20208545,0.00016032
-5.39969985,0.43000764,0.16806484,0.24138118,0.00078153,0.02426769,0.19369486,0.00015499
-5.39369685,0.41746530,0.16382377,0.23362844,0.00076374,0.02562414,0.18800834,0.00015205
-5.38769385,0.41148085,0.16211346,0.22958394,0.00075932,0.02743786,0.18521696,0.00015172
-5.38169085,0.41240092,0.16305495,0.22945622,0.00076922,0.02972997,0.18546284,0.00015416
-5.37568784,0.42046257,0.16672427,0.23339455,0.00079423,0.03251364,0.18883730,0.00015950
-5.36968484,0.43578941,0.17315087,0.24148698,0.00083496,0.03579308,0.19537933,0.00016784
-5.36368184,0.45838830,0.18231636,0.25375841,0.00089183,0.03956258,0.20507439,0.00017922
-5.35767884,0.48814633,0.19415357,0.27016878,0.00096506,0.04380571,0.21785348,0.00019364
-5.35167584,0.52482851,0.20854602,0.29061142,0.00105464,0.04849461,0.23359262,0.00021106
-5.34567284,0.56807622,0.22532784,0.31491170,0.00116032,0.05358961,0.25211280,0.00023139
-5.33966983,0.61740699,0.24428447,0.34282615,0.00128161,0.05903905,0.27318060,0.00025448
-5.33366683,0.67221591,0.26515410,0.37404239,0.00141773,0.06477953,0.29650964,0.00028012
-5.32766383,0.73177927,0.28763013,0.40818009,0.00156761,0.07073644,0.32176309,0.00030805
-5.32166083,0.79526081,0.31136481,0.44479335,0.00172990,0.07682503,0.34855734,0.00033797
-5.31565783,0.86172116,0.33597408,0.48337465,0.00190294,0.08295183,0.37646703,0.00036949
-5.30965483,0.93013049,0.36104384,0.52336070,0.00208478,0.08901653,0.40503159,0.00040222
-5.30365183,0.99938485,0.38613735,0.56414033,0.00227321,0.09491426,0.43376318,0.00043567
-5.29764882,1.06832579,0.41080406,0.60506441,0.00246573,0.10053816,0.46215598,0.00046935
-5.29164582,1.13576343,0.43458933,0.64545776,0.00265964,0.10578228,0.48969685,0.00050272
-5.28564282,1.20050213,0.45704510,0.68463290,0.00285208,0.11054459,0.51587691,0.00053525
-5.27963982,1.26136841,0.47774093,0.72190535,0.00304004,0.11473004,0.54020377,0.00056638
-5.27363682,1.31724010,0.49627533,0.75660993,0.00322048,0.11825360,0.56221419,0.00059555
-5.26763382,1.36707594,0.51228674,0.78811778,0.00339036,0.12104300,0.58148650,0.00062226
-5.26163082,1.40994439,0.52546387,0.81585336,0.00354676,0.12304122,0.59765253,0.00064600
-5.25562781,1.44505079,0.53555496,0.83931088,0.00368692,0.12420854,0.61040841,0.00066636
-5.24962481,1.47176163,0.54237562,0.85806950,0.00380833,0.12452405,0.61952406,0.00068296
-5.24362181,1.48962512,0.54581490,0.87180686,0.00390882,0.12398657,0.62485072,0.00069550
-5.23761881,1.49838718,0.54583935,0.88031014,0.00398664,0.12261492,0.62632647,0.00070379
-5.23161581,1.49800220,0.54249496,0.88348449,0.00404047,0.12044763,0.62397933,0.00070772
-5.22561281,1.48863816,0.53590680,0.88135827,0.00406955,0.11754191,0.61792796,0.00070727
-5.21960980,1.47067593,0.52627659,0.87408497,0.00407363,0.11397219,0.60837990,0.00070256
