energy_ev,total_up,Ga_p_up,Ga_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,0.69981651,0.04439504,0.00000000,0.13095316,0.32582984,0.00988654,0.12788603
-5.99399700,0.67150327,0.04301874,0.00000000,0.12473402,0.31225449,0.00959412,0.12224480
-5.98799400,0.64002866,0.04139053,0.00000000,0.11801570,0.29724701,0.00924502,0.11613930
-5.98199100,0.60595304,0.03954297,0.00000000,0.11091597,0.28107792,0.00884640,0.10965660
-5.97598799,0.56987615,0.03751213,0.00000000,0.10355639,0.26403391,0.00840632,0.10289353
-5.96998499,0.53241913,0.03533650,0.00000000,0.09605894,0.24640975,0.00793349,0.09595305
-5.96398199,0.49420751,0.03305584,0.00000000,0.08854313,0.22850067,0.00743705,0.08894084
-5.95797899,0.45585574,0.03071008,0.00000000,0.08112343,0.21059563,0.00692633,0.08196237
-5.95197599,0.41795399,0.02833834,0.00000000,0.07390725,0.19297156,0.00641059,0.07512040
-5.94597299,0.38105750,0.02597803,0.00000000,0.06699354,0.17588891,0.00589887,0.06851305
-5.93996998,0.34567867,0.02366410,0.00000000,0.06047186,0.15958846,0.00539981,0.06223239
-5.93396698,0.31228218,0.02142848,0.00000000,0.05442213,0.14428951,0.00492153,0.05636369
-5.92796398,0.28128282,0.01929977,0.00000000,0.04891480,0.13018934,0.00447157,0.05098512
-5.92196098,0.25304609,0.01730295,0.00000000,0.04401148,0.11746387,0.00405683,0.04616801
-5.91595798,0.22789101,0.01545949,0.00000000,0.03976600,0.10626938,0.00368356,0.04197754
-5.90995498,0.20609481,0.01378740,0.00000000,0.03622563,0.09674494,0.00335742,0.03847373
-5.90395198,0.18789907,0.01230165,0.00000000,0.03343246,0.08901544,0.00308352,0.03571266
-5.89794897,0.17351656,0.01101446,0.00000000,0.03142480,0.08319489,0.00286647,0.03374794
-5.89194597,0.16313844,0.00993588,0.00000000,0.03023855,0.07938974,0.00271050,0.03263201
-5.88594297,0.15694110,0.00907433,0.00000000,0.02990825,0.07770193,0.00261951,0.03241756
-5.87993997,0.15509231,0.00843708,0.00000000,0.03046795,0.07823140,0.00259715,0.03315869
-5.87393697,0.15775607,0.00803087,0.00000000,0.03195165,0.08107805,0.00264687,0.03491182
-5.86793397,0.16509602,0.00786235,0.00000000,0.03439338,0.08634268,0.00277195,0.03773632
-5.86193097,0.17727700,0.00793850,0.00000000,0.03782684,0.09412714,0.00297547,0.04169488
-5.85592796,0.19446484,0.00826693,0.00000000,0.04228454,0.10453343,0.00326032,0.04685337
-5.84992496,0.21682416,0.00885613,0.00000000,0.04779670,0.11766184,0.00362906,0.05328049
-5.84392196,0.24451453,0.00971544,0.00000000,0.05438961,0.13360827,0.00408386,0.06104706
-5.83791896,0.27768509,0.01085509,0.00000000,0.06208395,0.15246078,0.00462636,0.07022499
-5.83191596,0.31646795,0.01228592,0.00000000,0.07089278,0.17429565,0.00525747,0.08088608
-5.82591296,0.36097088,0.01401906,0.00000000,0.08081963,0.19917309,0.00597722,0.09310070
-5.81990995,0.41126960,0.01606544,0.00000000,0.09185664,0.22713295,0.00678457,0.10693628
-5.81390695,0.46740024,0.01843524,0.00000000,0.10398298,0.25819063,0.00767719,0.12245591
-5.80790395,0.52935239,0.02113711,0.00000000,0.11716358,0.29233341,0.00865134,0.13971689
-5.80190095,0.59706314,0.02417748,0.00000000,0.13134845,0.32951757,0.00970169,0.15876942
-5.79589795,0.67041243,0.02755963,0.00000000,0.14647248,0.36966631,0.01082123,0.17965534
-5.78989495,0.74922001,0.03128290,0.00000000,0.16245589,0.41266865,0.01200120,0.20240695
-5.78389195,0.83324408,0.03534181,0.00000000,0.17920536,0.45837947,0.01323110,0.22704593
-5.77788894,0.92218154,0.03972519,0.00000000,0.19661576,0.50662045,0.01449877,0.25358217
-5.77188594,1.01566986,0.04441553,0.00000000,0.21457240,0.55718200,0.01579047,0.28201257
-5.76588294,1.11329010,0.04938828,0.00000000,0.23295373,0.60982590,0.01709113,0.31231956
-5.75987994,1.21457096,0.05461144,0.00000000,0.25163434,0.66428837,0.01838456,0.34446947
-5.75387694,1.31899319,0.06004532,0.00000000,0.27048801,0.72028348,0.01965384,0.37841041
-5.74787394,1.42599412,0.06564247,0.00000000,0.28939072,0.77750637,0.02088160,0.41406981
-5.74187094,1.53497179,0.07134797,0.00000000,0.30822329,0.83563617,0.02205047,0.45135157
-5.73586793,1.64528840,0.07709996,0.00000000,0.32687362,0.89433836,0.02314352,0.49013273
-5.72986493,1.75627272,0.08283044,0.00000000,0.34523821,0.95326634,0.02414465,0.53026002
-5.72386193,1.86722163,0.08846644,0.00000000,0.36322301,1.01206222,0.02503904,0.57154619
-5.71785893,1.97740070,0.09393143,0.00000000,0.38074340,1.07035676,0.02581355,0.61376663
-5.71185593,2.08604413,0.09914699,0.00000000,0.39772344,1.12776881,0.02645706,0.65665633
-5.70585293,2.19235459,0.10403471,0.00000000,0.41409437,1.18390428,0.02696082,0.69990773
-5.69984992,2.29550361,0.10851831,0.00000000,0.42979252,1.23835513,0.02731864,0.74316973
-5.69384692,2.39463298,0.11252571,0.00000000,0.44475692,1.29069882,0.02752712,0.78604815
-5.68784392,2.48885825,0.11599130,0.00000000,0.45892669,1.34049861,0.02758570,0.82810820
-5.68184092,2.57727470,0.11885804,0.00000000,0.47223858,1.38730524,0.02749673,0.86887889
-5.67583792,2.65896659,0.12107942,0.00000000,0.48462495,1.43066025,0.02726538,0.90785984
-5.66983492,2.73301998,0.12262119,0.00000000,0.49601233,1.47010147,0.02689953,0.94453030
-5.66383192,2.79853914,0.12346282,0.00000000,0.50632084,1.50517050,0.02640956,0.97836042
-5.65782891,2.85466666,0.12359848,0.00000000,0.51546463,1.53542253,0.02580812,1.00882440
-5.65182591,2.90060636,0.12303761,0.00000000,0.52335328,1.56043793,0.02510982,1.03541515
-5.64582291,2.93564855,0.12180506,0.00000000,0.52989437,1.57983553,0.02433085,1.05765992
-5.63981991,2.95919623,0.11994057,0.00000000,0.53499677,1.59328676,0.02348865,1.07513622
-5.63381691,2.97079105,0.11749793,0.00000000,0.53857488,1.60053002,0.02260148,1.08748720
-5.62781391,2.97013736,0.11454345,0.00000000,0.54055311,1.60138447,0.02168804,1.09443590
-5.62181091,2.95712297,0.11115416,0.00000000,0.54087067,1.59576233,0.02076702,1.09579737
-5.61580790,2.93183495,0.10741551,0.00000000,0.53948607,1.58367870,0.01985672,1.09148812
-5.60980490,2.89456928,0.10341883,0.00000000,0.53638112,1.56525838,0.01897463,1.08153228
-5.60380190,2.84583329,0.09925857,0.00000000,0.53156401,1.54073870,0.01813708,1.06606399
-5.59779890,2.78634010,0.09502942,0.00000000,0.52507136,1.51046824,0.01735887,1.04532580
-5.59179590,2.71699513,0.09082345,0.00000000,0.51696883,1.47490100,0.01665296,1.01966307
-5.58579290,2.63887459,0.08672739,0.00000000,0.50735045,1.43458615,0.01603018,0.98951453
-5.57978989,2.55319701,0.08282004,0.00000000,0.49633642,1.39015376,0.01549901,0.95539939
-5.57378689,2.46128877,0.07917010,0.00000000,0.48406965,1.34229699,0.01506538,0.91790161
-5.56778389,2.36454525,0.07583425,0.00000000,0.47071115,1.29175162,0.01473255,0.87765201
-5.56178089,2.26438953,0.07285578,0.00000000,0.45643461,1.23927386,0.01450103,0.83530908
-5.55577789,2.16223045,0.07026369,0.00000000,0.44142037,1.18561762,0.01436861,0.79153945
-5.54977489,2.05942231,0.06807225,0.00000000,0.42584935,1.13151222,0.01433039,0.74699879
-5.54377189,1.95722798,0.06628113,0.00000000,0.40989710,1.07764192,0.01437896,0.70231408
-5.53776888,1.85678723,0.06487604,0.00000000,0.39372843,1.02462794,0.01450460,0.65806795
-5.53176588,1.75909168,0.06382979,0.00000000,0.37749291,0.97301408,0.01469560,0.61478575
-5.52576288,1.66496746,0.06310382,0.00000000,0.36132147,0.92325645,0.01493854,0.57292565
-5.51975988,1.57506601,0.06265009,0.00000000,0.34532421,0.87571763,0.01521879,0.53287219
-5.51375688,1.48986313,0.06241317,0.00000000,0.32958959,0.83066551,0.01552094,0.49493319
-5.50775388,1.40966596,0.06233259,0.00000000,0.31418482,0.78827643,0.01582927,0.45933996
-5.50175088,1.33462690,0.06234527,0.00000000,0.29915745,0.74864238,0.01612829,0.42625043
-5.49574787,1.26476345,0.06238793,0.00000000,0.28453800,0.71178152,0.01640326,0.39575488
-5.48974487,1.19998222,0.06239943,0.00000000,0.27034323,0.67765123,0.01664065,0.36788365
-5.48374187,1.14010582,0.06232292,0.00000000,0.25657994,0.64616279,0.01682862,0.34261617
-5.47773887,1.08490051,0.06210771,0.00000000,0.24324892,0.61719669,0.01695743,0.31989085
-5.47173587,1.03410329,0.06171086,0.00000000,0.23034877,0.59061763,0.01701972,0.29961503
-5.46573287,0.98744664,0.06109838,0.00000000,0.21787934,0.56628840,0.01701075,0.28167459
-5.45972986,0.94467976,0.06024603,0.00000000,0.20584462,0.54408164,0.01692858,0.26594264
-5.45372686,0.90558521,0.05913970,0.00000000,0.19425478,0.52388924,0.01677403,0.25228695
-5.44772386,0.86999036,0.05777536,0.00000000,0.18312748,0.50562865,0.01655063,0.24057584
-5.44172086,0.83777327,0.05615867,0.00000000,0.17248815,0.48924606,0.01626444,0.23068248
-5.43571786,0.80886314,0.05430420,0.00000000,0.16236952,0.47471643,0.01592372,0.22248741
-5.42971486,0.78323558,0.05223435,0.00000000,0.15281030,0.46204054,0.01553861,0.21587953
-5.42371186,0.76090350,0.04997812,0.00000000,0.14385327,0.45123949,0.01512067,0.21075562
-5.41770885,0.74190449,0.04756960,0.00000000,0.13554285,0.44234710,0.01468240,0.20701878
-5.41170585,0.72628573,0.04504645,0.00000000,0.12792242,0.43540088,0.01423672,0.20457592
-5.40570285,0.71408762,0.04244842,0.00000000,0.12103149,0.43043225,0.01379645,0.20333476
-5.39969985,0.70532735,0.03981579,0.00000000,0.11490305,0.42745669,0.01337383,0.20320067
-5.39369685,0.69998349,0.03718810,0.00000000,0.10956114,0.42646455,0.01298007,0.20407358
-5.38769385,0.69798273,0.03460291,0.00000000,0.10501886,0.42741309,0.01262494,0.20584536
-5.38169085,0.69918959,0.03209488,0.00000000,0.10127700,0.43022037,0.01231646,0.20839785
-5.37568784,0.70339975,0.02969506,0.00000000,0.09832319,0.43476127,0.01206070,0.21160170
-5.36968484,0.71033751,0.02743037,0.00000000,0.09613184,0.44086611,0.01186160,0.21531623
-5.36368184,0.71965754,0.02532342,0.00000000,0.09466469,0.44832181,0.01172099,0.21939022
-5.35767884,0.73095087,0.02339249,0.00000000,0.09387207,0.45687571,0.01163862,0.22366371
-5.35167584,0.74375486,0.02165175,0.00000000,0.09369465,0.46624185,0.01161237,0.22797071
-5.34567284,0.75756658,0.02011160,0.00000000,0.09406577,0.47610929,0.01163843,0.23214265
-5.33966983,0.77185899,0.01877921,0.00000000,0.09491401,0.48615230,0.01171167,0.23601245
-5.33366683,0.78609903,0.01765905,0.00000000,0.09616611,0.49604164,0.01182594,0.23941889
-5.32766383,0.79976672,0.01675350,0.00000000,0.09774978,0.50545651,0.01197448,0.24221120
-5.32166083,0.81237417,0.01606348,0.00000000,0.09959653,0.51409657,0.01215034,0.24425353
-5.31565783,0.82348377,0.01558896,0.00000000,0.10164425,0.52169325,0.01234667,0.24542908
-5.30965483,0.83272427,0.01532940,0.00000000,0.10383926,0.52802002,0.01255717,0.24564372
-5.30365183,0.83980429,0.01528418,0.00000000,0.10613807,0.53290080,0.01277629,0.24482890
-5.29764882,0.84452230,0.01545274,0.00000000,0.10850834,0.53621641,0.01299950,0.24294370
-5.29164582,0.84677274,0.01583474,0.00000000,0.11092933,0.53790842,0.01322344,0.23997598
-5.28564282,0.84654794,0.01642998,0.00000000,0.11339158,0.53798050,0.01344596,0.23594241
-5.27963982,0.84393579,0.01723830,0.00000000,0.11589594,0.53649697,0.01366608,0.23088768
-5.27363682,0.83911332,0.01825932,0.00000000,0.11845204,0.53357894,0.01388393,0.22488261
-5.26763382,0.83233664,0.01949211,0.00000000,0.12107618,0.52939799,0.01410055,0.21802153
-5.26163082,0.82392773,0.02093485,0.00000000,0.12378883,0.52416796,0.01431762,0.21041884
-5.25562781,0.81425897,0.02258449,0.00000000,0.12661187,0.51813527,0.01453722,0.20220507
-5.24962481,0.80373613,0.02443644,0.00000000,0.12956579,0.51156822,0.01476150,0.19352259
-5.24362181,0.79278078,0.02648428,0.00000000,0.13266692,0.50474602,0.01499236,0.18452108
-5.23761881,0.78181314,0.02871963,0.00000000,0.13592492,0.49794793,0.01523114,0.17535308
-5.23161581,0.77123609,0.03113211,0.00000000,0.13934070,0.49144317,0.01547842,0.16616962
-5.22561281,0.76142124,0.03370943,0.00000000,0.14290494,0.48548213,0.01573373,0.15711638
-5.21960980,0.75269755,0.03643761,0.00000000,0.14659716,0.48028909,0.01599549,0.14833014
-5.21360680,0.74534300,0.03930135,0.00000000,0.15038558,0.47605684,0.01626089,0.13993594
-5.20760380,0.73957946,0.04228445,0.00000000,0.15422769,0.47294327,0.01652597,0.13204482
-5.20160080,0.73557081,0.04537042,0.00000000,0.15807152,0.47106990,0.01678568,0.12475224
