energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-2.71035518,1.48280027,0.00378475,0.09729986,0.03439219,0.80486567,0.00000000,0.25687578,0.67414265
-2.70435218,1.46600547,0.00352086,0.09510798,0.03185575,0.79147334,0.00000000,0.24879273,0.67459984
-2.69834917,1.44686002,0.00325941,0.09258418,0.02939095,0.77659548,0.00000000,0.24125215,0.67428857
-2.69234617,1.42548823,0.00300431,0.08973977,0.02702627,0.76024941,0.00000000,0.23428029,0.67325481
-2.68634317,1.40206023,0.00275905,0.08659417,0.02478567,0.74248674,0.00000000,0.22791097,0.67155620
-2.68034017,1.37678602,0.00252666,0.08317417,0.02268841,0.72339062,0.00000000,0.22218135,0.66926040
-2.67433717,1.34990928,0.00230965,0.07951301,0.02074901,0.70307267,0.00000000,0.21712802,0.66644326
-2.66833417,1.32170075,0.00211000,0.07564934,0.01897739,0.68166983,0.00000000,0.21278344,0.66318687
-2.66233117,1.29245122,0.00192918,0.07162601,0.01737908,0.65934068,0.00000000,0.20917288,0.65957741
-2.65632816,1.26246399,0.00176812,0.06748882,0.01595557,0.63626157,0.00000000,0.20631190,0.65570280
-2.65032516,1.23204719,0.00162731,0.06328525,0.01470475,0.61262236,0.00000000,0.20420434,0.65165019
-2.64432216,1.20150588,0.00150678,0.05906313,0.01362132,0.58862182,0.00000000,0.20284103,0.64750341
-2.63831916,1.17113437,0.00140619,0.05486935,0.01269732,0.56446294,0.00000000,0.20219909,0.64334048
-2.63231616,1.14120892,0.00132490,0.05074874,0.01192265,0.54034813,0.00000000,0.20224188,0.63923129
-2.62631316,1.11198123,0.00126197,0.04674296,0.01128553,0.51647452,0.00000000,0.20291952,0.63523559
-2.62031016,1.08367286,0.00121629,0.04288963,0.01077301,0.49302953,0.00000000,0.20417010,0.63140142
-2.61430715,1.05647091,0.00118660,0.03922157,0.01037143,0.47018684,0.00000000,0.20592124,0.62776404
-2.60830415,1.03052503,0.00117153,0.03576631,0.01006679,0.44810287,0.00000000,0.20809216,0.62434542
-2.60230115,1.00594584,0.00116968,0.03254572,0.00984516,0.42691396,0.00000000,0.21059603,0.62115422
-2.59629815,0.98280469,0.00117964,0.02957591,0.00969298,0.40673417,0.00000000,0.21334240,0.61818630
-2.59029515,0.96113468,0.00119999,0.02686722,0.00959730,0.38765390,0.00000000,0.21623974,0.61542551
-2.58429215,0.94093267,0.00122938,0.02442450,0.00954603,0.36973918,0.00000000,0.21919780,0.61284490
-2.57828914,0.92216209,0.00126651,0.02224742,0.00952807,0.35303165,0.00000000,0.22212980,0.61040779
