energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.03779225,0.11574356,0.05700168,0.96409798,2.60393105,0.11078737,2.46418145,1.14117826,0.52031320
-5.99399700,7.20057521,0.12027161,0.05746842,0.98844925,2.64106945,0.11505665,2.54038568,1.17712225,0.54372447
-5.98799400,7.35465853,0.12501566,0.05800570,1.01351550,2.67283077,0.11918578,2.61493850,1.21323001,0.56705647
-5.98199100,7.49825473,0.12996515,0.05861882,1.03914180,2.69856876,0.12313135,2.68714294,1.24913796,0.59018521
-5.97598799,7.62981405,0.13510838,0.05931358,1.06518772,2.71775957,0.12685361,2.75635810,1.28445438,0.61300163
-5.96998499,7.74805073,0.14043240,0.06009630,1.09153008,2.73000980,0.13031731,2.82201066,1.31876640,0.63541321
-5.96398199,7.85196180,0.14592294,0.06097389,1.11806476,2.73506140,0.13349251,2.88360437,1.35164868,0.65734470
-5.95797899,7.94083817,0.15156425,0.06195387,1.14470755,2.73279313,0.13635509,2.94072707,1.38267361,0.67873787
-5.95197599,8.01426766,0.15733889,0.06304455,1.17139396,2.72321916,0.13888716,2.99305504,1.41142258,0.69955026
-5.94597299,8.07212971,0.16322752,0.06425512,1.19807792,2.70648452,0.14107723,3.04035432,1.43749791,0.71975284
-5.93996998,8.11458183,0.16920847,0.06559578,1.22472935,2.68285793,0.14292013,3.08247881,1.46053467,0.73932670
-5.93396698,8.14203780,0.17525734,0.06707785,1.25133078,2.65272184,0.14441675,3.11936516,1.48021196,0.75825883
-5.92796398,8.15513831,0.18134652,0.06871386,1.27787287,2.61656020,0.14557353,3.15102450,1.49626287,0.77653717
-5.92196098,8.15471469,0.18744459,0.07051756,1.30434930,2.57494403,0.14640174,3.17753138,1.50848268,0.79414522
-5.91595798,8.14174707,0.19351585,0.07250388,1.33075105,2.52851527,0.14691666,3.19901018,1.51673482,0.81105651
-5.90995498,8.11731857,0.19951982,0.07468878,1.35706052,2.47796923,0.14713654,3.21562004,1.52095421,0.82722931
-5.90395198,8.08256748,0.20541093,0.07708902,1.38324580,2.42403621,0.14708157,3.22753874,1.52114796,0.84260185
-5.89794897,8.03863961,0.21113839,0.07972182,1.40925548,2.36746289,0.14677271,3.23494674,1.51739345,0.85708863
-5.89194597,7.98664314,0.21664631,0.08260440,1.43501446,2.30899390,0.14623070,3.23801230,1.50983384,0.87057798
-5.88594297,7.92760836,0.22187420,0.08575354,1.46042104,2.24935457,0.14547501,3.23687867,1.49867156,0.88293127
-5.87993997,7.86245439,0.22675779,0.08918491,1.48534564,2.18923506,0.14452301,3.23165420,1.48416015,0.89398394
-5.87393697,7.79196466,0.23123025,0.09291251,1.50963140,2.12927675,0.14338932,3.22240621,1.46659503,0.90354853
-5.86793397,7.71677247,0.23522371,0.09694799,1.53309661,2.07006119,0.14208532,3.20915902,1.44630368,0.91141951
-5.86193097,7.63735733,0.23867125,0.10130005,1.55553911,2.01210194,0.14061897,3.19189637,1.42363601,0.91738000
-5.85592796,7.55405200,0.24150896,0.10597386,1.57674237,1.95583962,0.13899480,3.17056816,1.39895514,0.92120993
-5.84992496,7.46705957,0.24367828,0.11097051,1.59648284,1.90163993,0.13721419,3.14510109,1.37262920,0.92269534
-5.84392196,7.37647911,0.24512834,0.11628660,1.61453838,1.84979479,0.13527582,3.11541249,1.34502435,0.92163838
-5.83791896,7.28233795,0.24581816,0.12191393,1.63069695,1.80052598,0.13317629,3.08142631,1.31649910,0.91786734
-5.83191596,7.18462811,0.24571869,0.12783931,1.64476525,1.75399097,0.13091093,3.04309028,1.28740009,0.91124631
