energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,4.47722648,0.54128354,1.23212740,0.00124101,0.60576845,2.84111852,1.66641713,0.02859904,0.86194815
-5.99399700,4.56685337,0.56242858,1.27843148,0.00134603,0.61222361,2.82685300,1.69456655,0.02869716,0.88356562
-5.98799400,4.66140899,0.58518230,1.32452621,0.00146650,0.62025867,2.82103134,1.72501970,0.02886996,0.90500839
-5.98199100,4.76008655,0.60948642,1.36995360,0.00160232,0.62976686,2.82403565,1.75747235,0.02911720,0.92619790
-5.97598799,4.86189789,0.63524923,1.41424014,0.00175304,0.64059628,2.83603343,1.79153690,0.02943539,0.94705672
-5.96998499,4.96569527,0.66234264,1.45690784,0.00191788,0.65255376,2.85696803,1.82675279,0.02981796,0.96750847
-5.96398199,5.07019912,0.69060039,1.49748576,0.00209570,0.66541014,2.88655568,1.86259946,0.03025558,0.98747763
-5.95797899,5.17402980,0.71981727,1.53552164,0.00228495,0.67890643,2.92428907,1.89851100,0.03073645,1.00688941
-5.95197599,5.27574187,0.74974965,1.57059286,0.00248370,0.69276082,2.96944668,1.93389186,0.03124678,1.02566928
-5.94597299,5.37385883,0.78011720,1.60231625,0.00268964,0.70667608,3.02110749,1.96813268,0.03177125,1.04374220
-5.93996998,5.46690676,0.81060574,1.63035622,0.00290009,0.72034707,3.07817009,2.00062575,0.03229356,1.06103155
-5.93396698,5.55344529,0.84087128,1.65443088,0.00311210,0.73346798,3.13937548,2.03077910,0.03279693,1.07745761
-5.92796398,5.63209487,0.87054512,1.67431582,0.00332241,0.74573923,3.20333288,2.05802911,0.03326461,1.09293578
-5.92196098,5.70155949,0.89923984,1.68984553,0.00352764,0.75687375,3.26854767,2.08185095,0.03368039,1.10737445
-5.91595798,5.76064457,0.92655612,1.70091251,0.00372425,0.76660242,3.33345099,2.10176690,0.03402903,1.12067300
-5.90995498,5.80827020,0.95209030,1.70746429,0.00390874,0.77467875,3.39643048,2.11735239,0.03429663,1.13271968
-5.90395198,5.84348007,0.97544230,1.70949874,0.00407766,0.78088281,3.45586161,2.12824013,0.03447098,1.14339007
-5.89794897,5.86544706,0.99622398,1.70705815,0.00422776,0.78502424,3.51013950,2.13412238,0.03454177,1.15254601
-5.89194597,5.87347652,1.01406761,1.70022255,0.00435607,0.78694472,3.55771062,2.13475198,0.03450080,1.16003545
-5.88594297,5.86700819,1.02863425,1.68910291,0.00446001,0.78651977,3.59710434,2.12994246,0.03434211,1.16569329
-5.87993997,5.84561812,1.03962196,1.67383474,0.00453743,0.78366010,3.62696379,2.11956773,0.03406198,1.16934350
-5.87393697,5.80902134,1.04677350,1.65457263,0.00458672,0.77831265,3.64607567,2.10356184,0.03365900,1.17080255
-5.86793397,5.75707617,1.04988336,1.63148596,0.00460682,0.77046127,3.65339854,2.08191900,0.03313394,1.16988413
-5.86193097,5.68979042,1.04880398,1.60475633,0.00459730,0.76012726,3.64808884,2.05469418,0.03248972,1.16640513
-5.85592796,5.60732963,1.04345087,1.57457654,0.00455834,0.74736963,3.62952413,2.02200446,0.03173124,1.16019269
-5.84992496,5.51002691,1.03380653,1.54115131,0.00449074,0.73228516,3.59732252,1.98403084,0.03086521,1.15109208
-5.84392196,5.39839374,1.01992286,1.50469941,0.00439585,0.71500813,3.55135771,1.94102059,0.02990002,1.13897497
-5.83791896,5.27313055,1.00192215,1.46545698,0.00427559,0.69570976,3.49176868,1.89328956,0.02884547,1.12374776
-5.83191596,5.13513598,0.97999632,1.42368154,0.00413234,0.67459699,3.41896343,1.84122425,0.02771258,1.10535958
-5.82591296,4.98551334,0.95440444,1.37965622,0.00396887,0.65191086,3.33361617,1.78528309,0.02651341,1.08380929
-5.81990995,4.82557292,0.92546859,1.33369367,0.00378825,0.62792403,3.23665764,1.72599635,0.02526075,1.05915127
-5.81390695,4.65682889,0.89356796,1.28613903,0.00359379,0.60293765,3.12925836,1.66396447,0.02396792,1.03149950
-5.80790395,4.48098969,0.85913138,1.23737159,0.00338889,0.57727736,3.01280510,1.59985417,0.02264856,1.00102953
-5.80190095,4.29994133,0.82262842,1.18780459,0.00317698,0.55128845,2.88887104,1.53439222,0.02131632,0.96797829
-5.79589795,4.11572314,0.78455933,1.13788295,0.00296143,0.52533040,2.75918021,1.46835677,0.01998470,0.93264140
-5.78989495,3.93049616,0.74544396,1.08807870,0.00274544,0.49977059,2.62556758,1.40256606,0.01866680,0.89536820
-5.78389195,3.74650480,0.70581012,1.03888413,0.00253202,0.47497761,2.48993567,1.33786496,0.01737509,0.85655448
-5.77788894,3.56603264,0.66618164,0.99080279,0.00232385,0.45131422,2.35420948,1.27510936,0.01612121,0.81663315
-5.77188594,3.39135389,0.62706654,0.94433863,0.00212333,0.42913022,2.22029101,1.21514916,0.01491581,0.77606335
-5.76588294,3.22468212,0.58894565,0.89998366,0.00193247,0.40875537,2.09001497,1.15881017,0.01376838,0.73531818
-5.75987994,3.06811812,0.55226203,0.85820475,0.00175290,0.39049275,1.96510731,1.10687574,0.01268712,0.69487189
-5.75387694,2.92359895,0.51741158,0.81943001,0.00158588,0.37461261,1.84714758,1.06006862,0.01167881,0.65518668
-5.74787394,2.79285008,0.48473503,0.78403555,0.00143227,0.36134707,1.73753666,1.01903388,0.01074875,0.61669997
-5.74187094,2.67734248,0.45451168,0.75233326,0.00129259,0.35088565,1.63747035,0.98432338,0.00990074,0.57981256
-5.73586793,2.57825629,0.42695486,0.72456004,0.00116701,0.34337198,1.54791976,0.95638232,0.00913701,0.54487801
-5.72986493,2.49645241,0.40220948,0.70086927,0.00105541,0.33890144,1.46961849,0.93553850,0.00845830,0.51219389
-5.72386193,2.43245292,0.38035145,0.68132486,0.00095740,0.33752011,1.40305681,0.92199438,0.00786389,0.48199507
-5.71785893,2.38643090,0.36138903,0.66589818,0.00087235,0.33922470,1.34848248,0.91582223,0.00735165,0.45444924
-5.71185593,2.35820996,0.34526610,0.65446816,0.00079949,0.34396353,1.30590758,0.91696254,0.00691822,0.42965492
-5.70585293,2.34727295,0.33186693,0.64682452,0.00073787,0.35163844,1.27512082,0.92522541,0.00655909,0.40764174
-5.69984992,2.35277965,0.32102254,0.64267412,0.00068646,0.36210744,1.25570429,0.94029499,0.00626875,0.38837312
-5.69384692,2.37359214,0.31251810,0.64165015,0.00064418,0.37518799,1.24705374,0.96173657,0.00604089,0.37175093
-5.68784392,2.40830708,0.30610129,0.64332369,0.00060992,0.39066079,1.24840151,0.98900602,0.00586859,0.35762206
-5.68184092,2.45529329,0.30149122,0.64721739,0.00058255,0.40827383,1.25884102,1.02146128,0.00574443,0.34578639
-5.67583792,2.51273340,0.29838759,0.65282050,0.00056102,0.42774673,1.27735206,1.05837546,0.00566078,0.33600585
-5.66983492,2.57866811,0.29647988,0.65960468,0.00054428,0.44877504,1.30282610,1.09895122,0.00560988,0.32801421
-5.66383192,2.65104156,0.29545618,0.66704003,0.00053140,0.47103476,1.33409099,1.14233600,0.00558412,0.32152706
