energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-5.61580790,0.30614541,0.00012415,0.04721642,0.00824490,0.05902735,0.00213096,0.08586986
-5.60980490,0.26430847,0.00010655,0.04075475,0.00712142,0.05096984,0.00184269,0.07416386
-5.60380190,0.22665876,0.00009102,0.03494124,0.00611188,0.04371584,0.00158325,0.06362362
-5.59779890,0.19307410,0.00007742,0.02975658,0.00521339,0.03724253,0.00135176,0.05421678
-5.59179590,0.16337779,0.00006562,0.02517306,0.00442177,0.03151640,0.00114704,0.04589554
-5.58579290,0.13735114,0.00005552,0.02115648,0.00373190,0.02649564,0.00096768,0.03860015
-5.57978989,0.11474567,0.00004699,0.01766803,0.00313810,0.02213256,0.00081210,0.03226234
-5.57378689,0.09529474,0.00003996,0.01466611,0.00263455,0.01837575,0.00067865,0.02680867
-5.56778389,0.07872419,0.00003434,0.01210793,0.00221561,0.01517218,0.00056568,0.02216348
-5.56178089,0.06476181,0.00003011,0.00995099,0.00187619,0.01246902,0.00047159,0.01825166
-5.55577789,0.05314565,0.00002723,0.00815430,0.00161209,0.01021520,0.00039490,0.01500098
-5.54977489,0.04363098,0.00002574,0.00667949,0.00142033,0.00836272,0.00033433,0.01234411
-5.54377189,0.03599598,0.00002569,0.00549159,0.00129942,0.00686778,0.00028882,0.01022032
-5.53776888,0.03004631,0.00002721,0.00455976,0.00124968,0.00569154,0.00025761,0.00857677
-5.53176588,0.02561858,0.00003045,0.00385780,0.00127350,0.00480085,0.00024025,0.00736956
-5.52576288,0.02258284,0.00003566,0.00336445,0.00137558,0.00416861,0.00023667,0.00656453
-5.51975988,0.02084423,0.00004314,0.00306366,0.00156320,0.00377409,0.00024718,0.00613776
-5.51375688,0.02034396,0.00005326,0.00294470,0.00184643,0.00360305,0.00027254,0.00607589
-5.50775388,0.02105959,0.00006649,0.00300217,0.00223830,0.00364777,0.00031392,0.00637630
-5.50175088,0.02300469,0.00008338,0.00323591,0.00275498,0.00390694,0.00037297,0.00704701
-5.49574787,0.02622804,0.00010456,0.00365091,0.00341586,0.00438549,0.00045181,0.00810650
-5.48974487,0.03081212,0.00013077,0.00425700,0.00424360,0.00509425,0.00055299,0.00958334
-5.48374187,0.03687104,0.00016283,0.00506860,0.00526409,0.00604961,0.00067954,0.01151555
-5.47773887,0.04454784,0.00020163,0.00610428,0.00650627,0.00727297,0.00083488,0.01394983
-5.47173587,0.05401094,0.00024817,0.00738626,0.00800191,0.00879012,0.00102283,0.01694047
-5.46573287,0.06544979,0.00030348,0.00893979,0.00978518,0.01063050,0.00124749,0.02054811
-5.45972986,0.07906970,0.00036865,0.01079243,0.01189217,0.01282626,0.00151323,0.02483805
-5.45372686,0.09508563,0.00044478,0.01297315,0.01436016,0.01541125,0.00182453,0.02987840
-5.44772386,0.11371518,0.00053297,0.01551141,0.01722683,0.01841980,0.00218589,0.03573788
-5.44172086,0.13517067,0.00063427,0.01843603,0.02052931,0.02188540,0.00260171,0.04248334
-5.43571786,0.15965053,0.00074967,0.02177403,0.02430309,0.02583929,0.00307611,0.05017709
-5.42971486,0.18733014,0.00088001,0.02554933,0.02858088,0.03030889,0.00361278,0.05887399
-5.42371186,0.21835251,0.00102600,0.02978154,0.03339139,0.03531626,0.00421482,0.06861856
-5.41770885,0.25281891,0.00118813,0.03448465,0.03875817,0.04087659,0.00488456,0.07944199
-5.41170585,0.29078014,0.00136666,0.03966581,0.04469841,0.04699670,0.00562343,0.09135944
-5.40570285,0.33222859,0.00156155,0.04532431,0.05122198,0.05367379,0.00643177,0.10436747
-5.39969985,0.37709172,0.00177249,0.05145064,0.05833048,0.06089429,0.00730876,0.11844206
-5.39369685,0.42522735,0.00199880,0.05802587,0.06601667,0.06863316,0.00825230,0.13353705
-5.38769385,0.47642102,0.00223949,0.06502133,0.07426406,0.07685341,0.00925900,0.14958337
-5.38169085,0.53038598,0.00249321,0.07239852,0.08304687,0.08550615,0.01032415,0.16648899
-5.37568784,0.58676579,0.00275832,0.08010958,0.09233025,0.09453101,0.01144175,0.18413976
-5.36968484,0.64513968,0.00303283,0.08809795,0.10207087,0.10385706,0.01260467,0.20240110
-5.36368184,0.70503068,0.00331453,0.09629949,0.11221777,0.11340420,0.01380474,0.22112059
-5.35767884,0.76591624,0.00360100,0.10464398,0.12271351,0.12308495,0.01503296,0.24013131
-5.35167584,0.82724087,0.00388965,0.11305680,0.13349545,0.13280664,0.01627971,0.25925587
-5.34567284,0.88843055,0.00417785,0.12146094,0.14449721,0.14247382,0.01753504,0.27831092
-5.33966983,0.94890801,0.00446295,0.12977909,0.15565014,0.15199095,0.01878888,0.29711205
-5.33366683,1.00810847,0.00474239,0.13793582,0.16688474,0.16126507,0.02003138,0.31547875
-5.32766383,1.06549496,0.00501380,0.14585969,0.17813201,0.17020854,0.02125309,0.33323924
-5.32166083,1.12057268,0.00527501,0.15348527,0.18932452,0.17874151,0.02244530,0.35023503
-5.31565783,1.17290171,0.00552421,0.16075494,0.20039731,0.18679427,0.02360015,0.36632491
-5.30965483,1.22210780,0.00575993,0.16762045,0.21128852,0.19430919,0.02471089,0.38138835
-5.30365183,1.26789076,0.00598117,0.17404413,0.22193977,0.20124230,0.02577196,0.39532808
-5.29764882,1.31003049,0.00618740,0.17999989,0.23229637,0.20756452,0.02677909,0.40807196
-5.29164582,1.34839069,0.00637865,0.18547388,0.24230735,0.21326246,0.02772940,0.41957401
-5.28564282,1.38292056,0.00655549,0.19046485,0.25192552,0.21833882,0.02862134,0.42981489
-5.27963982,1.41365491,0.00671910,0.19498440,0.26110757,0.22281261,0.02945479,0.43880169
-5.27363682,1.44071319,0.00687131,0.19905708,0.26981436,0.22671906,0.03023094,0.44656753
-5.26763382,1.46429801,0.00701461,0.20272039,0.27801158,0.23010942,0.03095236,0.45317083
-5.26163082,1.48469377,0.00715216,0.20602487,0.28567071,0.23305074,0.03162295,0.45869467
-5.25562781,1.50226577,0.00728790,0.20903416,0.29277047,0.23562562,0.03224796,0.46324629
-5.24962481,1.51746004,0.00742651,0.21182522,0.29929876,0.23793204,0.03283400,0.46695686
-5.24362181,1.53080409,0.00757348,0.21448856,0.30525492,0.24008326,0.03338908,0.46998146
-5.23761881,1.54290830,0.00773514,0.21712860,0.31065235,0.24220770,0.03392267,0.47249948
-5.23161581,1.55446749,0.00791870,0.21986383,0.31552128,0.24444887,0.03444574,0.47471501
-5.22561281,1.56626208,0.00813222,0.22282695,0.31991146,0.24696503,0.03497077,0.47685724
-5.21960980,1.57915777,0.00838462,0.22616457,0.32389452,0.24992864,0.03551180,0.47918057
-5.21360680,1.59410288,0.00868561,0.23003655,0.32756586,0.25352528,0.03608432,0.48196402
-5.20760380,1.61212221,0.00904565,0.23461459,0.33104558,0.25795198,0.03670515,0.48550973
-5.20160080,1.63430628,0.00947575,0.24008013,0.33447842,0.26341474,0.03739226,0.49014019
-5.19559780,1.66179527,0.00998732,0.24662130,0.33803234,0.27012512,0.03816440,0.49619386
-5.18959480,1.69575699,0.01059193,0.25442886,0.34189569,0.27829585,0.03904070,0.50401915
-5.18359180,1.73735867,0.01130098,0.26369121,0.34627288,0.28813541,0.04004011,0.51396647
-5.17758879,1.78773280,0.01212536,0.27458842,0.35137854,0.29984167,0.04118079,0.52637855
-5.17158579,1.84793782,0.01307509,0.28728553,0.35743038,0.31359471,0.04247940,0.54157915
-5.16558279,1.91891488,0.01415882,0.30192517,0.36464085,0.32954904,0.04395030,0.55986054
-5.15957979,2.00144235,0.01538347,0.31862005,0.37320813,0.34782562,0.04560482,0.58147020
-5.15357679,2.09609032,0.01675373,0.33744545,0.38330664,0.36850395,0.04745052,0.60659740
-5.14757379,2.20317735,0.01827170,0.35843217,0.39507766,0.39161474,0.04949049,0.63536028
-5.14157079,2.32273228,0.01993651,0.38156050,0.40862062,0.41713352,0.05172284,0.66779434
-5.13556778,2.45446352,0.02174406,0.40675543,0.42398537,0.44497579,0.05414030,0.70384295
-5.12956478,2.59773824,0.02368684,0.43388363,0.44116615,0.47499398,0.05673002,0.74335069
-5.12356178,2.75157358,0.02575385,0.46275250,0.46009746,0.50697660,0.05947365,0.78606008
-5.11755878,2.91464126,0.02793069,0.49311144,0.48065229,0.54064991,0.06234757,0.83161225
-5.11155578,3.08528648,0.03019974,0.52465561,0.50264289,0.57568210,0.06532347,0.87955168
-5.10555278,3.26156113,0.03254055,0.55703196,0.52582414,0.61169000,0.06836902,0.92933520
-5.09954977,3.44127047,0.03493025,0.58984762,0.54989939,0.64824828,0.07144887,0.98034492
-5.09354677,3.62203173,0.03734415,0.62268018,0.57452869,0.68490057,0.07452572,1.03190476
-5.08754377,3.80134216,0.03975641,0.65508948,0.59933894,0.72117227,0.07756152,1.08329983
-5.08154077,3.97665358,0.04214079,0.68663048,0.62393550,0.75658435,0.08051872,1.13379785
-5.07553777,4.14544975,0.04447130,0.71686647,0.64791484,0.79066754,0.08336144,1.18267151
-5.06953477,4.30532296,0.04672303,0.74538206,0.67087739,0.82297618,0.08605662,1.22922082
-5.06353177,4.45404593,0.04887273,0.77179529,0.69244018,0.85310100,0.08857497,1.27279422
-5.05752876,4.58963542,0.05089945,0.79576827,0.71224851,0.88068035,0.09089169,1.31280749
-5.05152576,4.71040448,0.05278493,0.81701573,0.72998625,0.90540904,0.09298698,1.34875947
-5.04552276,4.81500084,0.05451397,0.83531123,0.74538420,0.92704465,0.09484629,1.38024389
-5.03951976,4.90242991,0.05607454,0.85049064,0.75822624,0.94541084,0.09646021,1.40695689
-5.03351676,4.97206161,0.05745780,0.86245280,0.76835313,0.96039770,0.09782414,1.42869983
-5.02751376,5.02362150,0.05865793,0.87115755,0.77566386,0.97195915,0.09893774,1.44537769
-5.02151076,5.05716734,0.05967182,0.87662116,0.78011471,0.98010776,0.09980416,1.45699319
-5.01550775,5.07305339,0.06049871,0.87890982,0.78171622,0.98490737,0.10042907,1.46363734
-5.00950475,5.07188510,0.06113965,0.87813136,0.78052847,0.98646404,0.10081975,1.46547711
-5.00350175,5.05446761,0.06159705,0.87442611,0.77665504,0.98491614,0.10098404,1.46274128
-4.99749875,5.02175150,0.06187412,0.86795728,0.77023617,0.98042404,0.10092947,1.45570522
-4.99149575,4.97477938,0.06197440,0.85890162,0.76144149,0.97316025,0.10066245,1.44467583
-4.98549275,4.91463640,0.06190143,0.84744084,0.75046289,0.96330055,0.10018767,1.42997738
