energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.06729288,0.05184638,0.13828334,0.69466972,0.42804997,0.10695035,2.55747115,0.69317591,0.54960190
-5.99399700,3.96876907,0.05246152,0.13463564,0.67298818,0.42006050,0.10390040,2.49685914,0.67026556,0.54015091
-5.98799400,3.86095257,0.05306805,0.13114414,0.64973106,0.41090998,0.10079896,2.42924857,0.64560185,0.52900999
-5.98199100,3.74541668,0.05369011,0.12787426,0.62521735,0.40075446,0.09769489,2.35560622,0.61934435,0.51641684
-5.97598799,3.62392507,0.05435411,0.12489182,0.59980299,0.38977620,0.09463462,2.27703678,0.59169970,0.50264242
-5.96998499,3.49839792,0.05508798,0.12226171,0.57387375,0.37817950,0.09166179,2.19476153,0.56291682,0.48798541
-5.96398199,3.37087152,0.05592026,0.12004636,0.54783739,0.36618563,0.08881692,2.11009254,0.53328017,0.47276575
-5.95797899,3.24345255,0.05687904,0.11830401,0.52211552,0.35402701,0.08613706,2.02440343,0.50310134,0.45731753
-5.95197599,3.11826839,0.05799072,0.11708691,0.49713527,0.34194092,0.08365532,1.93909761,0.47270955,0.44198140
-5.94597299,2.99741561,0.05927876,0.11643945,0.47332120,0.33016295,0.08140047,1.85557530,0.44244144,0.42709676
-5.93996998,2.88290857,0.06076240,0.11639625,0.45108771,0.31892047,0.07939633,1.77520069,0.41263081,0.41299400
-5.93396698,2.77663058,0.06245542,0.11698053,0.43083215,0.30842650,0.07766125,1.69927070,0.38359875,0.39998721
-5.92796398,2.68028972,0.06436496,0.11820254,0.41292912,0.29887421,0.07620751,1.62898662,0.35564466,0.38836753
-5.92196098,2.59538140,0.06649058,0.12005844,0.39772590,0.29043231,0.07504081,1.56543007,0.32903865,0.37839748
-5.91595798,2.52315943,0.06882352,0.12252952,0.38553930,0.28324160,0.07415978,1.50954409,0.30401546,0.37030648
-5.90995498,2.46461682,0.07134625,0.12558199,0.37665396,0.27741272,0.07355571,1.46212018,0.28077033,0.36428778
-5.90395198,2.42047712,0.07403241,0.12916720,0.37132194,0.27302534,0.07321238,1.42379180,0.25945671,0.36049680
-5.89794897,2.39119647,0.07684700,0.13322256,0.36976364,0.27012860,0.07310621,1.39503409,0.24018586,0.35905096
-5.89194597,2.37697575,0.07974706,0.13767295,0.37216959,0.26874294,0.07320655,1.37616974,0.22302835,0.36003092
-5.88594297,2.37778200,0.08268264,0.14243263,0.37870297,0.26886295,0.07347637,1.36738010,0.20801693,0.36348297
-5.87993997,2.39337731,0.08559816,0.14740774,0.38950247,0.27046121,0.07387310,1.36872059,0.19515084,0.36942251
-5.87393697,2.42335319,0.08843400,0.15249897,0.40468494,0.27349277,0.07434986,1.38013905,0.18440096,0.37783812
-5.86793397,2.46716810,0.09112837,0.15760470,0.42434762,0.27789990,0.07485672,1.40149579,0.17571557,0.38869601
-5.86193097,2.52418550,0.09361928,0.16262402,0.44856943,0.28361693,0.07534233,1.43258350,0.16902626,0.40194443
-5.85592796,2.59371001,0.09584661,0.16745986,0.47741105,0.29057472,0.07575550,1.47314585,0.16425380,0.41751770
-5.84992496,2.67501920,0.09775415,0.17202188,0.51091345,0.29870456,0.07604691,1.52289325,0.16131339,0.43533951
-5.84392196,2.76738909,0.09929146,0.17622899,0.54909497,0.30794118,0.07617069,1.58151465,0.16011933,0.45532527
-5.83791896,2.87011175,0.10041564,0.18001146,0.59194667,0.31822470,0.07608597,1.64868472,0.16058868,0.47738328
-5.83191596,2.98250423,0.10109270,0.18331245,0.63942631,0.32950146,0.07575820,1.72406582,0.16264387,0.50141466
-5.82591296,3.10390826,0.10129870,0.18608892,0.69145116,0.34172359,0.07516022,1.80730488,0.16621427,0.52731203
-5.81990995,3.23368156,0.10102043,0.18831192,0.74789017,0.35484745,0.07427306,1.89802554,0.17123659,0.55495709
-5.81390695,3.37118161,0.10025576,0.18996620,0.80855591,0.36883111,0.07308639,1.99581648,0.17765437,0.58421733
-5.80790395,3.51574380,0.09901353,0.19104924,0.87319714,0.38363102,0.07159870,2.10021700,0.18541661,0.61494225
-5.80190095,3.66665612,0.09731312,0.19156979,0.94149254,0.39919821,0.06981702,2.21070153,0.19447577,0.64695935
-5.79589795,3.82313311,0.09518359,0.19154601,1.01304635,0.41547433,0.06775648,2.32666446,0.20478543,0.68007051
-5.78989495,3.98429175,0.09266261,0.19100334,1.08738669,0.43238791,0.06543944,2.44740730,0.21629773,0.71404908
-5.78389195,4.14913191,0.08979509,0.18997225,1.16396687,0.44985116,0.06289451,2.57212956,0.22896106,0.74863818
-5.77788894,4.31652402,0.08663168,0.18848602,1.24217034,0.46775765,0.06015534,2.69992490,0.24271806,0.78355048
-5.77188594,4.48520562,0.08322717,0.18657869,1.32131935,0.48598115,0.05725925,2.82978364,0.25750421,0.81846992
-5.76588294,4.65378836,0.07963882,0.18428331,1.40068725,0.50437580,0.05424593,2.96060235,0.27324726,0.85305525
-5.75987994,4.82077601,0.07592484,0.18163058,1.47951423,0.52277774,0.05115600,3.09120061,0.28986746,0.88694563
-5.75387694,4.98459311,0.07214283,0.17864788,1.55702609,0.54100820,0.04802978,3.22034476,0.30727879,0.91976809
-5.74787394,5.14362340,0.06834848,0.17535889,1.63245499,0.55887791,0.04490608,3.34677768,0.32539111,0.95114648
-5.74187094,5.29625619,0.06459440,0.17178360,1.70506164,0.57619276,0.04182120,3.46925337,0.34411311,0.98071162
-5.73586793,5.44093814,0.06092915,0.16793877,1.77415760,0.59276022,0.03880809,3.58657445,0.36335604,1.00811208
-5.72986493,5.57622771,0.05739650,0.16383879,1.83912666,0.60839644,0.03589569,3.69763089,0.38303793,1.03302504
-5.72386193,5.70084899,0.05403490,0.15949680,1.89944430,0.62293341,0.03310858,3.80143748,0.40308811,1.05516654
-5.71785893,5.81374183,0.05087710,0.15492596,1.95469394,0.63622589,0.03046668,3.89716820,0.42345181,1.07430068
-5.71185593,5.91410512,0.04795007,0.15014085,2.00457937,0.64815775,0.02798529,3.98418545,0.44409452,1.09024706
-5.70585293,6.00143091,0.04527492,0.14515871,2.04893247,0.65864729,0.02567518,4.06206244,0.46500588,1.10288612
-5.69984992,6.07552714,0.04286707,0.14000062,2.08771604,0.66765127,0.02354289,4.13059754,0.48620297,1.11216205
-5.69384692,6.13652792,0.04073650,0.13469242,2.12102133,0.67516754,0.02159113,4.18981990,0.50773263,1.11808312
-5.68784392,6.18489079,0.03888803,0.12926534,2.14906078,0.68123600,0.01981925,4.23998611,0.52967281,1.12071940
-5.68184092,6.22138152,0.03732175,0.12375628,2.17215614,0.68593801,0.01822374,4.28156818,0.55213278,1.12019807
-5.67583792,6.24704733,0.03603336,0.11820781,2.19072288,0.68939428,0.01679884,4.31523388,0.57525221,1.11669665
-5.66983492,6.26318063,0.03501467,0.11266783,2.20525174,0.69176139,0.01553704,4.34182046,0.59919905,1.11043449
-5.66383192,6.27127519,0.03425405,0.10718889,2.21628836,0.69322718,0.01442961,4.36230361,0.62416633,1.10166325
-5.65782891,6.27297759,0.03373682,0.10182744,2.22441235,0.69400530,0.01346712,4.37776320,0.65036794,1.09065665
-5.65182591,6.27003646,0.03344579,0.09664280,2.23021652,0.69432917,0.01263984,4.38934772,0.67803352,1.07770038
-5.64582291,6.26425196,0.03336166,0.09169605,2.23428763,0.69444579,0.01193817,4.39823919,0.70740256,1.06308250
-5.63981991,6.25742796,0.03346351,0.08704903,2.23718919,0.69460943,0.01135288,4.40561994,0.73871795,1.04708485
-5.63381691,6.25132846,0.03372922,0.08276325,2.23944722,0.69507572,0.01087545,4.41264258,0.77221898,1.02997596
-5.62781391,6.24763970,0.03413589,0.07889898,2.24153912,0.69609610,0.01049818,4.42040393,0.80813414,1.01200555
-5.62181091,6.24793860,0.03466033,0.07551448,2.24388605,0.69791289,0.01021434,4.42992349,0.84667369,0.99340079
-5.61580790,6.25366767,0.03527943,0.07266533,2.24684861,0.70075497,0.01001824,4.44212641,0.88802228,0.97436441
-5.60980490,6.26611602,0.03597059,0.07040400,2.25072562,0.70483417,0.00990525,4.45783076,0.93233166,0.95507431
-5.60380190,6.28640580,0.03671204,0.06877951,2.25575546,0.71034221,0.00987173,4.47773872,0.97971375,0.93568466
-5.59779890,6.31548305,0.03748325,0.06783722,2.26211959,0.71744821,0.00991498,4.50243087,1.03023418,0.91632805
-5.59179590,6.35411185,0.03826520,0.06761872,2.26994736,0.72629668,0.01003310,4.53236289,1.08390643,0.89711829
-5.58579290,6.40287082,0.03904064,0.06816173,2.27932177,0.73700585,0.01022485,4.56786407,1.14068696,0.87815372
-5.57978989,6.46215104,0.03979432,0.06950000,2.29028529,0.74966632,0.01048949,4.60913700,1.20047126,0.85952038
-5.57378689,6.53215488,0.04051311,0.07166320,2.30284548,0.76434001,0.01082657,4.65625806,1.26309139,0.84129506
-5.56778389,6.61289548,0.04118612,0.07467666,2.31697987,0.78105921,0.01123573,4.70917860,1.32831495,0.82354771
-5.56178089,6.70419702,0.04180475,0.07856107,2.33263993,0.79982608,0.01171647,4.76772687,1.39584590,0.80634332
-5.55577789,6.80569625,0.04236266,0.08333195,2.34975398,0.82061226,0.01226798,4.83161111,1.46532734,0.78974304
-5.54977489,6.91684602,0.04285569,0.08899911,2.36822914,0.84335904,0.01288891,4.90042407,1.53634640,0.77380466
-5.54377189,7.03692168,0.04328175,0.09556590,2.38795246,0.86797788,0.01357718,4.97364985,1.60844136,0.75858245
-5.53776888,7.16503120,0.04364066,0.10302839,2.40879141,0.89435150,0.01432986,5.05067326,1.68111098,0.74412662
-5.53176588,7.30012997,0.04393396,0.11137447,2.43059422,0.92233569,0.01514295,5.13079248,1.75382592,0.73048256
-5.52576288,7.44104066,0.04416466,0.12058299,2.45319013,0.95176168,0.01601136,5.21323518,1.82604199,0.71768990
