energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.63321810,0.72619649,0.00000000,0.03115342,0.06315573,0.50249623,1.13106234
-5.99399700,1.69519807,0.77052397,0.00000000,0.02677119,0.06023733,0.52985111,1.19271227
-5.98799400,1.77012506,0.82002822,0.00000000,0.02286242,0.05802245,0.56131679,1.26248570
-5.98199100,1.85619022,0.87385404,0.00000000,0.01940259,0.05645301,0.59622152,1.33911537
-5.97598799,1.95126734,0.93099976,0.00000000,0.01636329,0.05546080,0.63380088,1.42110466
-5.96998499,2.05295714,0.99033625,0.00000000,0.01371342,0.05496937,0.67321182,1.50675724
-5.96398199,2.15864149,1.05063109,0.00000000,0.01142024,0.05489615,0.71354958,1.59421458
-5.95797899,2.26554655,1.11057754,0.00000000,0.00945038,0.05515455,0.75386757,1.68150056
-5.95197599,2.37081320,1.16882736,0.00000000,0.00777067,0.05565621,0.79319954,1.76657219
-5.94597299,2.47157278,1.22402681,0.00000000,0.00634881,0.05631316,0.83058356,1.84737468
-5.93996998,2.56502572,1.27485430,0.00000000,0.00515396,0.05704000,0.86508710,1.92189924
-5.93396698,2.64852023,1.32005858,0.00000000,0.00415713,0.05775587,0.89583214,1.98824140
-5.92796398,2.71962826,1.35849586,0.00000000,0.00333151,0.05838632,0.92201965,2.04465757
-5.92196098,2.77621562,1.38916431,0.00000000,0.00265260,0.05886493,0.94295218,2.08961771
-5.91595798,2.81650350,1.41123459,0.00000000,0.00209834,0.05913465,0.95805379,2.12185163
-5.90995498,2.83911866,1.42407491,0.00000000,0.00164909,0.05914889,0.96688630,2.14038712
-5.90395198,2.84313030,1.42726956,0.00000000,0.00128755,0.05887217,0.96916121,2.14457814
-5.89794897,2.82807181,1.42063014,0.00000000,0.00099869,0.05828051,0.96474667,2.13412176
-5.89194597,2.79394665,1.40419878,0.00000000,0.00076953,0.05736144,0.95366915,2.10906318
-5.88594297,2.74121812,1.37824343,0.00000000,0.00058904,0.05611358,0.93610982,2.06978867
-5.87993997,2.67078349,1.34324535,0.00000000,0.00044789,0.05454603,0.91239560,2.01700670
-5.87393697,2.58393396,1.29987947,0.00000000,0.00033831,0.05267729,0.88298563,1.95171834
-5.86793397,2.48230229,1.24898854,0.00000000,0.00025383,0.05053412,0.84845338,1.87517840
-5.86193097,2.36780066,1.19155238,0.00000000,0.00018917,0.04815003,0.80946567,1.78884899
-5.85592796,2.24255158,1.12865361,0.00000000,0.00014004,0.04556378,0.76675920,1.69434798
-5.84992496,2.10881508,1.06144141,0.00000000,0.00010297,0.04281772,0.72111590,1.59339442
-5.84392196,1.96891524,0.99109498,0.00000000,0.00007520,0.03995620,0.67333801,1.48775350
-5.83791896,1.82516909,0.91878811,0.00000000,0.00005455,0.03702401,0.62422399,1.37918323
-5.83191596,1.67982079,0.84565636,0.00000000,0.00003931,0.03406492,0.57454623,1.26938501
-5.82591296,1.53498317,0.77276792,0.00000000,0.00002814,0.03112045,0.52503122,1.15995973
-5.81990995,1.39258865,0.70109910,0.00000000,0.00002001,0.02822879,0.47634292,1.05237097
-5.81390695,1.25435067,0.63151513,0.00000000,0.00001414,0.02542397,0.42906976,0.94791598
-5.80790395,1.12173628,0.56475653,0.00000000,0.00000995,0.02273527,0.38371533,0.84770516
-5.80190095,0.99594998,0.50143105,0.00000000,0.00000697,0.02018685,0.34069300,0.75264994
-5.79589795,0.87792824,0.44201103,0.00000000,0.00000489,0.01779768,0.30032410,0.66345873
-5.78989495,0.76834385,0.38683564,0.00000000,0.00000346,0.01558156,0.26283953,0.58064026
-5.78389195,0.66761884,0.33611743,0.00000000,0.00000251,0.01354746,0.22838414,0.50451332
-5.77788894,0.57594426,0.28995226,0.00000000,0.00000192,0.01169995,0.19702366,0.43522178
-5.77188594,0.49330537,0.24833199,0.00000000,0.00000160,0.01003973,0.16875323,0.37275351
-5.76588294,0.41951037,0.21115890,0.00000000,0.00000150,0.00856434,0.14350734,0.31696208
-5.75987994,0.35422119,0.17826108,0.00000000,0.00000161,0.00726884,0.12117032,0.26758985
-5.75387694,0.29698462,0.14940806,0.00000000,0.00000192,0.00614659,0.10158703,0.22429148
-5.74787394,0.24726279,0.12432594,0.00000000,0.00000244,0.00519003,0.08457325,0.18665668
-5.74187094,0.20446167,0.10271164,0.00000000,0.00000322,0.00439143,0.06992547,0.15423160
-5.73586793,0.16795696,0.08424570,0.00000000,0.00000430,0.00374363,0.05742970,0.12653812
-5.72986493,0.13711675,0.06860345,0.00000000,0.00000578,0.00324080,0.04686919,0.10309069
-5.72386193,0.11132070,0.05546439,0.00000000,0.00000775,0.00287907,0.03803103,0.08341047
-5.71785893,0.08997561,0.04451973,0.00000000,0.00001034,0.00265721,0.03071140,0.06703674
-5.71185593,0.07252749,0.03547815,0.00000000,0.00001371,0.00257724,0.02471968,0.05353560
-5.70585293,0.05847031,0.02806980,0.00000000,0.00001806,0.00264495,0.01988144,0.04250615
-5.69984992,0.04735184,0.02204894,0.00000000,0.00002363,0.00287044,0.01604036,0.03358444
-5.69384692,0.03877688,0.01719516,0.00000000,0.00003069,0.00326853,0.01305936,0.02644551
-5.68784392,0.03240827,0.01331357,0.00000000,0.00003958,0.00385918,0.01082087,0.02080369
-5.68184092,0.02796614,0.01023418,0.00000000,0.00005069,0.00466776,0.00922658,0.01641177
-5.67583792,0.02522578,0.00781055,0.00000000,0.00006444,0.00572518,0.00819665,0.01305904
-5.66983492,0.02401423,0.00591807,0.00000000,0.00008134,0.00706796,0.00766860,0.01056872
-5.66383192,0.02420623,0.00445193,0.00000000,0.00010193,0.00873807,0.00759587,0.00879490
-5.65782891,0.02571941,0.00332496,0.00000000,0.00012682,0.01078255,0.00794625,0.00761919
-5.65182591,0.02850899,0.00246545,0.00000000,0.00015665,0.01325293,0.00870005,0.00694740
-5.64582291,0.03256215,0.00181499,0.00000000,0.00019211,0.01620432,0.00984830,0.00670606
-5.63981991,0.03789208,0.00132655,0.00000000,0.00023391,0.01969423,0.01139075,0.00683922
-5.63381691,0.04453174,0.00096260,0.00000000,0.00028276,0.02378103,0.01333387,0.00730534
-5.62781391,0.05252746,0.00069348,0.00000000,0.00033935,0.02852212,0.01568884,0.00807439
-5.62181091,0.06193226,0.00049603,0.00000000,0.00040436,0.03397177,0.01846936,0.00912518
-5.61580790,0.07279910,0.00035225,0.00000000,0.00047836,0.04017865,0.02168960,0.01044296
-5.60980490,0.08517410,0.00024837,0.00000000,0.00056185,0.04718315,0.02536206,0.01201713
-5.60380190,0.09908980,0.00017388,0.00000000,0.00065518,0.05501457,0.02949547,0.01383930
-5.59779890,0.11455860,0.00012089,0.00000000,0.00075855,0.06368825,0.03409284,0.01590149
-5.59179590,0.13156670,0.00008349,0.00000000,0.00087194,0.07320278,0.03914950,0.01819461
-5.58579290,0.15006857,0.00005732,0.00000000,0.00099513,0.08353745,0.04465151,0.02070706
-5.57978989,0.16998240,0.00003917,0.00000000,0.00112763,0.09465008,0.05057424,0.02342376
-5.57378689,0.19118666,0.00002672,0.00000000,0.00126867,0.10647540,0.05688127,0.02632523
-5.56778389,0.21351800,0.00001831,0.00000000,0.00141723,0.11892416,0.06352381,0.02938713
-5.56178089,0.23677092,0.00001276,0.00000000,0.00157198,0.13188307,0.07044056,0.03257996
-5.55577789,0.26069920,0.00000927,0.00000000,0.00173134,0.14521574,0.07755808,0.03586916
-5.54977489,0.28501935,0.00000728,0.00000000,0.00189351,0.15876469,0.08479184,0.03921545
-5.54377189,0.30941612,0.00000644,0.00000000,0.00205648,0.17235448,0.09204785,0.04257562
-5.53776888,0.33355010,0.00000658,0.00000000,0.00221809,0.18579595,0.09922484,0.04590351
-5.53176588,0.35706722,0.00000763,0.00000000,0.00237614,0.19889155,0.10621712,0.04915134
-5.52576288,0.37961004,0.00000963,0.00000000,0.00252842,0.21144157,0.11291790,0.05227134
-5.51975988,0.40083050,0.00001274,0.00000000,0.00267284,0.22325118,0.11922301,0.05521762
-5.51375688,0.42040363,0.00001721,0.00000000,0.00280753,0.23413808,0.12503500,0.05794812
-5.50775388,0.43804203,0.00002344,0.00000000,0.00293093,0.24394038,0.13026735,0.06042682
-5.50175088,0.45351036,0.00003195,0.00000000,0.00304191,0.25252457,0.13484874,0.06262591
-5.49574787,0.46663938,0.00004343,0.00000000,0.00313989,0.25979320,0.13872721,0.06452800
-5.48974487,0.47733915,0.00005882,0.00000000,0.00322494,0.26569200,0.14187393,0.06612822
-5.48374187,0.48561068,0.00007928,0.00000000,0.00329787,0.27021612,0.14428668,0.06743620
-5.47773887,0.49155572,0.00010636,0.00000000,0.00336033,0.27341532,0.14599262,0.06847780
-5.47173587,0.49538428,0.00014198,0.00000000,0.00341488,0.27539774,0.14705049,0.06929667
-5.46573287,0.49741947,0.00018859,0.00000000,0.00346506,0.27633229,0.14755199,0.06995537
-5.45972986,0.49809968,0.00024925,0.00000000,0.00351540,0.27644928,0.14762233,0.07053633
-5.45372686,0.49797778,0.00032780,0.00000000,0.00357147,0.27603954,0.14742005,0.07114229
-5.44772386,0.49771746,0.00042896,0.00000000,0.00363985,0.27545178,0.14713583,0.07189647
-5.44172086,0.49808669,0.00055859,0.00000000,0.00372814,0.27508832,0.14699074,0.07294233
-5.43571786,0.49994857,0.00072379,0.00000000,0.00384489,0.27539931,0.14723356,0.07444290
-5.42971486,0.50424961,0.00093323,0.00000000,0.00399954,0.27687561,0.14813756,0.07657976
-5.42371186,0.51200574,0.00119733,0.00000000,0.00420230,0.28004028,0.14999670,0.07955159
-5.41770885,0.52428636,0.00152857,0.00000000,0.00446408,0.28543908,0.15312130,0.08357230
-5.41170585,0.54219650,0.00194175,0.00000000,0.00479630,0.29363004,0.15783339,0.08886869
-5.40570285,0.56685752,0.00245430,0.00000000,0.00521076,0.30517222,0.16446173,0.09567769
-5.39969985,0.59938642,0.00308661,0.00000000,0.00571940,0.32061398,0.17333659,0.10424307
-5.39369685,0.64087409,0.00386224,0.00000000,0.00633412,0.34048080,0.18478444,0.11481166
-5.38769385,0.69236260,0.00480826,0.00000000,0.00706651,0.36526287,0.19912241,0.12762901
-5.38169085,0.75482189,0.00595544,0.00000000,0.00792759,0.39540264,0.21665285,0.14293452
-5.37568784,0.82912597,0.00733839,0.00000000,0.00892748,0.43128245,0.23765776,0.16095602
-5.36968484,0.91602902,0.00899566,0.00000000,0.01007515,0.47321257,0.26239330,0.18190387
-5.36368184,1.01614174,0.01096974,0.00000000,0.01137804,0.52141969,0.29108433,0.20596461
-5.35767884,1.12990825,0.01330684,0.00000000,0.01284171,0.57603628,0.32391910,0.23329426
-5.35167584,1.25758425,0.01605665,0.00000000,0.01446955,0.63709099,0.36104411,0.26401155
-5.34567284,1.39921694,0.01927183,0.00000000,0.01626242,0.70450044,0.40255922,0.29819099
-5.33966983,1.55462735,0.02300741,0.00000000,0.01821835,0.77806270,0.44851314,0.33585639
-5.33366683,1.72339591,0.02731994,0.00000000,0.02033225,0.85745279,0.49889938,0.37697474
-5.32766383,1.90485216,0.03226646,0.00000000,0.02259574,0.94222062,0.55365289,0.42145109
-5.32166083,2.09806919,0.03790339,0.00000000,0.02499694,1.03179160,0.61264740,0.46912451
-5.31565783,2.30186394,0.04428517,0.00000000,0.02752043,1.12547023,0.67569391,0.51976561
-5.30965483,2.51480390,0.05146285,0.00000000,0.03014728,1.22244699,0.74254017,0.57307589
-5.30365183,2.73522092,0.05948268,0.00000000,0.03285515,1.32180859,0.81287175,0.62868933
-5.29764882,2.96123263,0.06838463,0.00000000,0.03561861,1.42255174,0.88631449,0.68617623
-5.29164582,3.19077174,0.07820105,0.00000000,0.03840948,1.52360035,0.96243882,0.74504976
-5.28564282,3.42162308,0.08895550,0.00000000,0.04119738,1.62382605,1.04076581,0.80477510
-5.27963982,3.65146816,0.10066184,0.00000000,0.04395035,1.72207156,1.12077517,0.86478122
-5.27363682,3.87793654,0.11332361,0.00000000,0.04663566,1.81717674,1.20191512,0.92447508
-5.26763382,4.09866285,0.12693390,0.00000000,0.04922066,1.90800637,1.28361393,0.98325810
-5.26163082,4.31134815,0.14147556,0.00000000,0.05167376,1.99347917,1.36529311,1.04054426
-5.25562781,4.51382369,0.15692201,0.00000000,0.05396541,2.07259705,1.44638159,1.09577944
-5.24962481,4.70411516,0.17323847,0.00000000,0.05606923,2.14447370,1.52633081,1.14846130
-5.24362181,4.88050481,0.19038369,0.00000000,0.05796292,2.20836134,1.60462980,1.19815882
-5.23761881,5.04158917,0.20831201,0.00000000,0.05962933,2.26367473,1.68081984,1.24453080
-5.23161581,5.18632953,0.22697581,0.00000000,0.06105727,2.31001121,1.75450784,1.28734237
-5.22561281,5.31409289,0.24632803,0.00000000,0.06224224,2.34716589,1.82537770,1.32647866
-5.21960980,5.42468079,0.26632476,0.00000000,0.06318696,2.37514111,1.89319899,1.36195486
-5.21360680,5.51834419,0.28692759,0.00000000,0.06390171,2.39414941,1.95783212,1.39392191
-5.20760380,5.59578278,0.30810560,0.00000000,0.06440432,2.40460951,2.01922953,1.42266733
-5.20160080,5.65812775,0.32983684,0.00000000,0.06472001,2.40713529,2.07743253,1.44861072
-5.19559780,5.70690774,0.35210903,0.00000000,0.06488084,2.40251755,2.13256345,1.47229384
-5.18959480,5.74399850,0.37491940,0.00000000,0.06492491,2.39169913,2.18481335,1.49436533
-5.18359180,5.77155747,0.39827368,0.00000000,0.06489532,2.37574416,2.23442549,1.51556036
-5.17758879,5.79194544,0.42218398,0.00000000,0.06483883,2.35580219,2.28167533,1.53667581
-5.17158579,5.80763802,0.44666587,0.00000000,0.06480437,2.33306875,2.32684777,1.55854187
-5.16558279,5.82113038,0.47173455,0.00000000,0.06484136,2.30874376,2.37021303,1.58199093
-5.15957979,5.83483926,0.49740043,0.00000000,0.06499797,2.28398932,2.41200229,1.60782516
-5.15357679,5.85100644,0.52366427,0.00000000,0.06531938,2.25988890,2.45238465,1.63678401
-5.14757379,5.87160809,0.55051227,0.00000000,0.06584605,2.23740940,2.49144691,1.66951298
-5.14157079,5.89827420,0.57791137,0.00000000,0.06661218,2.21736792,2.52917750,1.70653526
-5.13556778,5.93222213,0.60580512,0.00000000,0.06764437,2.20040466,2.56545590,1.74822732
-5.12956478,5.97420745,0.63411053,0.00000000,0.06896055,2.18696320,2.60004861,1.79479987
-5.12356178,6.02449482,0.66271616,0.00000000,0.07056927,2.17727896,2.63261216,1.84628508
-5.11755878,6.08285048,0.69148171,0.00000000,0.07246937,2.17137655,2.66270361,1.90253080
-5.11155578,6.14855706,0.72023934,0.00000000,0.07465003,2.16907590,2.68979838,1.96320230
-5.10555278,6.22045019,0.74879679,0.00000000,0.07709130,2.17000707,2.71331463,2.02779155
-5.09954977,6.29697541,0.77694226,0.00000000,0.07976502,2.17363281,2.73264336,2.09563392
-5.09354677,6.37626290,0.80445098,0.00000000,0.08263604,2.17927800,2.74718273,2.16593150
-5.08754377,6.45621633,0.83109318,0.00000000,0.08566389,2.18616438,2.75637476,2.23778245
-5.08154077,6.53461202,0.85664309,0.00000000,0.08880458,2.19344901,2.75974273,2.31021480
-5.07553777,6.60920328,0.88088855,0.00000000,0.09201265,2.20026468,2.75692688,2.38222353
-5.06953477,6.67782534,0.90364081,0.00000000,0.09524319,2.20576032,2.74771670,2.45280915
-5.06353177,6.73849561,0.92474374,0.00000000,0.09845389,2.20913965,2.73207773,2.52101609
-5.05752876,6.78950471,0.94408218,0.00000000,0.10160689,2.20969637,2.71017112,2.58596920
-5.05152576,6.82949390,0.96158864,0.00000000,0.10467043,2.20684427,2.68236500,2.64690655
-5.04552276,6.85751540,0.97724810,0.00000000,0.10762006,2.20014117,2.64923626,2.70320718
-5.03951976,6.87307295,0.99110042,0.00000000,0.11043958,2.18930573,2.61156284,2.75441243
-5.03351676,6.87614086,1.00324014,0.00000000,0.11312135,2.17422659,2.57030618,2.80023987
-5.02751376,6.86716105,1.01381361,0.00000000,0.11566624,2.15496363,2.52658482,2.84058922
-5.02151076,6.84701843,1.02301355,0.00000000,0.11808299,2.13174167,2.48163982,2.87554012
-5.01550775,6.81699632,1.03107113,0.00000000,0.12038722,2.10493699,2.43679384,2.90534178
-5.00950475,6.77871423,1.03824612,0.00000000,0.12259990,2.07505771,2.39340547,2.93039524
-5.00350175,6.73405134,1.04481552,0.00000000,0.12474558,2.04271891,2.35282091,2.95122917
-4.99749875,6.68505971,1.05106130,0.00000000,0.12685039,2.00861395,2.31632530,2.96847040
-4.99149575,6.63387132,1.05725801,0.00000000,0.12893987,1.97348335,2.28509586,2.98281084
-4.98549275,6.58260368,1.06366085,0.00000000,0.13103683,1.93808255,2.26015896,2.99497243
-4.97948974,6.53326839,1.07049503,0.00000000,0.13315936,1.90315023,2.24235321,3.00567191
-4.97348674,6.48768689,1.07794701,0.00000000,0.13531902,1.86937830,2.23230012,3.01558725
-4.96748374,6.44741721,1.08615808,0.00000000,0.13751938,1.83738495,2.23038378,3.02532726
-4.96148074,6.41369479,1.09522078,0.00000000,0.13975504,1.80769164,2.23674041,3.03540604
-4.95547774,6.38738987,1.10517830,0.00000000,0.14201099,1.78070501,2.25125819,3.04622328
-4.94947474,6.36898283,1.11602702,0.00000000,0.14426257,1.75670405,2.27358745,3.05805142
-4.94347174,6.35855808,1.12772183,0.00000000,0.14647593,1.73583310,2.30316051,3.07103002
-4.93746873,6.35581630,1.14018416,0.00000000,0.14860888,1.71810047,2.33922045,3.08516755
-4.93146573,6.36010369,1.15331202,0.00000000,0.15061230,1.70338263,2.38085711,3.10035026
-4.92546273,6.37045631,1.16699150,0.00000000,0.15243180,1.69143348,2.42704884,3.11635737
-4.91945973,6.38565682,1.18110904,0.00000000,0.15400969,1.68189815,2.47670788,3.13288174
-4.91345673,6.40430056,1.19556359,0.00000000,0.15528718,1.67433041,2.52872719,3.14955465
-4.90745373,6.42486725,1.21027796,0.00000000,0.15620656,1.66821297,2.58202658,3.16597318
-4.90145073,6.44579484,1.22520847,0.00000000,0.15671346,1.66297951,2.63559581,3.18172870
-4.89544772,6.46555171,1.24035235,0.00000000,0.15675892,1.65803764,2.68853273,3.19643469
-4.88944472,6.48270380,1.25575220,0.00000000,0.15630126,1.65279173,2.74007457,3.20975244
-4.88344172,6.49597357,1.27149708,0.00000000,0.15530777,1.64666472,2.78962103,3.22141298
-4.87743872,6.50428829,1.28772013,0.00000000,0.15375593,1.63911815,2.83674799,3.23123409
-4.87143572,6.50681549,1.30459241,0.00000000,0.15163441,1.62966975,2.88121129,3.23913137
-4.86543272,6.50298453,1.32231335,0.00000000,0.14894357,1.61790803,2.92294060,3.24512260
-4.85942971,6.49249361,1.34109798,0.00000000,0.14569566,1.60350363,2.96202372,3.24932515
-4.85342671,6.47530257,1.36116160,0.00000000,0.14191464,1.58621709,2.99868220,3.25194646
-4.84742371,6.45161245,1.38270248,0.00000000,0.13763558,1.56590324,3.03323980,3.25326810
-4.84142071,6.42183337,1.40588365,0.00000000,0.13290387,1.54251206,3.06608540,3.25362426
-4.83541771,6.38654316,1.43081452,0.00000000,0.12777407,1.51608652,3.09763250,3.25337577
-4.82941471,6.34643930,1.45753363,0.00000000,0.12230863,1.48675746,3.12827765,3.25288140
-4.82341171,6.30228713,1.48599342,0.00000000,0.11657642,1.45473626,3.15835991,3.25246788
-4.81740870,6.25486772,1.51604810,0.00000000,0.11065115,1.42030539,3.18812391,3.25240075
-4.81140570,6.20492831,1.54744568,0.00000000,0.10460980,1.38380768,3.21768850,3.25285788
-4.80540270,6.15313843,1.57982476,0.00000000,0.09853106,1.34563450,3.24702283,3.25390739
-4.79939970,6.10005418,1.61271690,0.00000000,0.09249379,1.30621353,3.27593146,3.25549180
-4.79339670,6.04609297,1.64555467,0.00000000,0.08657568,1.26599646,3.30404936,3.25741959
-4.78739370,5.99151998,1.67768556,0.00000000,0.08085195,1.22544702,3.33084748,3.25936518
-4.78139070,5.93644725,1.70839153,0.00000000,0.07539435,1.18502973,3.35564867,3.26087774
-4.77538769,5.88084543,1.73691333,0.00000000,0.07027026,1.14519963,3.37765343,3.26139879
-4.76938469,5.82456730,1.76247900,0.00000000,0.06554207,1.10639330,3.39597431,3.26028793
