energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.91311488,0.00247262,0.35360385,0.98445297,0.00000000,1.06685054,0.49600773,0.00749106,0.80850064
-5.99399700,1.91627312,0.00236829,0.35710911,0.99476094,0.00000000,1.06873686,0.49902522,0.00745267,0.80626972
-5.98799400,1.91746076,0.00228360,0.35980617,1.00392776,0.00000000,1.06856958,0.50209679,0.00744626,0.80255459
-5.98199100,1.91670131,0.00222046,0.36166303,1.01194587,0.00000000,1.06630180,0.50517950,0.00747262,0.79742966
-5.97598799,1.91406122,0.00218091,0.36265642,1.01882126,0.00000000,1.06192163,0.50823791,0.00753249,0.79099880
-5.96998499,1.90965103,0.00216714,0.36277319,1.02457423,0.00000000,1.05545689,0.51124469,0.00762651,0.78339473
-5.96398199,1.90362470,0.00218147,0.36201151,1.02923961,0.00000000,1.04697854,0.51418070,0.00775514,0.77477766
-5.95797899,1.89617718,0.00222636,0.36038175,1.03286633,0.00000000,1.03660261,0.51703467,0.00791854,0.76533294
-5.95197599,1.88754013,0.00230434,0.35790694,1.03551648,0.00000000,1.02449036,0.51980243,0.00811655,0.75526792
-5.94597299,1.87797595,0.00241794,0.35462283,1.03726355,0.00000000,1.01084656,0.52248590,0.00834853,0.74480786
-5.93996998,1.86777023,0.00256970,0.35057742,1.03819013,0.00000000,0.99591578,0.52509175,0.00861332,0.73419110
-5.93396698,1.85722293,0.00276199,0.34582998,1.03838502,0.00000000,0.97997674,0.52762998,0.00890914,0.72366348
-5.92796398,1.84663849,0.00299703,0.34044964,1.03793987,0.00000000,0.96333477,0.53011241,0.00923358,0.71347226
-5.92196098,1.83631540,0.00327673,0.33451342,1.03694548,0.00000000,0.94631275,0.53255133,0.00958352,0.70385951
-5.91595798,1.82653567,0.00360264,0.32810398,1.03548801,0.00000000,0.92924079,0.53495828,0.00995513,0.69505552
-5.90995498,1.81755471,0.00397583,0.32130702,1.03364522,0.00000000,0.91244513,0.53734312,0.01034390,0.68727208
-5.90395198,1.80959214,0.00439685,0.31420859,1.03148311,0.00000000,0.89623679,0.53971361,0.01074466,0.68069633
-5.89794897,1.80282414,0.00486560,0.30689232,1.02905299,0.00000000,0.88090053,0.54207538,0.01115166,0.67548512
-5.89194597,1.79737786,0.00538131,0.29943686,1.02638939,0.00000000,0.86668474,0.54443253,0.01155867,0.67176038
-5.88594297,1.79332824,0.00594248,0.29191347,1.02350892,0.00000000,0.85379283,0.54678875,0.01195909,0.66960572
-5.87993997,1.79069763,0.00654685,0.28438416,1.02041008,0.00000000,0.84237652,0.54914910,0.01234610,0.66906444
-5.87393697,1.78945833,0.00719138,0.27690020,1.01707431,0.00000000,0.83253165,0.55152224,0.01271284,0.67013913
