energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,4.64681760,1.35901090,2.20670582,0.01003748,0.54381442,0.06024468,1.60190461
-5.99399700,4.64570875,1.37026227,2.20568131,0.01042664,0.55381650,0.06015694,1.60028666
-5.98799400,4.64524546,1.38339004,2.20384948,0.01085698,0.56333287,0.06005349,1.59943017
-5.98199100,4.64595930,1.39858582,2.20137021,0.01132482,0.57225663,0.05994228,1.59959754
-5.97598799,4.64842030,1.41605527,2.19842647,0.01182589,0.58050339,0.05983096,1.60105578
-5.96998499,4.65322392,1.43601173,2.19521982,0.01235538,0.58801338,0.05972676,1.60407103
-5.96398199,4.66097688,1.45866860,2.19196580,0.01290790,0.59475295,0.05963640,1.60890266
-5.95797899,4.67228235,1.48423053,2.18888952,0.01347760,0.60071531,0.05956600,1.61579709
-5.95197599,4.68772495,1.51288383,2.18622137,0.01405821,0.60592064,0.05952106,1.62498155
-5.94597299,4.70785574,1.54478640,2.18419310,0.01464308,0.61041522,0.05950651,1.63665794
-5.93996998,4.73317778,1.58005759,2.18303416,0.01522534,0.61426988,0.05952664,1.65099701
-5.93396698,4.76413240,1.61876836,2.18296814,0.01579799,0.61757753,0.05958524,1.66813304
-5.92796398,4.80108639,1.66093227,2.18420946,0.01635404,0.62044997,0.05968563,1.68815903
-5.92196098,4.84432048,1.70649767,2.18696000,0.01688665,0.62301396,0.05983069,1.71112286
-5.91595798,4.89401914,1.75534144,2.19140568,0.01738931,0.62540671,0.06002299,1.73702416
-5.90995498,4.95026202,1.80726482,2.19771294,0.01785595,0.62777089,0.06026484,1.76581230
-5.90395198,5.01301710,1.86199139,2.20602494,0.01828115,0.63024938,0.06055831,1.79738539
-5.89794897,5.08213583,1.91916758,2.21645772,0.01866023,0.63297995,0.06090531,1.83159039
-5.89194597,5.15735040,1.97836575,2.22909623,0.01898945,0.63608997,0.06130761,1.86822438
-5.88594297,5.23827321,2.03908988,2.24399033,0.01926605,0.63969152,0.06176680,1.90703696
-5.87993997,5.32439891,2.10078373,2.26115111,0.01948837,0.64387693,0.06228436,1.94773369
-5.87393697,5.41510884,2.16284132,2.28054753,0.01965593,0.64871510,0.06286156,1.98998056
-5.86793397,5.50967815,2.22461938,2.30210372,0.01976938,0.65424857,0.06349945,2.03340948
-5.86193097,5.60728540,2.28545136,2.32569713,0.01983057,0.66049157,0.06419880,2.07762436
-5.85592796,5.70702465,2.34466255,2.35115770,0.01984243,0.66742908,0.06496004,2.12220804
-5.84992496,5.80791978,2.40158572,2.37826830,0.01980895,0.67501692,0.06578320,2.16672953
-5.84392196,5.90894068,2.45557673,2.40676642,0.01973500,0.68318283,0.06666778,2.21075158
-5.83791896,6.00902103,2.50602958,2.43634732,0.01962624,0.69182845,0.06761274,2.25383828
-5.83191596,6.10707713,2.55239021,2.46666852,0.01948888,0.70083219,0.06861636,2.29556256
-5.82591296,6.20202720,2.59416867,2.49735558,0.01932957,0.71005266,0.06967616,2.33551328
-5.81990995,6.29281066,2.63094914,2.52800900,0.01915512,0.71933269,0.07078881,2.37330177
-5.81390695,6.37840679,2.66239745,2.55821210,0.01897233,0.72850363,0.07195003,2.40856774
