energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.90290642,-5.90290790,2.87343842,-2.87343896,0.64976764,-0.64976789,0.34565199,-0.34565209,0.18565244,-0.18565246,0.03095105,-0.03095106,1.07748228,-1.07748258,0.12778892,-0.12778896,2.19642661,-2.19642715
-5.99399700,6.06283309,-6.06283453,2.92851852,-2.92851902,0.67890394,-0.67890419,0.35886036,-0.35886045,0.18913841,-0.18913843,0.03205823,-0.03205823,1.10030716,-1.10030745,0.13117795,-0.13117799,2.26599413,-2.26599465
-5.98799400,6.20888481,-6.20888621,2.97560309,-2.97560355,0.70727884,-0.70727910,0.37171979,-0.37171989,0.19203812,-0.19203814,0.03304281,-0.03304281,1.12017422,-1.12017451,0.13436750,-0.13436755,2.33132461,-2.33132513
-5.98199100,6.34138959,-6.34139096,3.01506231,-3.01506273,0.73482218,-0.73482245,0.38421703,-0.38421712,0.19437253,-0.19437255,0.03389602,-0.03389602,1.13728061,-1.13728088,0.13739505,-0.13739510,2.39236541,-2.39236592
-5.97598799,6.46105651,-6.46105785,3.04741663,-3.04741702,0.76150671,-0.76150699,0.39635634,-0.39635643,0.19617442,-0.19617443,0.03461196,-0.03461196,1.15189235,-1.15189261,0.14030877,-0.14030882,2.44919782,-2.44919832
-5.96998499,6.56891461,-6.56891595,3.07330047,-3.07330083,0.78734507,-0.78734535,0.40815566,-0.40815575,0.19748642,-0.19748644,0.03518766,-0.03518766,1.16432818,-1.16432845,0.14316548,-0.14316553,2.50202050,-2.50202100
-5.96398199,6.66623825,-6.66623958,3.09342147,-3.09342180,0.81238495,-0.81238524,0.41964195,-0.41964204,0.19835868,-0.19835869,0.03562307,-0.03562307,1.17494085,-1.17494112,0.14602815,-0.14602820,2.55112821,-2.55112872
-5.95797899,6.75446245,-6.75446379,3.10851724,-3.10851755,0.83670279,-0.83670309,0.43084623,-0.43084631,0.19884614,-0.19884615,0.03592096,-0.03592096,1.18409677,-1.18409704,0.14896301,-0.14896307,2.59688680,-2.59688731
-5.95197599,6.83509263,-6.83509399,3.11931202,-3.11931231,0.86039618,-0.86039649,0.44179837,-0.44179846,0.19900583,-0.19900584,0.03608675,-0.03608675,1.19215520,-1.19215547,0.15203644,-0.15203650,2.63970562,-2.63970614
-5.94597299,6.90961313,-6.90961453,3.12647550,-3.12647578,0.88357534,-0.88357566,0.45252221,-0.45252229,0.19889401,-0.19889403,0.03612824,-0.03612824,1.19944800,-1.19944828,0.15531165,-0.15531172,2.68000878,-2.68000931
-5.93996998,6.97939938,-6.97940081,3.13058602,-3.13058629,0.90635421,-0.90635454,0.46303107,-0.46303115,0.19856354,-0.19856356,0.03605534,-0.03605534,1.20626108,-1.20626137,0.15884552,-0.15884560,2.71820667,-2.71820721
-5.93396698,7.04563812,-7.04563959,3.13210017,-3.13210043,0.92884149,-0.92884184,0.47332416,-0.47332424,0.19806142,-0.19806144,0.03587975,-0.03587974,1.21281851,-1.21281881,0.16268544,-0.16268552,2.75466909,-2.75466965
-5.92796398,7.10926002,-7.10926153,3.13133041,-3.13133065,0.95113214,-0.95113250,0.48338405,-0.48338413,0.19742676,-0.19742678,0.03561464,-0.03561463,1.21927026,-1.21927057,0.16686652,-0.16686661,2.78970145,-2.78970202
-5.92196098,7.17088804,-7.17088959,3.12843186,-3.12843209,0.97329981,-0.97330018,0.49317543,-0.49317551,0.19668917,-0.19668919,0.03527435,-0.03527435,1.22568418,-1.22568449,0.17140921,-0.17140931,2.82352520,-2.82352579
-5.91595798,7.23080418,-7.23080575,3.12339891,-3.12339912,0.99539060,-0.99539099,0.50264529,-0.50264536,0.19586774,-0.19586776,0.03487414,-0.03487413,1.23204268,-1.23204300,0.17631741,-0.17631751,2.85626346,-2.85626405
-5.90995498,7.28893623,-7.28893782,3.11607173,-3.11607192,1.01741844,-1.01741883,0.51172457,-0.51172464,0.19497053,-0.19497055,0.03442989,-0.03442989,1.23824433,-1.23824465,0.18157719,-0.18157729,2.88793253,-2.88793313
